Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2005-09-07,1.57,1.58,1.53,1.55,422200.0,1.5542,1.5319999999999998,1.55,1.5925,1.6527,1.6653,1.6622,1.663,1.6308,1.6175,1.6587,1.6484,55.3588,41.5626,39.8347,42.9591,,,,,,
2005-09-08,1.55,1.56,1.54,1.54,887100.0,1.5491,1.536,1.544,1.5815,1.6453,1.6618,1.6604,1.6607,1.6308,1.6172,1.6572,1.6503,46.6083,39.4091,38.4726,42.2359,-0.006472514505617477,,,,,
2005-09-09,1.54,1.56,1.53,1.55,1737000.0,1.5463,1.544,1.54,1.5730000000000002,1.638,1.6588,1.6586,1.6582,1.631,1.6169,1.6557,1.6511,56.8414,42.7464,40.6579,43.2246,0.006472514505617477,,,,,
2005-09-12,1.56,1.57,1.56,1.57,2321000.0,1.5605,1.556,1.539,1.5685,1.6307,1.656,1.6572,1.656,1.6316,1.6173,1.6543,1.6514,72.5973,49.0593,44.875,45.1665,0.012820688429061422,0.009832774852016687,,,,
2005-09-13,1.57,1.57,1.55,1.55,2916300.0,1.5608,1.5519999999999998,1.5419999999999998,1.5659999999999998,1.6233,1.653,1.6546,1.6537,1.6319,1.6174,1.6528,1.6519,46.9094,43.6453,41.6848,43.623000000000005,-0.012820688429061422,0.013354195338427508,,,,
2005-09-14,1.57,1.58,1.56,1.58,1118700.0,1.567,1.558,1.545,1.5645,1.616,1.6508,1.6528,1.652,1.6318,1.6178,1.6516,1.6525,70.4419,52.4924,47.6918,46.462,0.019169916107720175,0.0169370977340889,0.01329018000727059,,,
2005-09-15,1.58,1.6,1.56,1.6,1605100.0,1.5819,1.57,1.5530000000000002,1.5645,1.6097,1.6493,1.652,1.6503,1.6317,1.6182,1.6508,1.6531,79.5198,57.4969,51.2938,48.25899999999999,0.01257878220686015,0.01689168894907029,0.012289963090982493,,,
2005-09-16,1.6,1.6,1.58,1.59,673700.0,1.5921,1.578,1.561,1.5645,1.6043,1.6475,1.651,1.6493,1.6315,1.6183,1.6501,1.6539,64.6324,54.2806,49.4599,47.4355,-0.00626961301359541,0.013202743972370678,0.013819577044541393,,,
2005-09-19,1.59,1.6,1.57,1.58,4134800.0,1.5801,1.58,1.568,1.5635,1.5983,1.6428,1.6498,1.6483,1.6313,1.6184,1.6493,1.6545,50.4615,51.0668,47.6261,46.6126,-0.006309169193264741,0.010893562894138611,0.013794316057765576,,,
2005-09-20,1.57,1.57,1.55,1.55,3860100.0,1.557,1.58,1.5659999999999998,1.561,1.591,1.6368,1.648,1.6473,1.6307,1.6185,1.6487,1.6548,25.4004,42.5621,42.5314,44.2315,-0.019169916107720175,0.007436600879090184,0.015590949235142534,,,
2005-09-21,1.55,1.57,1.54,1.56,6917000.0,1.5517,1.5759999999999998,1.567,1.5585,1.584,1.6313,1.6456,1.6463,1.6301,1.6184,1.6484,1.6544,40.24,45.9384,44.6566,45.1968,0.0064308903302904286,0.01280045063098619,0.012386735884836204,0.012570063640112757,,
2005-09-22,1.56,1.57,1.55,1.56,1003000.0,1.5599,1.568,1.569,1.5565,1.5773,1.6263,1.6432,1.6452,1.6294,1.6182,1.6478,1.654,40.24,45.9384,44.6566,45.1968,0.0,0.01331817883129257,0.009483636130736769,0.012327254829266299,,
2005-09-23,1.57,1.58,1.56,1.57,822100.0,1.5607,1.564,1.571,1.5555,1.5723,1.6213,1.6412,1.644,1.6286,1.6187,1.6475,1.6537,58.7172,49.6819,46.9326,46.1936,0.0063897980987709935,0.0037010709881233807,0.010693808575481027,0.012323418360562671,,
2005-09-26,1.57,1.59,1.57,1.59,8375000.0,1.5789,1.5659999999999998,1.5730000000000002,1.556,1.57,1.6163,1.6394,1.6432,1.628,1.6192,1.6473,1.6535,78.583,56.4647,51.2506,48.1449,0.012658396871923494,0.006329295138335559,0.012267288228716077,0.012306629759875709,,
2005-09-27,1.59,1.59,1.57,1.58,1863000.0,1.581,1.5719999999999998,1.5759999999999998,1.5590000000000002,1.5693,1.6115,1.6376,1.6415,1.6272,1.6198,1.6458,1.6533,57.743,52.485,49.0994,47.2584,-0.006309169193264741,0.009663743781960166,0.007223734504123158,0.011632276558080903,,
2005-09-28,1.59,1.59,1.57,1.59,8006100.0,1.5876,1.578,1.577,1.561,1.5687,1.6063,1.636,1.6402,1.6265,1.6203,1.6444,1.653,69.7688,55.9757,51.3008,48.2442,0.006309169193264741,0.009654909961514316,0.007212992038681719,0.010126295036038584,,
2005-09-29,1.59,1.59,1.55,1.56,2017200.0,1.5527,1.578,1.5730000000000002,1.5630000000000002,1.5673,1.6005,1.634,1.6388,1.6255,1.6203,1.6428,1.6529,30.5917,44.8544,45.0115,45.5991,-0.019048194970694488,0.012678729949135456,0.012683744464572088,0.01089018952862342,,
