Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.614,2.794,2.614,2.745,977948.0,2.7445,2.5622,2.5573,2.5242,2.4878,2.4776,2.4893,2.5404,2.7597,2.7758,2.7198,2.6114,91.6487,75.8707,69.8472,58.7869,,,,,,
2000-01-04,2.778,2.811,2.745,2.745,784562.0,2.7788,2.621,2.5769,2.5397,2.4982,2.4829,2.4935,2.5368,2.7568,2.7738,2.7244,2.6182,91.6487,75.8707,69.8472,58.7869,0.0,,,,,
2000-01-05,2.745,2.762,2.647,2.712,645030.0,2.7205,2.6602,2.5932,2.5487,2.5072,2.4878,2.4961,2.5322,2.752,2.7716,2.7275,2.6247,70.9248,69.499,65.7523,57.0735,-0.012094704883344742,,,,,
2000-01-06,2.712,2.778,2.712,2.762,139532.0,2.75,2.706,2.6128,2.5658,2.5178,2.4956,2.5004,2.5292,2.7468,2.77,2.7309,2.6317,80.7293,73.285,68.7151,58.9309,0.01826868490895117,0.015285953106237999,,,,
2000-01-07,2.712,2.778,2.712,2.762,139532.0,2.75,2.706,2.6128,2.5658,2.5178,2.4956,2.5004,2.5292,2.7468,2.77,2.7309,2.6317,80.7293,73.285,68.7151,58.9309,0.0,0.015285953106237999,,,,
2000-01-10,2.712,2.778,2.712,2.762,139532.0,2.75,2.706,2.6128,2.5658,2.5178,2.4956,2.5004,2.5292,2.7468,2.77,2.7309,2.6317,80.7293,73.285,68.7151,58.9309,0.0,0.01054743014992341,0.010867418376118888,,,
2000-01-11,2.811,3.023,2.811,3.023,707452.0,2.9538,2.7975,2.6586,2.5944,2.5371,2.5095,2.5102,2.5311,2.744,2.7702,2.7359,2.6398,94.7884,84.6884,79.1001,66.8455,0.09029466081022064,0.05213164672516684,0.041145816228409474,,,
2000-01-12,3.023,3.35,2.941,3.268,1539748.0,3.1913,2.902,2.7321,2.6357,2.566,2.5295,2.5252,2.5393,2.7452,2.773,2.7422,2.6488,97.4276,89.4418,84.3462,72.0663,0.0779284612004354,0.04895387919373638,0.04360010571826371,,,
2000-01-13,3.268,3.333,3.219,3.252,2409988.0,3.2624,3.0034,2.8122,2.6716,2.5938,2.5509,2.5406,2.5483,2.745,2.7754,2.7477,2.658,92.7316,87.4067,82.8531,71.2921,-0.004907985312192276,0.05176604999472444,0.04721147207183248,,,
2000-01-14,3.252,3.301,3.219,3.252,1795557.0,3.2641,3.1112,2.8857,2.7076,2.6207,2.5722,2.5546,2.5573,2.7448,2.778,2.753,2.6671,92.7316,87.4067,82.8531,71.2921,0.0,0.046473666837130986,0.04721147207183248,,,
2000-01-17,3.268,3.415,3.268,3.366,2476082.0,3.3521,3.2321,2.969,2.7501,2.6529,2.5959,2.571,2.5703,2.7458,2.7819,2.7589,2.6763,95.8682,89.5193,85.0077,73.4304,0.034454904083050186,0.021450197344620482,0.04363084277478808,0.03614463221761162,,
2000-01-18,3.382,3.399,3.268,3.35,767426.0,3.3404,3.2975,3.0475,2.7909,2.6844,2.6194,2.5873,2.5815,2.747,2.7867,2.765,2.6855,87.7534,87.1691,83.3955,72.6309,-0.004764749931639223,0.021401030030955653,0.03604470119708015,0.03647326410899026,,
2000-01-19,3.301,3.317,3.219,3.235,1048938.0,3.2535,3.2909,3.0965,2.8269,2.7149,2.64,2.6014,2.5905,2.7465,2.7896,2.7696,2.6944,46.4604,72.2347,72.964,67.323,-0.03493141788411114,0.03479145199738297,0.024665431687218072,0.039305331056183605,,
2000-01-20,3.284,3.284,3.186,3.203,1727015.0,3.2206,3.2811,3.1422,2.8596,2.7405,2.6592,2.6148,2.6017,2.7465,2.7926,2.7738,2.7021,38.6633,68.4644,70.2599,65.8996,-0.009941057325842939,0.016131439977190704,0.024913707366068582,0.04025556950040512,,
2000-01-21,3.235,3.252,3.219,3.219,894719.0,3.2336,3.2746,3.1929,2.8931,2.7634,2.6786,2.6288,2.6123,2.7466,2.7961,2.7778,2.7097,45.5205,69.3638,70.8418,66.2685,0.004982881689649998,0.02016760350592981,0.02516393863586561,0.040082302027231106,,
2000-01-24,3.219,3.268,3.17,3.17,200730.0,3.204,3.2354,3.2338,2.9233,2.7885,2.6968,2.6432,2.6226,2.746,2.7973,2.7809,2.7169,30.2848,63.273,66.63,64.1159,-0.015339164427481844,0.010526546397923024,0.01484929540240707,0.04101600333009995,,
2000-01-25,3.137,3.186,3.121,3.17,342710.0,3.1555,3.1994,3.2485,2.9535,2.8124,2.7149,2.6573,2.6332,2.7452,2.8011,2.7842,2.7239,30.2848,63.273,66.63,64.1159,0.0,0.010591699845108386,0.015565221734089103,0.03102055138821022,,
2000-01-26,3.268,3.35,3.154,3.186,608311.0,3.2629,3.1896,3.2403,2.9862,2.8372,2.7346,2.6716,2.6444,2.746,2.8039,2.7878,2.7301,44.2735,64.5849,67.3797,64.527,0.005034623598667576,0.010612324899600317,0.009188321773099889,0.01755578367565337,,
2000-01-27,3.186,3.235,3.105,3.219,216642.0,3.1824,3.1929,3.237,3.0246,2.8601,2.7546,2.6881,2.6567,2.7471,2.8079,2.792,2.7369,65.2137,67.2196,68.8854,65.3481,0.010304540828814268,0.005152718119037833,0.009832144345877983,0.017981839755179856,,
2000-01-28,3.252,3.252,3.17,3.203,198282.0,3.1947,3.1896,3.2321,3.0589,2.8824,2.7736,2.7042,2.6676,2.7478,2.8119,2.7958,2.7434,50.8756,64.5197,67.2148,64.5749,-0.004982881689649998,0.007765605010473244,0.009832144345877982,0.01801943619734984,,
2000-01-31,3.186,3.235,3.186,3.219,275392.0,3.2153,3.1994,3.2174,3.0932,2.9059,2.794,2.7202,2.6787,2.7486,2.816,2.7995,2.7498,63.0587,66.0536,68.0493,65.0033,0.004982881689649998,0.007760388553241636,0.005790751748961261,0.013264985951972176,0.029407845309932935,
2000-02-01,3.186,3.235,3.186,3.219,275392.0,3.2153,3.1994,3.2174,3.0932,2.9059,2.794,2.7202,2.6787,2.7486,2.816,2.7995,2.7498,63.0587,66.0536,68.0493,65.0033,0.0,0.004982881689650117,0.005790751748961261,0.013338411119078528,0.029407845309932935,
2000-02-02,3.268,3.333,3.252,3.284,294976.0,3.2864,3.2223,3.2109,3.1292,2.9309,2.8161,2.7377,2.6913,2.7501,2.8217,2.8039,2.7567,85.1523,71.5822,71.2063,66.671,0.01999143927351077,0.010406276590817595,0.009642745248542688,0.010095051895902526,0.029129842285806066,
2000-02-03,3.333,3.333,3.268,3.284,248465.0,3.2946,3.2419,3.2158,3.1561,2.9565,2.8402,2.7551,2.7038,2.7514,2.8258,2.8082,2.7635,85.1523,71.5822,71.2063,66.671,0.0,0.01154206284604955,0.009609686977826997,0.009301100682026858,0.029129107244025284,
2000-02-04,3.333,3.333,3.268,3.284,248465.0,3.2946,3.2419,3.2158,3.1561,2.9565,2.8402,2.7551,2.7038,2.7514,2.8258,2.8082,2.7635,85.1523,71.5822,71.2063,66.671,0.0,0.01154206284604955,0.008656549726151312,0.00928661558658006,0.029129107244025284,
2000-02-07,3.333,3.333,3.268,3.284,248465.0,3.2946,3.2419,3.2158,3.1561,2.9565,2.8402,2.7551,2.7038,2.7514,2.8258,2.8082,2.7635,85.1523,71.5822,71.2063,66.671,0.0,1.1044127145438849e-09,0.008940443436725783,0.007118221569230061,0.029129107244025284,
2000-02-08,3.284,3.399,3.284,3.399,1487118.0,3.3548,3.2779,3.2354,3.1888,2.9848,2.8643,2.7744,2.7182,2.7537,2.8288,2.8129,2.7709,95.5744,79.1156,76.016,69.4017,0.03441907912379727,0.019871864597383413,0.015749839280957162,0.01192112057969135,0.02290056571178864,
2000-02-09,3.431,3.562,3.399,3.546,1933865.0,3.5082,3.3465,3.2681,3.2305,3.0181,2.8896,2.7965,2.7354,2.7576,2.8318,2.8185,2.7778,98.1197,84.904,80.5212,72.4084,0.04233893693803714,0.022509193442425125,0.021206720531611763,0.01628462876145949,0.0178265231421221,
2000-02-10,3.448,3.546,3.431,3.513,970605.0,3.4756,3.4053,3.3024,3.2681,3.0497,2.917,2.8179,2.7531,2.7612,2.8337,2.8242,2.7846,82.335,79.4022,77.0572,70.8089,-0.00934983436832626,0.027839333730174866,0.023215864186173617,0.0174805430918148,0.017971501356042474,
2000-02-11,3.497,3.513,3.431,3.464,724588.0,3.4566,3.4413,3.3318,3.2901,3.0796,2.9423,2.8383,2.7697,2.7651,2.835,2.8302,2.7913,60.4532,71.5753,72.0502,68.4621,-0.014046382583501327,0.03128655435871506,0.02594456847935219,0.018477646671100467,0.01839965175290695,
2000-02-14,3.415,3.464,3.366,3.366,1055058.0,3.4041,3.4576,3.3498,3.295,3.1074,2.9654,2.8576,2.7847,2.7684,2.8368,2.8354,2.7975,33.6356,58.5824,63.2046,64.0689,-0.028698894931574292,0.010092404965518548,0.03147996845996338,0.021822165160878985,0.01816344330235165,
2000-02-15,3.595,3.922,3.48,3.48,2261888.0,3.5598,3.474,3.3759,3.3065,3.1417,2.9891,2.8788,2.8028,2.773,2.8386,2.8413,2.8036,62.6393,66.5516,68.1218,66.6516,0.0333071980177686,0.032408366401064696,0.031222474757685838,0.023539169046629078,0.019577774342898698,
2000-02-16,3.48,3.513,3.415,3.431,758859.0,3.4444,3.4511,3.3988,3.3155,3.1722,3.0115,2.8986,2.8199,2.7756,2.8399,2.8466,2.8092,48.9006,60.9018,64.1642,64.5931,-0.01418052991007035,0.03243101085249692,0.023459646459493288,0.02404696707530931,0.018010006793115207,
2000-02-17,3.431,3.464,3.431,3.448,394117.0,3.4473,3.438,3.4217,3.3195,3.2027,3.0348,2.9195,2.8371,2.78,2.8414,2.8521,2.8149,53.9506,62.1081,64.8963,64.9662,0.004942588925133995,0.023893266229601796,0.0239063523951956,0.023997706199274094,0.017755392270900672,
2000-02-18,3.448,3.513,3.382,3.431,1075866.0,3.4316,3.4315,3.4364,3.3236,3.2316,3.0573,2.9401,2.8541,2.7832,2.8431,2.8575,2.8208,46.9854,60.0247,63.4993,64.2657,-0.004942588925133995,0.009563384763059814,0.023262718585275854,0.024159580570896608,0.01785564427712797,
2000-02-21,3.415,3.431,3.382,3.399,569144.0,3.3956,3.438,3.4478,3.3318,3.2534,3.0793,2.9617,2.8706,2.787,2.844,2.8621,2.8258,33.868,55.8121,60.6856,62.8632,-0.009370493162333515,0.007327885050815896,0.018895004571866256,0.02452721732118865,0.017577381929355086,
2000-02-22,3.399,3.415,3.284,3.301,749067.0,3.3116,3.4021,3.438,3.3367,3.2719,3.0981,2.979,2.885,2.7901,2.8449,2.8662,2.8301,15.0104,45.1241,53.086,58.8757,-0.02925581784292297,0.012949681939434425,0.012608948502635069,0.02384758638759117,0.019039417408194453,
2000-02-23,3.333,3.333,3.203,3.252,487138.0,3.2608,3.3661,3.4086,3.3383,3.2899,3.1157,2.9934,2.8985,2.7932,2.8453,2.8704,2.8338,10.5886,40.7361,49.7325,57.0054,-0.014955261185491953,0.010256068871952132,0.01266915794132689,0.017906983138467794,0.019394475999804428,
2000-02-24,3.203,3.268,3.186,3.219,380653.0,3.2312,3.3204,3.3792,3.3408,3.3051,3.132,3.0094,2.9114,2.7968,2.8451,2.8746,2.8369,8.1792,37.967,47.5748,55.7833,-0.010199439368893115,0.009918579555637875,0.00937069838504958,0.017912660695343002,0.01942005738619256,
2000-02-25,3.203,3.252,3.186,3.203,235001.0,3.2236,3.2746,3.353,3.3424,3.3111,3.148,3.0244,2.9241,2.8007,2.8447,2.8788,2.84,6.9868,36.5688,46.4888,55.1715,-0.004982881689649998,0.004987963311499692,0.009361248945823023,0.017843497317371573,0.01942005738619256,
2000-02-28,3.186,3.235,3.17,3.203,343934.0,3.2007,3.2354,3.3367,3.3432,3.3089,3.1647,3.0396,2.9374,2.8045,2.8455,2.8828,2.8433,6.9868,36.5688,46.4888,55.1715,0.0,0.0051001658043905995,0.011212773891631934,0.016361052523796767,0.01938469741472372,
2000-02-29,3.235,3.235,3.186,3.203,569144.0,3.2028,3.2158,3.3089,3.3424,3.3073,3.1835,3.053,2.9505,2.8082,2.8463,2.8868,2.8471,6.9868,36.5688,46.4888,55.1715,0.0,0.0028768680848596235,0.0065357237127165015,0.00976498618099309,0.01938469741472372,
2000-03-01,3.219,3.268,3.186,3.219,272944.0,3.2423,3.2092,3.2877,3.3432,3.3062,3.2011,3.0668,2.9635,2.8125,2.847,2.8908,2.8506,37.6594,39.7292,47.9722,55.7093,0.004982881689649998,0.002876868084859622,0.0057637025994120425,0.010344683375232686,0.018842831140417474,
2000-03-02,3.219,3.219,3.072,3.088,434508.0,3.1164,3.1831,3.2517,3.3367,3.2969,3.215,3.0782,2.9749,2.8151,2.8466,2.8941,2.8532,7.5969,27.4294,38.7237,50.6782,-0.041547120154141304,0.025547450540184143,0.018911562431143933,0.014359220172104078,0.020904280325773485,
2000-03-03,3.121,3.186,3.056,3.186,190939.0,3.1182,3.1798,3.2272,3.3318,3.2915,3.2305,3.0913,2.988,2.8179,2.847,2.8975,2.8567,51.317,42.4599,46.9797,53.9078,0.031242579325327036,0.036862250658841855,0.026083649355182082,0.019648157077637025,0.02226910290542381,
2000-03-06,3.186,3.219,3.137,3.219,216642.0,3.1641,3.1831,3.2092,3.3285,3.2909,3.2423,3.1053,3.0029,2.8212,2.8476,2.9011,2.8602,60.6307,46.6068,49.4258,54.9255,0.010304540828814268,0.03747296036940976,0.02659092328991767,0.020400557085418377,0.02242465623750381,
2000-03-07,3.17,3.186,3.121,3.154,197058.0,3.148,3.1733,3.1945,3.3163,3.2893,3.2525,3.1174,3.0149,2.8231,2.8474,2.9033,2.8632,38.5216,40.1037,44.9584,52.5259,-0.02039926377582435,0.025974362463030153,0.02829254152112368,0.019420509588527153,0.021183476184183276,
