Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,1.294,1.526,1.294,1.526,4407296.0,1.4453,1.2964,1.2708,1.1791,1.1394,1.1225,1.1044,1.0811,1.0555,1.0727,0.9709,0.9408,98.3266,90.6673,85.6486,78.3145,,,,,,
2000-01-04,1.563,1.648,1.538,1.563,3518464.0,1.6015,1.3647,1.3013,1.202,1.156,1.1349,1.1164,1.0907,1.0594,1.0768,0.9759,0.9454,98.5904,91.4914,86.6623,79.3213,0.023957118577074277,,,,,
2000-01-05,1.44,1.55,1.44,1.501,1077248.0,1.4827,1.4209,1.3269,1.2212,1.1711,1.1456,1.1257,1.0994,1.0628,1.0801,0.9805,0.9495,70.719,78.496,76.9116,73.4425,-0.04047549878801471,,,,,
2000-01-06,1.587,1.587,1.501,1.514,655360.0,1.5257,1.4746,1.3538,1.241,1.1873,1.1563,1.1357,1.1084,1.0663,1.0837,0.9853,0.9537,73.0082,79.162,77.4579,73.8436,0.008623602363932226,0.03365858145630366,,,,
2000-01-07,1.587,1.587,1.501,1.514,655360.0,1.5257,1.4746,1.3538,1.241,1.1873,1.1563,1.1357,1.1084,1.0663,1.0837,0.9853,0.9537,73.0082,79.162,77.4579,73.8436,0.0,0.026214990157665246,,,,
2000-01-10,1.587,1.587,1.501,1.514,655360.0,1.5257,1.4746,1.3538,1.241,1.1873,1.1563,1.1357,1.1084,1.0663,1.0837,0.9853,0.9537,73.0082,79.162,77.4579,73.8436,0.0,0.004978839146200564,0.02384381757885612,,,
2000-01-11,1.587,1.624,1.563,1.575,1798144.0,1.5894,1.5356,1.3867,1.2653,1.2053,1.1685,1.1466,1.1185,1.0705,1.0873,0.9905,0.9584,82.9849,82.2534,80.0053,75.7388,0.03950011726233932,0.02280540333443339,0.028553426796140445,,,
2000-01-12,1.575,1.575,1.538,1.563,458752.0,1.5536,1.543,1.4197,1.2897,1.2229,1.1804,1.1575,1.1284,1.0747,1.0907,0.9956,0.9629,74.7015,79.5965,78.1043,74.6201,-0.007648220838256836,0.025303887485843717,0.018476118795845653,,,
2000-01-13,1.575,1.587,1.55,1.575,659456.0,1.5648,1.5454,1.4551,1.3132,1.2412,1.1931,1.1683,1.1386,1.079,1.0944,1.0008,0.9674,77.9961,80.3119,78.6506,75.0021,0.007648220838256836,0.024053725350492626,0.018474292780593368,,,
2000-01-14,1.587,1.611,1.563,1.599,1024000.0,1.582,1.5649,1.4929,1.3395,1.2589,1.2065,1.179,1.1491,1.0836,1.0983,1.0062,0.972,84.1776,81.7517,79.7394,75.7569,0.015123161574220778,0.011607409443572756,0.018091567963755363,,,
