Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-02-24,2.8,2.8,2.613,2.613,10500.0,2.6895,2.6027,2.604,2.5173,2.4138,2.3227,2.2725,2.2471,2.3093,2.2871,2.1614,2.0984,59.6701,59.5456,60.3759,58.8743,,,,,,
2000-02-25,2.667,2.667,2.56,2.56,4500.0,2.6267,2.584,2.592,2.5253,2.428,2.3363,2.2824,2.2553,2.3129,2.2923,2.1654,2.1043,39.3367,53.242,56.3127,56.9067,-0.020491728047004276,,,,,
2000-02-28,2.667,2.667,2.56,2.56,4500.0,2.6267,2.584,2.592,2.5253,2.428,2.3363,2.2824,2.2553,2.3129,2.2923,2.1654,2.1043,39.3367,53.242,56.3127,56.9067,0.0,,,,,
2000-02-29,2.533,2.533,2.507,2.507,9000.0,2.52,2.5547,2.584,2.534,2.436,2.3473,2.2912,2.2616,2.316,2.2966,2.1695,2.11,26.031,47.576,52.5072,55.0051,-0.02092043931531473,0.011956584607443466,,,,
2000-03-01,2.52,2.547,2.52,2.52,6000.0,2.53,2.552,2.5813,2.5393,2.4444,2.3603,2.2981,2.268,2.3191,2.3003,2.1739,2.1156,34.3574,49.0994,53.3558,55.3907,0.005172082347175477,0.013815660821806844,,,,
2000-03-02,2.493,2.507,2.493,2.493,6000.0,2.4967,2.5387,2.576,2.5407,2.4542,2.371,2.3067,2.274,2.3213,2.3033,2.1778,2.121,25.684,46.086,51.3784,54.4258,-0.010772096981911061,0.013153107321729115,0.011814558365285738,,,
2000-03-03,2.493,2.493,2.467,2.493,6000.0,2.4867,2.5147,2.5587,2.542,2.4684,2.3833,2.3152,2.28,2.3224,2.3069,2.1816,2.1265,25.684,46.086,51.3784,54.4258,0.0,0.008134344510282025,0.010485542365515485,,,
2000-03-06,2.493,2.493,2.467,2.493,6000.0,2.4867,2.5147,2.5587,2.542,2.4684,2.3833,2.3152,2.28,2.3224,2.3069,2.1816,2.1265,25.684,46.086,51.3784,54.4258,0.0,0.006219273092243105,0.010485542365515485,,,
2000-03-07,2.533,2.533,2.493,2.493,4500.0,2.52,2.5013,2.5427,2.5493,2.4791,2.3957,2.3237,2.286,2.3235,2.3108,2.1857,2.132,25.684,46.086,51.3784,54.4258,0.0,0.0,0.005842013274801147,,,
2000-03-08,2.4,2.4,2.373,2.373,6000.0,2.3867,2.4747,2.5147,2.5507,2.484,2.4047,2.3299,2.29,2.3225,2.3133,2.1889,2.137,5.3132,33.0784,42.5214,50.0802,-0.04933182708779427,0.02848174364875409,0.021372709815863016,,,
2000-03-09,2.373,2.373,2.373,2.373,4500.0,2.3733,2.4453,2.4987,2.5493,2.4898,2.4107,2.336,2.2942,2.3216,2.3159,2.192,2.1418,5.3132,33.0784,42.5214,50.0802,0.0,0.02848174364875409,0.022061863764514696,0.01668591076946089,,
2000-03-10,2.373,2.373,2.373,2.373,4500.0,2.3733,2.4453,2.4987,2.5493,2.4898,2.4107,2.336,2.2942,2.3216,2.3159,2.192,2.1418,5.3132,33.0784,42.5214,50.0802,0.0,0.02848174364875409,0.022061863764514696,0.01646115157405137,,
2000-03-13,2.373,2.373,2.373,2.373,4500.0,2.3733,2.4453,2.4987,2.5493,2.4898,2.4107,2.336,2.2942,2.3216,2.3159,2.192,2.1418,5.3132,33.0784,42.5214,50.0802,0.0,0.0,0.022061863764514696,0.01646115157405137,,
2000-03-14,2.373,2.373,2.373,2.373,4500.0,2.3733,2.4453,2.4987,2.5493,2.4898,2.4107,2.336,2.2942,2.3216,2.3159,2.192,2.1418,5.3132,33.0784,42.5214,50.0802,0.0,0.0,0.022061863764514696,0.015897822875094097,,
2000-03-15,2.373,2.373,2.373,2.373,1500.0,2.3733,2.4213,2.48,2.5413,2.4956,2.4167,2.3421,2.2987,2.3208,2.3181,2.1945,2.1462,5.3132,33.0784,42.5214,50.0802,0.0,0.0,0.0,0.015593513852275743,,
2000-03-16,2.373,2.373,2.373,2.373,1500.0,2.3733,2.4213,2.48,2.5413,2.4956,2.4167,2.3421,2.2987,2.3208,2.3181,2.1945,2.1462,5.3132,33.0784,42.5214,50.0802,0.0,0.0,0.0,0.015600093473502113,,
2000-03-17,2.533,2.533,2.52,2.533,4500.0,2.5289,2.4293,2.472,2.538,2.5022,2.4283,2.3525,2.3058,2.3221,2.3209,2.1978,2.1514,79.2767,56.4264,55.3418,55.3433,0.06524939356591153,0.03767175493973885,0.029180415900803117,0.027214733820489227,,
2000-03-20,2.533,2.533,2.52,2.533,4500.0,2.5289,2.4293,2.472,2.538,2.5022,2.4283,2.3525,2.3058,2.3221,2.3209,2.1978,2.1514,79.2767,56.4264,55.3418,55.3433,0.0,0.03767175493973885,0.029180415900803117,0.027214733820489227,,
2000-03-21,2.533,2.533,2.52,2.533,4500.0,2.5289,2.4293,2.472,2.538,2.5022,2.4283,2.3525,2.3058,2.3221,2.3209,2.1978,2.1514,79.2767,56.4264,55.3418,55.3433,0.0,0.03767175493973885,0.029180415900803117,0.027214733820489227,,
2000-03-22,2.533,2.533,2.52,2.533,4500.0,2.5289,2.4293,2.472,2.538,2.5022,2.4283,2.3525,2.3058,2.3221,2.3209,2.1978,2.1514,79.2767,56.4264,55.3418,55.3433,0.0,4.656612873077393e-10,0.029180415900803117,0.020633669961301643,,
2000-03-23,2.533,2.533,2.52,2.533,4500.0,2.5289,2.4293,2.472,2.538,2.5022,2.4283,2.3525,2.3058,2.3221,2.3209,2.1978,2.1514,79.2767,56.4264,55.3418,55.3433,0.0,4.656612873077393e-10,0.029180415900803117,0.020633669961301643,0.020056673620305263,
2000-03-24,2.533,2.533,2.533,2.533,6000.0,2.5333,2.4373,2.4693,2.5307,2.5067,2.4383,2.3629,2.3136,2.3235,2.3226,2.2015,2.1565,79.2767,56.4264,55.3418,55.3433,0.0,4.656612873077393e-10,0.0,0.020633669961301643,0.019555514437972887,
2000-03-27,2.533,2.533,2.533,2.533,6000.0,2.5333,2.4373,2.4693,2.5307,2.5067,2.4383,2.3629,2.3136,2.3235,2.3226,2.2015,2.1565,79.2767,56.4264,55.3418,55.3433,0.0,4.656612873077393e-10,0.0,0.020633669961301643,0.019555514437972887,
