Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-24,2.315,2.315,2.315,2.315,2938.0,2.3145,2.2907,2.2498,2.1213,1.9997,1.9213,1.8763,1.8463,1.8713,1.8371,1.7641,1.7054,72.172,70.7444,69.2617,62.3044,,,,,,
2000-01-25,2.246,2.246,2.212,2.212,8814.0,2.2237,2.2669,2.2669,2.1392,2.0127,1.9341,1.8852,1.8534,1.8774,1.8415,1.7684,1.7117,30.0454,55.6458,59.0805,58.1843,-0.04551260387810885,,,,,
2000-01-26,2.212,2.28,2.212,2.212,26442.0,2.22,2.26,2.2617,2.1545,2.028,1.9477,1.8961,1.8605,1.8828,1.8462,1.7722,1.7179,30.0454,55.6458,59.0805,58.1843,0.0,,,,,
2000-01-27,2.212,2.212,2.178,2.178,29380.0,2.1852,2.2396,2.2549,2.1639,2.0433,1.9606,1.9061,1.8662,1.8885,1.8505,1.7752,1.7233,20.8971,51.0494,55.9037,56.8435,-0.01549005914931978,0.023139764606290525,,,,
2000-01-28,2.195,2.195,2.195,2.195,2938.0,2.1954,2.2226,2.2532,2.1724,2.0598,1.974,1.9165,1.8763,1.8941,1.855,1.778,1.7288,35.6029,53.2228,57.1445,57.3518,0.007775022016365929,0.011843823294938337,,,,
2000-01-31,2.212,2.212,2.161,2.178,35256.0,2.1925,2.1954,2.243,2.1826,2.074,1.9862,1.9274,1.8859,1.8997,1.8596,1.7806,1.7343,27.8395,50.6908,55.4638,56.6614,-0.007775022016365929,0.011850384445442407,0.02054249254373372,,,
2000-02-01,2.212,2.212,2.161,2.178,35256.0,2.1925,2.1954,2.243,2.1826,2.074,1.9862,1.9274,1.8859,1.8997,1.8596,1.7806,1.7343,27.8395,50.6908,55.4638,56.6614,0.0,0.007775022016365929,0.008843860591810143,,,
2000-02-02,2.212,2.229,2.161,2.212,108706.0,2.1926,2.1954,2.2311,2.1911,2.0904,1.9995,1.9397,1.8978,1.9053,1.8641,1.7844,1.7399,56.3764,55.4585,58.117,57.7146,0.01549005914931978,0.011843823294938337,0.012255466123416117,,,
2000-02-03,2.28,2.332,2.28,2.315,52884.0,2.3088,2.2158,2.2379,2.2039,2.1091,2.0148,1.9533,1.9081,1.9121,1.8691,1.7891,1.7461,84.3057,66.4176,64.8772,60.6802,0.04551260387810885,0.023139764606290525,0.02054249254373372,,,
2000-02-04,2.28,2.332,2.28,2.315,52884.0,2.3088,2.2158,2.2379,2.2039,2.1091,2.0148,1.9533,1.9081,1.9121,1.8691,1.7891,1.7461,84.3057,66.4176,64.8772,60.6802,0.0,0.023139764606290525,0.02124354995080587,,,
