Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.627,2.829,2.598,2.829,4418637.0,2.7577,2.6382,2.6324,2.5408,2.4727,2.4134,2.3977,2.3714,2.1556,2.1682,2.156,2.0479,93.973,80.5882,76.1404,68.405,,,,,,
2000-01-04,2.829,2.829,2.713,2.757,1898552.0,2.796,2.6728,2.6468,2.5624,2.4876,2.4278,2.4064,2.3794,2.1686,2.1701,2.1647,2.0571,66.5037,68.7149,68.2851,64.6687,-0.025780160277770525,,,,,
2000-01-05,2.684,2.742,2.641,2.699,2602541.0,2.6887,2.6959,2.6497,2.5805,2.5001,2.4415,2.413,2.3868,2.1771,2.172,2.1727,2.0661,49.2338,60.6701,62.7112,61.872,-0.021261798005792087,,,,,
2000-01-06,2.713,2.814,2.713,2.757,1651879.0,2.7715,2.7334,2.6613,2.5992,2.5136,2.456,2.4214,2.3952,2.1852,2.1746,2.181,2.0753,63.4651,65.2473,65.7242,63.5048,0.021261798005792087,0.025953861801697578,,,,
2000-01-07,2.713,2.814,2.713,2.757,1651879.0,2.7715,2.7334,2.6613,2.5992,2.5136,2.456,2.4214,2.3952,2.1852,2.1746,2.181,2.0753,63.4651,65.2473,65.7242,63.5048,0.0,0.021261798005792084,,,,
2000-01-10,2.713,2.814,2.713,2.757,1651879.0,2.7715,2.7334,2.6613,2.5992,2.5136,2.456,2.4214,2.3952,2.1852,2.1746,2.181,2.0753,63.4651,65.2473,65.7242,63.5048,0.0,0.012275504802099503,0.018946117280568588,,,
2000-01-11,2.757,3.031,2.757,2.973,5220325.0,2.9237,2.8027,2.6959,2.6266,2.5352,2.4755,2.4335,2.4065,2.1957,2.1792,2.19,2.0854,85.8219,76.6915,74.1573,68.7037,0.07542841197430095,0.04354861395790864,0.036931302357384115,,,
2000-01-12,2.973,3.319,2.944,3.262,10649214.0,3.1826,2.8893,2.7637,2.667,2.5679,2.5014,2.4514,2.4236,2.2104,2.1862,2.2004,2.097,93.6245,84.3981,80.9037,73.8433,0.09276896018286163,0.0493224423539421,0.043498948059252696,,,
2000-01-13,3.262,3.695,3.262,3.637,29898731.0,3.559,3.0654,2.8691,2.7204,2.6108,2.5368,2.4763,2.447,2.228,2.1963,2.2125,2.1103,96.9247,89.4834,86.0149,78.5751,0.10881866180602984,0.016699283009515776,0.051936138307276024,,,
2000-01-14,3.637,3.723,3.608,3.695,9204513.0,3.676,3.2645,2.9802,2.7803,2.6555,2.5696,2.5028,2.4725,2.2471,2.2063,2.2248,2.1236,97.2529,90.045,86.6088,79.1746,0.015821388395313107,0.04971085493132638,0.048053594058275,,,
