Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-10-05,2.0,2.0,1.99,2.0,14000.0,1.9986,1.984,2.022,2.092,2.1513,2.202,2.2134,2.21,2.2062,2.2692,2.3977,2.378,55.4962,34.1851,34.3476,39.2972,,,,,,
2000-10-06,2.0,2.0,2.0,2.0,70000.0,2.0,1.978,2.014,2.085,2.1383,2.194,2.2094,2.2072,2.1999,2.2649,2.3969,2.3749,55.4962,34.1851,34.3476,39.2972,0.0,,,,,
2000-10-09,1.98,1.99,1.94,1.99,51000.0,1.9578,1.986,2.002,2.079,2.1263,2.1868,2.2052,2.2042,2.1933,2.2597,2.3957,2.3724,42.0764,32.4657,33.3258,38.8178,-0.00501254182354427,,,,,
2000-10-10,1.99,1.99,1.99,1.99,2000.0,1.99,1.992,1.997,2.0725,2.116,2.1795,2.201,2.2008,2.1869,2.2539,2.3939,2.3698,42.0764,32.4657,33.3258,38.8178,0.0,0.0028939923711475417,,,,
2000-10-11,2.0,2.01,1.98,1.98,69000.0,1.9913,1.992,1.991,2.0615,2.1053,2.1715,2.1962,2.1982,2.1804,2.2488,2.3921,2.3675,27.2502,30.5228,32.2144,38.3175,-0.005037794029957188,0.002901309528901892,,,,
2000-10-12,1.95,2.05,1.94,2.05,104000.0,1.9567,2.002,1.993,2.0525,2.0967,2.1645,2.1926,2.1963,2.1759,2.2441,2.3912,2.3662,84.5208,52.778,45.8325,43.5826,0.034742948443872934,0.02166009890340253,0.01684957260205011,,,
2000-10-13,2.03,2.1,2.03,2.06,136000.0,2.0849,2.014,1.996,2.045,2.0897,2.156,2.1884,2.1945,2.1721,2.24,2.3902,2.3656,86.7551,55.09,47.4565,44.2854,0.004866189651173025,0.020709164961768563,0.016632142484695873,,,
2000-10-16,2.06,2.08,2.05,2.06,164000.0,2.0579,2.028,2.007,2.04,2.085,2.1475,2.1836,2.1913,2.1685,2.2356,2.3892,2.3649,86.7551,55.09,47.4565,44.2854,0.0,0.018812110391323134,0.015945971833740007,,,
2000-10-17,2.07,2.21,2.07,2.2,249000.0,2.1875,2.07,2.031,2.0425,2.0847,2.1428,2.1814,2.1908,2.167,2.2327,2.3893,2.3652,97.6121,75.952,64.6598,53.0484,0.06575137756278049,0.03663770726122712,0.029859862664711776,,,
2000-10-18,2.18,2.18,2.16,2.17,106000.0,2.1699,2.108,2.05,2.0435,2.0837,2.1368,2.1782,2.1898,2.1648,2.2298,2.3894,2.3655,77.2566,68.3031,60.1175,51.2611,-0.013730192811902131,0.04248349066653411,0.031871973979424525,,,
