Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.147,2.147,2.135,2.147,53651.0,2.1401,2.0828,2.0613,1.9754,1.9337,1.9286,1.9268,1.9329,1.9422,1.9338,1.8027,1.7885,90.8189,77.7182,68.7278,64.0055,,,,,,
2000-01-04,2.147,2.147,2.147,2.147,5030.0,2.1472,2.1067,2.0733,1.9904,1.9409,1.9334,1.9306,1.9365,1.9409,1.9378,1.8054,1.7905,90.8189,77.7182,68.7278,64.0055,0.0,,,,,
2000-01-05,1.73,2.04,1.73,2.04,8383.0,1.9134,2.1019,2.0756,1.9993,1.9472,1.9352,1.9327,1.9381,1.938,1.9409,1.8081,1.792,25.6488,52.172,53.2618,56.1698,-0.05112171104051888,,,,,
2000-01-06,1.73,2.04,1.73,2.04,8383.0,1.9134,2.1019,2.0756,1.9993,1.9472,1.9352,1.9327,1.9381,1.938,1.9409,1.8081,1.792,25.6488,52.172,53.2618,56.1698,0.0,0.02951513363067784,,,,
2000-01-07,1.73,2.04,1.73,2.04,8383.0,1.9134,2.1019,2.0756,1.9993,1.9472,1.9352,1.9327,1.9381,1.938,1.9409,1.8081,1.792,25.6488,52.172,53.2618,56.1698,0.0,0.02951513363067784,,,,
2000-01-10,1.73,2.04,1.73,2.04,8383.0,1.9134,2.1019,2.0756,1.9993,1.9472,1.9352,1.9327,1.9381,1.938,1.9409,1.8081,1.792,25.6488,52.172,53.2618,56.1698,0.0,0.0,0.022862324202540342,,,
2000-01-11,2.1,2.171,2.1,2.171,11736.0,2.1455,2.1234,2.09,2.0124,1.9579,1.9417,1.9373,1.9418,1.9372,1.9448,1.8114,1.7945,67.8907,67.0599,63.9421,62.0448,0.062238083040029646,0.0359331739970074,0.04019419602045062,,,
2000-01-12,2.171,2.267,2.159,2.267,41915.0,2.2107,2.1544,2.109,2.0303,1.9719,1.9507,1.944,1.9472,1.9377,1.9497,1.8148,1.7978,80.1769,73.7462,69.4158,65.5217,0.04326948062923719,0.03189993420014185,0.029662508896486986,,,
2000-01-13,2.302,2.338,2.29,2.29,110655.0,2.3169,2.183,2.1329,2.0494,1.9878,1.9608,1.9525,1.9522,1.9385,1.9546,1.8188,1.8017,82.6644,75.1641,70.6168,66.3197,0.010094446040756377,0.02639239056015199,0.02817339101657821,,,
2000-01-14,2.326,2.338,2.255,2.255,110655.0,2.3122,2.2045,2.1556,2.0727,2.0017,1.9701,1.9607,1.9566,1.9387,1.9589,1.8226,1.8046,64.4638,68.8861,66.4047,64.0206,-0.015401844611506621,0.02941929118361146,0.0319254090638409,,,
