Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2013-08-13,3.0,3.03,3.0,3.03,1546400.0,3.0111,3.02,3.018,3.02,3.016,3.016,3.0218,3.0415,3.0006,2.9624,2.9330000000000003,2.9148,64.288,54.2739,52.1349,51.0975,,,,,,
2013-08-14,3.03,3.03,3.0,3.02,1283500.0,3.0143,3.02,3.018,3.0195,3.0157,3.0155,3.0192,3.0393,3.0022,2.9648,2.9348,2.9149,51.033,50.7643,50.2283,50.3905,-0.0033057881344993323,,,,,
2013-08-15,3.0,3.01,2.99,3.0,1515600.0,3.0,3.014,3.014,3.0175,3.014,3.0135,3.0162,3.037,3.0032,2.967,2.9367,2.9149,31.5301,44.3163,46.5609,48.988,-0.006644542718668545,,,,,
2013-08-16,3.0,3.0,2.98,2.98,761900.0,2.9891,3.006,3.012,3.015,3.014,3.0123,3.0128,3.0342,3.004,2.9693,2.9386,2.9160000000000004,20.0415,38.7755,43.1667,47.6171,-0.006688988150796771,0.0019405883953079362,,,,
2013-08-19,2.95,2.99,2.94,2.95,2264100.0,2.955,2.9960000000000004,3.007,3.0105,3.013,3.0115,3.0114,3.0307,3.0045,2.9713,2.9402,2.9171,11.0128,32.0198,38.6189,45.6353,-0.010118130165584605,0.0019927702704774686,,,,
2013-08-20,2.94,3.0,2.87,3.0,3664600.0,2.9318,2.99,3.005,3.0085,3.0117,3.012,3.0118,3.03,3.0055,2.9739,2.9419,2.9177,58.1482,48.7589,48.3801,49.2751,0.016807118316381375,0.014656028565577631,0.010780476716534407,,,
2013-08-21,2.99,2.99,2.93,2.95,1102900.0,2.9622,2.9760000000000004,2.998,3.006,3.0107,3.0093,3.0106,3.0273,3.006,2.9759,2.9435,2.9181,32.403,38.182,41.3061,46.0834,-0.016807118316381375,0.01779339049900496,0.012710541290701715,,,
2013-08-22,2.95,2.96,2.88,2.9,2773800.0,2.907,2.9560000000000004,2.985,3.0,3.0087,3.0068,3.0086,3.0235,3.0068,2.9768,2.9444,2.9187,19.4715,30.6919,35.6867,43.1894,-0.017094433359300165,0.01949065870426208,0.013914328796268529,,,
2013-08-23,2.9,2.94,2.89,2.92,2441000.0,2.9128,2.944,2.975,2.995,3.006,3.005,3.0064,3.0198,3.0078,2.9778,2.9446,2.9195,35.0289,36.3138,39.247,44.6283,0.006872879287762146,0.01375534388270103,0.015199100144876432,,,
2013-08-26,2.89,2.92,2.87,2.91,915600.0,2.9079,2.9360000000000004,2.966,2.991,3.0023,3.0035,3.005,3.0158,3.0083,2.9786,2.9448,2.9205,30.5957,34.7292,38.111,44.0512,-0.0034305350967891446,0.012022856976263058,0.014823184855992485,,,
2013-08-27,2.86,2.9,2.83,2.83,2008100.0,2.8585,2.902,2.946,2.982,2.9953,2.9985,3.002,3.0092,3.0077,2.9787,2.9444,2.9211,12.1476,24.9362,30.5039,39.7927,-0.027876369528254896,0.01784782648908954,0.013510995408551411,0.012601480976707779,,
2013-08-28,2.81,2.9,2.75,2.9,2414600.0,2.843,2.892,2.934,2.9760000000000004,2.991,2.9953,2.9992,3.005,3.0082,2.9794,2.9444,2.9221,50.9586,41.2452,41.5059,44.6372,0.024434025337281895,0.0261738099386359,0.020413808650724924,0.01604565433898714,,
2013-08-29,2.84,2.91,2.84,2.9,1980700.0,2.8922,2.892,2.924,2.969,2.9863,2.9915,2.9956,3.0008,3.0084,2.9803,2.9441,2.9233,50.9586,41.2452,41.5059,44.6372,0.0,0.02617406790205123,0.018928276552642107,0.016064053442452618,,
