Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2009-02-19,2.2880000000000003,2.384,2.2880000000000003,2.343,4129181.0,2.3427,2.2828,2.246,2.2576,2.3305,2.3598,2.3531,2.412,2.8191,3.0467,3.5182,3.6673,74.4639,57.7711,52.5598,44.8219,,,,,,
2009-02-20,2.234,2.329,2.234,2.261,2183014.0,2.2636,2.2746,2.2556,2.246,2.321,2.356,2.3496,2.4022,2.8011,3.0309,3.503,3.6519,44.8388,49.0869,47.1361,42.6009,-0.035624966229825694,,,,,
2009-02-23,2.261,2.302,2.247,2.261,3718920.0,2.2664,2.2719,2.2542,2.2385,2.3137,2.3509,2.3457,2.3945,2.7792,3.0146,3.4877,3.6375,44.8388,49.0869,47.1361,42.6009,0.0,,,,,
2009-02-24,2.247,2.2880000000000003,2.166,2.193,9459481.0,2.2074,2.2692,2.2515,2.2277,2.3037,2.3448,2.3444,2.3859,2.7595,2.9977,3.4725,3.6239,25.6815,42.3695,42.8615,40.7981,-0.03053672386008166,0.019267935079627155,,,,
2009-02-25,2.234,2.234,2.084,2.138,9194882.0,2.123,2.2392,2.2474,2.2195,2.2919,2.337,2.3447,2.3738,2.7401,2.9809,3.4566,3.6103,16.9773,37.7235,39.7555,39.4176,-0.0253996568328978,0.016350451211804687,,,,
2009-02-26,2.125,2.125,2.07,2.084,7704348.0,2.0903,2.1875,2.2351,2.2106,2.2783,2.3281,2.3427,2.3627,2.7204,2.9639,3.4403,3.5967,11.2552,33.5808,36.8775,38.0845,-0.02558168871173283,0.002914760326569602,0.013754062381903258,,,
2009-02-27,2.07,2.07,2.036,2.057,7788192.0,2.0511,2.1466,2.2106,2.2004,2.2642,2.3186,2.3376,2.3514,2.7004,2.947,3.4243,3.5825,8.9842,31.6272,35.4939,37.4297,-0.01304051322030042,0.007188679168765104,0.012387965370859032,,,
2009-03-02,2.043,2.043,1.818,1.832,23612435.0,1.8725,2.0608,2.1664,2.1803,2.2431,2.3031,2.3274,2.3367,2.6792,2.9279,3.4073,3.5671,2.5691,20.5376,26.6204,32.6404,-0.11584034441888158,0.056082842455343535,0.04173594238953219,,,
2009-03-03,1.784,1.893,1.75,1.873,24490809.0,1.8296,1.9968,2.133,2.1657,2.2233,2.2886,2.3174,2.3241,2.6588,2.9081,3.3906,3.552,18.45,25.8553,30.0448,34.2234,0.022133157210012855,0.0716957455010821,0.050997039139613405,,,
2009-03-04,1.873,1.9,1.784,1.798,10151227.0,1.8286,1.9287,2.084,2.1527,2.2047,2.2719,2.306,2.3112,2.6387,2.8873,3.3739,3.5364,12.7396,22.7195,27.5101,32.7631,-0.040866487412522856,0.06907329634612092,0.05100011590177305,,,
2009-03-05,1.812,1.832,1.784,1.791,9019560.0,1.7985,1.8701,2.0288,2.1374,2.1813,2.2551,2.2936,2.299,2.6184,2.8667,3.3574,3.5207,12.2237,22.4411,27.2847,32.6322,-0.003900812970853873,0.031657500198403486,0.05285083743244614,0.036587314432258204,,
2009-03-06,1.771,1.777,1.689,1.703,8536763.0,1.722,1.7993,1.9729,2.1143,2.155,2.234,2.2794,2.2868,2.5994,2.846,3.3404,3.5035,6.8301,19.031,24.4776,30.9677,-0.050382721398023356,0.02455465878140039,0.0524384346552978,0.03727112011843841,,
2009-03-09,1.771,1.777,1.689,1.703,8536763.0,1.722,1.7993,1.9729,2.1143,2.155,2.234,2.2794,2.2868,2.5994,2.846,3.3404,3.5035,6.8301,19.031,24.4776,30.9677,0.0,0.028030348934491776,0.030196394223723944,0.03727112011843841,,
2009-03-10,1.689,1.743,1.634,1.737,12416469.0,1.703,1.7802,1.9205,2.0874,2.1325,2.2154,2.2648,2.2749,2.5817,2.8259,3.3235,3.4865,25.7351,24.0264,27.5644,32.3408,0.019768085578416583,0.03617165451554612,0.02948726291568861,0.04022007700670222,,
2009-03-11,1.777,1.832,1.669,1.703,15290347.0,1.7723,1.7462,1.8715,2.0615,2.1089,2.1956,2.2501,2.2656,2.5648,2.8052,3.3067,3.4693,19.73,22.467,26.4022,31.6888,-0.019768085578416583,0.019768085578416538,0.026200424383300603,0.040227009654679145,,
2009-03-12,1.703,1.703,1.614,1.614,3464159.0,1.6497,1.7094,1.819,2.0332,2.086,2.1737,2.2334,2.2571,2.5469,2.7837,3.2892,3.4518,10.3297,18.8824,23.6145,30.0587,-0.05367583183279423,0.036757885980422435,0.03176252293657681,0.04141052867211618,,
2009-03-13,1.641,1.669,1.621,1.662,5072603.0,1.6463,1.6835,1.7768,2.006,2.066,2.1529,2.2178,2.2484,2.5304,2.7624,3.2712,3.4347,35.2479,26.0315,28.0216,32.007,0.02930612658549936,0.04172133542624544,0.03317650481323687,0.04485469564375143,,
2009-03-16,1.662,1.662,1.526,1.5530000000000002,5231480.0,1.5758,1.6535,1.7264,1.9685,2.0424,2.1298,2.2001,2.2357,2.5112,2.7398,3.2533,3.4175,18.0503,21.222,24.5369,30.0291,-0.06783315226670633,0.05247614480366364,0.04307714461564174,0.03512938099515568,,
2009-03-17,1.539,1.546,1.4509999999999998,1.485,27243547.0,1.4876,1.6031,1.6917,1.929,2.0174,2.1052,2.1808,2.2214,2.4886,2.7167,3.2351,3.4,12.3852,18.7821,22.6417,28.8754,-0.04477377191188714,0.0507536630527917,0.03815418472174129,0.03327152957373964,,
2009-03-18,1.491,1.491,1.464,1.471,10695548.0,1.4755,1.5568,1.6515,1.8922,1.9943,2.0804,2.1612,2.2064,2.4672,2.6941,3.2177,3.3824,11.3194,18.3085,22.2712,28.6477,-0.009472330635362458,0.02939362822119129,0.03919896887389016,0.03289973347387938,,
2009-03-19,1.4780000000000002,1.5730000000000002,1.471,1.526,58242136.0,1.5284,1.5391,1.6243,1.8541,1.9766,2.0596,2.1424,2.1924,2.4484,2.6728,3.1997,3.3651,41.5158,26.6336,27.3895,30.9025,0.03670749124296474,0.04086148135311169,0.045479033861773446,0.03732609087214509,0.036401126011594266,
2009-03-20,1.539,1.628,1.539,1.6,35179750.0,1.5907,1.5269,1.6052,1.817,1.96,2.0373,2.1251,2.1788,2.431,2.652,3.1825,3.3481,65.64399999999999,36.6241,33.8404,33.8747,0.04735369638347037,0.03020793212428612,0.04999122431316507,0.04002476968935445,0.03931166728865377,
2009-03-23,1.614,1.784,1.546,1.777,32436703.0,1.6414,1.5718,1.6127,1.7928,1.9471,2.0194,2.1097,2.1683,2.4147,2.6331,3.1659,3.332,86.0495,53.4718,46.0426,40.1678,0.10492291992677855,0.03669900519494043,0.05714495012854874,0.05336973587036791,0.047820600411740535,
2009-03-24,1.614,1.784,1.546,1.777,32436703.0,1.6414,1.5718,1.6127,1.7928,1.9471,2.0194,2.1097,2.1683,2.4147,2.6331,3.1659,3.332,86.0495,53.4718,46.0426,40.1678,0.0,0.05254427844925721,0.04539675384241742,0.05309663216021928,0.04768638840493432,
2009-03-25,1.546,1.648,1.526,1.56,39218626.0,1.5811,1.5868,1.595,1.7577,1.9232,1.9981,2.0913,2.1532,2.3965,2.6089,3.1481,3.3147,41.0442,39.0852,36.9981,35.8267,-0.13024072791106844,0.11780874868274785,0.08785089908040232,0.06768205748394503,0.05466091410439649,
2009-03-26,1.5659999999999998,1.628,1.5530000000000002,1.628,15846415.0,1.6032,1.6181,1.5875,1.7295,1.9035,1.9786,2.074,2.1397,2.3793,2.5879,3.1318,3.2982,52.6522,44.3491,40.9048,37.9931,0.04266644631890276,0.09007401007734546,0.08831334286481528,0.06743626331974886,0.05612612034567545,
2009-03-27,1.628,1.648,1.614,1.621,9915995.0,1.6298,1.6372,1.5882,1.7036,1.8849,1.9615,2.0566,2.1258,2.3622,2.5673,3.1165,3.2813,51.1417,43.9221,40.6335,37.8609,-0.004309024826809449,0.08940766152038017,0.08627927527094997,0.06669468750644132,0.05615439229715782,
2009-03-30,1.607,1.614,1.505,1.505,12487831.0,1.5514,1.6181,1.5725,1.6747,1.8615,1.9426,2.0368,2.1103,2.346,2.5461,3.1016,3.2638,29.5359,37.0921,36.2331,35.6773,-0.07425034455270008,0.05883312428963098,0.0685468383888087,0.06742010320887303,0.05277127293660589,
2009-03-31,1.5119999999999998,1.5659999999999998,1.5119999999999998,1.539,12764617.0,1.5398,1.5705,1.5711,1.6488,1.8361,1.9246,2.018,2.0953,2.3313,2.5251,3.0869,3.2468,40.606,40.1705,38.3478,36.7866,0.02233995665590316,0.04988594108335853,0.07190010877570632,0.06614345216481228,0.05277788540645744,
2009-04-01,1.546,1.641,1.546,1.628,17965996.0,1.6041,1.5841,1.5854,1.6386,1.8145,1.9094,2.0013,2.0816,2.3175,2.5058,3.0738,3.2304,63.1711,47.662,43.5864,39.5886,0.056219412723606366,0.06770014942714976,0.051593889911293316,0.06794171240454959,0.05421726167763491,
2009-04-02,1.648,1.709,1.648,1.696,23866461.0,1.6896,1.5977,1.6079,1.6297,1.7975,1.8977,1.9859,2.069,2.3038,2.4873,3.0613,3.2145,74.3954,52.7787,47.2961,41.6469,0.04092026978936275,0.016966188700388993,0.05131021383514922,0.0681375218447516,0.05518137482871428,
2009-04-03,1.716,1.73,1.641,1.696,15765949.0,1.6857,1.6127,1.6249,1.6246,1.7777,1.8887,1.9727,2.0561,2.2901,2.4696,3.0486,3.199,74.3954,52.7787,47.2961,41.6469,0.0,0.02906646011340169,0.05108360881415006,0.06693131743313499,0.05402920881891563,
