Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,7.55,7.6,7.4,7.55,92000.0,7.5168,7.42,7.2567,6.6483,6.37,5.9517,5.6607,5.4711,5.0737,5.1514,5.0222,4.8584,67.4894,67.8817,69.9555,68.9965,,,,,,
2000-01-04,7.55,7.6,7.3,7.3,57000.0,7.4526,7.39,7.3433,6.7233,6.4222,6.0233,5.7173,5.52,5.0997,5.1631,5.042,4.8766,41.4479,59.8068,64.2975,65.6,-0.03367321510658794,,,,,
2000-01-05,7.05,7.25,7.05,7.25,36000.0,7.1639,7.34,7.455,6.7975,6.4661,6.0938,5.7743,5.5675,5.1272,5.1746,5.0623,4.8947,37.1478,58.2478,63.1965,64.9386,-0.006872879287762146,,,,,
2000-01-06,7.3,7.5,7.15,7.15,28000.0,7.2393,7.31,7.46,6.8667,6.5144,6.1617,5.8273,5.6117,5.1547,5.1856,5.0813,4.9126,28.3301,55.0208,60.9488,63.6117,-0.013889112160667016,0.013897819092118163,,,,
2000-01-07,7.3,7.5,7.15,7.15,28000.0,7.2393,7.31,7.46,6.8667,6.5144,6.1617,5.8273,5.6117,5.1547,5.1856,5.0813,4.9126,28.3301,55.0208,60.9488,63.6117,0.0,0.0069446793787590775,,,,
2000-01-10,7.3,7.5,7.15,7.15,28000.0,7.2393,7.31,7.46,6.8667,6.5144,6.1617,5.8273,5.6117,5.1547,5.1856,5.0813,4.9126,28.3301,55.0208,60.9488,63.6117,0.0,0.008018882644766008,0.013976685760515662,,,
2000-01-11,7.3,7.35,7.15,7.2,33000.0,7.2758,7.29,7.385,6.9367,6.5589,6.2308,5.882,5.6561,5.1817,5.1978,5.0991,4.9311,39.161,56.3801,61.6827,63.9923,0.006968669316093301,0.004023363105539956,0.00791604559207944,,,
2000-01-12,7.2,7.25,7.1,7.25,41000.0,7.1793,7.23,7.325,7.0092,6.6039,6.3004,5.937,5.7003,5.2135,5.2099,5.1168,4.9502,50.4036,57.8144,62.4427,64.3777,0.006920442844573715,0.004009513831597442,0.00850532653420285,,,
2000-01-13,7.35,7.35,7.0,7.0,42000.0,7.1417,7.17,7.28,7.0442,6.6417,6.3596,5.9863,5.7386,5.2402,5.2204,5.1329,4.9692,21.1252,48.7902,56.417,61.0005,-0.035091319811270116,0.02426943624066231,0.017592248900062862,,,
2000-01-14,7.2,7.2,7.0,7.1,56000.0,7.0536,7.14,7.24,7.0808,6.6883,6.4213,6.0383,5.7797,5.2678,5.2307,5.1508,4.9888,41.5104,52.1511,58.1564,61.8291,0.014184634991956546,0.02660161777904585,0.019488523622571256,,,
2000-01-17,7.15,7.2,7.1,7.1,61000.0,7.1451,7.13,7.22,7.1225,6.735,6.4688,6.0883,5.8219,5.2935,5.2415,5.1679,5.0097,41.5104,52.1511,58.1564,61.8291,0.0,0.025366396136494943,0.019488523622571256,0.016751266591501206,,
2000-01-18,7.05,7.2,7.0,7.05,42000.0,7.0714,7.1,7.195,7.1633,6.7711,6.5175,6.1373,5.8639,5.3187,5.2528,5.1841,5.0298,32.1598,50.0716,56.8409,61.1341,-0.007067167223092419,0.010822721621675933,0.01898547319601072,0.013734460987640407,,
2000-01-19,7.05,7.1,7.0,7.0,28000.0,7.0286,7.05,7.14,7.1983,6.8122,6.5625,6.1893,5.9072,5.345,5.2636,5.1989,5.0498,24.0377,47.9218,55.4892,60.4314,-0.0071174677688641275,0.004094828652192038,0.01793688692842546,0.013741381303508937,,
2000-01-20,7.0,7.05,6.95,7.0,45000.0,7.0133,7.05,7.11,7.2267,6.8522,6.5942,6.2407,5.9494,5.3727,5.2744,5.2146,5.0697,24.0377,47.9218,55.4892,60.4314,0.0,0.004094828652192038,0.008686297684500136,0.013269469202429357,,
2000-01-21,7.0,7.1,7.0,7.05,74000.0,7.0547,7.04,7.09,7.2725,6.895,6.6221,6.293,5.9936,5.3988,5.2854,5.2306,5.0894,51.5623,50.6058,56.6838,60.9122,0.0071174677688641275,0.007117467768864134,0.005942907052296899,0.013583008318570159,,
2000-01-24,7.0,7.0,6.95,7.0,38000.0,6.9947,7.02,7.075,7.2675,6.9361,6.6546,6.3443,6.0353,5.4248,5.2963,5.2458,5.1074,33.4057,47.8325,55.0915,60.1561,-0.0071174677688641275,0.007117467768864134,0.0063576552460518675,0.013687082357340646,,
2000-01-25,6.95,6.95,6.8,6.8,30000.0,6.8483,6.97,7.035,7.21,6.9694,6.6779,6.3917,6.0742,5.4482,5.3065,5.2597,5.1234,10.7318,38.37,49.1444,57.2169,-0.028987536873252173,0.01818655488999693,0.013523480175782837,0.015620449156676253,,
2000-01-26,6.7,6.7,6.45,6.45,146000.0,6.5709,6.86,6.955,7.14,6.9911,6.6917,6.4313,6.1067,5.4673,5.3197,5.272,5.1385,3.858,27.6149,40.8365,52.5673,-0.05284248137437997,0.02286968579075514,0.024467792347185338,0.020816845991394474,,
2000-01-27,6.6,6.6,6.15,6.35,75000.0,6.3453,6.73,6.89,7.085,6.9928,6.7038,6.4657,6.1369,5.4855,5.3268,5.2832,5.1524,3.0271,25.3325,38.8174,51.3343,-0.01562531790308097,0.01885349008277638,0.022795634874818317,0.0192357456651932,,
2000-01-28,6.35,6.4,6.1,6.1,59000.0,6.2297,6.54,6.79,7.015,6.9839,6.7138,6.495,6.1636,5.5018,5.3335,5.2916,5.1653,1.6746,20.5545,34.2571,48.3984,-0.04016604172533467,0.01892113679083708,0.018377011855508562,0.01940068710073909,,
