Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2001-07-03,11.875,12.125,11.875,12.125,480.0,12.0,12.2333,12.2917,12.3854,12.4125,12.5083,12.2358,11.8167,11.7054,11.7597,12.3676,12.6442,32.3264,39.8956,50.0966,44.5285,,,,,,
2001-07-04,11.833,12.083,11.833,12.083,1200.0,11.9333,12.1667,12.2708,12.3604,12.4014,12.4917,12.2858,11.8479,11.7042,11.7583,12.3579,12.6358,27.0806,38.1999,49.6474,43.4144,-0.0034699307783760958,,,,,
2001-07-05,12.083,12.25,12.083,12.25,720.0,12.1944,12.1417,12.2458,12.3438,12.3931,12.475,12.3375,11.8819,11.7025,11.7601,12.3495,12.6129,63.0537,48.1222,51.4488,48.9197,0.013726430945565138,,,,,
2001-07-06,12.0,12.333,12.0,12.333,9600.0,12.2688,12.1917,12.2375,12.3313,12.3889,12.4583,12.3942,11.9208,11.705,11.7618,12.3426,12.5896,73.0318,52.4193,52.3309,51.4625,0.006752659593114885,0.00864917816250179,,,,
2001-07-09,12.375,13.25,12.375,12.917,27840.0,12.805,12.3417,12.3167,12.3479,12.4097,12.4479,12.4592,11.9764,11.7125,11.7708,12.338,12.5688,92.9692,71.2032,57.8732,64.7067,0.046265676666027655,0.02108994435403276,,,,
2001-07-10,13.0,13.417,12.833,13.417,24240.0,13.1914,12.6,12.4167,12.3896,12.4431,12.4542,12.5192,12.0472,11.7263,11.7826,12.3356,12.5508,96.3954,79.1431,61.8104,71.8077,0.037978286358455904,0.020836662893414227,0.021086001488230408,,,
2001-07-11,13.333,13.5,13.25,13.5,11760.0,13.3793,12.8833,12.525,12.4396,12.4778,12.4771,12.5625,12.1153,11.7408,11.7938,12.3338,12.5325,96.7869,80.1683,62.416,72.7903,0.00616712583604917,0.021168075611467108,0.018678754333559665,,,
2001-07-12,13.333,13.333,13.0,13.25,26880.0,13.2076,13.0833,12.6125,12.4813,12.5028,12.4958,12.5783,12.1708,11.7533,11.8035,12.3306,12.5175,65.0146,68.7608,59.4883,65.4233,-0.018692133012152556,0.028406188046224662,0.026383384332250057,,,
2001-07-13,13.25,13.667,13.167,13.667,44880.0,13.4505,13.35,12.7708,12.5438,12.5431,12.526,12.6,12.2431,11.7725,11.8184,12.3296,12.5092,80.7844,75.3401,62.5194,70.7388,0.03098661555043236,0.024839376934311392,0.026555488197879843,,,
2001-07-16,13.667,14.25,13.667,14.25,38400.0,13.9109,13.6167,12.9792,12.6458,12.5986,12.5677,12.62,12.3222,11.7963,11.8382,12.3361,12.5067,90.1285,81.4826,66.1838,76.2447,0.04177273873199594,0.03224985588357651,0.025523358332961196,,,
2001-07-17,14.167,14.5,13.917,14.5,36720.0,14.2544,13.8333,13.2167,12.7542,12.6625,12.6135,12.65,12.3993,11.8225,11.8559,12.3417,12.5063,92.4795,83.46799999999999,67.5887,78.1429,0.017391742711869274,0.01221743281625344,0.02339803449291706,0.021145458078782715,,
2001-07-18,14.5,15.0,14.083,15.0,72480.0,14.5712,14.1333,13.5083,12.8896,12.7431,12.6781,12.695,12.4896,11.8529,11.8785,12.3509,12.5088,95.6135,86.6811,70.1541,81.3523,0.03390155167568132,0.012442952119108086,0.023906840807727127,0.020234155177013623,,
2001-07-19,14.583,15.333,14.5,15.25,47280.0,15.0267,14.5333,13.8083,13.0271,12.8319,12.7469,12.7417,12.5826,11.8888,11.9049,12.3611,12.5117,96.658,87.9937,71.3279,82.7187,0.016529301951210496,0.009790409053223072,0.01092566725558699,0.02013173853734858,,
2001-07-20,14.667,15.833,14.667,15.75,50880.0,15.1903,14.95,14.15,13.1938,12.9375,12.8292,12.7967,12.6868,11.9296,11.9358,12.3727,12.5179,98.0506,90.1728,73.4855,85.0742,0.032260862218221664,0.009591392936897498,0.01102377582711325,0.019607672813399417,,
2001-07-23,15.75,15.75,15.167,15.333,23280.0,15.5747,15.1667,14.3917,13.3542,13.0292,12.9052,12.8367,12.7813,11.9646,11.9628,12.3829,12.5254,64.4701,77.0607,69.0089,75.8018,-0.026832996817390153,0.030604615988041064,0.024559380406585424,0.023759748754555058,,
2001-07-24,15.333,15.333,14.583,15.333,20400.0,15.2,15.3333,14.5833,13.5,13.1208,12.9781,12.88,12.8632,12.0008,11.9917,12.3921,12.5333,64.4701,77.0607,69.0089,75.8018,0.0,0.02958844685848942,0.025294597644530275,0.023085639104176714,,
2001-07-25,15.333,15.333,14.667,15.25,26640.0,15.2402,15.3833,14.7583,13.6417,13.2125,13.0479,12.9333,12.9285,12.0367,12.0198,12.4014,12.5346,55.861,74.3251,68.1207,73.9327,-0.005427865400831511,0.014187148480060877,0.022409869089700912,0.02376752109953881,,
