Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.867,2.88,2.84,2.84,19500.0,2.8656,2.8853,2.8533,2.816,2.7964,2.7647,2.7437,2.7351,2.7456,2.7768,2.8097,2.8222,32.9922,51.7956,55.8521,57.1521,,,,,,
2000-01-04,2.84,2.84,2.84,2.84,3000.0,2.84,2.8747,2.8573,2.818,2.8,2.769,2.7464,2.7376,2.7447,2.7762,2.81,2.8202,32.9922,51.7956,55.8521,57.1521,0.0,,,,,
2000-01-05,2.8,2.8,2.787,2.787,12000.0,2.7983,2.856,2.856,2.8187,2.8036,2.7737,2.7493,2.7387,2.7432,2.775,2.81,2.8181,16.807,41.589,48.8667,53.3986,-0.018838303673303525,,,,,
2000-01-06,2.813,2.947,2.813,2.933,10500.0,2.8495,2.856,2.8693,2.8267,2.8102,2.7813,2.7544,2.7422,2.7435,2.7753,2.8109,2.8169,72.4857,63.7117,62.6873,60.7348,0.051060041495502695,0.03616579456739852,,,,
2000-01-07,2.813,2.947,2.813,2.933,10500.0,2.8495,2.856,2.8693,2.8267,2.8102,2.7813,2.7544,2.7422,2.7435,2.7753,2.8109,2.8169,72.4857,63.7117,62.6873,60.7348,0.0,0.03616579456739852,,,,
2000-01-10,2.813,2.947,2.813,2.933,10500.0,2.8495,2.856,2.8693,2.8267,2.8102,2.7813,2.7544,2.7422,2.7435,2.7753,2.8109,2.8169,72.4857,63.7117,62.6873,60.7348,0.0,0.029479528702261937,0.026241005340656966,,,
2000-01-11,2.813,2.867,2.813,2.867,27000.0,2.8541,2.8533,2.8693,2.8313,2.8116,2.787,2.7581,2.7444,2.7431,2.7748,2.8113,2.8161,49.7731,53.3744,55.3624,56.5488,-0.022759603094081093,0.013140262973016757,0.02941981754314408,,,
2000-01-12,2.867,2.867,2.867,2.867,4500.0,2.8667,2.8587,2.872,2.836,2.8151,2.7927,2.7619,2.7467,2.7427,2.7747,2.8118,2.8156,49.7731,53.3744,55.3624,56.5488,0.0,0.013140262973016757,0.027225651543076206,,,
2000-01-13,2.88,2.933,2.88,2.907,4500.0,2.9067,2.872,2.8733,2.8427,2.8204,2.799,2.7667,2.7507,2.7429,2.7743,2.8124,2.8161,64.7037,58.489,58.7189,58.3902,0.013855434675506206,0.01848708375197681,0.013173038373910331,,,
2000-01-14,2.92,2.92,2.92,2.92,7500.0,2.92,2.8987,2.8773,2.85,2.8258,2.8053,2.7723,2.7549,2.7439,2.7741,2.8132,2.8164,69.271,60.1291,59.804,58.9895,0.004461994703451433,0.007072472237360893,0.013471594359223854,,,
2000-01-17,2.96,3.0,2.96,3.0,85500.0,2.9958,2.912,2.884,2.8613,2.8338,2.8137,2.7792,2.7604,2.7457,2.7747,2.8144,2.8171,85.8038,68.5236,65.6395,62.3549,0.027028672387919395,0.011335974065271173,0.018428246975602348,0.021401054945117275,,
2000-01-18,3.0,3.0,3.0,3.0,42000.0,3.0,2.9387,2.896,2.8713,2.8413,2.8187,2.7869,2.7662,2.7473,2.7752,2.8157,2.8175,85.8038,68.5236,65.6395,62.3549,0.0,0.014489728945600097,0.011523647520901655,0.021401054945117275,,
