Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-10-10,5.178,5.178,5.031000000000001,5.031000000000001,6837.0,5.1045,5.1133,5.1074,5.1747,5.2859,5.3554,5.4082,5.4492,5.5737,5.5211,5.3862,5.3382,34.4754,36.8823,36.7586,39.4345,,,,,,
2000-10-11,5.119,5.119,5.031000000000001,5.031000000000001,20511.0,5.0606,5.0957,5.0987,5.1645,5.2683,5.3422,5.3953,5.4385,5.5612,5.5219,5.3849,5.3393,34.4754,36.8823,36.7586,39.4345,0.0,,,,,
2000-10-12,5.061,5.061,5.061,5.061,3419.0,5.0606,5.0782,5.0957,5.1543,5.2518,5.3298,5.382999999999999,5.4282,5.5533,5.5226,5.3823,5.3404,47.1043,40.549,39.2063,40.5499,0.0059453207227593285,,,,,
2000-10-13,5.061,5.061,5.061,5.061,3419.0,5.0606,5.0782,5.0957,5.1543,5.2518,5.3298,5.382999999999999,5.4282,5.5533,5.5226,5.3823,5.3404,47.1043,40.549,39.2063,40.5499,0.0,0.0034325325197037586,,,,
2000-10-16,5.061,5.061,5.061,5.061,3419.0,5.0606,5.0782,5.0957,5.1543,5.2518,5.3298,5.382999999999999,5.4282,5.5533,5.5226,5.3823,5.3404,47.1043,40.549,39.2063,40.5499,0.0,0.0034325325197037586,,,,
2000-10-17,5.09,5.09,5.09,5.09,3419.0,5.0899,5.0431,5.0957,5.1484,5.2362,5.3181,5.3725,5.4185,5.5456,5.5297,5.3803,5.3419,58.9671,44.1961,41.6389,41.6613,0.005713738330490381,0.0032988283631877045,0.0031940144256230947,,,
2000-10-18,5.09,5.09,5.09,5.09,3419.0,5.0899,5.0431,5.0957,5.1484,5.2362,5.3181,5.3725,5.4185,5.5456,5.5297,5.3803,5.3419,58.9671,44.1961,41.6389,41.6613,0.0,0.0032988283631877045,0.0031940144256230947,,,
2000-10-19,4.973,5.09,4.973,5.09,23930.0,5.023,5.0606,5.0957,5.1352,5.2206,5.3064,5.3608,5.4087,5.537999999999999,5.5282,5.3784,5.3425,58.9671,44.1961,41.6389,41.6613,0.0,0.0032988283631877045,0.00255526146252453,,,
2000-10-20,4.973,5.09,4.973,5.09,6837.0,5.0314,5.0723,5.0928,5.1235,5.2079,5.2947,5.3502,5.4,5.5304,5.5267,5.3771,5.3432,58.9671,44.1961,41.6389,41.6613,0.0,1.2519288322809663e-19,0.00255526146252453,,,
2000-10-23,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.283,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98,0.011330459171448704,0.006541643652677973,0.005072602316566905,,,
2000-10-24,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.283,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98,0.0,0.006541643652677973,0.0050671353847290485,0.003993343828885463,,
