Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2004-07-12,2.27,2.27,2.25,2.26,7500.0,2.26,2.24,2.222,2.2315,2.2753,2.2918,2.3068,2.313,2.2692,2.2496,2.2117,2.2124,69.0856,53.6329,50.4358,49.1943,,,,,,
2004-07-13,2.28,2.28,2.28,2.28,4600.0,2.28,2.252,2.23,2.2315,2.2733,2.2903,2.3046,2.3113,2.2708,2.2501,2.2124,2.2138,79.339,56.9828,52.6606,50.3397,0.008810629682154958,,,,,
2004-07-14,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.24,2.2295,2.2683,2.2875,2.3016,2.3093,2.2722,2.2505,2.2133,2.2131,45.4337,50.7906,49.1003,48.6381,-0.0132452267500206,,,,,
2004-07-15,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.24,2.2295,2.2683,2.2875,2.3016,2.3093,2.2722,2.2505,2.2133,2.2131,45.4337,50.7906,49.1003,48.6381,0.0,0.011101982030342383,,,,
2004-07-16,2.25,2.25,2.25,2.25,2000.0,2.25,2.262,2.24,2.2285,2.2633,2.285,2.2988,2.3073,2.2731,2.2518,2.2141,2.2123,45.4337,50.7906,49.1003,48.6381,0.0,0.007647135229602025,,,,
2004-07-19,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.245,2.227,2.2583,2.283,2.2966,2.3058,2.274,2.2529,2.2149,2.2116,45.4337,50.7906,49.1003,48.6381,0.0,0.0,0.007891927787693365,,,
2004-07-20,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.245,2.227,2.2583,2.283,2.2966,2.3058,2.274,2.2529,2.2149,2.2116,45.4337,50.7906,49.1003,48.6381,0.0,0.0,0.005923445478088935,,,
2004-07-21,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.245,2.227,2.2583,2.283,2.2966,2.3058,2.274,2.2529,2.2149,2.2116,45.4337,50.7906,49.1003,48.6381,0.0,0.0,8.231806349783991e-11,,,
2004-07-22,2.26,2.26,2.26,2.26,1200.0,2.26,2.258,2.249,2.2295,2.2543,2.2813,2.2948,2.3047,2.2752,2.2542,2.2156,2.2111,63.1499,53.2041,50.4938,49.2709,0.004434597067865642,0.0025603158108797523,0.0019832120993137667,,,
2004-07-23,2.24,2.24,2.24,2.24,6000.0,2.24,2.25,2.251,2.229,2.25,2.2798,2.2926,2.3037,2.276,2.2552,2.2163,2.2106,31.9905,47.9164,47.6822,48.0462,-0.008888947417245885,0.006784736238887387,0.0048659734363711874,,,
2004-07-26,2.22,2.22,2.22,2.22,4000.0,2.22,2.244,2.251,2.226,2.246,2.2778,2.2898,2.3013,2.2769,2.256,2.2168,2.2102,18.384,43.0978,44.9847,46.8418,-0.008968669982760358,0.007715468887939719,0.00598081481976201,0.006669081693703183,,
2004-07-27,2.2,2.2,2.2,2.2,1000.0,2.2,2.234,2.248,2.228,2.241,2.275,2.2866,2.2997,2.2777,2.2566,2.2172,2.2097,11.2235,38.7175,42.4014,45.6578,-0.009049835519917893,8.044512980453007e-05,0.006324748048512272,0.005858265677377809,,
2004-07-28,2.2,2.2,2.2,2.2,400.0,2.2,2.224,2.241,2.2265,2.236,2.27,2.283,2.2975,2.2782,2.2569,2.2176,2.2093,11.2235,38.7175,42.4014,45.6578,0.0,0.005201652814917842,0.006324748048512272,0.004836351661271807,,
2004-07-29,2.2,2.2,2.2,2.2,3600.0,2.2,2.212,2.235,2.2285,2.2327,2.2653,2.2804,2.2948,2.2789,2.257,2.2182,2.2091,11.2235,38.7175,42.4014,45.6578,0.0,0.0052249249735464316,0.004912935625881174,0.004836351661271807,,
