Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,7.281,7.719,7.281,7.676,1247135.0,7.4708,7.1756,7.0615,6.6756,6.6449,6.6646,6.7466,6.8517,7.069,7.0414,7.0014,6.7721,96.4669,83.86,74.106,62.0107,,,,,,
2000-01-04,7.588,7.632,7.456,7.544,762645.0,7.5194,7.2896,7.1317,6.7458,6.6785,6.68,6.7554,6.8517,7.0808,7.0422,7.0148,6.7884,74.3336,75.2884,68.978,59.6976,-0.017346032814297363,,,,,
2000-01-05,7.369,7.369,6.974,7.062,2432711.0,7.1075,7.3159,7.1537,6.7918,6.696,6.6832,6.7545,6.843,7.0817,7.0411,7.0243,6.8026,32.8631,52.9593,54.175,52.2981,-0.0660242478249613,,,,,
2000-01-06,7.105,7.281,6.93,6.974,2710865.0,7.0846,7.2896,7.1493,6.8422,6.7121,6.6887,6.7519,6.8342,7.076,7.0396,7.0325,6.816,28.5232,49.9303,51.9904,51.1066,-0.012539349252735477,0.02958971442569952,,,,
2000-01-07,7.105,7.281,6.93,6.974,2710865.0,7.0846,7.2896,7.1493,6.8422,6.7121,6.6887,6.7519,6.8342,7.076,7.0396,7.0325,6.816,28.5232,49.9303,51.9904,51.1066,0.0,0.03506439541713519,,,,
2000-01-10,7.105,7.281,6.93,6.974,2710865.0,7.0846,7.2896,7.1493,6.8422,6.7121,6.6887,6.7519,6.8342,7.076,7.0396,7.0325,6.816,28.5232,49.9303,51.9904,51.1066,0.0,0.007239596666529553,0.027283649012388386,,,
2000-01-11,7.281,7.412,7.062,7.105,2855642.0,7.144,7.2721,7.158,6.8971,6.7297,6.6964,6.7536,6.8269,7.0686,7.04,7.0384,6.8301,44.8965,54.3374,54.9265,52.776,0.018609813295604738,0.010744380715786067,0.03218645092843137,,,
2000-01-12,7.105,7.281,7.018,7.149,3297953.0,7.2083,7.1668,7.1712,6.9475,6.7428,6.7041,6.7563,6.8225,7.0646,7.0396,7.0457,6.8449,50.5592,55.7965,55.8948,53.3256,0.006173725235650629,0.009478891640706283,0.011310297074425248,,,
2000-01-13,7.193,7.632,7.193,7.456,4580428.0,7.4986,7.1493,7.2194,7.0023,6.7633,6.7194,6.7607,6.821,7.0637,7.0422,7.0564,6.8613,76.2193,64.6833,62.0419,56.9531,0.04204659059857563,0.01821538400149046,0.01774191776024246,,,
2000-01-14,7.456,8.158,7.456,8.026,6569687.0,7.8902,7.3423,7.3291,7.0791,6.8013,6.7479,6.7765,6.8342,7.0686,7.0469,7.0693,6.8789,90.2769,75.1297,70.3162,62.5455,0.07366719446143444,0.03376905251392714,0.030130183237510568,,,
2000-01-17,8.158,8.509,8.158,8.421,6095457.0,8.3346,7.6317,7.4607,7.1844,6.8583,6.7973,6.8045,6.8576,7.0765,7.0568,7.0845,6.8979,93.9753,79.7864,74.4661,65.7337,0.04804231420313032,0.016795067621410368,0.026352591452405157,0.039223809248248226,,
2000-01-18,8.421,8.86,8.158,8.597,3456410.0,8.641,7.93,7.601,7.2852,6.927,6.8521,6.8379,6.881,7.0839,7.0707,7.1003,6.9188,95.194,81.5168,76.0675,67.0243,0.02068471914445169,0.026495959397493513,0.02599051228083597,0.0381871794641247,,
2000-01-19,8.509,8.948,8.421,8.684,3759644.0,8.7326,8.237,7.7019,7.3817,7.0177,6.9091,6.8721,6.9058,7.0931,7.0827,7.1156,6.9387,95.8271,82.3659,76.8493,67.6544,0.01006894682373849,0.019592129625141636,0.024825726660714156,0.026455480663681787,,
2000-01-20,8.772,8.772,8.597,8.641,1098938.0,8.6705,8.4739,7.8116,7.4716,7.101,6.9618,6.9063,6.9314,7.1015,7.0977,7.131,6.9589,87.211,80.2911,75.5209,66.9923,-0.004963935156783172,0.012887562674078198,0.03137513471316875,0.025489539102076457,,
2000-01-21,8.597,8.641,8.334,8.553,907422.0,8.5089,8.5791,7.9607,7.5572,7.1814,7.0122,6.9387,6.9555,7.1124,7.1098,7.1459,6.9784,68.6841,75.9843,72.81,65.6627,-0.010236218260617491,0.010536320031761654,0.02322627946224516,0.026626085830585865,,
2000-01-24,8.597,8.597,8.421,8.509,313494.0,8.4839,8.5967,8.1142,7.6317,7.2662,7.0626,6.9738,6.9789,7.1212,7.1215,7.1615,6.9964,59.2447,73.7589,71.4294,64.9955,-0.0051576717312245,0.0029895969025509764,0.01288069281096509,0.027110896813422287,,
2000-01-25,8.334,8.465,8.246,8.377,632687.0,8.3494,8.5528,8.2414,7.6997,7.3452,7.1076,7.0054,7.0016,7.1278,7.135,7.1758,7.0133,36.606,67.1238,67.3062,63.0085,-0.015634571695747557,0.005239263426736059,0.00958437353535819,0.029360476170714724,,
2000-01-26,8.421,8.509,8.334,8.509,712486.0,8.4348,8.5177,8.3774,7.7743,7.4241,7.1515,7.0387,7.0265,7.1383,7.146,7.19,7.03,59.7033,70.1451,69.2197,64.1425,0.015634571695747557,0.015915622032199272,0.011853415641381183,0.02914349328174527,,
2000-01-27,8.553,8.553,8.334,8.509,1184436.0,8.4768,8.4914,8.4826,7.851,7.4958,7.1931,7.0721,7.0477,7.1493,7.1617,7.2053,7.0473,59.7033,70.1451,69.2197,64.1425,0.0,0.01563457169574752,0.01196732046417268,0.028213236673252366,,
