Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2006-01-03,2.44,2.48,2.44,2.44,451950.0,2.4564,2.432,2.4253,2.6187,2.7636,2.83,2.8581,2.8936,2.9192,2.9044,2.799,2.7706,52.8196,29.7437,27.7401,32.0691,,,,,,
2006-01-04,2.4530000000000003,2.533,2.4530000000000003,2.52,3554100.0,2.4995,2.4587,2.4333,2.5913,2.7467,2.818,2.8496,2.884,2.9139,2.904,2.7986,2.7732,84.6426,45.7392,38.3049,37.2061,0.03226086221822144,,,,,
2006-01-05,2.52,2.6,2.52,2.6,3025500.0,2.5683,2.4933,2.4507,2.5667,2.732,2.8077,2.8424,2.8760000000000003,2.9095,2.9043,2.7987,2.7739,92.3662,56.8033,46.6975,41.7619,0.031252543504104446,,,,,
2006-01-06,2.6,2.667,2.6,2.667,6162150.0,2.6382,2.5333,2.4747,2.546,2.7196,2.799,2.8363,2.8693,2.9063,2.9051,2.7991,2.7752,95.3128,63.7357,52.4967,45.19,0.025442800172440827,0.0036800315729887114,,,,
2006-01-09,2.68,2.693,2.653,2.667,4042500.0,2.678,2.5787,2.5,2.528,2.7071,2.79,2.8307,2.8624,2.9036,2.9052,2.7995,2.7769,95.3128,63.7357,52.4967,45.19,0.0,0.01662232772342924,,,,
2006-01-10,2.68,2.693,2.653,2.667,4042500.0,2.678,2.5787,2.5,2.528,2.7071,2.79,2.8307,2.8624,2.9036,2.9052,2.7995,2.7769,95.3128,63.7357,52.4967,45.19,0.0,0.01468940752849657,0.016448248187233633,,,
2006-01-11,2.667,2.667,2.613,2.653,4104000.0,2.6519,2.6213,2.5267,2.5107,2.6942,2.7797,2.8248,2.8549,2.9005,2.9056,2.7998,2.7782,81.2073,61.2477,51.2045,44.6278,-0.005263170044274568,0.0030386926418527016,0.016753393821086197,,,
2006-01-12,2.667,2.693,2.653,2.653,1925700.0,2.6717,2.648,2.5533,2.4933,2.6818,2.7693,2.8192,2.8473,2.898,2.9059,2.8,2.7788,81.2073,61.2477,51.2045,44.6278,0.0,0.0030386926418527016,0.012181887631929067,,,
2006-01-13,2.667,2.667,2.613,2.613,481800.0,2.6341,2.6507,2.572,2.4993,2.6653,2.759,2.8128,2.8393,2.8952,2.9056,2.8001,2.7787,40.6251,53.3415,47.1652,42.9136,-0.015192088617127175,0.007714531088492805,0.006610918886293806,,,
2006-01-16,2.64,2.64,2.613,2.613,465900.0,2.6158,2.64,2.5867,2.506,2.6498,2.7487,2.8056,2.832,2.8929,2.9052,2.8004,2.7788,40.6251,53.3415,47.1652,42.9136,0.0,0.008771156452651026,0.006610918886293806,,,
