Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,5.9,6.05,5.9,6.0,288000.0,5.9865,5.88,5.795,5.7125,5.6167,5.5388,5.504,5.4675,5.4015,5.4325,5.4981,5.484,91.9888,74.53,70.7439,66.3011,,,,,,
2000-01-04,6.05,6.05,6.0,6.05,100000.0,6.002,5.92,5.835,5.7425,5.6433,5.5563,5.519,5.48,5.413,5.4329,5.4981,5.4899,94.0885,76.6976,72.4183,67.353,0.008298802814695083,,,,,
2000-01-05,5.95,6.05,5.95,6.05,226000.0,6.0133,5.96,5.87,5.7675,5.665,5.575,5.534,5.4925,5.4245,5.4338,5.4975,5.4931,94.0885,76.6976,72.4183,67.353,0.0,,,,,
2000-01-06,6.05,6.05,5.95,6.0,38000.0,6.0,5.99,5.9,5.7875,5.685,5.5913,5.548,5.5042,5.4345,5.4338,5.4972,5.4971,59.1855,69.2397,67.9108,65.1759,-0.008298802814695083,0.008298802814695083,,,,
2000-01-07,6.05,6.05,5.95,6.0,38000.0,6.0,5.99,5.9,5.7875,5.685,5.5913,5.548,5.5042,5.4345,5.4338,5.4972,5.4971,59.1855,69.2397,67.9108,65.1759,0.0,0.00479131603901583,,,,
2000-01-10,6.05,6.05,5.95,6.0,38000.0,6.0,5.99,5.9,5.7875,5.685,5.5913,5.548,5.5042,5.4345,5.4338,5.4972,5.4971,59.1855,69.2397,67.9108,65.1759,0.0,0.00479131603901583,0.0058681397460009005,,,
2000-01-11,6.1,6.3,6.1,6.2,96000.0,6.2094,6.06,5.94,5.82,5.7083,5.6138,5.566,5.5183,5.445,5.4354,5.4975,5.5021,87.3473,78.6026,74.6955,69.2843,0.03278982282299103,0.018931213033534008,0.01600062964941524,,,
2000-01-12,6.2,6.3,6.2,6.3,36000.0,6.2694,6.12,6.0,5.855,5.735,5.6388,5.584,5.535,5.4525,5.4388,5.4978,5.5076,91.6621,81.7306,77.2819,71.0508,0.016000341346440905,0.016396493996264312,0.01637180093370141,,,
2000-01-13,6.35,6.65,6.35,6.65,554000.0,6.494,6.24,6.08,5.9,5.775,5.6713,5.608,5.5575,5.4635,5.4446,5.5,5.5159,97.0119,88.4048,83.6001,76.0401,0.05406722127027597,0.01907748114082683,0.023122064526963332,,,
2000-01-14,6.65,7.05,6.4,6.75,596000.0,6.7366,6.38,6.17,5.945,5.8183,5.7075,5.635,5.5825,5.4755,5.4525,5.5022,5.5241,97.6564,89.6233,84.8929,77.2014,0.01492565021667569,0.022294636472718846,0.020631615039537723,,,
2000-01-17,6.6,6.95,6.6,6.75,506000.0,6.8269,6.53,6.26,5.995,5.8617,5.7438,5.661,5.6075,5.4885,5.46,5.5044,5.533,97.6564,89.6233,84.8929,77.2014,0.0,0.027922816342027455,0.020631615039537723,0.018937554581414245,,
2000-01-18,6.75,6.75,6.6,6.6,144000.0,6.691,6.61,6.335,6.0425,5.9017,5.7775,5.685,5.63,5.5025,5.4667,5.5053,5.5405,56.5173,74.7173,74.6552,71.6283,-0.022472855852058826,0.018825747177341718,0.02795228352127466,0.02184293493707281,,
2000-01-19,6.6,6.6,6.45,6.45,52000.0,6.5577,6.64,6.38,6.0875,5.935,5.8075,5.707,5.65,5.514,5.4721,5.5067,5.5463,34.6329,62.9406,66.0741,66.6509,-0.022989518224698635,0.013126399216581744,0.03189376814895218,0.02396701515922336,,
2000-01-20,6.6,6.7,6.6,6.65,136000.0,6.6728,6.64,6.44,6.1375,5.975,5.8425,5.733,5.6725,5.527,5.4821,5.51,5.5535,63.1617,70.027,70.8802,69.5677,0.03053672386008177,0.030755327649540674,0.02339237983216224,0.0244615284857992,,
2000-01-21,6.65,6.65,6.6,6.6,14000.0,6.6429,6.61,6.495,6.1825,6.01,5.8725,5.759,5.6942,5.5405,5.4913,5.5133,5.5593,54.2782,66.4532,68.2761,68.0289,-0.007547205635383136,0.027549680263238965,0.02192027124222764,0.024926155009843784,,
2000-01-24,6.6,6.6,6.5,6.5,18000.0,6.5111,6.56,6.545,6.2225,6.04,5.9,5.782,5.7142,5.5525,5.4996,5.5175,5.5647,38.172,59.6084,63.2695,65.0518,-0.015267472130788384,0.024522141596747708,0.02219925814849809,0.026018442326121494,,
2000-01-25,6.45,6.5,6.45,6.5,22000.0,6.4955,6.54,6.575,6.2575,6.0717,5.925,5.806,5.7342,5.5635,5.5088,5.5222,5.5705,38.172,59.6084,63.2695,65.0518,0.0,0.007633899537886225,0.020642470354980024,0.02457383789823252,,
2000-01-26,6.5,6.5,6.4,6.4,154000.0,6.4364,6.53,6.585,6.2925,6.0983,5.9475,5.828,5.7508,5.5715,5.5171,5.5264,5.5755,22.8897,52.7339,58.3106,62.1416,-0.015504186535965081,0.008883801167631083,0.01904478262178433,0.024983801188252518,,
2000-01-27,6.4,6.4,6.3,6.4,102000.0,6.3657,6.48,6.56,6.32,6.12,5.9713,5.849,5.7667,5.5795,5.5271,5.5306,5.5795,22.8897,52.7339,58.3106,62.1416,0.0,0.008951346270105623,0.007693645852715852,0.016906330237902695,,
2000-01-28,6.4,6.4,6.25,6.4,574000.0,6.2941,6.44,6.525,6.3475,6.1383,5.995,5.871,5.7833,5.5885,5.5371,5.5347,5.5823,22.8897,52.7339,58.3106,62.1416,0.0,0.008951346270105623,0.008427581355076963,0.0156807620567823,,
2000-01-31,6.4,6.65,6.4,6.65,110000.0,6.5964,6.47,6.515,6.3875,6.1683,6.025,5.898,5.8033,5.6005,5.5504,5.5406,5.5865,82.3868,66.4902,66.5073,66.3126,0.0383188643021366,0.022123406619879313,0.02002881210427063,0.020929862713181736,0.020584601942839426,
2000-02-01,6.4,6.65,6.4,6.65,110000.0,6.5964,6.47,6.515,6.3875,6.1683,6.025,5.898,5.8033,5.6005,5.5504,5.5406,5.5865,82.3868,66.4902,66.5073,66.3126,0.0,0.022123406619879313,0.02002881210427063,0.019590486922469626,0.020601273066401936,
2000-02-02,6.75,6.75,6.75,6.75,24000.0,6.75,6.52,6.53,6.4325,6.205,6.0588,5.928,5.8258,5.613,5.5646,5.5467,5.591,87.9605,70.3707,69.1225,67.7815,0.01492565021667569,0.019314730393511916,0.016763910123590697,0.01809651584803198,0.020691134685528797,
2000-02-03,6.75,6.75,6.65,6.65,60000.0,6.69,6.57,6.55,6.465,6.2417,6.0888,5.956,5.8475,5.625,5.5788,5.5522,5.5948,59.6474,62.2597,63.7609,64.8561,-0.01492565021667569,0.014925650216675693,0.020125968038243208,0.016480025783744055,0.020974421412538788,
2000-02-04,6.75,6.75,6.65,6.65,60000.0,6.69,6.57,6.55,6.465,6.2417,6.0888,5.956,5.8475,5.625,5.5788,5.5522,5.5948,59.6474,62.2597,63.7609,64.8561,0.0,0.014925650216675693,0.020125968038243208,0.01626743476432042,0.020974421412538788,
2000-02-07,6.75,6.75,6.65,6.65,60000.0,6.69,6.57,6.55,6.465,6.2417,6.0888,5.956,5.8475,5.625,5.5788,5.5522,5.5948,59.6474,62.2597,63.7609,64.8561,0.0,0.00861732817042791,0.010554028481829838,0.015283303446612861,0.020974421412538788,
2000-02-08,6.65,6.65,6.55,6.55,242000.0,6.5686,6.6,6.54,6.49,6.2717,6.1163,5.982,5.8675,5.6375,5.5925,5.5572,5.5973,40.2255,55.1133,58.8454,62.0842,-0.015151805020602316,0.008747898707353473,0.012542047531075034,0.016254812838867594,0.020379556963058817,
2000-02-09,6.65,6.65,6.6,6.6,64000.0,6.6078,6.64,6.54,6.5175,6.3017,6.1425,6.006,5.8892,5.651,5.6067,5.5628,5.5995,51.9578,57.8357,60.4857,62.9043,0.0076045993852191796,0.011584911657506055,0.010114053484546802,0.01529924856422101,0.02017763344280506,
2000-02-10,6.5,6.65,6.5,6.5,130000.0,6.5431,6.61,6.54,6.5425,6.3283,6.165,6.028,5.9083,5.663,5.6192,5.5675,5.6018,32.7019,50.8909,55.7038,60.21,-0.015267472130788384,0.0131719333926031,0.010202952123547097,0.0163651061123928,0.016427852378654045,
2000-02-11,6.5,6.5,6.4,6.5,186000.0,6.4898,6.56,6.54,6.5575,6.3517,6.1888,6.048,5.9283,5.675,5.6304,5.5717,5.6035,32.7019,50.8909,55.7038,60.21,0.0,0.011648013367862645,0.010202952123547097,0.0163651061123928,0.015992837484978366,
2000-02-14,6.45,6.75,6.35,6.75,146000.0,6.4466,6.58,6.575,6.58,6.3867,6.2175,6.073,5.9525,5.6895,5.6404,5.5781,5.606,78.183,64.4119,63.9641,64.3008,0.03774032798284721,0.027286305888987696,0.021796101611476278,0.016221069131949463,0.01828890250176633,
2000-02-15,6.75,6.9,6.65,6.85,66000.0,6.8288,6.64,6.62,6.59,6.42,6.245,6.101,5.9775,5.705,5.6513,5.5858,5.609,84.4773,68.3351,66.6436,65.7575,0.014706147389695223,0.01902269084934385,0.019560256590368814,0.01672938760119567,0.01776650122008253,
2000-02-16,6.5,6.95,6.5,6.95,96000.0,6.8865,6.71,6.675,6.6,6.4567,6.2725,6.131,6.005,5.722,5.6629,5.5939,5.612,89.1658,71.8289,69.1166,67.1444,0.014493007302567085,0.013360743636405268,0.019683411534198635,0.01669553896286634,0.016966295968812245,
2000-02-17,6.75,6.95,6.75,6.95,28000.0,6.8643,6.8,6.705,6.61,6.4933,6.3025,6.161,6.0325,5.74,5.6754,5.6025,5.615,89.1658,71.8289,69.1166,67.1444,0.0,0.008429743574752091,0.015447261244394784,0.015550824842731457,0.015758246877699902,
2000-02-18,6.95,6.95,6.9,6.9,20000.0,6.935,6.88,6.72,6.625,6.5283,6.3338,6.191,6.06,5.757,5.6896,5.6106,5.6173,66.5516,67.141,66.2676,65.7201,-0.007220247973487082,0.011057762704347886,0.01724460038752517,0.01594117857404896,0.01574776204156612,
2000-02-21,6.65,6.9,6.65,6.9,58000.0,6.8828,6.91,6.745,6.6475,6.5583,6.3675,6.22,6.0875,5.775,5.7029,5.6189,5.6208,66.5516,67.141,66.2676,65.7201,0.0,0.004168612111108636,0.009770306346371917,0.01594117857404896,0.015216388467509456,
2000-02-22,6.9,6.9,6.85,6.85,4000.0,6.875,6.91,6.775,6.6575,6.585,6.3975,6.248,6.1142,5.791,5.7154,5.6275,5.6248,42.3722,62.0183,63.2442,64.2614,-0.007272759329080003,0.004183853218024256,0.008875137600759024,0.015077739027670928,0.015377549974017827,
2000-02-23,6.9,6.9,6.85,6.85,28000.0,6.8607,6.89,6.8,6.67,6.6117,6.4263,6.274,6.1383,5.807,5.7288,5.6358,5.629,42.3722,62.0183,63.2442,64.2614,0.0,0.00419892955639572,0.003969116933365381,0.015094308250644648,0.014795445666581994,
2000-02-24,6.85,7.0,6.8,7.0,798000.0,6.9071,6.9,6.85,6.695,6.645,6.4588,6.302,6.165,5.825,5.7429,5.645,5.6353,83.3079,70.5498,68.2795,66.6388,0.021661496781179457,0.015051603722493362,0.01187400525915136,0.01443643802696386,0.015317288397553645,
2000-02-25,7.0,7.65,7.0,7.45,1018000.0,7.3481,7.01,6.945,6.7425,6.6867,6.5,6.34,6.1975,5.8475,5.76,5.6567,5.6443,96.0224,83.2489,78.0115,72.3475,0.06230388333615511,0.03163014887321468,0.028405702478335185,0.022225736550167623,0.019983063605278392,
2000-02-28,7.45,7.45,6.9,7.3,176000.0,7.1097,7.09,7.0,6.7875,6.72,6.54,6.374,6.2275,5.8685,5.7742,5.6675,5.6525,69.5384,71.6611,70.2721,68.3164,-0.020339684237122846,0.0413236454770051,0.0323359684140729,0.022809482312316904,0.019536170731464415,
2000-02-29,6.95,7.4,6.95,7.35,270000.0,7.2741,7.19,7.05,6.835,6.7433,6.5775,6.406,6.2592,5.8895,5.7888,5.6786,5.661,73.2301,73.067,71.2944,68.9137,0.0068259650703996755,0.04212230442145052,0.030897425335432372,0.022681415525672828,0.019510030132979465,
2000-03-01,7.25,7.25,7.15,7.2,22000.0,7.2182,7.26,7.075,6.875,6.7583,6.6113,6.433,6.2883,5.9095,5.8029,5.6889,5.6687,47.3869,62.588,64.1655,65.1048,-0.020619287202735537,0.015765429227974914,0.034423076510001795,0.024075307329998998,0.02016659315312414,
2000-03-02,7.05,7.05,6.9,7.05,84000.0,6.9821,7.27,7.085,6.895,6.7683,6.6413,6.459,6.315,5.9265,5.8163,5.6983,5.676,30.9849,53.8928,57.9276,61.5837,-0.021053409197832273,0.015972318991674398,0.036056690803807495,0.025307680149148422,0.02050067943915958,
2000-03-03,7.0,7.0,6.8,6.85,170000.0,6.8641,7.15,7.08,6.9,6.7767,6.6663,6.483,6.3392,5.941,5.8275,5.7067,5.682,18.3098,44.5988,50.8319,57.3085,-0.028778964550043584,0.004590806062463005,0.013664638547464504,0.026988731074654576,0.02169185728594768,
2000-03-06,7.2,7.2,6.8,6.85,240000.0,6.9083,7.06,7.075,6.91,6.79,6.6875,6.509,6.3625,5.9555,5.8392,5.715,5.688,18.3098,44.5988,50.8319,57.3085,0.0,0.014894960249046862,0.01527725276405256,0.026988731074654576,0.02169185728594768,
