Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2006-05-23,0.88,0.985,0.865,0.975,4065700.0,0.9345,1.005,1.1995,1.3053,1.2538,1.193,1.1502,1.1217,1.0581,0.9979,0.9463,0.9448,37.1235,32.3812,36.8356,43.9454,,,,,,
2006-05-24,0.975,1.01,0.93,0.94,4217800.0,0.9731,0.971,1.1435,1.2898,1.2488,1.1919,1.1496,1.1211,1.0601,0.9996,0.9465,0.9445,31.1166,30.6554,35.4281,42.8955,-0.03655759573379763,,,,,
2006-05-25,0.96,0.96,0.905,0.93,1458000.0,0.919,0.949,1.0755,1.2718,1.2442,1.1906,1.1488,1.12,1.0604,1.0013,0.9465,0.944,29.0987,30.1391,35.0164,42.5948,-0.010695289116747844,,,,,
2006-05-26,0.94,0.97,0.935,0.945,1991500.0,0.9508,0.934,1.018,1.2555,1.2387,1.1898,1.1482,1.1191,1.0605,1.0031,0.9468,0.9438,38.1267,32.0698,36.2138,43.2126,0.016000341346441023,0.026280069569643332,,,,
2006-05-29,0.96,0.96,0.9,0.905,574800.0,0.9186,0.939,0.9875,1.2338,1.2338,1.1881,1.1466,1.1181,1.0597,1.0047,0.9468,0.9435,25.2607,29.6145,34.3938,41.9666,-0.04324998379381655,0.029673405210082597,,,,
2006-05-30,0.91,0.915,0.88,0.89,1569000.0,0.8896,0.922,0.9635,1.2093,1.2258,1.1851,1.1448,1.1167,1.0585,1.0064,0.9468,0.943,21.2308,28.6879,33.7097,41.5023,-0.016713480973740605,0.029678783617096326,0.023413070333421937,,,
2006-05-31,0.875,0.875,0.855,0.875,556400.0,0.8663,0.909,0.94,1.1765,1.219,1.1823,1.1425,1.1148,1.0573,1.0076,0.9468,0.9427,17.1312,27.7125,33.0027,41.0327,-0.01699757636857112,0.015239507798998105,0.02110866605266671,,,
2006-06-01,0.885,0.89,0.855,0.865,608900.0,0.8759999999999999,0.8959999999999999,0.9225,1.1428,1.2068,1.1786,1.1403,1.1128,1.0559,1.0089,0.9468,0.9423,14.3586,27.0233,32.5132,40.715,-0.011494379425735113,0.003098518671704186,0.021077257456753935,,,
2006-06-02,0.87,0.88,0.86,0.875,720000.0,0.8685,0.882,0.908,1.109,1.1943,1.1748,1.1382,1.1111,1.0548,1.0103,0.9467,0.9419,31.0881,29.0094,33.5743,41.1861,0.011494379425735113,0.015113789261837408,0.019483713025528208,,,
2006-06-05,0.875,0.88,0.83,0.835,794100.0,0.858,0.868,0.9035,1.0763,1.1805,1.1701,1.1352,1.1089,1.0534,1.0113,0.9464,0.9415,14.3127,25.8443,31.4445,39.875,-0.046792161506758995,0.02935909088977896,0.020771689236150637,,,
2006-06-06,0.825,0.88,0.815,0.87,603800.0,0.84,0.8640000000000001,0.893,1.0463,1.1678,1.1636,1.133,1.1073,1.0525,1.013,0.9464,0.9414,49.8387,33.0362,35.3113,41.559,0.041061486797773966,0.04470234559960948,0.03288387338909617,0.02786304054274398,,
2006-06-07,0.875,0.935,0.86,0.91,2324100.0,0.9052,0.871,0.89,1.0168,1.1565,1.1591,1.1315,1.1063,1.0521,1.0148,0.9465,0.9417,70.6786,40.4604,39.5106,43.4321,0.044951387862266365,0.051881714347052466,0.038251692759855155,0.03138371026863981,,
2006-06-08,0.91,0.92,0.85,0.86,656600.0,0.8815,0.87,0.883,0.9793,1.1422,1.1539,1.1291,1.1045,1.0511,1.0162,0.9463,0.9415,39.7298,35.0031,36.3354,41.7036,-0.05651221026334237,0.05749002729903258,0.04799793927817133,0.03564725361237581,,
2006-06-09,0.865,0.875,0.85,0.865,600100.0,0.8645,0.868,0.875,0.9465,1.1287,1.1478,1.1268,1.1027,1.0506,1.0177,0.9462,0.9413,43.4444,35.9746,36.8817,41.9427,0.00579711768432592,0.05117025660650312,0.047689075473005035,0.03503020974098204,,
2006-06-12,0.865,0.88,0.86,0.86,129500.0,0.868,0.873,0.8705,0.929,1.1127,1.143,1.1246,1.1006,1.0502,1.019,0.9461,0.9412,39.7679,35.3797,36.544,41.7655,-0.00579711768432592,0.033138344502936914,0.04121121869272498,0.03287923341963596,,
2006-06-13,0.86,0.86,0.835,0.835,392400.0,0.8405,0.866,0.865,0.9143,1.0945,1.1356,1.1211,1.0982,1.0489,1.0205,0.9458,0.9408,24.3273,32.3686,34.827,40.8726,-0.029500664396697962,0.01799174736913541,0.03812659959503937,0.033621351774330614,,
2006-06-14,0.83,0.86,0.83,0.855,373500.0,0.8491,0.855,0.863,0.9015,1.072,1.13,1.1184,1.0959,1.0477,1.0219,0.9456,0.9406,48.3787,37.1804,37.3625,41.9006,0.023669744085904776,0.026637212089913844,0.03128120783602414,0.03463836230085605,,
2006-06-15,0.87,0.87,0.85,0.855,167100.0,0.8590000000000001,0.8540000000000001,0.862,0.8923,1.0492,1.1206,1.1153,1.0939,1.0468,1.0234,0.9455,0.9403,48.3787,37.1804,37.3625,41.9006,0.0,0.026638438152244256,0.01930647045355852,0.03449020476013178,,
2006-06-16,0.88,0.905,0.875,0.905,418200.0,0.8897,0.862,0.865,0.8865,1.0277,1.112,1.1128,1.0927,1.0465,1.0253,0.9456,0.9402,81.4833,48.7233,43.7116,44.4828,0.05683347476316594,0.028548595036012873,0.032731827436618156,0.03902131711269131,,
2006-06-19,0.9,0.965,0.885,0.945,1217400.0,0.9322,0.879,0.8759999999999999,0.8898,1.0095,1.1044,1.1113,1.092,1.0466,1.0275,0.946,0.9403,89.536,55.9998,48.2323,46.4523,0.04324998379381655,0.02967916266433182,0.03447623363851454,0.036464871139297625,,
2006-06-20,0.94,0.965,0.93,0.94,525900.0,0.9476,0.9,0.883,0.888,0.9918,1.0966,1.1075,1.0913,1.0467,1.0298,0.9464,0.9405,82.7855,54.9041,47.7164,46.2402,-0.005305052229693179,0.03266828045418828,0.026846845479550678,0.03534260141316829,0.03249243849733199,
2006-06-21,0.94,1.02,0.935,1.01,1727000.0,0.987,0.931,0.893,0.8915,0.9755,1.0906,1.1059,1.0918,1.047,1.032,0.9471,0.941,93.3362,65.527,54.9769,49.5751,0.07182573457125563,0.038994280196528085,0.034410378974855146,0.03928816317497801,0.03531122309615083,
2006-06-22,1.05,1.07,1.0,1.02,4373100.0,1.0347,0.964,0.909,0.8959999999999999,0.9558,1.0839,1.1049,1.0924,1.0472,1.033,0.9479,0.9415,94.1098,66.7844,55.9186,50.0332,0.009852296443011638,0.04086483925649417,0.03223886461643422,0.03157214814870005,0.03517232081894153,
2006-06-23,1.02,1.03,0.995,0.995,519700.0,1.006,0.982,0.922,0.8985,0.9383,1.077,1.1026,1.0927,1.0473,1.0335,0.9486,0.942,65.5666,60.5704,52.9374,48.8847,-0.024815169119724017,0.048959174264870835,0.03864193851104937,0.03416353991522967,0.035657924273196855,
2006-06-26,1.0,1.03,0.95,1.01,1679600.0,0.9981,0.995,0.937,0.9038,0.9317,1.0688,1.1018,1.0933,1.0475,1.0337,0.9493,0.9425,72.9503,62.9005,54.5047,49.6027,0.01496287267671238,0.021641949107936032,0.03618987224488303,0.03345008842237952,0.03406033392629483,
2006-06-27,1.02,1.05,1.01,1.01,3618100.0,1.0313,1.009,0.9545,0.9098,0.9277,1.0595,1.0994,1.0933,1.0478,1.0337,0.95,0.9431,72.9503,62.9005,54.5047,49.6027,0.0,0.020091344680147883,0.03558053133295429,0.030118791207938804,0.033689954877786164,
2006-06-28,1.01,1.01,1.0,1.0,917400.0,1.0019,1.007,0.969,0.916,0.924,1.0463,1.0978,1.0935,1.0477,1.0337,0.9508,0.9438,55.1964,59.9131,53.1365,49.1105,-0.009950330853168092,0.012540363850039414,0.015937025990213807,0.03139249744759663,0.03346932605743892,
2006-06-29,1.0,1.06,1.0,1.03,2378500.0,1.0365,1.009,0.9865,0.9243,0.9237,1.0335,1.0938,1.0938,1.048,1.034,0.9517,0.9446,78.6157,65.45100000000001,56.6519,50.6308,0.02955880224154443,0.02054954773199781,0.021174131985215727,0.031144200060422088,0.033555033304609606,
2006-06-30,1.05,1.06,1.03,1.05,1633000.0,1.0468,1.02,1.001,0.933,0.9247,1.021,1.0898,1.0942,1.0487,1.0345,0.9528,0.9453,85.9564,68.6945,58.8672,51.6274,0.01923136192788762,0.020490643453764296,0.015712403380369805,0.02814339837199558,0.03363309823440556,
2006-07-03,1.05,1.1,1.04,1.08,5200000.0,1.0847,1.034,1.0145,0.9453,0.9313,1.0108,1.0864,1.0952,1.0497,1.0353,0.9539,0.9463,92.0764,72.9758,62.0039,53.0967,0.028170876966696345,0.00560501693618887,0.017593240223101488,0.026826479106644638,0.03116079007692811,
2006-07-04,1.1,1.11,1.08,1.08,1574700.0,1.0859,1.048,1.0285,0.9558,0.9348,1.001,1.083,1.0943,1.0508,1.0363,0.9551,0.9473,92.0764,72.9758,62.0039,53.0967,0.0,0.014395361057201874,0.017593240223101488,0.026466548471234967,0.030551942607190023,
2006-07-05,1.08,1.08,1.03,1.03,785700.0,1.0502,1.054,1.0305,0.9618,0.9378,0.9893,1.0786,1.0933,1.0514,1.037,0.956,0.948,34.9543,56.6373,54.0386,50.3681,-0.04740223889458396,0.038192203397801924,0.03205227790211308,0.024224520232143363,0.03206226420468282,
2006-07-06,1.02,1.03,0.995,1.03,1134900.0,1.0135,1.054,1.0315,0.9703,0.9412,0.9748,1.0734,1.0927,1.0521,1.0376,0.9569,0.9487,34.9543,56.6373,54.0386,50.3681,0.0,0.027367695385978958,0.029199382882577164,0.024067750666167256,0.028542177201670633,
