Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,7.3,7.35,7.3,7.3,40000.0,7.3013,7.4,7.495,7.49,7.555,7.615,7.663,7.7217,8.351,8.3088,7.6042,7.3789,32.2731,38.3357,46.3093,39.8344,,,,,,
2000-01-04,7.4,7.4,7.25,7.25,11000.0,7.3273,7.31,7.465,7.4725,7.54,7.6013,7.652,7.7075,8.3395,8.3025,7.6153,7.3907,25.7493,36.0339,45.3924,38.1161,-0.006872879287762146,,,,,
2000-01-05,7.1,7.25,7.1,7.1,11000.0,7.1864,7.23,7.415,7.44,7.52,7.5838,7.637,7.6908,8.318,8.2933,7.6256,7.4015,13.4838,29.9623,42.7647,33.4538,-0.02090668481931357,,,,,
2000-01-06,7.1,7.1,7.0,7.0,20000.0,7.01,7.19,7.36,7.41,7.4967,7.5638,7.627,7.6742,8.2935,8.2854,7.6353,7.4116,9.1332,26.6006,41.123,30.7532,-0.014184634991956546,0.007018967434230068,,,,
2000-01-07,7.1,7.1,7.0,7.0,20000.0,7.01,7.19,7.36,7.41,7.4967,7.5638,7.627,7.6742,8.2935,8.2854,7.6353,7.4116,9.1332,26.6006,41.123,30.7532,0.0,0.01067301342850763,,,,
2000-01-10,7.1,7.1,7.0,7.0,20000.0,7.01,7.19,7.36,7.41,7.4967,7.5638,7.627,7.6742,8.2935,8.2854,7.6353,7.4116,9.1332,26.6006,41.123,30.7532,0.0,0.0081895028309627,0.009128677457450511,,,
2000-01-11,7.15,7.15,7.0,7.0,13000.0,7.0769,7.13,7.305,7.385,7.4717,7.5438,7.617,7.6575,8.269,8.2788,7.645,7.4221,9.1332,26.6006,41.123,30.7532,0.0,2.6031257322754127e-10,0.009899661544338106,,,
2000-01-12,7.3,7.55,7.3,7.55,17000.0,7.4471,7.18,7.29,7.3875,7.4667,7.5375,7.618,7.65,8.2495,8.2767,7.6578,7.4348,81.8005,58.7872,51.9747,54.2908,0.0756374142056202,0.04366928145242205,0.03594069240760025,,,
2000-01-13,7.65,7.65,7.3,7.4,18000.0,7.3861,7.21,7.26,7.3925,7.4567,7.5263,7.616,7.64,8.2275,8.2729,7.6697,7.4441,61.636,51.8157,49.4056,49.3627,-0.020067563050809145,0.05046974041635314,0.03710163016309791,,,
2000-01-14,7.4,7.7,7.1,7.7,25000.0,7.278,7.33,7.28,7.4125,7.4567,7.5213,7.608,7.6333,8.2085,8.2696,7.6833,7.4531,77.9457,61.9645,54.0998,57.6437,0.039740328649513934,0.0483477461258772,0.03836083015530159,,,
2000-01-17,7.8,8.0,7.5,7.6,73000.0,7.7911,7.45,7.32,7.4275,7.4533,7.5163,7.596,7.63,8.1865,8.2654,7.6964,7.4616,64.2816,57.4286,52.4226,54.4474,-0.013072081567353067,0.03269829593862037,0.04037721384598898,0.03054546641520487,,
2000-01-18,7.6,7.65,7.35,7.35,101000.0,7.4856,7.52,7.325,7.43,7.445,7.5075,7.577,7.6192,8.1635,8.2592,7.7081,7.4688,38.785,47.6237,48.5315,47.3749,-0.033447934067539986,0.037773111771833394,0.04614262352108987,0.03268059286808612,,
2000-01-19,7.4,7.5,7.35,7.35,235000.0,7.4247,7.48,7.33,7.4125,7.4367,7.4988,7.558,7.6075,8.141,8.2521,7.7181,7.4766,38.785,47.6237,48.5315,47.3749,0.0,0.016856348828653056,0.02796198066553267,0.03175271195847669,,
2000-01-20,7.35,7.5,7.3,7.3,375000.0,7.3912,7.46,7.335,7.4,7.4267,7.4888,7.548,7.5992,8.119,8.2488,7.7303,7.4841,32.9108,45.6509,47.7726,45.9892,-0.0068259650703996755,0.01767336661860397,0.026825866139936407,0.031381447534264514,,
2000-01-21,7.4,7.7,7.3,7.7,141000.0,7.3911,7.46,7.395,7.405,7.425,7.4888,7.546,7.5967,8.101,8.2458,7.7436,7.4946,76.1881,60.411,53.7572,56.8599,0.05334598070529273,0.03294705478740258,0.032334312527258935,0.034923165289740266,,
2000-01-24,7.75,7.75,7.5,7.5,7000.0,7.6286,7.44,7.445,7.4025,7.4217,7.4838,7.54,7.5967,8.081,8.2417,7.7564,7.5043,51.3465,52.4054,50.7493,51.3002,-0.026317308317373556,0.04152672861726746,0.034163815875418876,0.0366691656536208,,
2000-01-25,7.4,7.7,7.4,7.45,13000.0,7.4462,7.46,7.49,7.3975,7.42,7.4763,7.533,7.5958,8.0605,8.235,7.7686,7.5151,45.7523,50.5223,50.0254,49.9844,-0.006688988150796327,0.04150443361060378,0.029971680862780965,0.03686946371818738,,
2000-01-26,7.5,7.6,7.45,7.45,30000.0,7.5133,7.48,7.48,7.385,7.4183,7.47,7.526,7.595,8.04,8.23,7.7808,7.5277,45.7523,50.5223,50.0254,49.9844,0.0,0.013678536910764314,0.029971680862780965,0.027655814838474527,,
2000-01-27,7.35,7.5,7.35,7.4,8000.0,7.425,7.5,7.48,7.37,7.4217,7.4625,7.517,7.5933,8.017,8.2233,7.7928,7.5387,36.7448,48.3247,49.2733,48.5404,-0.006734032181344052,0.0038749576527912885,0.029964401265541132,0.026965029321091183,,
2000-01-28,7.3,7.4,7.3,7.35,139000.0,7.3453,7.43,7.445,7.3625,7.4233,7.4538,7.506,7.5808,7.9925,8.2154,7.8053,7.5495,28.3675,46.0702,48.5186,47.0759,-0.006779686985379119,0.0039011414868006574,0.009947766755133437,0.02308023325889984,,
2000-01-31,7.35,7.4,7.35,7.4,12000.0,7.3542,7.41,7.425,7.3725,7.4267,7.4463,7.498,7.5675,7.9705,8.2063,7.8181,7.5605,46.6217,48.7595,49.3216,48.7414,0.006779686985379119,0.007815362142996152,0.0060411623089621546,0.02312922871824205,0.02659238435068455,
