Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,4.267,4.267,4.267,4.267,1500.0,4.2667,4.1267,4.0733,4.0733,4.0422,4.0067,3.956,3.9022,3.874,3.9369,3.9181,3.9395,96.3547,77.1148,71.8683,69.2117,,,,,,
2000-01-04,4.333,4.533,4.333,4.333,33000.0,4.4061,4.18,4.1067,4.09,4.0567,4.0167,3.97,3.9122,3.8753,3.9381,3.9209,3.9391,97.6094,80.7841,75.1062,71.004,0.015349138551909336,,,,,
2000-01-05,4.333,4.4,4.333,4.4,19500.0,4.3641,4.2467,4.1467,4.1083,4.0722,4.0283,3.9853,3.9244,3.8777,3.9403,3.9246,3.9396,98.4234,83.7206,77.8516,72.651,0.015344398166443174,,,,,
2000-01-06,4.467,4.5,4.467,4.5,12000.0,4.4875,4.3267,4.1967,4.1317,4.0911,4.0442,4.0033,3.9406,3.8817,3.9439,3.929,3.9406,99.1073,87.058,81.2007,74.8662,0.022472855852058604,0.004114249215010965,,,,
2000-01-07,4.467,4.5,4.467,4.5,12000.0,4.4875,4.3267,4.1967,4.1317,4.0911,4.0442,4.0033,3.9406,3.8817,3.9439,3.929,3.9406,99.1073,87.058,81.2007,74.8662,0.0,0.011484008549669978,,,,
2000-01-10,4.467,4.5,4.467,4.5,12000.0,4.4875,4.3267,4.1967,4.1317,4.0911,4.0442,4.0033,3.9406,3.8817,3.9439,3.929,3.9406,99.1073,87.058,81.2007,74.8662,0.0,0.01297470937564569,0.010133395281607808,,,
2000-01-11,4.567,4.6,4.533,4.533,12000.0,4.55,4.4067,4.2433,4.1567,4.1111,4.0608,4.0193,3.9561,3.8867,3.9481,3.9337,3.9418,99.2664,87.9819,82.1686,75.5492,0.0073065751824381575,0.004218453148434906,0.009831503620800465,,,
2000-01-12,4.6,4.6,4.6,4.6,4500.0,4.6,4.4733,4.3,4.1783,4.1322,4.0792,4.0347,3.9722,3.892,3.9525,3.9387,3.9435,99.522,89.6452,83.9486,76.8506,0.014672331536336847,0.007336185660521013,0.00972754805469315,,,
2000-01-13,4.6,4.633,4.6,4.6,13500.0,4.6037,4.5267,4.3533,4.2033,4.1522,4.0983,4.05,3.9883,3.8973,3.9553,3.9431,3.945,99.522,89.6452,83.9486,76.8506,0.0,0.007336185660521013,0.0065583703291725495,,,
2000-01-14,4.567,4.567,4.533,4.567,10500.0,4.5619,4.56,4.4033,4.225,4.1689,4.115,4.0647,4.0039,3.9023,3.9572,3.9474,3.9468,71.4976,82.4264,79.355,74.7225,-0.007199769292187241,0.01114676922719487,0.008318885905797949,,,
2000-01-17,4.633,4.633,4.533,4.567,40500.0,4.5691,4.5733,4.45,4.245,4.1878,4.1308,4.08,4.0194,3.9073,3.9592,3.952,3.9491,71.4976,82.4264,79.355,74.7225,0.0,0.004156788738947503,0.008318885905797949,0.009631639910764473,,
2000-01-18,4.533,4.533,4.467,4.467,3000.0,4.5,4.56,4.4833,4.265,4.2022,4.1442,4.0933,4.0339,3.9117,3.9608,3.9561,3.9506,24.6481,63.1257,66.6635,68.6219,-0.02213949183288033,0.011292985183081503,0.013362702987035641,0.012729557301923712,,
2000-01-19,4.467,4.5,4.4,4.5,10500.0,4.4571,4.54,4.5067,4.29,4.2178,4.1583,4.1067,4.0478,3.9167,3.9628,3.9607,3.9521,43.2433,66.1022,68.4735,69.4811,0.0073603544062925685,0.015354547880781385,0.011175353745571156,0.012107657229146805,,
2000-01-20,4.467,4.467,4.467,4.467,6000.0,4.4667,4.5133,4.52,4.3133,4.2333,4.1725,4.1173,4.0617,3.9213,3.9625,3.9655,3.9551,31.5606,60.5992,64.691,67.5672,-0.0073603544062925685,0.014749932763427162,0.010933720338685934,0.01007521316213178,,
2000-01-21,4.467,4.6,4.467,4.6,13500.0,4.5,4.52,4.54,4.3433,4.2522,4.1892,4.1307,4.0778,3.9267,3.9653,3.9713,3.9581,73.8878,71.3371,71.4781,70.8857,0.029339261125067573,0.018469043417961063,0.019032417347668903,0.013870399230695097,,
2000-01-24,4.633,4.667,4.6,4.633,31500.0,4.6413,4.5333,4.5533,4.375,4.2722,4.2067,4.146,4.095,3.9327,3.9683,3.9776,3.961,78.8037,73.3777,72.8815,71.6363,0.0071483029394621145,0.018483332777223294,0.019165227467453486,0.013928618851893464,,
2000-01-25,4.633,4.667,4.6,4.6,27000.0,4.6296,4.56,4.56,4.4017,4.2911,4.2233,4.1607,4.1094,3.9387,3.9711,3.9846,3.9631,61.4506,67.9365,69.2139,69.7755,-0.0071483029394621145,0.018385564519552373,0.01499316426319864,0.014169927879867716,,
2000-01-26,4.6,4.667,4.6,4.6,30000.0,4.6217,4.58,4.56,4.43,4.3056,4.2392,4.1753,4.1222,3.9447,3.9733,3.9919,3.9661,61.4506,67.9365,69.2139,69.7755,0.0,0.0071483029394621075,0.015170275723180303,0.013388768608405849,,
2000-01-27,4.6,4.6,4.6,4.6,1500.0,4.6,4.6067,4.56,4.4567,4.3222,4.2542,4.1907,4.135,3.952,3.9761,3.9989,3.9691,61.4506,67.9365,69.2139,69.7755,0.0,0.00412707462634743,0.014060852254758302,0.013388768608405849,,
2000-01-28,4.6,4.6,4.533,4.533,15000.0,4.5867,4.5933,4.5567,4.48,4.3356,4.2658,4.2033,4.1467,3.958,3.9783,4.0054,3.9716,24.7147,56.0921,61.4849,65.9807,-0.014672331536336847,0.008471074562143506,0.008282788177878165,0.014028498137114,,
2000-01-31,4.6,4.6,4.533,4.533,15000.0,4.5867,4.5933,4.5567,4.48,4.3356,4.2658,4.2033,4.1467,3.958,3.9783,4.0054,3.9716,24.7147,56.0921,61.4849,65.9807,0.0,0.008471074562143506,0.006541168279467021,0.014028498137114,0.012334162352988072,
2000-02-01,4.6,4.6,4.533,4.533,15000.0,4.5867,4.5933,4.5567,4.48,4.3356,4.2658,4.2033,4.1467,3.958,3.9783,4.0054,3.9716,24.7147,56.0921,61.4849,65.9807,0.0,0.008471074562143506,0.006561666140732622,0.0118560991220277,0.011999878501831996,
2000-02-02,4.6,4.6,4.6,4.6,1500.0,4.6,4.5867,4.56,4.505,4.35,4.2808,4.2167,4.16,3.9667,3.9811,4.0106,3.9746,60.3076,63.292,65.6194,67.7927,0.014672331536336847,0.008471074562143511,0.010374905125161019,0.012469567049193034,0.011962180299952356,
2000-02-03,4.6,4.6,4.533,4.533,12000.0,4.5833,4.5733,4.5667,4.525,4.3656,4.2933,4.2287,4.1722,3.974,3.9828,4.0157,3.9775,35.2849,53.4347,58.8195,64.2523,-0.014672331536336847,0.014672331536336842,0.012275753292508339,0.013280347924550533,0.011528358885683949,
2000-02-04,4.6,4.6,4.533,4.533,12000.0,4.5833,4.5733,4.5667,4.525,4.3656,4.2933,4.2287,4.1722,3.974,3.9828,4.0157,3.9775,35.2849,53.4347,58.8195,64.2523,0.0,0.014672331536336842,0.010374905125161019,0.008984558832265633,0.011528358885683949,
2000-02-07,4.6,4.6,4.533,4.533,12000.0,4.5833,4.5733,4.5667,4.525,4.3656,4.2933,4.2287,4.1722,3.974,3.9828,4.0157,3.9775,35.2849,53.4347,58.8195,64.2523,0.0,0.008471074562143502,0.010374905125161019,0.008493894304853698,0.011528358885683949,
2000-02-08,4.533,4.533,4.533,4.533,4500.0,4.5333,4.56,4.57,4.5383,4.3833,4.3058,4.2407,4.1839,3.9857,3.9847,4.0206,3.9801,35.2849,53.4347,58.8195,64.2523,0.0,0.0,0.010374905125161019,0.008328693420708225,0.011412000549960425,
