Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,1.2,1.2,1.15,1.18,8000.0,1.175,1.084,1.051,1.0265,1.041,1.0503,1.0598,1.085,1.1767,1.1556,1.0981,1.0958,95.1314,77.6573,71.595,54.175,,,,,,
2000-01-04,1.18,1.18,1.16,1.16,5000.0,1.164,1.106,1.067,1.033,1.0443,1.053,1.0622,1.0835,1.1758,1.157,1.0989,1.0963,77.8204,71.0543,67.117,52.5016,-0.01709443335930011,,,,,
2000-01-05,1.15,1.15,1.15,1.15,1000.0,1.15,1.128,1.08,1.0405,1.0467,1.0548,1.065,1.0812,1.1758,1.1582,1.0997,1.097,68.4751,67.811,64.9303,51.6759,-0.008658062743114592,,,,,
2000-01-06,1.15,1.15,1.12,1.12,8000.0,1.1288,1.142,1.087,1.0455,1.0467,1.0558,1.067,1.0782,1.176,1.1596,1.1001,1.0976,44.453,58.7591,58.7465,49.2713,-0.026433257068155358,0.008891414498751747,,,,
2000-01-07,1.15,1.15,1.12,1.12,8000.0,1.1288,1.142,1.087,1.0455,1.0467,1.0558,1.067,1.0782,1.176,1.1596,1.1001,1.0976,44.453,58.7591,58.7465,49.2713,0.0,0.013476131139832972,,,,
2000-01-10,1.15,1.15,1.12,1.12,8000.0,1.1288,1.142,1.087,1.0455,1.0467,1.0558,1.067,1.0782,1.176,1.1596,1.1001,1.0976,44.453,58.7591,58.7465,49.2713,0.0,0.015261248083858075,0.011415211504550781,,,
2000-01-11,1.15,1.15,1.15,1.15,1000.0,1.15,1.152,1.101,1.0535,1.0477,1.057,1.066,1.077,1.1751,1.1613,1.1009,1.0974,63.6049,64.1438,62.584,51.6011,0.026433257068155358,0.01526124808385808,0.01908797919394126,,,
2000-01-12,1.1,1.11,1.1,1.11,4000.0,1.105,1.138,1.111,1.0595,1.0473,1.0578,1.0658,1.0752,1.1752,1.1626,1.1013,1.0974,37.6455,53.6387,55.2096,48.527,-0.03540192705091577,0.031025805155249327,0.02449526132539241,,,
2000-01-13,1.1,1.11,1.1,1.11,4000.0,1.105,1.138,1.111,1.0595,1.0473,1.0578,1.0658,1.0752,1.1752,1.1626,1.1013,1.0974,37.6455,53.6387,55.2096,48.527,0.0,0.031025805155249327,0.02199958016586688,,,
2000-01-14,1.1,1.12,1.08,1.12,10000.0,1.102,1.13,1.118,1.066,1.048,1.0588,1.0656,1.0755,1.1758,1.164,1.1016,1.0972,45.9221,55.6801,56.5868,49.308,0.008968669982760413,0.023460901379752735,0.02254135399332311,,,
2000-01-17,1.16,1.16,1.14,1.15,42000.0,1.1521,1.13,1.129,1.0735,1.0497,1.0605,1.0656,1.075,1.1758,1.1656,1.1025,1.0967,66.1444,61.4144,60.5098,51.5877,0.026433257068155358,0.01344225875460295,0.02545301663258288,0.020359947922494948,,
2000-01-18,1.15,1.16,1.15,1.15,28000.0,1.1539,1.136,1.139,1.081,1.0547,1.0618,1.0654,1.0747,1.1758,1.1672,1.103,1.0965,66.1444,61.4144,60.5098,51.5877,0.0,0.01344225875460295,0.02254135399332311,0.019712800588249823,,
2000-01-19,1.15,1.15,1.12,1.13,11000.0,1.1373,1.132,1.142,1.0875,1.059,1.0635,1.066,1.0742,1.1756,1.1686,1.1035,1.0964,42.3752,55.3698,56.5582,49.984,-0.017544309650909515,0.022137999965699946,0.015993577005917473,0.02029479199446083,,
2000-01-20,1.18,1.19,1.15,1.19,11000.0,1.1809,1.148,1.143,1.097,1.0653,1.0665,1.0688,1.0737,1.1757,1.1705,1.1045,1.0968,77.9813,66.4983,64.1269,54.3848,0.05173567439918887,0.03601874279836303,0.02643336752320423,0.024376710124095705,,
2000-01-21,1.15,1.19,1.15,1.17,16000.0,1.1638,1.158,1.144,1.1055,1.07,1.0693,1.0712,1.0758,1.1754,1.1721,1.1053,1.0973,59.5756,60.812,60.3523,52.7834,-0.01694955831377329,0.03982823770469197,0.02995365244230146,0.025412347950339535,,
2000-01-24,1.18,1.25,1.18,1.2,24000.0,1.2004,1.168,1.149,1.1145,1.0767,1.0723,1.0736,1.079,1.1755,1.1737,1.1061,1.0977,73.5971,65.7537,63.7949,54.8466,0.025317807984289897,0.034646055842197154,0.029792606376968518,0.026178506327532984,,
2000-01-25,1.18,1.18,1.18,1.18,6000.0,1.18,1.174,1.155,1.121,1.082,1.0738,1.0756,1.0817,1.1754,1.1751,1.1068,1.0982,54.6436,60.0723,60.0514,53.2421,-0.016807118316381264,0.024362060527127284,0.03186888274566242,0.026164591031873644,,
2000-01-26,1.18,1.22,1.18,1.18,8000.0,1.1975,1.184,1.158,1.1295,1.0883,1.0753,1.0772,1.0813,1.1752,1.1758,1.1076,1.0989,54.6436,60.0723,60.0514,53.2421,0.0,0.0212052668106581,0.02963281745849052,0.022608525270833593,,
2000-01-27,1.18,1.18,1.16,1.16,6000.0,1.1717,1.178,1.163,1.137,1.094,1.0763,1.0788,1.082,1.1751,1.1761,1.1081,1.0997,34.5967,54.1506,56.225,51.6258,-0.01709443335930011,0.009787589317687612,0.018524226730692265,0.02374022948318715,,
2000-01-28,1.11,1.11,1.11,1.11,3000.0,1.11,1.166,1.162,1.14,1.098,1.0765,1.0794,1.0817,1.1742,1.1755,1.1084,1.1004,14.5624,42.3964,47.992,47.8678,-0.04405998979403036,0.022213522857185558,0.025508334151307287,0.028125347777719276,,
2000-01-31,1.11,1.11,1.11,1.11,3000.0,1.11,1.166,1.162,1.14,1.098,1.0765,1.0794,1.0817,1.1742,1.1755,1.1084,1.1004,14.5624,42.3964,47.992,47.8678,0.0,0.022213522857185558,0.018030399253481145,0.026464470247992398,0.022985941424343577,
2000-02-01,1.11,1.11,1.11,1.11,3000.0,1.11,1.166,1.162,1.14,1.098,1.0765,1.0794,1.0817,1.1742,1.1755,1.1084,1.1004,14.5624,42.3964,47.992,47.8678,0.0,0.025438046968075584,0.019271284715103268,0.026464470247992398,0.022753167444921993,
2000-02-02,1.11,1.15,1.11,1.15,10000.0,1.117,1.156,1.162,1.1455,1.103,1.0778,1.0808,1.0817,1.1737,1.1743,1.1088,1.1011,49.5913,51.8106,53.8181,50.83,0.03540192705091577,0.020439312112677716,0.028957557650564198,0.028564462519268734,0.024183317945536947,
2000-02-03,1.2,1.25,1.2,1.25,3000.0,1.2167,1.17,1.172,1.1555,1.1113,1.084,1.0838,1.0832,1.1739,1.1747,1.1097,1.1023,80.1343,66.9856,64.5191,57.1297,0.08338160893905114,0.04184861411936657,0.04751407732876127,0.03560287385812222,0.02970259146984732,
2000-02-04,1.2,1.25,1.2,1.25,3000.0,1.2167,1.17,1.172,1.1555,1.1113,1.084,1.0838,1.0832,1.1739,1.1747,1.1097,1.1023,80.1343,66.9856,64.5191,57.1297,0.0,0.04184861411936657,0.036687475600425484,0.034841410196624456,0.02970259146984732,
2000-02-07,1.2,1.25,1.2,1.25,3000.0,1.2167,1.17,1.172,1.1555,1.1113,1.084,1.0838,1.0832,1.1739,1.1747,1.1097,1.1023,80.1343,66.9856,64.5191,57.1297,0.0,0.04814039436642529,0.036687475600425484,0.034246049574526746,0.02970259146984732,
2000-02-08,1.24,1.24,1.24,1.24,4000.0,1.24,1.182,1.183,1.1625,1.1193,1.09,1.0874,1.0855,1.174,1.1752,1.1104,1.1039,73.458,64.6938,62.9483,56.3824,-0.008032171697264279,0.0046373764915928675,0.03813506257966074,0.03376030151564429,0.029422084364414514,
2000-02-09,1.2,1.21,1.2,1.21,2000.0,1.205,1.192,1.185,1.164,1.1263,1.0953,1.0902,1.0882,1.1737,1.1746,1.1113,1.1047,53.4274,57.9966,58.358,54.1828,-0.024491020008295783,0.012484787616312797,0.04212927376476706,0.03502473192275222,0.02875108242863547,
