Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.45,2.5,2.45,2.5,16000.0,2.4875,2.45,2.4263,2.3744,2.3421,2.3231,2.319,2.3675,2.403,2.3617,2.3032,2.2539,88.3157,81.443,79.8987,75.4101,,,,,,
2000-01-04,2.5,2.5,2.5,2.5,4000.0,2.5,2.4625,2.44,2.3844,2.3488,2.3294,2.3205,2.365,2.4053,2.3658,2.3063,2.2578,88.3157,81.443,79.8987,75.4101,0.0,,,,,
2000-01-05,2.5,2.5,2.5,2.5,4000.0,2.5,2.4625,2.44,2.3844,2.3488,2.3294,2.3205,2.365,2.4053,2.3658,2.3063,2.2578,88.3157,81.443,79.8987,75.4101,0.0,,,,,
2000-01-06,2.475,2.488,2.475,2.475,28000.0,2.4768,2.475,2.445,2.3931,2.3554,2.335,2.322,2.3621,2.4073,2.3698,2.3085,2.2616,53.1365,69.5155,72.1636,71.8391,-0.010050335853501458,0.005802564110465213,,,,
2000-01-07,2.475,2.488,2.475,2.475,28000.0,2.4768,2.475,2.445,2.3931,2.3554,2.335,2.322,2.3621,2.4073,2.3698,2.3085,2.2616,53.1365,69.5155,72.1636,71.8391,0.0,0.005802564110465213,,,,
2000-01-10,2.475,2.488,2.475,2.475,28000.0,2.4768,2.475,2.445,2.3931,2.3554,2.335,2.322,2.3621,2.4073,2.3698,2.3085,2.2616,53.1365,69.5155,72.1636,71.8391,0.0,0.005802564110465213,0.004494646833026525,,,
2000-01-11,2.5,2.5,2.5,2.5,12000.0,2.5,2.49,2.4525,2.4031,2.3621,2.3413,2.3245,2.36,2.4093,2.3739,2.3113,2.2653,70.6645,73.8276,74.7917,73.1542,0.010050335853501458,0.005802564110465213,0.007106660635213168,,,
2000-01-12,2.5,2.525,2.5,2.525,20000.0,2.51,2.5,2.465,2.4144,2.3713,2.3481,2.3275,2.3575,2.4116,2.3778,2.314,2.2692,81.2076,77.4208,77.1183,74.3914,0.009950330853167988,0.0057739116702598195,0.008384893690535963,,,
2000-01-13,2.55,2.55,2.525,2.525,8000.0,2.5375,2.505,2.4775,2.4256,2.3804,2.3544,2.333,2.3558,2.414,2.3815,2.3169,2.2731,81.2076,77.4208,77.1183,74.3914,0.0,0.005773911670259819,0.005477522275477949,,,
2000-01-14,2.625,2.625,2.625,2.625,12000.0,2.625,2.53,2.4963,2.4419,2.3929,2.3631,2.3395,2.3554,2.4169,2.3854,2.3202,2.2777,95.5622,86.679,83.9781,78.6108,0.03883983331626395,0.020174840307868203,0.015938240949843602,,,
2000-01-17,2.65,2.65,2.65,2.65,20000.0,2.65,2.565,2.52,2.4594,2.4063,2.3725,2.3465,2.3558,2.4196,2.3902,2.3238,2.2822,96.5503,88.0564,85.1747,79.4849,0.009478743954543734,0.02025032019293311,0.014704538026709995,0.013165106486545727,,
2000-01-18,2.675,2.675,2.65,2.65,16000.0,2.6688,2.595,2.5425,2.4731,2.4188,2.3822,2.3545,2.3563,2.422,2.3944,2.3273,2.2867,96.5503,88.0564,85.1747,79.4849,0.0,0.02025032019293311,0.015955682312944263,0.013165106486545727,,
2000-01-19,2.675,2.675,2.65,2.65,16000.0,2.6688,2.595,2.5425,2.4731,2.4188,2.3822,2.3545,2.3563,2.422,2.3944,2.3273,2.2867,96.5503,88.0564,85.1747,79.4849,0.0,0.00547255537373536,0.016818459033870817,0.013165106486545727,,
2000-01-20,2.7,2.7,2.7,2.7,8000.0,2.7,2.63,2.565,2.4894,2.4321,2.3928,2.3645,2.3592,2.4248,2.399,2.331,2.2917,98.2769,90.5339,87.3638,81.1351,0.018692133012152667,0.010791908026294632,0.016199444566169577,0.01243067638200624,,
2000-01-21,2.7,2.725,2.675,2.7,36000.0,2.7,2.665,2.585,2.5056,2.4446,2.4028,2.3755,2.3633,2.4279,2.4035,2.3347,2.2963,98.2769,90.5339,87.3638,81.1351,0.0,0.010791908026294632,0.00837440686982155,0.012430676382006242,,
2000-01-24,2.75,2.75,2.7,2.7,32000.0,2.7188,2.68,2.605,2.5225,2.4579,2.4128,2.3845,2.3679,2.4311,2.408,2.3381,2.3008,98.2769,90.5339,87.3638,81.1351,0.0,0.010791908026294632,0.00835937601192825,0.012430676382006242,,
2000-01-25,2.7,2.725,2.7,2.725,28000.0,2.7143,2.695,2.63,2.5375,2.4721,2.4241,2.394,2.3733,2.4346,2.4127,2.341,2.3056,99.0658,91.752,88.4306,81.9393,0.009216655104923976,0.0053212383058557945,0.0083450955212381,0.012423415874889437,,
2000-01-26,2.725,2.725,2.7,2.7,32000.0,2.7063,2.705,2.65,2.5513,2.4854,2.4341,2.403,2.3788,2.4374,2.4172,2.3438,2.3102,58.7297,80.1496,81.0606,78.4786,-0.009216655104923976,0.009216655104923975,0.010599647775768875,0.013616268900426642,,
2000-01-27,2.7,2.7,2.7,2.7,4000.0,2.7,2.705,2.6675,2.5663,2.4988,2.4453,2.412,2.3842,2.4406,2.4217,2.3468,2.3149,58.7297,80.1496,81.0606,78.4786,0.0,0.009216655104923975,0.006517159324549351,0.013616268900426642,,
2000-01-28,2.7,2.7,2.7,2.7,4000.0,2.7,2.705,2.685,2.5813,2.5121,2.4566,2.4205,2.3917,2.4439,2.426,2.3488,2.3188,58.7297,80.1496,81.0606,78.4786,0.0,0.0053212383058557945,0.006517159324549351,0.007672288194381234,,
2000-01-31,2.7,2.725,2.7,2.7,20000.0,2.705,2.705,2.6925,2.5944,2.5254,2.4678,2.429,2.3983,2.4461,2.4298,2.3501,2.3227,58.7297,80.1496,81.0606,78.4786,0.0,0.0,0.006517159324549351,0.007335982215050608,0.010569434658902144,
2000-02-01,2.7,2.725,2.7,2.7,20000.0,2.705,2.705,2.6925,2.5944,2.5254,2.4678,2.429,2.3983,2.4461,2.4298,2.3501,2.3227,58.7297,80.1496,81.0606,78.4786,0.0,0.0,0.004121813467956087,0.007335982215050608,0.010569434658902144,
2000-02-02,2.75,2.775,2.75,2.75,24000.0,2.7542,2.71,2.7025,2.6113,2.5404,2.4803,2.4385,2.4058,2.4491,2.4331,2.3515,2.3266,91.9434,85.8727,84.5292,80.3769,0.01834913866819643,0.01059388014948098,0.008205984278131432,0.008936657393288788,0.011005227214835931,
2000-02-03,2.775,2.775,2.725,2.725,92000.0,2.7391,2.715,2.71,2.6263,2.5521,2.4916,2.4478,2.4138,2.4524,2.4367,2.3535,2.3306,57.336,73.8897,76.9417,76.8699,-0.009132483563272453,0.013996027450502444,0.010038722523726793,0.008038047962396464,0.010941923988652472,
