Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2002-12-30,2.0,2.0,1.08,1.08,1332000.0,1.1914,16.416,19.008,19.964,19.4693,21.117,21.6256,21.4947,19.1208,17.6823,16.516,17.7434,1.0246,5.1903,13.9092,28.4419,,,,,,
2002-12-31,1.08,1.17,1.08,1.11,914000.0,1.1372,12.598,16.939,18.9995,18.8197,20.3348,21.2798,21.1865,19.0139,17.6216,16.3377,17.625999999999998,1.2522,5.3285,14.0109,28.4876,0.02739897418811446,,,,,
2003-01-01,1.08,1.17,1.08,1.11,914000.0,1.1372,12.598,16.939,18.9995,18.8197,20.3348,21.2798,21.1865,19.0139,17.6216,16.3377,17.625999999999998,1.2522,5.3285,14.0109,28.4876,0.0,,,,,
2003-01-02,1.11,1.11,1.07,1.1,152500.0,1.0866,8.777999999999999,14.829,17.9945,18.1763,19.6323,20.9378,20.8582,18.9089,17.5557,16.1572,17.5065,1.2508,5.3256,14.005,28.4813,-0.00904983551991792,0.018978580200807463,,,,
2003-01-03,1.1,1.11,1.04,1.04,179500.0,1.0757,4.946000000000001,12.693,17.0465,17.6243,18.9533,20.6026,20.5388,18.7913,17.4944,15.9818,17.3907,1.238,5.306,13.9667,28.4424,-0.056089466651043605,0.030112717936359466,,,,
2003-01-06,1.04,1.04,0.96,1.0,367500.0,0.9803,1.0659999999999998,10.613,16.1265,16.991,18.3383,20.2106,20.1922,18.6733,17.4327,15.8852,17.2777,1.2255,5.2915,13.9394,28.4157,-0.03922071315328133,0.02383122461074974,0.03291008792299737,,,
2003-01-07,1.0,1.0,0.91,0.94,426500.0,0.9337,1.038,8.727,15.1535,16.4223,17.6668,19.8534,19.8245,18.5627,17.3672,15.8037,17.1674,1.1982,5.267,13.8955,28.3742,-0.06187540371808753,0.011770492179593141,0.02769438033621876,,,
2003-01-08,0.95,1.12,0.95,1.11,1335500.0,1.0684,1.038,6.818,14.169,15.845999999999998,17.0445,19.4796,19.4797,18.4458,17.2898,15.7299,17.0619,9.7452,6.6406,14.7155,28.6791,0.16623541904233038,0.1256715326567653,0.09516954904516935,,,
2003-01-09,1.11,1.19,1.09,1.13,756500.0,1.1456,1.044,4.9110000000000005,13.1955,15.2637,16.4478,19.0902,19.1485,18.3291,17.2042,15.6384,16.9536,11.1022,6.8194,14.8183,28.716,0.017857617400006257,0.11576403740458582,0.09529056227347941,,,
2003-01-10,1.13,1.14,1.08,1.14,187000.0,1.1048,1.064,3.005,12.2225,14.7483,15.9763,18.433,18.8242,18.2205,17.1271,15.5547,16.8373,12.0936,6.9197,14.8735,28.7351,0.008810629682154889,0.08839342388065552,0.08903909386378499,,,
2003-01-13,1.14,1.21,1.14,1.17,940000.0,1.1813,1.098,1.082,11.151,14.194,15.3955,17.7684,18.5003,18.1122,17.0435,15.479,16.7211,16.2941,7.2566,15.0515,28.7942,0.025975486403260695,0.008586618369853527,0.08307224610224058,0.06447242315881219,,
2003-01-14,1.18,1.19,1.15,1.17,359000.0,1.1703,1.144,1.091,10.0495,13.673,14.8748,17.1118,18.2032,18.0039,16.9616,15.3999,16.588,16.2941,7.2566,15.0515,28.7942,0.0,0.013209752682129306,0.06914449625677527,0.06413794472576036,,
2003-01-15,1.16,1.16,1.14,1.16,70000.0,1.1484,1.154,1.096,9.0175,13.0317,14.3888,16.487000000000002,17.9158,17.8935,16.8812,15.3231,16.4518,15.7303,7.2455,15.0394,28.7857,-0.008583743691391477,0.01799419783513837,0.013753833139497492,0.06427352335139869,,
2003-01-16,1.15,1.15,1.12,1.13,238500.0,1.1397,1.154,1.099,7.963999999999999,12.3627,13.907,15.9256,17.6313,17.7808,16.799,15.2471,16.3174,13.6112,7.2085,15.0002,28.7593,-0.026202372394024107,0.013358274914797486,0.019446066852429826,0.06489835145994242,,
2003-01-17,1.14,1.2,1.14,1.16,1043500.0,1.1769,1.158,1.111,6.902,11.7347,13.496,15.3848,17.354,17.6644,16.717,15.1713,16.1812,28.1336,7.7398,15.2378,28.8269,0.026202372394024107,0.026666918413300343,0.02269934274865991,0.06175817788001729,,
2003-01-20,1.16,1.19,1.16,1.17,107500.0,1.1732,1.158,1.128,5.8705,11.127,13.0253,14.8962,17.0302,17.5121,16.6367,15.0923,16.0031,33.7058,7.9374,15.3228,28.8502,0.008583743691391477,0.02666691841330034,0.019496730172449753,0.05924478406819452,,
2003-01-21,1.18,1.22,1.16,1.2,523500.0,1.1993,1.164,1.154,4.9405,10.487,12.6053,14.3642,16.7368,17.3681,16.5567,15.0101,15.8311,50.8535,8.5984,15.5961,28.9223,0.025317807984289897,0.009926626141469627,0.022545970097629136,0.05260305011343909,,
2003-01-22,1.19,1.21,1.17,1.17,347000.0,1.1892,1.166,1.16,3.989,9.8327,12.1745,13.8676,16.4263,17.2298,16.4748,14.9288,15.6519,36.6382,8.5295,15.542,28.892,-0.025317807984289897,0.025798287146938135,0.026048301120306257,0.019990509061626173,,
2003-01-23,1.14,1.16,1.13,1.16,316000.0,1.1437,1.172,1.163,3.037,9.1847,11.7385,13.3908,16.1023,17.0974,16.3795,14.8474,15.4747,32.1453,8.5039,15.5227,28.8815,-0.008583743691391477,0.02579828714693814,0.022240703501900837,0.01988815969661352,,
2003-01-24,1.15,1.15,1.1,1.13,313500.0,1.1235,1.166,1.162,2.0835,8.5357,11.3518,13.0134,15.5545,16.9607,16.2856,14.7659,15.3064,20.7145,8.4188,15.4607,28.8492,-0.026202372394024107,0.009926626141469674,0.022240703501900837,0.02167866565468603,,
2003-01-27,1.08,1.08,1.02,1.02,482500.0,1.0577,1.136,1.147,1.1145,7.8163,10.9323,12.5458,14.9982,16.8069,16.2008,14.6838,15.1465,7.0081,8.085,15.2205,28.7272,-0.10241500542806939,0.04987164723975644,0.04681407791736703,0.03677126941443139,0.05228420335398222,
2003-01-28,1.02,1.07,1.0,1.07,624000.0,1.0398,1.11,1.137,1.114,7.0787,10.539,12.1272,14.4493,16.6556,16.1197,14.6031,14.9758,35.9183,9.9116,15.8604,28.8687,0.047856021177635134,0.0751380868019333,0.05373721235527387,0.04155785141909747,0.05310100611617176,
2003-01-29,1.07,1.07,1.04,1.04,194500.0,1.0432,1.084,1.125,1.1105,6.3867,10.055,11.736,13.9267,16.458,16.03,14.5211,14.815,28.0656,9.7804,15.7834,28.8331,-0.028437935320533535,0.07513849006664525,0.05378992596720284,0.042011026065279226,0.05342901311568652,
2003-01-30,1.0,1.04,1.0,1.04,63500.0,1.0205,1.06,1.116,1.1075,5.6813,9.551,11.3488,13.4573,16.2584,15.942,14.4402,14.6522,28.0656,9.7804,15.7834,28.8331,0.0,0.038556630917810496,0.05451929821408336,0.04176837207369764,0.05341569102494546,
2003-01-31,1.0,1.04,1.0,1.04,63500.0,1.0205,1.06,1.116,1.1075,5.6813,9.551,11.3488,13.4573,16.2584,15.942,14.4402,14.6522,28.0656,9.7804,15.7834,28.8331,0.0,0.016418649612507184,0.055249548716316835,0.040154158718297306,0.0519223904901586,
2003-02-03,1.0,1.04,1.0,1.04,63500.0,1.0205,1.06,1.116,1.1075,5.6813,9.551,11.3488,13.4573,16.2584,15.942,14.4402,14.6522,28.0656,9.7804,15.7834,28.8331,0.0,0.0,0.02749319241457043,0.03978091626972615,0.051097214103053845,
2003-02-04,1.0,1.04,1.0,1.04,63500.0,1.0205,1.06,1.116,1.1075,5.6813,9.551,11.3488,13.4573,16.2584,15.942,14.4402,14.6522,28.0656,9.7804,15.7834,28.8331,0.0,0.0,0.012717831303291193,0.03791979766703131,0.04885257461414741,
2003-02-05,1.03,1.04,1.0,1.02,40000.0,1.029,1.038,1.102,1.1065,4.9687,9.0765,11.0172,13.0043,16.0846,15.8438,14.3614,14.4943,21.1346,9.6724,15.7244,28.8079,-0.0194180858571016,0.011211037096744847,0.008684031993881496,0.03777512486017039,0.030984952243559506,
2003-02-06,0.99,1.01,0.98,1.01,107000.0,0.9917,1.036,1.086,1.107,4.2757,8.6168,10.6374,12.5945,15.8947,15.7456,14.2815,14.4074,17.8319,9.6126,15.6928,28.7948,-0.009852296443011638,0.009709395198032515,0.008700269357264274,0.037758085695652324,0.03056206070071483,
2003-02-07,0.99,1.01,0.98,1.01,97500.0,0.9959,1.024,1.067,1.1105,3.6493,8.132,10.2976,12.148,15.7168,15.654000000000002,14.2004,14.3344,17.8319,9.6126,15.6928,28.7948,0.0,0.009709395198032515,0.008700269357264274,0.037714546798128606,0.03040630856791973,
2003-02-10,1.01,1.01,0.96,0.99,148000.0,0.9852,1.014,1.0490000000000002,1.1045,3.009,7.6368,9.9494,11.7312,15.5447,15.5556,14.1226,14.2674,10.4695,9.4647,15.62,28.7669,-0.020000666706669543,0.010000698583270337,0.009856840495568097,0.020773785456230674,0.029584196620543717,
2003-02-11,0.98,1.0,0.98,0.99,60000.0,0.9948,1.004,1.032,1.0975,2.3687,7.1465,9.5972,11.331,15.3846,15.4572,14.047,14.1843,10.4695,9.4647,15.62,28.7669,0.0,0.01154739030706762,0.009856840495568097,0.010949398832013868,0.029584196620543717,
2003-02-12,0.98,1.0,0.98,0.99,60000.0,0.9948,1.004,1.032,1.0975,2.3687,7.1465,9.5972,11.331,15.3846,15.4572,14.047,14.1843,10.4695,9.4647,15.62,28.7669,0.0,0.01154739030706762,0.008928249158556077,0.008375843872862679,0.029642873786357243,
2003-02-13,0.93,0.99,0.93,0.98,7000.0,0.9714,0.996,1.017,1.0895,1.7280000000000002,6.656000000000001,9.2848,11.014,15.2464,15.3653,13.9813,14.1082,7.1489,9.3735,15.5781,28.752,-0.010152371464018015,0.005861474397663825,0.008961810264535188,0.00832741675674375,0.029337662584697263,
2003-02-14,0.94,1.0,0.94,1.0,121000.0,0.9827,0.994,1.015,1.081,1.0813,6.1160000000000005,8.9488,10.624,15.0764,15.2737,13.9147,14.0392,52.4207,11.2982,16.0631,28.8283,0.020202707317519466,0.015452350614788382,0.014928537111808327,0.01169781588133056,0.029007810475923497,
2003-02-17,0.99,1.0,0.99,1.0,58500.0,0.9943,0.992,1.008,1.0725,1.0787,5.561,8.6328,10.274,14.9224,15.182,13.8458,13.9672,52.4207,11.2982,16.0631,28.8283,0.0,0.015452350614788382,0.011079465004538137,0.01169781588133056,0.02882145005914714,
2003-02-18,1.0,1.01,0.99,1.0,98000.0,0.9986,0.994,1.004,1.0645,1.075,5.041,8.2448,9.9473,14.7704,15.0887,13.7836,13.8972,52.4207,11.2982,16.0631,28.8283,0.0,0.011664038508129058,0.011079465004538137,0.01169781588133056,0.027826817469392456,
2003-02-19,1.0,1.01,0.98,1.01,115000.0,0.9928,0.998,1.001,1.0585,1.072,4.5113,7.841,9.6242,14.6225,14.9938,13.7281,13.8283,73.8974,12.6193,16.3631,28.8705,0.009950330853168092,0.005744826196602379,0.011513294268431923,0.011043433206009928,0.02786352401384773,
2003-02-20,1.0,1.01,0.99,1.0,122000.0,1.0081,1.002,0.999,1.0505,1.0707,3.9763,7.461,9.3475,14.4805,14.8954,13.6614,13.7593,44.0631,12.4113,16.3003,28.8528,-0.009950330853168092,0.009950330853168059,0.011451393742039831,0.01105221927326162,0.02786837705879486,
2003-02-21,1.0,1.01,0.99,1.01,124000.0,1.0034,1.004,0.999,1.0425,1.071,3.4565,7.0932,9.031,14.3166,14.7672,13.5981,13.6873,65.1611,14.0057,16.6445,28.8979,0.009950330853168092,0.011489652393204843,0.008325044075634665,0.011586745062424469,0.027758312804634987,
2003-02-24,1.0,1.01,1.0,1.01,59000.0,1.0006,1.006,0.999,1.033,1.0733,2.9868,6.7054,8.7478,14.1667,14.6456,13.5315,13.6124,65.1611,14.0057,16.6445,28.8979,0.0,0.009950330853168059,0.008325044075634665,0.009239075318643774,0.015855374806468595,
2003-02-25,0.99,1.01,0.99,1.01,41000.0,0.9983,1.008,1.001,1.025,1.07,2.507,6.3096,8.458,14.0048,14.529000000000002,13.4638,13.5384,65.1611,14.0057,16.6445,28.8979,0.0,0.005744826196602378,0.008325044075634665,0.009239075318643774,0.011061092129846035,
2003-02-26,1.01,1.01,1.01,1.01,57500.0,1.01,1.008,1.003,1.0175,1.0659999999999998,2.0273,5.9178,8.1648,13.8409,14.4174,13.4027,13.4645,65.1611,14.0057,16.6445,28.8979,0.0,0.0,0.007035946421325141,0.009239075318643774,0.009289399702517694,
2003-02-27,0.99,1.01,0.98,1.01,31000.0,0.9965,1.01,1.006,1.0115,1.0617,1.5475,5.526,7.905,13.667,14.3025,13.3339,13.3905,65.1611,14.0057,16.6445,28.8979,0.0,0.0,0.004449923237259876,0.008261396600572646,0.009289399702517694,
2003-02-28,1.0,1.0,0.99,1.0,55500.0,0.9997,1.008,1.006,1.0105,1.056,1.0625,5.093999999999999,7.625,13.497,14.1742,13.2694,13.3165,16.8629,13.5609,16.546,28.8762,-0.009950330853168092,0.005744826196602379,0.004449923237259873,0.0066335539021119974,0.009471563036974441,
2003-03-03,1.0,1.0,0.99,1.0,70500.0,0.9991,1.006,1.006,1.007,1.0503,1.0605,4.65,7.3617,13.321,14.0475,13.2072,13.2435,16.8629,13.5609,16.546,28.8762,0.0,0.005744826196602379,0.004449923237259873,0.0066335539021119974,0.009471563036974441,
