Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2007-06-06,1.76,1.88,1.72,1.79,2171100.0,1.8069,1.644,1.497,1.364,1.338,1.3118,1.2866,1.2434,1.159,1.0986,0.9524,0.9224,91.1138,79.83,75.7192,69.2255,,,,,,
2007-06-07,1.74,1.78,1.72,1.77,978600.0,1.7556,1.712,1.5490000000000002,1.39,1.3527,1.3243,1.3002,1.2558,1.1686,1.1065,0.9588,0.9285,80.2369,77.0534,73.8214,68.2134,-0.011236073266925883,,,,,
2007-06-08,1.72,1.82,1.71,1.75,1324000.0,1.7633,1.7619999999999998,1.604,1.4155,1.367,1.3368,1.3138,1.2679,1.1776,1.1144,0.9652,0.9338,68.0512,74.152,71.8812,67.197,-0.011363758650315137,,,,,
2007-06-11,1.78,1.8,1.7,1.73,926800.0,1.7374,1.76,1.642,1.4385,1.3797,1.3488,1.3264,1.2802,1.186,1.1225,0.9714,0.9391,55.425,71.1384,69.9027,66.17699999999999,-0.011494379425735057,0.00012915585919172218,,,,
2007-06-12,1.7,1.78,1.7,1.78,1229800.0,1.7497,1.764,1.666,1.466,1.3957,1.3613,1.3396,1.2932,1.1942,1.131,0.9776,0.9449,73.7141,74.0989,71.9792,67.4546,0.02849195579430619,0.023048506965411296,,,,
2007-06-13,1.76,1.8,1.73,1.78,748200.0,1.769,1.7619999999999998,1.703,1.493,1.4127,1.3745,1.3512,1.3065,1.2017,1.1394,0.9839,0.9506,73.7141,74.0989,71.9792,67.4546,0.0,0.02058648143684333,0.01727005792580961,,,
2007-06-14,1.79,1.79,1.75,1.76,386700.0,1.7624,1.76,1.736,1.5195,1.4287,1.3875,1.3614,1.3195,1.2094,1.1472,0.9903,0.9558,53.8346,70.441,69.7469,66.3813,-0.011299555253933335,0.020505429546925524,0.017279374602413473,,,
2007-06-15,1.76,1.94,1.76,1.87,3553500.0,1.8656,1.784,1.773,1.5519999999999998,1.4487,1.4035,1.3730000000000002,1.334,1.2179,1.1563,0.9973,0.9617,85.6847,77.3572,74.4418,69.1723,0.06062462181643491,0.0386784004464424,0.031093401348265978,,,
2007-06-18,1.9,2.01,1.9,1.96,2371600.0,1.9698,1.83,1.795,1.5895,1.4713,1.4228,1.3869999999999998,1.3495,1.2275,1.1663,1.0046,0.9682,92.2482,81.3696,77.5162,71.1963,0.047006042375930424,0.03820579290326401,0.030447597550136214,,,
2007-06-19,1.96,2.06,1.9,2.06,1904600.0,1.9846,1.886,1.825,1.6315,1.4987,1.4458,1.4034,1.365,1.238,1.1769,1.0126,0.9751,95.6059,84.74799999999999,80.3452,73.2175,0.049761509559064,0.007200295286663576,0.032481494488693294,,,
2007-06-20,2.06,2.19,2.06,2.17,2804600.0,2.1626,1.964,1.863,1.68,1.5303,1.4693,1.422,1.3827,1.2497,1.1886,1.0213,0.9824,97.4374,87.5434,82.8948,75.1979,0.05202118475087836,0.0025116523250251154,0.02891880196405504,0.031070227428928898,,
2007-06-21,2.17,2.19,2.1,2.1,1060000.0,2.1333,2.032,1.896,1.7225,1.5587,1.4885,1.4386,1.3995,1.2608,1.1996,1.0296,0.9894,69.7045,77.3891,76.1272,71.7073,-0.03278982282299081,0.048326555184011556,0.03841653972023607,0.03402705974797952,,
2007-06-22,2.11,2.15,2.08,2.11,691000.0,2.1224,2.08,1.932,1.768,1.5877,1.5083,1.4558,1.4168,1.2723,1.2105,1.0379,0.9966,71.446,77.8029,76.4233,71.9001,0.004750602758597733,0.042498428363941895,0.037328377512284565,0.03289217731786199,,
2007-06-25,2.1,2.23,2.1,2.15,872200.0,2.1616,2.1180000000000003,1.974,1.808,1.617,1.5283,1.4738,1.4343,1.2839,1.2217,1.0464,1.004,78.7688,79.4918,77.6192,72.6706,0.01877989465159635,0.026663146676872446,0.035073928666904994,0.031150662040284115,,
2007-06-26,2.19,2.2,2.09,2.09,864300.0,2.1345,2.124,2.005,1.8355,1.6457,1.548,1.49,1.4505,1.2945,1.2323,1.0546,1.0112,49.9478,70.4468,71.7409,69.7048,-0.028303776162851846,0.024173970347824703,0.03505683002140827,0.034751307490073255,,
2007-06-27,2.08,2.1,2.02,2.06,580900.0,2.0541,2.102,2.033,1.868,1.673,1.5678,1.5062,1.4648,1.3049,1.2428,1.0625,1.0182,39.1925,66.2092,68.93,68.2638,-0.014458083175229786,0.02419827280918824,0.021905046975867575,0.03577905032952387,,
2007-06-28,2.09,2.11,2.03,2.03,366400.0,2.0572,2.088,2.06,1.898,1.6997,1.5865,1.5219999999999998,1.4778,1.3152,1.253,1.0702,1.0251,29.6241,62.0126,66.1392,66.8345,-0.014670189747793883,0.007933293578777836,0.018511780100156718,0.03606498355098459,,
2007-06-29,2.03,2.06,2.02,2.04,578600.0,2.0361,2.074,2.077,1.925,1.727,1.6058,1.5382,1.4903,1.3256,1.2632,1.0781,1.0322,37.2803,62.8946,66.6243,67.0723,0.004914014802429145,0.011246215934846105,0.018537353862234943,0.032205604441736,,
2007-07-02,2.04,2.04,1.99,1.99,352800.0,2.0087,2.042,2.08,1.9375,1.753,1.6235,1.5542,1.5025,1.3356,1.273,1.0856,1.0391,20.5297,55.6296,61.8531,64.6743,-0.024815169119724034,0.015112280056293493,0.012934543590853246,0.030686691062885043,,
2007-07-03,2.01,2.03,1.98,1.99,508100.0,2.0028,2.022,2.073,1.949,1.7787,1.6423,1.5712,1.515,1.3457,1.2827,1.0932,1.046,20.5297,55.6296,61.8531,64.6743,0.0,0.01593614621228634,0.012076980677661098,0.025609038273474386,,
2007-07-04,2.01,2.08,2.0,2.05,885600.0,2.0312,2.02,2.061,1.962,1.807,1.663,1.5876,1.5285,1.3561,1.2928,1.101,1.0533,64.0918,62.2518,65.3104,66.225,0.029705154413915746,0.027296686292808018,0.0208135464635752,0.020748490049240263,0.02872072510772351,
2007-07-05,2.06,2.12,2.04,2.04,717900.0,2.0713,2.022,2.055,1.9755,1.8333,1.6828,1.6018,1.5413,1.3654,1.3030000000000002,1.1087,1.0605,56.3673,60.5572,64.265,65.7276,-0.004889985294191712,0.018722232088951817,0.019630453424178004,0.0184476063986728,0.02854571738747582,
2007-07-06,2.05,2.07,2.04,2.04,431300.0,2.0518,2.022,2.048,1.99,1.8613,1.7028,1.6162,1.5545,1.3748,1.3130000000000002,1.1163,1.0677,56.3673,60.5572,64.265,65.7276,0.0,0.018722232088951817,0.01950705496334912,0.01828922248760237,0.028270663893393763,
2007-07-09,2.08,2.18,2.04,2.16,1342300.0,2.1121,2.056,2.049,2.0115,1.8883,1.725,1.6324,1.5697,1.3857,1.3235,1.1246,1.0754,89.7434,72.0944,70.7754,68.7427,0.057158413839948685,0.03449879240395197,0.026596328538830115,0.02589837759123134,0.029940292020011163,
2007-07-10,2.2,2.32,2.2,2.26,1902600.0,2.2731,2.11,2.066,2.0355,1.9123,1.7508,1.6516,1.586,1.3978,1.3344,1.1334,1.0834,94.7568,78.1,74.8822,70.9461,0.045256591588120676,0.030157632333531813,0.02731322045600073,0.027231939209761195,0.030678436381740688,
2007-07-11,2.26,2.35,2.25,2.29,1324000.0,2.3081,2.158,2.089,2.061,1.9417,1.777,1.672,1.6033,1.4101,1.3449,1.1425,1.0916,95.7021,79.5829,75.9731,71.5681,0.013187004281953851,0.022743485006403056,0.02766596249424615,0.02609867843650663,0.03054980687989171,
2007-07-12,2.3,2.34,2.29,2.29,640900.0,2.3042,2.208,2.115,2.0875,1.9703,1.8035,1.6922,1.6208,1.4224,1.3557,1.1518,1.1,95.7021,79.5829,75.9731,71.5681,0.0,0.023275575875776167,0.02653476732046939,0.024906441681771682,0.03018694394834397,
2007-07-13,2.32,2.32,2.23,2.25,506500.0,2.2614,2.25,2.136,2.1065,1.9953,1.8293,1.7118,1.6378,1.4339,1.366,1.1608,1.1082,62.108,71.4217,71.1921,69.4467,-0.017621601349819493,0.015457404358636491,0.031143334706043305,0.026586851391171805,0.02874806227030085,
2007-07-16,2.26,2.27,2.18,2.18,479100.0,2.2021,2.254,2.155,2.1175,2.01,1.8535,1.7298,1.6543,1.4443,1.3758,1.1694,1.1159,32.3235,59.4242,63.644,65.9098,-0.03160533941533106,0.015837525290561635,0.029641546566988697,0.027635124496833748,0.0286881220429173,
2007-07-17,2.18,2.24,2.15,2.19,768700.0,2.2115,2.24,2.175,2.124,2.0243,1.8778,1.7488,1.6718,1.4536,1.3856,1.1781,1.1237,38.63,60.4908,64.2275,66.1644,0.004576667027411663,0.01824575585104243,0.01807120507695071,0.027504914258722146,0.026715352679207424,
2007-07-18,2.21,2.28,2.2,2.22,467800.0,2.2455,2.226,2.192,2.1265,2.0387,1.9033,1.7688,1.6883,1.463,1.3958,1.1869,1.1318,56.7616,63.7104,65.991,66.9311,0.013605652055778794,0.023925906150258698,0.018184638129185762,0.026653832015051664,0.024279837597677427,
2007-07-19,2.23,2.25,2.2,2.2,354700.0,2.2159,2.208,2.208,2.1315,2.053,1.927,1.7878,1.7028,1.472,1.4059,1.1955,1.1398,43.8162,60.0409,63.7352,65.9013,-0.009049835519917893,0.011405227307448435,0.017859621957840223,0.026908030345767185,0.023084704090078262,
2007-07-20,2.23,2.24,2.18,2.18,545400.0,2.2046,2.194,2.222,2.135,2.0673,1.9515,1.8066,1.7172,1.4823,1.416,1.2039,1.1476,32.6476,56.3871,61.4723,64.8688,-0.009132483563272564,0.013104075443807489,0.01710613494890318,0.027344215721195272,0.023216315565216843,
2007-07-23,2.16,2.18,2.15,2.17,482000.0,2.165,2.192,2.2230000000000003,2.136,2.082,1.972,1.8246,1.7308,1.4932,1.4259,1.2124,1.1554,27.4079,54.5209,60.3191,64.3473,-0.004597709248629567,0.0025946238365548878,0.009852316633432863,0.020874868914991705,0.022893776503963164,
2007-07-24,2.17,2.28,2.17,2.22,913800.0,2.2331,2.198,2.219,2.1425,2.0967,1.989,1.8444,1.7462,1.5053,1.4358,1.2211,1.1634,67.0588,61.6589,63.9596,65.7705,0.022780028331820024,0.017265153289034413,0.014607030964528698,0.016203072392979422,0.022358823860862166,
2007-07-25,2.2,2.24,2.19,2.24,363300.0,2.2119,2.202,2.214,2.1515,2.112,2.0098,1.8644,1.7623,1.5178,1.446,1.2299,1.1714,75.1898,64.1883,65.3298,66.3268,0.008968669982760358,0.013689051464095868,0.013871914369619284,0.015820347796621306,0.022006002718695426,
2007-07-26,2.24,2.29,2.18,2.24,721500.0,2.2531,2.21,2.209,2.162,2.128,2.03,1.8846,1.7783,1.5312,1.4563,1.2388,1.1794,75.1898,64.1883,65.3298,66.3268,0.0,0.011475483660862486,0.012638973557181734,0.015820347796621306,0.02158477991899703,
2007-07-27,2.15,2.2,2.13,2.16,935800.0,2.1601,2.206,2.2,2.168,2.1377,2.0465,1.9034,1.7932,1.5428,1.466,1.2472,1.1871,23.3399,48.1183,55.5351,62.0131,-0.03636764417087479,0.02400841506929091,0.02194380242043218,0.01869856378543941,0.023476503307146852,
2007-07-30,2.1,2.2,2.1,2.17,311500.0,2.1607,2.206,2.199,2.177,2.1447,2.0573,1.9226,1.808,1.5543,1.4758,1.2557,1.1948,32.117,49.8827,56.4148,62.3299,0.00461894585629441,0.022449353240193762,0.022041477578765737,0.01610277202028719,0.02255491648674837,
2007-07-31,2.21,2.21,2.16,2.16,173500.0,2.1812,2.194,2.196,2.1855,2.148,2.0673,1.9414,1.8233,1.5655,1.4857,1.2641,1.2024,27.4097,48.0445,55.2379,61.7968,-0.00461894585629441,0.021498911019006688,0.017997021615628477,0.016045665734841962,0.022625120464649283,
2007-08-01,2.16,2.16,1.81,2.02,710900.0,2.014,2.15,2.176,2.184,2.143,2.073,1.9578,1.8367,1.5753,1.4941,1.2718,1.2093,6.7214,30.4003,42.0216,54.9853,-0.06701071028296035,0.03896339853031725,0.030488905043049724,0.025276688307134594,0.026812390311640757,
2007-08-02,2.08,2.08,1.93,2.0,770500.0,2.002,2.102,2.156,2.182,2.1397,2.0788,1.9728,1.8492,1.585,1.5015,1.2793,1.2161,5.7857,28.7061,40.5297,54.104,-0.009950330853168099,0.03458574570284056,0.029094849450623222,0.025276744080706473,0.026877439061228577,
2007-08-03,2.04,2.04,1.95,1.96,235900.0,1.9799,2.062,2.134,2.178,2.1347,2.084,1.988,1.8612,1.5944,1.5087,1.2867,1.2225,4.0811,25.5075,37.6507,52.3674,-0.020202707317519497,0.030419257237949787,0.028071802037835554,0.025498791387746845,0.027215778245621727,
2007-08-06,1.9,1.9,1.78,1.78,751000.0,1.8255,1.984,2.095,2.1590000000000003,2.1223,2.0853,1.9966,1.8697,1.6022,1.5146,1.293,1.228,1.3656,16.3082,28.0087,45.5599,-0.096331108938432,0.047191601617126294,0.04015219533940836,0.036994008526112135,0.031029595167915803,
