Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2013-04-22,4.55,4.6,4.55,4.59,1145200.0,4.5923,4.6,4.612,4.6145,4.6003,4.5835,4.564,4.5623,4.5771,4.5909,4.7016,4.765,20.5024,45.3463,48.6833,50.0793,,,,,,
2013-04-23,4.56,4.59,4.55,4.56,846700.0,4.5644,4.59,4.609,4.6160000000000005,4.5953,4.5865,4.5652,4.5633,4.5762,4.59,4.6977,4.765,7.6979,38.8079,44.8826,48.4204,-0.0065574005461590534,,,,,
2013-04-24,4.56,4.57,4.54,4.57,874300.0,4.56,4.584,4.602,4.6175,4.5913,4.59,4.5664,4.5643,4.5755,4.5888,4.6943,4.7614,29.6622,41.9469,46.3852,49.0029,0.0021905813798186458,,,,,
2013-04-25,4.56,4.59,4.54,4.55,1284200.0,4.5628,4.574,4.593,4.6160000000000005,4.5873,4.5915,4.5676,4.5637,4.5751,4.5876,4.6909,4.7575,17.307000000000002,37.6064,43.8127,47.8841,-0.0043859719432541855,0.004555095014851797,,,,
2013-04-26,4.53,4.58,4.53,4.56,763800.0,4.5623,4.566,4.584,4.614,4.5847,4.5935,4.569,4.5632,4.5748,4.5866,4.6877,4.7534,36.9909,41.0383,45.4419,48.4924,0.0021953905634355397,0.0037983638842693096,,,,
2013-04-29,4.55,4.57,4.54,4.56,471500.0,4.5576,4.56,4.58,4.611000000000001,4.5867,4.5965,4.571000000000001,4.5627,4.5745,4.5855,4.6844,4.7489,36.9909,41.0383,45.4419,48.4924,0.0,0.0033508909774739013,0.003976642363000994,,,
2013-04-30,4.54,4.64,4.54,4.62,3257200.0,4.5954,4.572,4.581,4.607,4.5893,4.6,4.574,4.5633,4.5752,4.585,4.6816,4.7445,85.0458,58.4096,54.6022,52.0836,0.013072081567352845,0.007000017421695505,0.006433478639069685,,,
2013-05-01,4.54,4.64,4.54,4.62,3257200.0,4.5954,4.572,4.581,4.607,4.5893,4.6,4.574,4.5633,4.5752,4.585,4.6816,4.7445,85.0458,58.4096,54.6022,52.0836,0.0,0.007547169811779911,0.006543210161119299,,,
2013-05-02,4.58,4.6,4.56,4.58,1557300.0,4.5835,4.574,4.579,4.6035,4.5907,4.5993,4.5762,4.5635,4.5751,4.584,4.678999999999999,4.74,48.2484,47.8389,48.7283,49.6941,-0.008695706967553951,0.01095697079389427,0.007789042887655932,,,
2013-05-03,4.56,4.56,4.44,4.45,3025400.0,4.4825,4.553999999999999,4.564,4.5915,4.5893,4.5958,4.5754,4.5615,4.5735,4.5822,4.6757,4.735,15.5174,28.7892,35.3998,43.0533,-0.028794901947944762,0.014768995320812484,0.015462762679987169,,,
2013-05-06,4.67,4.7,4.57,4.65,2803300.0,4.6527,4.572,4.569,4.5915,4.5967,4.597,4.5784,4.5633,4.5739,4.5822,4.6734,4.7314,67.0698,57.8435,55.5457,53.0406,0.04396312342111619,0.03757361732290228,0.027073968069762266,0.01844928528833506,,
2013-05-07,4.68,4.68,4.64,4.68,1080900.0,4.6653,4.596,4.578,4.595,4.6023,4.5948,4.5824,4.5663,4.5746,4.5824,4.6711,4.7277,71.0452,60.559,57.6777,54.2847,0.0064308903302903175,0.036385105052338766,0.02667196420385069,0.01829127336782157,,
2013-05-08,4.7,4.7,4.63,4.64,1059900.0,4.6635,4.6,4.586,4.5975,4.606,4.593,4.5864,4.5687,4.5749,4.5825,4.6683,4.7234,57.2278,55.2232,53.9616,52.3709,-0.008583743691391366,0.027065602397781132,0.027151533246377854,0.018632060781022926,,
2013-05-09,4.61,4.64,4.52,4.59,1988500.0,4.5797,4.602,4.588,4.595,4.6077,4.5905,4.5896,4.57,4.5748,4.5822,4.6653,4.7197,41.9354,49.1351,49.6549,50.0876,-0.01083434216571022,0.009386095047450067,0.02735585495218399,0.018967738154179795,,
2013-05-10,4.6,4.65,4.56,4.63,964500.0,4.6075,4.638,4.596,4.5945,4.6093,4.5895,4.5924,4.5723,4.5749,4.5824,4.6626,4.7161,56.0338,53.7264,52.8939,51.8258,0.008676844025689023,0.010674576247850785,0.02194308179906612,0.01912792203717788,,
2013-05-13,4.63,4.63,4.55,4.56,2299200.0,4.5782,4.62,4.596,4.59,4.6080000000000005,4.5875,4.593999999999999,4.5735,4.5745,4.5822,4.6597,4.7123,34.222,45.6195,47.1742,48.7522,-0.015234244571848077,0.012726518807187968,0.010763265758510674,0.019855553495700357,,
2013-05-14,4.56,4.57,4.53,4.55,2828900.0,4.5489,4.593999999999999,4.595,4.5875,4.6057,4.5888,4.5962,4.575,4.574,4.5813,4.6567,4.7081,31.5872,44.5394,46.4022,48.3286,-0.0021953905634355397,0.011971893172015587,0.009280807262243956,0.01931843648573853,,
2013-05-15,4.56,4.62,4.56,4.59,1690900.0,4.5944,4.584,4.592,4.5865,4.602,4.59,4.5984,4.577,4.5739,4.5807,4.6542,4.7044,53.2043,49.8794,49.9316,50.1218,0.008752791109594593,0.012008693216313284,0.010985300382627083,0.019591649894039245,,
2013-05-16,4.58,4.59,4.5,4.52,2292500.0,4.5305,4.57,4.586,4.5825,4.5977,4.5895,4.5966,4.5778,4.573,4.5796,4.6513,4.7004,29.0822,41.9309,44.4191,47.159,-0.0153680302283139,0.012077493805295459,0.012018132179481278,0.0200053052470695,,
2013-05-17,4.5,4.52,4.5,4.51,776800.0,4.5095,4.546,4.592,4.578,4.5917,4.59,4.595,4.5782,4.572,4.5783,4.6485,4.6963,26.5069,40.8838,43.6773,46.7506,-0.0022148403295527697,0.012076901961410653,0.010206378500610834,0.01756613405726742,,
2013-05-20,4.51,4.53,4.5,4.5,240700.0,4.5158,4.534,4.577,4.573,4.5867,4.5918,4.593,4.5782,4.5709,4.5771,4.6456,4.6923,23.3989,39.7667,42.9056,46.3354,-0.0022197567383128725,0.007592578881730618,0.008549167742584608,0.009187629611502405,0.014378117072036749,
2013-05-21,4.5,4.63,4.5,4.62,873800.0,4.6012,4.548,4.571000000000001,4.5745,4.587,4.5945,4.59,4.5805,4.5711,4.5767,4.6433,4.6889,75.3737,55.9983,53.5185,51.6634,0.026317308317373334,0.0164744631302198,0.015561186643280728,0.012917794230247966,0.01554033666898401,
2013-05-22,4.62,4.65,4.52,4.62,1187800.0,4.6014,4.553999999999999,4.569,4.5775,4.588,4.5968,4.5882,4.5835,4.5706,4.5764,4.641,4.6857,75.3737,55.9983,53.5185,51.6634,0.0,0.015873941534484747,0.015248948275792462,0.012661963392650254,0.015536653061388355,
2013-05-23,4.62,4.62,4.5,4.55,1304300.0,4.5357,4.56,4.565,4.5765,4.585,4.597,4.5854,4.5855,4.57,4.5757,4.6384,4.6825,39.8687,46.7061,47.5401,48.6483,-0.015267472130788384,0.021035645886834965,0.015221506021737958,0.013135386471206422,0.01590455659029325,
2013-05-24,4.62,4.62,4.5,4.55,1304300.0,4.5357,4.56,4.565,4.5765,4.585,4.597,4.5854,4.5855,4.57,4.5757,4.6384,4.6825,39.8687,46.7061,47.5401,48.6483,0.0,0.008814679144555781,0.015124728771955,0.012714120298188797,0.01589618087140272,
2013-05-27,4.5,4.56,4.5,4.55,580400.0,4.5485,4.5680000000000005,4.557,4.5765,4.582,4.5963,4.583,4.5865,4.5699,4.5753,4.6358,4.6795,39.8687,46.7061,47.5401,48.6483,0.0,0.008814679144555781,0.015010634949811544,0.011797620904509963,0.01589618087140272,
2013-05-28,4.52,4.56,4.52,4.55,683600.0,4.5446,4.578,4.556,4.5760000000000005,4.5787,4.595,4.5812,4.5877,4.5694,4.575,4.6333,4.6765,39.8687,46.7061,47.5401,48.6483,0.0,0.0,0.006827821105805279,0.011777176445733005,0.015591478179897537,
2013-05-29,4.54,4.57,4.53,4.55,1127000.0,4.5532,4.564,4.556,4.5755,4.577,4.5933,4.5822,4.5895,4.5688,4.5747,4.6308,4.6735,39.8687,46.7061,47.5401,48.6483,0.0,0.0,0.006827821105805279,0.01137269868235297,0.015591478179897537,
2013-05-30,4.55,4.55,4.46,4.46,1780400.0,4.5044,4.532,4.543,4.5675,4.572,4.5873,4.5806,4.5892,4.5672,4.5739,4.6278,4.6702,9.8053,34.81,39.8431,44.7986,-0.01997846693088645,0.011534573260543328,0.00893464202873874,0.012095962665062727,0.01608975239439163,
2013-05-31,4.5,4.5,4.41,4.41,2310500.0,4.4398,4.504,4.532,4.559,4.5657,4.5813,4.578,4.5858,4.5652,4.5724,4.6245,4.667,6.0215,30.0297,36.3245,42.8499,-0.011274076573217995,0.010016738948596475,0.009095323638993258,0.012501515447546395,0.01495229284733738,
2013-06-03,4.48,4.52,4.42,4.5,1725800.0,4.4932,4.494,4.531000000000001,4.5615,4.5623,4.5765,4.5782,4.5843,4.5641,4.5715,4.6226,4.6643,53.9753,45.2539,45.6317,47.1322,0.020202707317519497,0.021138752326724585,0.015082883929263907,0.014376252597718804,0.011862282583493278,
2013-06-04,4.5,4.56,4.48,4.56,1087400.0,4.5216,4.496,4.537,4.557,4.561,4.5743,4.5808,4.5837,4.5636,4.5711,4.6213,4.6618,69.5254,52.9343,50.7953,49.73,0.013245226750020489,0.016534764867838767,0.016649815390560013,0.012137348839741498,0.012199359828513449,
2013-06-05,4.56,4.56,4.49,4.54,828700.0,4.5132,4.494,4.529,4.55,4.5593,4.5725,4.5814,4.5798,4.563,4.5705,4.6201,4.659,59.4777,50.2886,49.1206,48.9014,-0.00439561147303813,0.0126799250548597,0.01679421450913837,0.01216431225427294,0.012103296252463792,
2013-06-06,4.53,4.54,4.5,4.54,857900.0,4.5147,4.51,4.521,4.545,4.5587,4.5713,4.5816,4.577,4.5624,4.5699,4.6193,4.656000000000001,59.4777,50.2886,49.1206,48.9014,0.0,0.00918292441703158,0.012911220034323271,0.011198544851506974,0.011884662539025462,
2013-06-07,4.52,4.52,4.5,4.5,636300.0,4.5016,4.5280000000000005,4.516,4.5405,4.5563,4.5678,4.5808,4.5738,4.5614,4.5691,4.618,4.6529,36.0398,44.641000000000005,45.6311,47.2176,-0.008849615276982359,0.0044248397458373865,0.012243290293032416,0.011524160904144865,0.011814646011678693,
2013-06-10,4.5,4.55,4.5,4.53,952700.0,4.5285,4.534,4.513999999999999,4.5355,4.5557,4.565,4.5798,4.5715,4.5607,4.5683,4.6166,4.6499,55.6854,49.4326,48.5814,48.591,0.006644542718668545,0.007773186503240948,0.00878056206606575,0.011783584324356534,0.011476691826581493,
2013-06-11,4.57,4.58,4.5,4.52,1595000.0,4.5243,4.526,4.511,4.5335,4.5543,4.5618,4.5782,4.5695,4.5601,4.5677,4.6144,4.6471,48.2719,47.8786,47.6531,48.1589,-0.0022099456508029025,0.00777341740617887,0.005725937901623724,0.011795121956585629,0.011476816797976058,
2013-06-12,4.51,4.52,4.48,4.5,1279300.0,4.5006,4.518,4.506,4.531000000000001,4.5523,4.5593,4.5758,4.5695,4.559,4.5668,4.6119,4.6442,34.4949,44.7156,45.7695,47.2888,-0.004434597067865642,0.005860864222707959,0.005730445255704747,0.011850719714550982,0.011305015930192574,
2013-06-13,4.49,4.5,4.46,4.49,2013000.0,4.4868,4.508,4.509,4.526,4.548,4.5563,4.5716,4.5687,4.5579,4.5659,4.6098,4.6414,28.4131,43.1135,44.8156,46.851000000000006,-0.0022246950221112005,0.0012801665596855524,0.0056443854325763515,0.00987410620071406,0.010795776774504962,
2013-06-14,4.5,4.52,4.5,4.52,676300.0,4.5059,4.512,4.52,4.526,4.546,4.5543,4.569,4.5683,4.5571,4.5652,4.6077,4.6388,60.0833,49.2502,48.2969,48.3354,0.006659292089976843,0.005872013719132347,0.005339985199516159,0.009058560877893833,0.010896256752860252,
2013-06-17,4.5,4.55,4.5,4.55,462500.0,4.5309,4.516,4.525,4.5280000000000005,4.5493,4.553,4.5662,4.5693,4.5566,4.5647,4.6059,4.6365,76.0059,54.7427,51.5859,49.7862,0.006615239118719307,0.0051165027653375965,0.005332096597610565,0.006852570653167176,0.010975605039737952,
2013-06-18,4.52,4.55,4.52,4.55,735500.0,4.5358,4.522,4.524,4.5305,4.546,4.5518,4.5642,4.5713,4.5564,4.5642,4.6039,4.6341,76.0059,54.7427,51.5859,49.7862,0.0,0.003832090386932844,0.005098288955954354,0.00536357471336678,0.009149816378458703,
