Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,3.285,3.371,3.285,3.337,106430.0,3.3421,3.3055,3.29,3.2459,3.2128,3.2113,3.2233,3.2352,3.411,3.5358,3.7405,3.792,84.6631,66.6737,64.4789,55.3905,,,,,,
2000-01-04,3.354,3.371,3.285,3.302,63626.0,3.3285,3.3055,3.2934,3.2571,3.2145,3.2144,3.2274,3.2344,3.4036,3.5281,3.7354,3.7871,46.0766,56.5943,58.3515,53.3512,-0.010543854271300779,,,,,
2000-01-05,3.302,3.302,3.216,3.216,64783.0,3.2595,3.2917,3.2848,3.2641,3.2145,3.2152,3.2295,3.2321,3.3954,3.5196,3.7307,3.7817,17.0079,39.7103,46.4638,48.7132,-0.026389994181216236,,,,,
2000-01-06,3.233,3.25,3.216,3.233,48587.0,3.2342,3.2779,3.2848,3.2649,3.2168,3.2165,3.2267,3.2298,3.3871,3.5112,3.7261,3.7765,30.2156,43.5027,48.7142,49.6193,0.0052721474265760015,0.01583107319453183,,,,
2000-01-07,3.233,3.25,3.216,3.233,48587.0,3.2342,3.2779,3.2848,3.2649,3.2168,3.2165,3.2267,3.2298,3.3871,3.5112,3.7261,3.7765,30.2156,43.5027,48.7142,49.6193,0.0,0.01696426903113358,,,,
2000-01-10,3.233,3.25,3.216,3.233,48587.0,3.2342,3.2779,3.2848,3.2649,3.2168,3.2165,3.2267,3.2298,3.3871,3.5112,3.7261,3.7765,30.2156,43.5027,48.7142,49.6193,0.0,0.0030438757359410418,0.012598685763755198,,,
2000-01-11,3.268,3.285,3.233,3.25,58999.0,3.2526,3.2675,3.2813,3.2666,3.2185,3.2178,3.2246,3.2289,3.3797,3.5019,3.7216,3.7713,43.6638,47.2365,50.9353,50.5237,0.005244497598350106,0.0030279121001717743,0.013241407060276673,,,
2000-01-12,3.25,3.285,3.233,3.25,64783.0,3.2561,3.2502,3.2779,3.2684,3.2203,3.22,3.2222,3.228,3.3718,3.493,3.7187,3.766,43.6638,47.2365,50.9353,50.5237,0.0,0.0030279121001717743,0.00288011844507268,,,
2000-01-13,3.25,3.268,3.233,3.233,246408.0,3.2499,3.2364,3.271,3.271,3.2243,3.2204,3.2198,3.2272,3.3645,3.4846,3.7157,3.7606,30.4574,43.5904,48.4993,49.5714,-0.005244497598350106,0.005244497598350104,0.0037084198157099264,,,
2000-01-14,3.268,3.371,3.216,3.371,697576.0,3.2208,3.2675,3.2796,3.2788,3.2335,3.2239,3.2201,3.2277,3.3578,3.4774,3.712,3.756,84.9783,66.7139,63.5272,56.3758,0.04179893750862762,0.025780291951326185,0.019057350626453338,,,
2000-01-17,3.389,3.631,3.389,3.579,264917.0,3.5574,3.3367,3.3073,3.2934,3.2496,3.2329,3.226,3.2326,3.3531,3.4722,3.7098,3.7526,94.5652,80.3244,75.2116,63.9283,0.05987399553196515,0.03361599484564443,0.0288078937329457,0.025237315760982468,,
2000-01-18,3.579,3.7,3.544,3.613,153860.0,3.6052,3.4093,3.3384,3.3107,3.2681,3.242,3.2333,3.239,3.3495,3.4673,3.7077,3.7495,95.313,81.7254,76.5594,64.9738,0.009455020381614387,0.02554378513088786,0.028313810410501294,0.02447333887107988,,
2000-01-19,3.579,3.596,3.561,3.596,83293.0,3.5898,3.4784,3.3643,3.3272,3.2854,3.2507,3.2419,3.2468,3.3465,3.4624,3.7066,3.7464,86.397,78.578,74.3817,64.0141,-0.00471633555612927,0.033948027076683866,0.029258482785821334,0.021805112690269034,,
2000-01-20,3.596,3.596,3.596,3.596,42803.0,3.596,3.551,3.3937,3.3436,3.3027,3.2593,3.2502,3.2551,3.3427,3.4578,3.7054,3.7432,86.397,78.578,74.3817,64.0141,0.0,0.007216515324921664,0.02819131633114821,0.022026130990604152,,
2000-01-21,3.579,3.596,3.561,3.596,98332.0,3.5771,3.596,3.4318,3.3583,3.32,3.2688,3.2585,3.2632,3.3398,3.4537,3.7053,3.7397,86.397,78.578,74.3817,64.0141,0.0,0.0027229776029198483,0.026746854393842875,0.022026130990604152,,
2000-01-24,3.561,3.579,3.561,3.579,93704.0,3.5693,3.596,3.4663,3.3756,3.3321,3.2792,3.2665,3.2666,3.3375,3.4496,3.7059,3.7361,65.6656,74.4932,71.8297,62.9842,-0.004738684825485118,0.0027358809595986384,0.005789999252375509,0.02232938736780272,,
2000-01-25,3.544,3.579,3.527,3.579,78665.0,3.5505,3.5891,3.4992,3.3903,3.3442,3.2887,3.2741,3.2704,3.3361,3.446,3.7065,3.7327,65.6656,74.4932,71.8297,62.9842,0.0,0.0027358809595986384,0.0025893760285995372,0.022518642454783005,,
2000-01-26,3.561,3.596,3.544,3.544,47431.0,3.5728,3.5787,3.5286,3.4032,3.3551,3.2973,3.2817,3.2733,3.3344,3.4418,3.707,3.7292,31.5731,65.8309,66.5349,60.8876,-0.00982739904105423,0.004914738347649378,0.004376035475918391,0.023190638579625167,,
2000-01-27,3.544,3.561,3.51,3.527,18509.0,3.5474,3.5649,3.558,3.4145,3.3666,3.3077,3.2879,3.2762,3.3327,3.4375,3.7074,3.7254,22.7244,61.7893,63.9948,59.8569,-0.004808381488919711,0.00491407572936719,0.004095102464176136,0.023161976973578927,,
2000-01-28,3.527,3.579,3.527,3.579,69411.0,3.5447,3.5614,3.5787,3.4292,3.3787,3.3198,3.2948,3.2799,3.3313,3.433,3.7077,3.7221,65.8249,68.3478,67.9481,61.8604,0.01463578052997394,0.012920997952493138,0.00937907888970034,0.020260543341437218,,
2000-01-31,3.544,3.544,3.302,3.302,126096.0,3.4772,3.5061,3.551,3.4292,3.3793,3.325,3.2966,3.2802,3.3272,3.4269,3.7058,3.7175,12.0514,33.6716,41.6697,48.5043,-0.08055508628595254,0.05029403518210563,0.03716585098382139,0.026474747875056402,0.026331910046393663,
2000-02-01,3.544,3.544,3.302,3.302,126096.0,3.4772,3.5061,3.551,3.4292,3.3793,3.325,3.2966,3.2802,3.3272,3.4269,3.7058,3.7175,12.0514,33.6716,41.6697,48.5043,0.0,0.05125854257816655,0.03716585098382139,0.02594340705680676,0.026226148088246703,
2000-02-02,3.527,3.527,3.285,3.285,212859.0,3.3714,3.4473,3.5182,3.4283,3.3799,3.3306,3.2972,3.2808,3.323,3.4201,3.7036,3.7132,11.1941,32.5118,40.6126,47.8365,-0.005161693561362313,0.04509236571283983,0.03742075623030516,0.025935615598146538,0.025522008332915458,
2000-02-03,3.458,3.458,3.423,3.423,32392.0,3.4348,3.4231,3.5009,3.4326,3.3851,3.3393,3.3007,3.2851,3.3202,3.4146,3.7022,3.7097,52.0914,48.4822,51.2648,53.1719,0.041150707611474324,0.02537998660276839,0.045398753681366706,0.030409080053036847,0.027048828008283066,
2000-02-04,3.458,3.458,3.423,3.423,32392.0,3.4348,3.4231,3.5009,3.4326,3.3851,3.3393,3.3007,3.2851,3.3202,3.4146,3.7022,3.7097,52.0914,48.4822,51.2648,53.1719,0.0,0.02537998660276839,0.04419252986924851,0.030409080053036847,0.027048828008283066,
2000-02-07,3.458,3.458,3.423,3.423,32392.0,3.4348,3.4231,3.5009,3.4326,3.3851,3.3393,3.3007,3.2851,3.3202,3.4146,3.7022,3.7097,52.0914,48.4822,51.2648,53.1719,0.0,0.023758372116828276,0.01911139706357589,0.03044929599734864,0.027048828008283066,
2000-02-08,3.458,3.458,3.371,3.371,105273.0,3.4457,3.392,3.4784,3.4361,3.3885,3.3466,3.3031,3.2883,3.318,3.409,3.7001,3.7055,41.3738,44.0814,47.8022,51.1427,-0.015307923296124626,0.008838033635751679,0.02161489550073955,0.03058484210920363,0.027342100677857473,
2000-02-09,3.458,3.475,3.423,3.44,195506.0,3.4466,3.3643,3.4629,3.4473,3.3931,3.3557,3.3076,3.2926,3.3166,3.4041,3.6979,3.7024,58.4651,50.7827,52.4171,53.5859,0.020262035133383316,0.017842386453159866,0.021869684754423715,0.03162741940154097,0.02764452429826375,
2000-02-10,3.458,3.458,3.423,3.44,202448.0,3.4442,3.392,3.449,3.4577,3.4001,3.3613,3.3132,3.2969,3.3154,3.3989,3.696,3.6992,58.4651,50.7827,52.4171,53.5859,0.0,0.017842386453159866,0.012648853095906385,0.03163305838115294,0.027588610703432284,
2000-02-11,3.458,3.492,3.44,3.458,149233.0,3.4585,3.4266,3.4369,3.4681,3.4058,3.3674,3.3183,3.3012,3.3147,3.3944,3.6943,3.6962,64.3167,52.5807,53.6064,54.1987,0.005218915875791819,0.01052047676092652,0.012761480789224545,0.03120359177871488,0.026058332892389,
2000-02-14,3.458,3.544,3.458,3.475,168899.0,3.4943,3.4369,3.43,3.4793,3.4122,3.3738,3.3239,3.3064,3.3142,3.3897,3.6927,3.6948,70.5419,54.4527,54.8224,54.8158,0.004904091755656648,0.002926497140869619,0.012754468589069609,0.015475495326279409,0.022159513046756778,
2000-02-15,3.631,3.752,3.596,3.717,135351.0,3.6907,3.5061,3.449,3.5035,3.426,3.3872,3.336,3.3148,3.3171,3.3877,3.6924,3.6945,93.6834,71.9149,67.6187,62.1933,0.06732241229835956,0.03594669693102578,0.02777046591839141,0.02482587364290002,0.026926761550652798,
2000-02-16,3.803,4.011,3.734,3.976,285740.0,3.9246,3.6133,3.4888,3.5338,3.449,3.4063,3.3536,3.3272,3.3218,3.3871,3.6933,3.6941,97.2082,80.7915,75.5949,67.9868,0.0673593974792126,0.03604791561310688,0.035096993447898774,0.029466548267286587,0.030630839831737266,
2000-02-17,4.063,4.063,3.89,3.959,120312.0,3.9866,3.717,3.5545,3.5528,3.4709,3.4231,3.3709,3.3395,3.327,3.3864,3.694,3.6941,92.0705,78.9207,74.2812,67.2758,-0.0042848206703340885,0.041353136067284746,0.03602106542284732,0.029188760146989207,0.030682759724795665,
2000-02-18,3.976,4.011,3.942,3.994,128410.0,3.9745,3.8242,3.6254,3.5718,3.494,3.4413,3.3896,3.3519,3.3318,3.3865,3.6939,3.6941,93.1557,79.9645,75.2091,67.9688,0.008801766869630079,0.03815134089017337,0.03548362434159017,0.0288318720678662,0.030673282276002925,
2000-02-21,3.994,4.028,3.976,3.976,82136.0,3.9917,3.9245,3.6807,3.5908,3.5153,3.459,3.4075,3.364,3.337,3.3872,3.6928,3.695,84.484,77.7975,73.7759,67.2323,-0.00451694619929599,0.007623437255318992,0.037275968265801006,0.029134220640488928,0.03066952221207037,
2000-02-22,3.994,3.994,3.924,3.959,60156.0,3.9627,3.9729,3.7395,3.609,3.5372,3.4763,3.4252,3.3759,3.3424,3.3871,3.6922,3.6958,74.1327,75.4958,72.2923,66.4871,-0.0042848206703340885,0.007623437255318992,0.031129572998144492,0.028049440467984757,0.030723115948568018,
2000-02-23,3.959,3.994,3.924,3.924,40490.0,3.9492,3.9625,3.7879,3.6254,3.5608,3.4918,3.4421,3.3877,3.3474,3.3874,3.6914,3.6973,54.2075,70.7839,69.2912,64.9964,-0.008879926420876982,0.0025885799045604354,0.006685511562206293,0.029062037832043718,0.030699697319050406,
2000-02-24,3.924,3.924,3.89,3.924,28921.0,3.91,3.9556,3.8363,3.6427,3.5839,3.5091,3.4563,3.4003,3.3526,3.3884,3.6906,3.6996,54.2075,70.7839,69.2912,64.9964,0.0,0.004440866624803718,0.006695447441428506,0.029062037832043718,0.03063684084355395,
