Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.138,2.3,2.138,2.263,3456000.0,2.2478,2.115,2.065,2.0056,1.9742,1.9447,1.936,1.9185,1.8523,1.8419,1.7864,1.7264,98.8426,92.9194,86.3066,73.0726,,,,,,
2000-01-04,2.275,2.375,2.275,2.313,2852000.0,2.3202,2.1725,2.095,2.025,1.9892,1.9553,1.9443,1.9271,1.8588,1.8453,1.7922,1.7326,99.1684,94.0595,87.9471,74.8277,0.02185401659790187,,,,,
2000-01-05,2.263,2.3,2.15,2.288,3492000.0,2.2532,2.2175,2.1213,2.0438,2.0033,1.9659,1.952,1.9352,1.8646,1.8484,1.7976,1.7387,81.884,86.2482,82.6176,72.3872,-0.010867309731750763,,,,,
2000-01-06,2.313,2.338,2.3,2.325,2536000.0,2.3188,2.26,2.1513,2.0638,2.0183,1.9778,1.96,1.9438,1.8689,1.8516,1.803,1.7449,86.9871,87.9385,84.1674,73.7174,0.016041965521768287,0.017457444587495506,,,,
2000-01-07,2.313,2.338,2.3,2.325,2536000.0,2.3188,2.26,2.1513,2.0638,2.0183,1.9778,1.96,1.9438,1.8689,1.8516,1.803,1.7449,86.9871,87.9385,84.1674,73.7174,0.0,0.013537307544197134,,,,
2000-01-10,2.313,2.338,2.3,2.325,2536000.0,2.3188,2.26,2.1513,2.0638,2.0183,1.9778,1.96,1.9438,1.8689,1.8516,1.803,1.7449,86.9871,87.9385,84.1674,73.7174,0.0,0.009261833112323615,0.013294089794510966,,,
2000-01-11,2.4,2.5,2.4,2.463,6352000.0,2.4662,2.33,2.1975,2.09,2.0363,1.9934,1.971,1.9546,1.8749,1.856,1.8085,1.7517,94.8955,91.9965,88.2902,77.7777,0.05766008009908119,0.03329006276669991,0.026974465281026927,,,
2000-01-12,2.463,2.475,2.438,2.463,2116000.0,2.4596,2.37,2.2425,2.1156,2.0538,2.0081,1.982,1.9654,1.882,1.8609,1.8143,1.7586,94.8955,91.9965,88.2902,77.7777,0.0,0.03329006276669991,0.024978146393870512,,,
2000-01-13,2.45,2.45,2.388,2.388,3400000.0,2.4213,2.385,2.2788,2.1375,2.0679,2.0209,1.9903,1.9744,1.8881,1.8653,1.8199,1.7649,54.3546,74.6568,75.8033,71.3441,-0.0309239236080453,0.044959425413612066,0.03216368089773793,,,
2000-01-14,2.388,2.475,2.363,2.45,2556000.0,2.4046,2.4175,2.3175,2.1619,2.0858,2.0353,2.001,1.985,1.895,1.8704,1.8257,1.7713,70.2446,78.4625,78.5286,73.2515,0.02563182902628014,0.02831911270556715,0.033126588136090825,,,
2000-01-17,2.475,2.525,2.463,2.475,6876000.0,2.4935,2.4475,2.3538,2.1875,2.1038,2.0525,2.0133,1.9956,1.9018,1.8758,1.8314,1.7778,75.3858,79.8258,79.5221,73.9685,0.010152371464017929,0.029227352426862335,0.032631565188134384,0.02378648880701391,,
2000-01-18,2.475,2.5,2.45,2.488,2096000.0,2.4802,2.4525,2.3913,2.2138,2.1225,2.0681,2.0258,2.0056,1.9086,1.8817,1.8372,1.7844,78.2095,80.5194,80.0199,74.3244,0.005238778856279325,0.01064294362455607,0.02075690834056873,0.023361861798711078,,
2000-01-19,2.488,2.5,2.363,2.4,6852000.0,2.4083,2.44,2.405,2.235,2.1388,2.0819,2.0368,2.0142,1.9146,1.8865,1.8423,1.7904,35.4762,63.3638,67.6266,67.6276,-0.03601043752303312,0.02535299514783583,0.026954901364134688,0.026654542058717645,,
2000-01-20,2.425,2.5,2.413,2.45,4556000.0,2.4601,2.4525,2.4188,2.2569,2.1563,2.0966,2.048,2.0233,1.9211,1.8921,1.8476,1.7968,56.0566,67.7773,70.4436,69.2646,0.02061928720273587,0.02928305429032045,0.024382445493548986,0.026907549585911426,,
2000-01-21,2.488,2.5,2.45,2.475,2288000.0,2.4746,2.4575,2.4375,2.2794,2.175,2.1119,2.0603,2.0329,1.9278,1.898,1.853,1.8033,64.5394,69.8222,71.7665,70.0481,0.010152371464017929,0.03013161955259169,0.021993627387679297,0.026879520820412256,,
2000-01-24,2.5,2.5,2.425,2.425,5244000.0,2.4464,2.4475,2.4475,2.2994,2.1917,2.1256,2.0718,2.0413,1.9338,1.9034,1.8588,1.8096,40.8705,61.0979,65.4564,66.539,-0.020408871631207193,0.021318441632813778,0.023375412823118537,0.0281516559231559,,
2000-01-25,2.425,2.45,2.4,2.438,2724000.0,2.428,2.4375,2.445,2.3213,2.2083,2.1384,2.0838,2.05,1.9399,1.9093,1.8642,1.8159,48.0192,62.4186,66.2553,66.9669,0.005346506669633433,0.016433834140611465,0.023386198646089755,0.02109099686069173,,
2000-01-26,2.463,2.6,2.463,2.575,7924000.0,2.529,2.4725,2.4563,2.3494,2.2292,2.1544,2.0978,2.061,1.9478,1.9165,1.8701,1.8224,82.6432,73.5365,73.5115,71.1638,0.05467150305661961,0.03815179646984765,0.027256259656382866,0.02749767658254632,,
2000-01-27,2.625,2.625,2.525,2.6,1760000.0,2.5878,2.5025,2.4775,2.3781,2.2508,2.1703,2.1123,2.0715,1.956,1.9239,1.8762,1.8291,85.3115,75.0465,74.5817,71.8368,0.009661910911736848,0.027317397897669713,0.027038283090912624,0.024532239034100546,,
2000-01-28,2.6,2.625,2.525,2.55,5224000.0,2.5865,2.5175,2.4875,2.4025,2.2704,2.1863,2.1258,2.0821,1.9638,1.931,1.8818,1.8354,58.3845,66.508,68.611,68.5278,-0.019418085857101586,0.037329114603591805,0.030521529779625883,0.02516599344420339,,
2000-01-31,2.55,2.575,2.525,2.575,2768000.0,2.5591,2.5475,2.4975,2.4256,2.2908,2.2022,2.1415,2.094,1.9716,1.9385,1.8871,1.8418,66.3502,68.5225,69.9082,69.2602,0.009756174945364737,0.016816621693798536,0.026752213049217773,0.025155541989824715,0.02396497962503254,
2000-02-01,2.55,2.575,2.525,2.575,2768000.0,2.5591,2.5475,2.4975,2.4256,2.2908,2.2022,2.1415,2.094,1.9716,1.9385,1.8871,1.8418,66.3502,68.5225,69.9082,69.2602,0.0,0.014851388831175883,0.027188122993140974,0.025180510660152682,0.023723039268048193,
2000-02-02,2.575,2.75,2.575,2.725,6980000.0,2.6967,2.605,2.5213,2.4563,2.3163,2.2222,2.1588,2.1083,1.981,1.9476,1.893,1.8487,87.6411,77.6122,76.25,73.1399,0.056618893999507924,0.03026823567273023,0.027973902375994494,0.026078323512823225,0.025984403848335735,
2000-02-03,2.725,2.8,2.7,2.775,4576000.0,2.7482,2.645,2.5588,2.4819,2.3429,2.2438,2.1773,2.1238,1.9909,1.9572,1.8992,1.8559,90.6113,79.7996,77.9204,74.2602,0.018182319083190457,0.028906937391879228,0.028106561313262914,0.026007386335003584,0.026020444716547422,
2000-02-04,2.725,2.8,2.7,2.775,4576000.0,2.7482,2.645,2.5588,2.4819,2.3429,2.2438,2.1773,2.1238,1.9909,1.9572,1.8992,1.8559,90.6113,79.7996,77.9204,74.2602,0.0,0.028906937391879228,0.023460010978840894,0.026303782978860994,0.026020444716547422,
2000-02-07,2.725,2.8,2.7,2.775,4576000.0,2.7482,2.645,2.5588,2.4819,2.3429,2.2438,2.1773,2.1238,1.9909,1.9572,1.8992,1.8559,90.6113,79.7996,77.9204,74.2602,0.0,0.010497566817171667,0.02458277643616469,0.024271220981768534,0.026020444716547422,
2000-02-08,2.85,3.0,2.85,2.95,5088000.0,2.9544,2.715,2.6088,2.5138,2.3742,2.2694,2.199,2.1415,2.0024,1.9679,1.9062,1.8643,95.8489,85.4119,82.5472,77.6371,0.06115442315333053,0.03530752266971166,0.029913927990646728,0.0282781020688601,0.026374778397764302,
2000-02-09,3.0,3.0,2.85,2.95,2604000.0,2.9483,2.795,2.6563,2.5469,2.405,2.2953,2.2208,2.1596,2.0141,1.9783,1.9127,1.8725,95.8489,85.4119,82.5472,77.6371,0.0,0.03530752266971166,0.026512244646194734,0.025805605300092377,0.026374778397764302,
2000-02-10,2.9,2.975,2.9,2.95,1584000.0,2.9516,2.87,2.7088,2.5781,2.4358,2.3209,2.2423,2.1779,2.0259,1.9871,1.9194,1.8805,95.8489,85.4119,82.5472,77.6371,0.0,0.03530752266971166,0.027349089459126816,0.026147857057885752,0.0247672334697324,
2000-02-11,2.975,2.975,2.875,2.875,2612000.0,2.9113,2.9,2.7525,2.5988,2.465,2.3444,2.2613,2.1952,2.0371,1.9955,1.926,1.8875,53.0459,73.0306,74.222,73.0877,-0.0257524961024147,0.014868210557033896,0.032219540805766535,0.0270709143502656,0.025767264644311838,
2000-02-14,2.875,2.95,2.875,2.925,4420000.0,2.9188,2.93,2.7875,2.6219,2.4954,2.3688,2.281,2.2127,2.0495,2.0053,1.9328,1.8951,67.541,75.6752,75.9625,74.1331,0.017241806434506124,0.02163708619964857,0.03219496032296686,0.027105573146170982,0.025847097931330776,
2000-02-15,2.95,3.0,2.875,2.9,4368000.0,2.9322,2.92,2.8175,2.6475,2.5246,2.3925,2.2998,2.2298,2.0615,2.0147,1.9396,1.9026,54.8431,71.7192,73.2976,72.673,-0.008583743691391588,0.021641915924476052,0.015618159862914824,0.027683754565621554,0.0261181229563864,
2000-02-16,2.95,2.95,2.9,2.95,3244000.0,2.9421,2.92,2.8575,2.6725,2.5542,2.4172,2.3205,2.2477,2.074,2.0246,1.9464,1.9104,71.1275,74.6955,75.1735,73.7429,0.017094433359300165,0.014868027972662361,0.018209690087045136,0.02301545274098846,0.024063182219570805,
2000-02-17,2.95,2.95,2.9,2.9,2776000.0,2.9256,2.91,2.89,2.6938,2.5804,2.4406,2.3398,2.2663,2.0859,2.0338,1.9529,1.9176,46.1589,66.7881,69.8863,70.8723,-0.017094433359300165,0.017798310887892018,0.019749347924459197,0.023954415286103713,0.024683062486879667,
2000-02-18,2.95,2.975,2.925,2.925,3276000.0,2.9363,2.92,2.91,2.7156,2.6075,2.4647,2.3598,2.284,2.0978,2.0431,1.9594,1.925,57.3799,68.6546,70.9851,71.4472,0.008583743691391588,0.01779831088789202,0.015569397279359428,0.02393277335368147,0.024679797307489766,
2000-02-21,2.925,2.95,2.9,2.95,3140000.0,2.9424,2.925,2.9275,2.7431,2.6304,2.4891,2.3805,2.3023,2.1096,2.0527,1.966,1.9324,67.5304,70.5186,72.0822,72.0186,0.008510689667908578,0.014804258614643696,0.014051210678878122,0.023876023590898722,0.023735089690323233,
2000-02-22,2.95,3.0,2.925,2.95,10588000.0,2.9669,2.935,2.9275,2.7681,2.6517,2.5125,2.401,2.3204,2.1221,2.0623,1.9726,1.9396,67.5304,70.5186,72.0822,72.0186,0.0,0.004934873035740905,0.012962521627358503,0.014002790985781777,0.023817837433120086,
2000-02-23,3.15,3.25,3.0,3.0,5842000.0,3.1207,2.945,2.9325,2.7944,2.6754,2.5369,2.4228,2.3394,2.1359,2.0722,1.9797,1.9471,84.3273,74.3757,74.3333,73.1677,0.016807118316381375,0.008403786775847808,0.012887159570083493,0.014977519087004218,0.021425656720603887,
2000-02-24,3.05,3.1,2.95,2.95,2454000.0,3.0117,2.955,2.9325,2.8206,2.6963,2.56,2.4433,2.3573,2.1493,2.0816,1.9865,1.9549,47.4825,64.8333,68.3943,70.1859,-0.016807118316381375,0.016807118316381365,0.012773282822061872,0.016088856912386106,0.022100918011436023,
2000-02-25,3.0,3.0,2.8,2.825,2626000.0,2.8536,2.935,2.9275,2.84,2.7083,2.5806,2.461,2.3723,2.1608,2.0899,1.9928,1.9618,17.9962,47.6419,56.2866,63.494,-0.043296805753324064,0.030122256814209658,0.02382220028043487,0.019749272570425358,0.024117231094970736,
2000-02-28,2.825,2.9,2.725,2.725,2434000.0,2.7973,2.89,2.9075,2.8475,2.7171,2.5984,2.4765,2.3854,2.1711,2.0977,1.9981,1.9679,10.3119,38.4629,48.838,58.8504,-0.03603993648319692,0.013688602234148538,0.02489771640439537,0.02118974684973845,0.02577128824586706,
2000-02-29,2.775,2.8,2.575,2.725,3452000.0,2.6543,2.845,2.89,2.8538,2.7283,2.6159,2.492,2.3981,2.1814,2.1056,2.0035,1.9739,10.3119,38.4629,48.838,58.8504,0.0,0.023188188666350713,0.02489771640439537,0.021295774643636464,0.02577128824586706,
2000-03-01,2.775,2.8,2.725,2.75,1916000.0,2.7569,2.795,2.87,2.8638,2.7383,2.6331,2.5078,2.4121,2.1919,2.1138,2.0089,1.98,27.6817,41.9987,50.7285,59.6401,0.009132483563272453,0.0238845375735048,0.02250097746300107,0.020459497851613325,0.02253984145389807,
2000-03-02,2.75,2.75,2.6,2.6,1564000.0,2.6631,2.725,2.84,2.865,2.7425,2.6453,2.5205,2.4231,2.2009,2.1205,2.0135,1.9849,10.0917,30.2618,40.9511,53.2921,-0.05608946665104353,0.03531603345741297,0.028341224056700354,0.025650521643829277,0.025402330832717354,
2000-03-03,2.65,2.75,2.625,2.7,1838000.0,2.6822,2.7,2.8175,2.8638,2.7496,2.66,2.5353,2.436,2.2104,2.1281,2.0186,1.9901,45.025,42.3458,48.1289,56.4863,0.0377403279828471,0.04809078552268163,0.03722569034538819,0.029484383959597602,0.027008033331480084,
2000-03-06,2.75,2.75,2.7,2.725,2004000.0,2.7097,2.7,2.795,2.8613,2.7604,2.6716,2.5503,2.4496,2.2198,2.1359,2.024,1.9954,52.0163,45.0249,49.7727,57.2425,0.009216655104923976,0.048101489606681466,0.03441914297599505,0.029529131770908625,0.027111073197555922,
2000-03-07,2.7,2.7,2.625,2.675,1364000.0,2.6624,2.69,2.7675,2.8475,2.7679,2.6806,2.5635,2.4621,2.2285,2.1432,2.0291,2.0003,37.6515,40.7629,46.5925,55.2557,-0.018519047767237673,0.028130607553721126,0.03540153145335715,0.029556984588423697,0.023062876551801705,
2000-03-08,2.675,2.675,2.575,2.625,3212000.0,2.6145,2.665,2.73,2.8313,2.7729,2.6891,2.5755,2.474,2.2368,2.1503,2.034,2.0046,26.6231,36.8398,43.5929,53.3405,-0.018868484304382704,0.01611503632918916,0.03507655846854972,0.028108106378347045,0.023237457163629568,
2000-03-09,2.625,2.625,2.575,2.575,1594000.0,2.5998,2.66,2.6925,2.8125,2.7779,2.6953,2.5865,2.4848,2.2444,2.157,2.0387,2.0087,18.4965,33.2408,40.7665,51.4942,-0.019231361927887547,0.00035617821536253376,0.025295398271395597,0.028151626422876785,0.023380699681373737,
2000-03-10,2.625,2.65,2.575,2.65,2256000.0,2.6212,2.65,2.675,2.8013,2.785,2.7,2.5995,2.4967,2.2528,2.1645,2.0437,2.0135,51.6817,42.689,46.3822,53.9667,0.02871010588243128,0.027574862526530297,0.02184123311277378,0.02890930835917434,0.024213638368903504,
