Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,1.32,1.34,1.3,1.34,263000.0,1.3253,1.298,1.277,1.2525,1.24,1.2165,1.204,1.1955,1.2094,1.2334,1.2725,1.2586,96.3386,82.2799,77.0108,68.0185,,,,,,
2000-01-04,1.33,1.34,1.32,1.33,317000.0,1.3331,1.312,1.284,1.2595,1.2457,1.221,1.2078,1.1982,1.2108,1.2319,1.2734,1.2601,75.7147,75.9187,73.0807,66.4534,-0.007490671729157572,,,,,
2000-01-05,1.27,1.31,1.27,1.27,95000.0,1.2871,1.312,1.285,1.263,1.2473,1.224,1.21,1.1998,1.2111,1.2292,1.2738,1.2614,25.8704,49.8855,54.958,58.1485,-0.04616204176316255,,,,,
2000-01-06,1.24,1.29,1.24,1.26,126000.0,1.2613,1.304,1.286,1.2645,1.2477,1.227,1.2116,1.201,1.2111,1.2263,1.2737,1.2625,22.2144,46.8719,52.6161,56.9219,-0.00790517950711328,0.022208234909162454,,,,
2000-01-07,1.24,1.29,1.24,1.26,126000.0,1.2613,1.304,1.286,1.2645,1.2477,1.227,1.2116,1.201,1.2111,1.2263,1.2737,1.2625,22.2144,46.8719,52.6161,56.9219,0.0,0.024688099266859914,,,,
2000-01-10,1.24,1.29,1.24,1.26,126000.0,1.2613,1.304,1.286,1.2645,1.2477,1.227,1.2116,1.201,1.2111,1.2263,1.2737,1.2625,22.2144,46.8719,52.6161,56.9219,0.0,0.004564057516424173,0.019311015558688964,,,
2000-01-11,1.3,1.31,1.28,1.3,139000.0,1.2929,1.3,1.29,1.268,1.2493,1.231,1.2142,1.2032,1.2114,1.2246,1.2734,1.2638,57.9065,58.2277,59.965,60.38,0.03125254350410442,0.018043664404955178,0.027685941983002577,,,
2000-01-12,1.3,1.32,1.29,1.31,394000.0,1.3046,1.294,1.296,1.273,1.252,1.2353,1.2178,1.2058,1.2122,1.2232,1.2736,1.2647,64.0862,60.5965,61.5697,61.1858,0.007662872745569149,0.016288613920398612,0.015046644149647475,,,
2000-01-13,1.32,1.34,1.31,1.33,375000.0,1.3253,1.294,1.303,1.2775,1.255,1.24,1.221,1.2088,1.2128,1.2219,1.2741,1.2658,75.0672,65.0551,64.6238,62.7531,0.01515180502060226,0.01205397896153144,0.013041907513811776,,,
2000-01-14,1.33,1.33,1.29,1.33,372000.0,1.3139,1.306,1.309,1.2825,1.258,1.2445,1.2244,1.2123,1.2139,1.2209,1.2746,1.2667,75.0672,65.0551,64.6238,62.7531,0.0,0.007576068909370342,0.013041907513811776,,,
