Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.74,2.82,2.72,2.82,3431000.0,2.7879,2.736,2.69,2.558,2.576,2.6175,2.6336,2.639,2.65,2.6392,2.6481,2.568,83.0464,71.8488,63.8185,58.5798,,,,,,
2000-01-04,2.82,2.82,2.72,2.74,5259000.0,2.7381,2.744,2.694,2.58,2.58,2.617,2.6356,2.64,2.6552,2.6378,2.651,2.5735,50.5142,59.9311,56.7575,55.2971,-0.028778964550043362,,,,,
2000-01-05,2.7,2.72,2.66,2.72,4031000.0,2.6937,2.744,2.702,2.6,2.5813,2.616,2.6376,2.6403,2.6584,2.6365,2.6537,2.5789,44.0441,57.2598,55.1157,54.5071,-0.0073260400920729385,,,,,
2000-01-06,2.74,2.74,2.66,2.68,3615000.0,2.6898,2.732,2.71,2.619,2.582,2.6145,2.6384,2.6403,2.6592,2.6357,2.6558,2.5839,31.8179,52.0408,51.8832,52.9423,-0.01481508578514057,0.01088809505341456,,,,
2000-01-07,2.74,2.74,2.66,2.68,3615000.0,2.6898,2.732,2.71,2.619,2.582,2.6145,2.6384,2.6403,2.6592,2.6357,2.6558,2.5839,31.8179,52.0408,51.8832,52.9423,0.0,0.007407692349224882,,,,
2000-01-10,2.74,2.74,2.66,2.68,3615000.0,2.6898,2.732,2.71,2.619,2.582,2.6145,2.6384,2.6403,2.6592,2.6357,2.6558,2.5839,31.8179,52.0408,51.8832,52.9423,0.0,0.008553493766118307,0.01207078403626276,,,
2000-01-11,2.72,2.74,2.7,2.74,7212000.0,2.7315,2.74,2.722,2.638,2.5853,2.6135,2.6396,2.6413,2.6596,2.6362,2.6578,2.5891,58.0309,58.434,56.0473,54.9492,0.022141125877213508,0.01278318498537061,0.013814730230467295,,,
2000-01-12,2.74,2.88,2.72,2.86,8007000.0,2.8156,2.748,2.742,2.661,2.5927,2.616,2.6412,2.6443,2.6618,2.6362,2.6609,2.5948,80.51,68.0247,62.9528,58.602,0.042863704431782335,0.021435764019803006,0.022600947372139694,,,
2000-01-13,2.86,3.06,2.86,2.94,17992000.0,2.9968,2.788,2.766,2.683,2.6,2.6205,2.6456,2.6503,2.6642,2.6375,2.6643,2.601,87.308,72.7417,66.7081,60.7943,0.02758795651882906,0.010742762682296205,0.018533328917803786,,,
2000-01-14,2.98,3.38,2.96,3.3,20503000.0,3.1365,2.904,2.824,2.724,2.622,2.6325,2.6572,2.662,2.6704,2.6418,2.6696,2.6088,96.2163,84.3956,77.6749,68.548,0.11551288712184427,0.04697879954720557,0.04407452422552439,,,
2000-01-17,3.34,3.54,3.34,3.48,20780000.0,3.4636,3.064,2.898,2.774,2.6527,2.6505,2.672,2.6767,2.6786,2.6483,2.6756,2.6173,97.5211,87.4207,81.0383,71.4668,0.05310982531394837,0.04523328665805822,0.03743592920779603,0.042073313165858786,,
2000-01-18,3.48,3.48,3.36,3.42,9753000.0,3.4206,3.2,2.97,2.819,2.6833,2.6695,2.686,2.688,2.6858,2.6545,2.6813,2.6256,83.1784,81.496,76.8805,69.2508,-0.01739174271186905,0.06649342555011911,0.04805233632353748,0.040707375886716725,,
