Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2013-04-04,2.93,2.93,2.9,2.91,680200.0,2.9102,2.8960000000000004,2.858,2.8505,2.815,2.7748,2.7446,2.724,2.6799,2.6683,2.6599,2.6425,58.9691,63.1291,63.2732,61.8825,,,,,,
2013-04-05,2.92,2.95,2.9,2.94,301800.0,2.9181,2.908,2.872,2.855,2.8227,2.7825,2.7504,2.73,2.6832,2.6711,2.6621,2.6451,71.1036,67.4911,66.3285,63.5667,0.010256500167189042,,,,,
2013-04-08,2.93,2.98,2.93,2.98,467100.0,2.9608,2.9360000000000004,2.888,2.8625,2.8307,2.7913,2.7584,2.7365,2.6871,2.6743,2.6641,2.6477,81.8431,72.3906,69.9214,65.6596,0.013513719166722726,,,,,
2013-04-09,2.98,2.98,2.92,2.93,977500.0,2.9364,2.94,2.901,2.867,2.8377,2.798,2.7668,2.7423,2.6902,2.6768,2.6656,2.6502,48.2323,59.7312,61.1392,61.1196,-0.016920877488336927,0.01671069520495868,,,,
2013-04-10,2.94,2.95,2.9,2.9,881900.0,2.937,2.932,2.908,2.869,2.8437,2.8038,2.7724,2.7475,2.6928,2.6793,2.667,2.6525,35.2162,53.4249,56.5498,58.6044,-0.010291686036547842,0.016004729351832975,,,,
2013-04-11,2.9,2.94,2.89,2.9,3610600.0,2.911,2.93,2.9130000000000003,2.8715,2.8497,2.8095,2.7774,2.7523,2.6947,2.6816,2.6682,2.6549,35.2162,53.4249,56.5498,58.6044,0.0,0.00852624454018938,0.013016156797812423,,,
2013-04-12,2.9,2.95,2.9,2.95,1444400.0,2.9212,2.932,2.92,2.8760000000000003,2.8577,2.8160000000000003,2.7834,2.7577,2.6971,2.6843,2.67,2.6576,67.8011,61.9081,62.0554,61.435,0.017094433359300165,0.013833160574708821,0.0147034787474755,,,
2013-04-15,2.95,2.95,2.91,2.91,801600.0,2.9382,2.918,2.927,2.879,2.864,2.824,2.7886,2.7622,2.6987,2.6869,2.6715,2.66,42.2812,53.18899999999999,55.9478,58.1446,-0.013652089168327164,0.015405344516743778,0.013764350888701917,,,
2013-04-16,2.91,2.96,2.9,2.95,251000.0,2.9319,2.922,2.931,2.8845,2.8710000000000004,2.8323,2.7946,2.7668,2.7008,2.6897,2.6732,2.6627,63.1093,59.5915,60.1696,60.3419,0.013652089168327164,0.01684595171799862,0.01379893162932277,,,
2013-04-17,2.94,3.02,2.94,3.02,1120200.0,2.9897,2.946,2.939,2.8935,2.8773,2.8405,2.8024,2.7727,2.704,2.6929,2.6752,2.6659,81.0549,68.1641,66.2629,63.7838,0.02345166103504992,0.019227749229371132,0.014884236463211974,,,
2013-04-18,3.02,3.02,3.0,3.0,1501900.0,3.003,2.966,2.948,2.903,2.883,2.8483,2.8094,2.7785,2.7072,2.696,2.6772,2.6688,67.0718,63.8127,63.284,62.1885,-0.006644542718668545,0.01535017022225168,0.016040932339134586,0.014323190396562737,,
2013-04-19,3.02,3.02,2.92,2.92,1195900.0,2.9977,2.96,2.946,2.909,2.8853,2.8535,2.8152,2.783,2.71,2.6985,2.6788,2.6712,32.9577,49.5722,53.0171,56.3562,-0.027028672387919395,0.025395400781940563,0.020472802251334594,0.016865001023635477,,
2013-04-22,2.92,2.99,2.92,2.98,1016500.0,2.983,2.974,2.946,2.917,2.8903,2.8595,2.8222,2.7897,2.7136,2.7016,2.6806,2.6735,57.3576,57.5628,58.4603,59.3165,0.020339684237122624,0.023760690422529263,0.02128237012403648,0.017624464892769143,,
2013-04-23,2.96,2.98,2.91,2.91,619800.0,2.9593,2.966,2.944,2.9225,2.8927,2.8643,2.8272,2.7963,2.7166,2.7042,2.6822,2.675,35.0402,47.6524,51.032,54.8281,-0.02377021933391177,0.026457709395398935,0.023801941405128608,0.018468025667934176,,
2013-04-24,2.93,2.94,2.91,2.92,1020900.0,2.9283,2.946,2.946,2.927,2.8947,2.8693,2.8322,2.8013,2.7197,2.7069,2.6837,2.6767,40.0395,49.0618,51.9709,55.3277,0.0034305350967891446,0.022254153018014745,0.019611327396234612,0.01818249836035878,,
2013-04-25,2.92,2.94,2.9,2.94,1282800.0,2.9333,2.934,2.95,2.9315,2.8977,2.8748,2.8376,2.8062,2.7231,2.7098,2.6854,2.6786,51.2865,51.9714,53.8757,56.3269,0.0068259650703998975,0.01677069113268559,0.020530512089952567,0.018281687352399233,,
2013-04-26,2.94,2.95,2.93,2.94,1360900.0,2.9397,2.938,2.949,2.9345,2.9003,2.8805,2.8426,2.8110000000000004,2.7264,2.7126,2.6871,2.6807,51.2865,51.9714,53.8757,56.3269,0.0,0.003412997580288126,0.016029423667214965,0.017427226500159525,,
2013-04-29,2.94,2.94,2.91,2.92,1193500.0,2.9197,2.926,2.95,2.9385,2.9027,2.8855,2.8492,2.8155,2.7295,2.7153,2.6886,2.6825,36.0654,48.4676,51.5066,55.0101,-0.0068259650703998975,0.006825965070399895,0.012116506773241649,0.01697568331871131,,
2013-04-30,2.92,2.93,2.91,2.91,2784400.0,2.9187,2.926,2.946,2.9385,2.905,2.8898,2.855,2.8198,2.7323,2.7178,2.69,2.6842,29.4992,46.6967,50.3153,54.3529,-0.0034305350967891446,0.003412997580288129,0.0054019612268426,0.016335007917094777,,
2013-05-01,2.92,2.93,2.91,2.91,2784400.0,2.9187,2.926,2.946,2.9385,2.905,2.8898,2.855,2.8198,2.7323,2.7178,2.69,2.6842,29.4992,46.6967,50.3153,54.3529,0.0,0.003412997580288129,0.005064643499913905,0.013874361140493794,,
2013-05-02,2.92,2.92,2.89,2.91,3179700.0,2.9131,2.924,2.935,2.937,2.9073,2.8918,2.8594,2.8245,2.7354,2.7203,2.6914,2.6860000000000004,29.4992,46.6967,50.3153,54.3529,0.0,0.001980620361595663,0.0030546362736302937,0.013877334123699675,0.014077156437165521,
2013-05-03,2.91,2.93,2.9,2.92,2368800.0,2.9182,2.92,2.927,2.9375,2.911,2.894,2.864,2.829,2.7387,2.7228,2.6931,2.6877,49.9868,49.0526,51.6133,54.9291,0.0034305350967891446,0.0019806203615956607,0.0038991082767236614,0.011091635454419761,0.013896995925257448,
2013-05-06,2.99,3.01,2.94,2.95,3413300.0,2.9613,2.922,2.93,2.938,2.9160000000000004,2.8965,2.8688,2.8343,2.7422,2.7257,2.6948,2.6897,78.3277,55.666,55.3794,56.6284,0.01022155407153802,0.005202029690468207,0.005174970439782835,0.009355682470803048,0.013742890684891887,
2013-05-07,2.95,2.99,2.94,2.96,4092000.0,2.9586,2.93,2.928,2.937,2.9207,2.8998,2.8732,2.8398,2.7459,2.7288,2.6966,2.6914,83.1125,57.7239,56.5922,57.185,0.0033840979842405527,0.003934270386965923,0.004172964273605631,0.004892198221773693,0.013205939860511464,
2013-05-08,2.98,3.01,2.96,3.0,3112200.0,2.9839,2.948,2.937,2.9405,2.9273,2.9038,2.8788,2.8455,2.7501,2.7319,2.6986,2.6931,92.7356,65.0288,61.142,59.3441,0.013423020332140823,0.005128030061512743,0.005530046757767503,0.006144370403704504,0.013249670518874962,
2013-05-09,3.0,3.07,3.0,3.04,3111500.0,3.03,2.974,2.949,2.9475,2.9343,2.9083,2.8852,2.8517,2.7547,2.7353,2.7008,2.6951,96.0833,70.7204,65.0832,61.3598,0.013245226750020489,0.005745337718537625,0.005032366490916371,0.0069105419083625415,0.01348933782558115,
2013-05-10,3.1,3.13,3.08,3.09,2744800.0,3.1128,3.008,2.964,2.957,2.9423,2.9143,2.8926,2.8587,2.7598,2.7384,2.7031,2.6971,97.8989,76.1735,69.278,63.6879,0.01631357549152379,0.0017224828826804556,0.004930772800242556,0.007889435245959775,0.013445497317649432,
2013-05-13,3.1,3.22,3.1,3.2,1896700.0,3.1852,3.0580000000000003,2.99,2.9695,2.9530000000000003,2.9228,2.9024,2.8672,2.7659,2.7425,2.7059,2.7,99.1694,83.6911,76.0849,68.0666,0.0349797188960268,0.01176313324502848,0.011547256096056759,0.011285887558021221,0.01474040145660205,
2013-05-14,3.22,3.28,3.22,3.22,988700.0,3.2377,3.11,3.02,2.985,2.9657,2.932,2.9124,2.8777,2.7722,2.7464,2.7088,2.7029,99.287,84.6799,77.0792,68.7748,0.006230549750636083,0.014586563704537363,0.010799132965697945,0.010472881168228646,0.014597221175457075,
2013-05-15,3.25,3.28,3.22,3.22,1674800.0,3.2314,3.154,3.051,2.9985,2.9760000000000004,2.9415,2.922,2.8877,2.7786,2.7504,2.7116,2.7057,99.287,84.6799,77.0792,68.7748,0.0,0.018658846028941568,0.01325063189381257,0.010472881168228646,0.013910238069187054,
2013-05-16,3.25,3.27,3.22,3.24,616000.0,3.2481,3.194,3.084,3.0095,2.986,2.9515,2.9302,2.8968,2.7853,2.7549,2.7143,2.7087,99.4592,85.7716,78.1337,69.4987,0.006191970247921175,0.0035861245127184684,0.013738019549156301,0.009979295834008282,0.013726727578569867,
2013-05-17,3.24,3.24,3.22,3.23,541900.0,3.234,3.222,3.115,3.0210000000000004,2.9967,2.962,2.9382,2.9058,2.7918,2.7595,2.7171,2.7116,84.2029,82.46600000000001,76.245,68.6752,-0.0030911925696730513,0.004727104098562996,0.015145978723843392,0.01069747549053097,0.011801357653514831,
2013-05-20,3.26,3.27,3.23,3.24,1050700.0,3.2437,3.23,3.144,3.037,3.0067,2.9730000000000003,2.946,2.9147,2.7982,2.7645,2.7198,2.7146,87.1578,83.1946,76.8477,69.0545,0.0030911925696730513,0.004726059318979765,0.004043741711861216,0.010922980469669,0.011241794036559533,
2013-05-21,3.24,3.26,3.23,3.26,859000.0,3.2473,3.238,3.174,3.051,3.016,2.984,2.9546,2.9233,2.8048,2.7698,2.7228,2.7177,91.7739,84.6316,78.0473,69.8108,0.006153865574378026,0.004709440023892452,0.004026088909662407,0.010788425383764507,0.009116035217355102,
2013-05-22,3.26,3.28,3.26,3.27,890200.0,3.266,3.248,3.201,3.069,3.0273,2.9958,2.9632,2.9325,2.8117,2.7753,2.7261,2.7209,93.5206,85.3368,78.6432,70.1877,0.0030627895305459507,0.0017764911002278393,0.0037820970611491833,0.010883279265044276,0.009121177925167473,
2013-05-23,3.27,3.32,3.23,3.24,3090100.0,3.2607,3.248,3.221,3.085,3.0387,3.006,2.9708,2.9412,2.8183,2.7806,2.7294,2.7239,47.8235,73.8927,72.3028,67.5698,-0.009216655104923976,0.008130112930921007,0.006150374288298677,0.01207482063526853,0.00970029618245381,
2013-05-24,3.27,3.32,3.23,3.24,3090100.0,3.2607,3.248,3.221,3.085,3.0387,3.006,2.9708,2.9412,2.8183,2.7806,2.7294,2.7239,47.8235,73.8927,72.3028,67.5698,0.0,0.006391559167984938,0.005912737304778971,0.011677862105111951,0.00970029618245381,
2013-05-27,3.2,3.2,3.14,3.16,739900.0,3.1704,3.234,3.228,3.096,3.0473,3.0138,2.977,2.9485,2.8242,2.7853,2.7324,2.7265,16.1865,52.6933,58.7096,61.2658,-0.02500130220541741,0.012643621101678415,0.012572286606981498,0.009647746985562094,0.011531128880441418,
2013-05-28,3.17,3.17,3.09,3.14,1703400.0,3.1436,3.214,3.222,3.1060000000000003,3.0537,3.0203,2.9826,2.9557,2.8299,2.7897,2.7352,2.729,12.9692,48.75899999999999,55.8812,59.8224,-0.006349227678658753,0.012995368971508112,0.010936055954648081,0.009379240687587448,0.011647326785355556,
2013-05-29,3.14,3.17,3.11,3.15,1536300.0,3.1491,3.192,3.215,3.1175,3.0617,3.028,2.9886,2.9628,2.8357,2.7942,2.7383,2.7315,24.2601,50.8243,56.9967,60.3061,0.0031796529173797605,0.014334490347866264,0.010964365202770405,0.009526744073616004,0.011614331791692925,
2013-05-30,3.13,3.14,3.11,3.12,1188900.0,3.123,3.162,3.205,3.128,3.0673,3.0333,2.9942,2.9692,2.8412,2.7983,2.7409,2.7338,15.3176,44.7384,52.6922,58.1341,-0.009569451016150587,0.006629593437318829,0.010979479931410574,0.009285218656115866,0.011977598229296602,
2013-05-31,3.12,3.17,3.12,3.17,428900.0,3.1533,3.148,3.198,3.141,3.0723,3.039,3.0008,2.9748,2.8469,2.803,2.7438,2.7364,55.9296,54.8708,58.3394,60.5819,0.015898586067798037,0.012734021520466023,0.015202097638862403,0.011187403940887507,0.012294930278357133,
