Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2008-09-08,2.08,2.08,2.01,2.01,1412400.0,2.0283,2.14,2.268,2.347,2.491,2.5823,2.6572,2.7267,2.8306,2.8171,2.9227,2.9356,1.8856,14.3874,18.3588,25.5649,,,,,,
2008-09-09,2.01,2.01,1.93,1.95,806600.0,1.9871,2.066,2.221,2.3145,2.4613,2.5580000000000003,2.6342,2.7078,2.821,2.8112,2.9169,2.9321,1.2707,12.6121,16.7897,24.3767,-0.030305349495328815,,,,,
2008-09-10,1.93,1.93,1.79,1.84,2172900.0,1.8467,2.004,2.164,2.279,2.4267,2.531,2.6102,2.6872,2.8101,2.8046,2.9106,2.926,0.6699,10.0534,14.3655,22.402,-0.05806380095476116,,,,,
2008-09-11,1.84,1.84,1.75,1.75,1846000.0,1.7662,1.928,2.1,2.2430000000000003,2.3903,2.5023,2.5844,2.6653,2.7976,2.7973,2.9043,2.9197,0.4239,8.4715,12.7442,20.9646,-0.05014978368547163,0.014300144900729641,,,,
2008-09-12,1.76,1.81,1.75,1.8,1676000.0,1.7714,1.87,2.04,2.208,2.3563,2.4753,2.5604,2.6443,2.785,2.7901,2.8983,2.914,23.7547,16.6669,18.2634,23.7755,0.0281708769666964,0.04766755925250805,,,,
2008-09-15,1.8,1.8,1.73,1.78,359800.0,1.7632,1.824,1.982,2.1735,2.3217,2.4483,2.5374,2.623,2.7722,2.7823,2.8918,2.9076,20.8268,16.0213,17.7789,23.4307,-0.011173300598125269,0.039160474178058825,0.034531771130619615,,,
2008-09-16,1.7,1.75,1.68,1.74,618000.0,1.7059,1.7819999999999998,1.924,2.1455,2.2857,2.4213,2.5136,2.6010000000000004,2.7586,2.7731,2.8848,2.9009,15.2047,14.737,16.8181,22.7481,-0.02272825107755616,0.026683960302334973,0.03436844952008528,,,
2008-09-17,1.72,1.72,1.7,1.72,240800.0,1.7058,1.758,1.881,2.1185,2.2527,2.393,2.4904,2.5783,2.7448,2.7638,2.8777,2.894,12.6447,14.1012,16.3426,22.4104,-0.01156082240107592,0.006562247036065889,0.028169143133904895,,,
2008-09-18,1.69,1.72,1.66,1.72,1895200.0,1.6902,1.7519999999999998,1.84,2.089,2.22,2.3645,2.4678,2.556,2.7312,2.7544,2.8702,2.8861,12.6447,14.1012,16.3426,22.4104,0.0,0.011364692948469268,0.019422073733905282,,,
2008-09-19,1.73,1.79,1.72,1.77,1766600.0,1.7601,1.746,1.808,2.06,2.1893,2.3393,2.4456,2.5338,2.7185,2.7456,2.8624,2.8787,55.1354,24.4191,22.6816,25.3742,0.028655255760376086,0.02070470655016149,0.01961948327149645,,,
2008-09-22,1.8,1.85,1.79,1.83,1002600.0,1.8076,1.756,1.79,2.029,2.1613,2.3158,2.4238,2.5127,2.7066,2.7376,2.8551,2.8724,76.0791,34.965,29.5776,28.7526,0.03333642026759176,0.01804787106601811,0.024643354951093953,0.03236206914807185,,
2008-09-23,1.83,1.96,1.81,1.91,4128300.0,1.9063,1.79,1.786,2.0035,2.1383,2.2925,2.4036,2.4928,2.6955,2.7308,2.8480000000000003,2.8663,87.6291,46.2208,37.5725,32.94,0.04278727520520886,0.007198911188328255,0.02323209108342349,0.03523777490419948,,
2008-09-24,1.91,1.93,1.88,1.93,849300.0,1.9035,1.832,1.795,1.9795,2.1177,2.2688,2.3838,2.4743,2.685,2.7254,2.8412,2.8606,89.5256,48.7171,39.424,33.9441,0.010416760858255714,0.016645718396323148,0.017447707645733872,0.029301724683857045,,
2008-09-25,1.93,1.93,1.9,1.92,761600.0,1.9133,1.872,1.812,1.956,2.0993,2.2458,2.3642,2.4557,2.6743,2.7193,2.8343,2.8547,80.2935,47.4775,38.8043,33.6832,-0.0051948168771039915,0.024473975017928147,0.019226590688486287,0.022627049360537953,,
2008-09-26,1.9,1.97,1.9,1.95,1061200.0,1.9459,1.908,1.827,1.9335,2.081,2.224,2.3456,2.4382,2.6639,2.7133,2.8273,2.8491,86.5398,51.6313,41.7619,35.228,0.015504186535965303,0.01078619489368741,0.018986606504290456,0.0217905471362181,,
2008-09-29,1.95,1.96,1.93,1.95,996900.0,1.947,1.932,1.844,1.913,2.0637,2.2023,2.3274,2.4218,2.6539,2.7067,2.8192,2.8436,86.5398,51.6313,41.7619,35.228,0.0,0.010768895523860256,0.01870718583528309,0.020968909108686377,,
2008-09-30,1.91,1.93,1.83,1.93,690200.0,1.8868,1.936,1.863,1.8935,2.0513,2.18,2.3096,2.4052,2.6441,2.7,2.8107,2.8379,58.6532,48.4015,40.2576,34.6521,-0.010309369658861312,0.012993604749571534,0.010729121011459558,0.019162993935018843,,
2008-10-01,1.91,1.93,1.83,1.93,690200.0,1.8868,1.936,1.863,1.8935,2.0513,2.18,2.3096,2.4052,2.6441,2.7,2.8107,2.8379,58.6532,48.4015,40.2576,34.6521,0.0,0.005952117347718918,0.009665001620430557,0.018007233861488118,,
2008-10-02,1.91,1.93,1.83,1.93,690200.0,1.8868,1.936,1.863,1.8935,2.0513,2.18,2.3096,2.4052,2.6441,2.7,2.8107,2.8379,58.6532,48.4015,40.2576,34.6521,0.0,0.005952117347718918,0.009236688779369583,0.018007233861488118,,
2008-10-03,1.9,1.9,1.85,1.85,252700.0,1.8816,1.92,1.876,1.8785,2.0377,2.1585,2.2896,2.388,2.6335,2.6921,2.8012,2.8321,19.9947,37.7695,34.8499,32.4567,-0.04233436382656064,0.024441756351236337,0.018331727471148394,0.02361968639118548,,
