Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,4.26,4.3,4.24,4.26,92000.0,4.2698,4.204,4.132,4.057,4.0127,4.0075,4.0008,4.002,4.0284,4.0495,4.0502,4.042,99.5524,86.7827,79.1507,66.0331,,,,,,
2000-01-04,4.28,4.28,4.18,4.2,81000.0,4.2289,4.212,4.148,4.069,4.0187,4.0135,4.0048,4.006,4.0328,4.0472,4.0514,4.0462,50.3392,67.4756,66.9695,60.8516,-0.014184634991956324,,,,,
2000-01-05,4.16,4.16,4.08,4.12,57000.0,4.1133,4.196,4.156,4.077,4.026,4.0175,4.0084,4.0073,4.0346,4.045,4.0524,4.0487,25.3128,50.5923,54.8488,54.9087,-0.019231361927887658,,,,,
2000-01-06,4.18,4.18,4.08,4.1,153000.0,4.0975,4.176,4.16,4.084,4.0333,4.021,4.0108,4.0087,4.0348,4.0433,4.0533,4.0511,21.3352,47.2661,52.3004,53.556,-0.004866189651173025,0.0072876728209892395,,,,
2000-01-07,4.18,4.18,4.08,4.1,153000.0,4.0975,4.176,4.16,4.084,4.0333,4.021,4.0108,4.0087,4.0348,4.0433,4.0533,4.0511,21.3352,47.2661,52.3004,53.556,0.0,0.00999902710152577,,,,
2000-01-10,4.18,4.18,4.08,4.1,153000.0,4.0975,4.176,4.16,4.084,4.0333,4.021,4.0108,4.0087,4.0348,4.0433,4.0533,4.0511,21.3352,47.2661,52.3004,53.556,0.0,0.00280949590503252,0.00868365981954025,,,
2000-01-11,4.28,4.28,4.12,4.14,222000.0,4.1425,4.164,4.168,4.093,4.042,4.025,4.0148,4.0107,4.0352,4.0417,4.0543,4.0538,46.5379,54.0617,56.6397,55.8084,0.009708814126960785,0.005605386449712852,0.010563841654215705,,,
2000-01-12,4.14,4.16,4.1,4.1,280000.0,4.1337,4.132,4.168,4.099,4.048,4.0275,4.0176,4.0123,4.0352,4.0398,4.055,4.0562,31.4324,47.2165,51.5859,53.1423,-0.009708814126960785,0.009708814126960787,0.0072018397802348635,,,
2000-01-13,4.16,4.18,4.12,4.14,162000.0,4.1541,4.12,4.166,4.107,4.056,4.031,4.0212,4.0143,4.0354,4.0387,4.0563,4.0586,53.8848,53.7978,55.8302,55.349,0.009708814126960785,0.011210772899425703,0.008122976685077419,,,
2000-01-14,4.14,4.24,4.08,4.2,439000.0,4.1192,4.136,4.166,4.116,4.066,4.0355,4.0244,4.0173,4.0366,4.0378,4.0579,4.0601,73.4476,61.8291,61.3094,58.3896,0.014388737452099898,0.012777832115570077,0.009665409746875507,,,
2000-01-17,4.38,4.48,4.2,4.2,725000.0,4.2909,4.156,4.166,4.126,4.0727,4.0405,4.0284,4.0207,4.038,4.037,4.0591,4.0612,73.4476,61.8291,61.3094,58.3896,0.0,0.007339374627610957,0.009665409746875507,0.01087518861605628,,
2000-01-18,4.2,4.3,4.18,4.2,347000.0,4.2209,4.168,4.166,4.137,4.0813,4.045,4.0332,4.024,4.0386,4.0365,4.0603,4.0627,73.4476,61.8291,61.3094,58.3896,0.0,0.008307341441268727,0.009409446793995337,0.00990703489694555,,
2000-01-19,4.24,4.26,4.18,4.18,151000.0,4.2155,4.184,4.158,4.145,4.0907,4.049,4.0376,4.027,4.039,4.0357,4.0616,4.0633,49.7194,57.1169,58.2986,56.9583,-0.004773278752657761,0.002755853772764082,0.00789613074888674,0.007567322699774141,,
2000-01-20,4.28,4.28,4.2,4.22,81000.0,4.2437,4.2,4.16,4.154,4.0993,4.054,4.0428,4.0307,4.0392,4.0353,4.063,4.0641,74.4664,63.3941,62.2875,59.0359,0.009523881511255494,0.007278934224905783,0.007862273936595969,0.007601797221294699,,
2000-01-21,4.26,4.3,4.22,4.24,137000.0,4.262,4.208,4.172,4.164,4.1087,4.0625,4.0484,4.0357,4.0396,4.0355,4.0637,4.0645,81.3505,66.1789,64.1348,60.0338,0.00472814119594589,0.007276502110946229,0.005428501424625619,0.007549290230102557,,
2000-01-24,4.26,4.3,4.24,4.26,127000.0,4.2649,4.22,4.188,4.174,4.1187,4.072,4.0544,4.0403,4.0402,4.036,4.0653,4.0645,86.7208,68.8452,65.9319,61.0161,0.004705891037412702,0.0027752673278887544,0.005425598233024719,0.00746291303395275,,
2000-01-25,4.24,4.26,4.2,4.2,165000.0,4.2264,4.22,4.194,4.181,4.1267,4.08,4.0588,4.0447,4.0398,4.0377,4.0667,4.064,37.7733,54.3769,56.7455,56.6916,-0.014184634991956324,0.0109128790264035,0.009476195288337534,0.009031103297884265,,
2000-01-26,4.24,4.26,4.2,4.22,148000.0,4.2297,4.228,4.206,4.187,4.1347,4.0875,4.0632,4.049,4.0396,4.039,4.0677,4.0634,51.4693,57.7098,58.8059,57.7248,0.004750602758597733,0.010919380335549322,0.009230875923797502,0.008163853743376876,,
2000-01-27,4.22,4.24,4.2,4.24,71000.0,4.2259,4.232,4.216,4.191,4.1433,4.096,4.068,4.0537,4.0408,4.042,4.069,4.0635,63.5148,60.9214,60.816,58.743,0.00472814119594589,0.010925786289976916,0.008458089048137152,0.007847057147643551,,
2000-01-28,4.24,4.24,4.1,4.12,387000.0,4.1647,4.208,4.208,4.187,4.1467,4.1015,4.07,4.055,4.0404,4.0443,4.0697,4.0625,19.6407,40.2757,46.2377,51.1034,-0.02871010588243128,0.019312068312138525,0.015228993481794538,0.011505565348656823,,
2000-01-31,4.12,4.12,4.06,4.08,162000.0,4.0964,4.172,4.196,4.181,4.1493,4.1035,4.0716,4.0563,4.0392,4.0458,4.07,4.0609,14.5986,35.7344,42.5742,48.91,-0.009756174945364737,0.016768836571266748,0.014078469911774706,0.011735710243416127,0.011038034475049786,
2000-02-01,4.12,4.12,4.06,4.08,162000.0,4.0964,4.172,4.196,4.181,4.1493,4.1035,4.0716,4.0563,4.0392,4.0458,4.07,4.0609,14.5986,35.7344,42.5742,48.91,0.0,0.014598542320565582,0.014109581994943554,0.011735710243416127,0.010674366696361355,
2000-02-02,4.16,4.2,4.1,4.1,127000.0,4.1441,4.152,4.186,4.176,4.1533,4.1075,4.0732,4.0587,4.0384,4.049,4.0703,4.0615,28.3869,39.5674,44.9239,50.0196,0.004889985294191712,0.007456595687764601,0.014135745496376534,0.011959908945001436,0.009893635732626659,
2000-02-03,4.14,4.18,4.12,4.12,169000.0,4.1413,4.132,4.18,4.169,4.1567,4.113,4.0752,4.0613,4.0378,4.0518,4.0707,4.0621,42.3488,43.3672,47.2484,51.1178,0.004866189651173025,0.0028163902467289907,0.014161486956597191,0.011547773087097401,0.009893635732626659,
