Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-08-22,1.85,1.98,1.85,1.98,4000.0,1.9475,1.922,1.952,2.008,2.051,2.0623,2.0822,2.1152,2.3267,2.3838,2.2602,2.2016,62.9361,48.9007,45.664,42.8883,,,,,,
2000-08-23,1.85,1.98,1.85,1.98,4000.0,1.9475,1.922,1.952,2.008,2.051,2.0623,2.0822,2.1152,2.3267,2.3838,2.2602,2.2016,62.9361,48.9007,45.664,42.8883,0.0,,,,,
2000-08-24,1.85,1.98,1.85,1.98,4000.0,1.9475,1.922,1.952,2.008,2.051,2.0623,2.0822,2.1152,2.3267,2.3838,2.2602,2.2016,62.9361,48.9007,45.664,42.8883,0.0,,,,,
2000-08-25,1.85,1.98,1.85,1.98,4000.0,1.9475,1.922,1.952,2.008,2.051,2.0623,2.0822,2.1152,2.3267,2.3838,2.2602,2.2016,62.9361,48.9007,45.664,42.8883,0.0,0.0,,,,
2000-08-28,1.86,1.86,1.86,1.86,1000.0,1.86,1.928,1.933,1.995,2.0423,2.0565,2.077,2.1062,2.3173,2.3774,2.2598,2.2014,28.4342,36.4199,36.7467,38.3576,-0.06252035698133385,0.036096144933004594,,,,
2000-08-29,1.9,1.9,1.9,1.9,4000.0,1.9,1.946,1.921,1.986,2.0337,2.0518,2.072,2.0995,2.3064,2.3687,2.2603,2.2014,43.8304,41.9736,40.8903,40.5241,0.021277398447284712,0.04355759890962866,0.03170696451897309,,,
2000-08-30,1.9,1.91,1.9,1.9,4000.0,1.9025,1.924,1.909,1.978,2.025,2.046,2.0666,2.0913,2.2962,2.3619,2.2611,2.2015,43.8304,41.9736,40.8903,40.5241,0.0,0.04355759890962866,0.03170696451897309,,,
2000-08-31,1.9,1.91,1.9,1.9,4000.0,1.9025,1.924,1.909,1.978,2.025,2.046,2.0666,2.0913,2.2962,2.3619,2.2611,2.2015,43.8304,41.9736,40.8903,40.5241,0.0,0.012284511721194744,0.03170696451897309,,,
2000-09-01,1.9,1.91,1.9,1.9,4000.0,1.9025,1.924,1.909,1.978,2.025,2.046,2.0666,2.0913,2.2962,2.3619,2.2611,2.2015,43.8304,41.9736,40.8903,40.5241,0.0,0.0,0.03170696451897309,,,
2000-09-04,1.86,1.86,1.86,1.86,3000.0,1.86,1.9,1.894,1.9675,2.014,2.0393,2.0596,2.0837,2.2844,2.3552,2.2616,2.2014,29.5343,37.7952,38.0031,39.0551,-0.021277398447284712,0.012284511721194744,0.015045392728083137,,,
2000-09-05,1.86,1.86,1.84,1.84,2000.0,1.85,1.872,1.897,1.957,2.003,2.0328,2.0524,2.076,2.2726,2.3480000000000003,2.2628,2.2017,23.7294,35.7911,36.6111,38.3363,-0.010810916104215695,0.010639163848212558,0.00953508790659134,0.022094189161205292,,
2000-09-06,1.8,1.82,1.8,1.82,9000.0,1.8133,1.864,1.896,1.945,1.993,2.0263,2.0452,2.068,2.2606,2.3416,2.2641,2.2026,18.3265,33.7762,35.2217,37.6201,-0.010929070532190277,0.00600900856693441,0.008929572925212988,0.0219610522554374,,
2000-09-07,1.83,1.83,1.83,1.83,4000.0,1.83,1.85,1.898,1.9335,1.9833,2.02,2.0386,2.063,2.2487,2.3351,2.2651,2.2039,30.2394,35.8089,36.5189,38.2171,0.005479465764625546,0.009439549471112153,0.010455305376927886,0.02226095927275023,,
2000-09-08,1.83,1.83,1.83,1.83,4000.0,1.83,1.85,1.898,1.9335,1.9833,2.02,2.0386,2.063,2.2487,2.3351,2.2651,2.2039,30.2394,35.8089,36.5189,38.2171,0.0,0.00835373360806626,0.010455305376927888,0.02226095927275023,,
2000-09-11,1.83,1.83,1.83,1.83,4000.0,1.83,1.85,1.898,1.9335,1.9833,2.02,2.0386,2.063,2.2487,2.3351,2.2651,2.2039,30.2394,35.8089,36.5189,38.2171,0.0,0.003163571034221863,0.0073052057974324425,0.011281055655106781,,
