Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.645,2.761,2.599,2.761,1008573.0,2.697,2.5707,2.5707,2.4352,2.3659,2.3217,2.3185,2.2953,2.1433,2.1566,2.1404,2.0459,87.8834,78.1535,75.8677,68.9068,,,,,,
2000-01-04,2.784,2.854,2.691,2.715,2592549.0,2.7622,2.6171,2.5776,2.4591,2.3821,2.3339,2.326,2.3042,2.1523,2.1599,2.1475,2.0544,71.5669,71.3785,70.7471,66.4478,-0.01680097956211868,,,,,
2000-01-05,2.715,2.9,2.599,2.784,1818879.0,2.7457,2.6635,2.5985,2.486,2.4004,2.3488,2.3348,2.3133,2.1599,2.1635,2.1541,2.0634,79.9447,75.0311,73.6229,68.2083,0.02509678908627455,,,,,
2000-01-06,2.854,2.97,2.831,2.97,2185241.0,2.9268,2.7563,2.6403,2.5217,2.4254,2.3692,2.3478,2.3257,2.1693,2.169,2.1617,2.0732,90.7944,81.944,79.4302,72.2281,0.064673210342435,0.04074260619581307,,,,
2000-01-07,2.854,2.97,2.831,2.97,2185241.0,2.9268,2.7563,2.6403,2.5217,2.4254,2.3692,2.3478,2.3257,2.1693,2.169,2.1617,2.0732,90.7944,81.944,79.4302,72.2281,0.0,0.03260563877072712,,,,
2000-01-10,2.854,2.97,2.831,2.97,2185241.0,2.9268,2.7563,2.6403,2.5217,2.4254,2.3692,2.3478,2.3257,2.1693,2.169,2.1617,2.0732,90.7944,81.944,79.4302,72.2281,0.0,0.03733909540056214,0.03174055095861733,,,
2000-01-11,3.016,3.225,3.016,3.155,2939515.0,3.1757,2.8769,2.7006,2.5653,2.4567,2.3924,2.364,2.3424,2.1802,2.1759,2.1701,2.0838,94.9182,86.2322,83.3726,75.4405,0.060426543178568215,0.03488728097034491,0.031432625553368905,,,
2000-01-12,3.155,3.248,3.109,3.202,1918012.0,3.2072,2.9651,2.7679,2.6108,2.4892,2.4174,2.3807,2.3597,2.1923,2.1833,2.1787,2.0948,95.6491,87.0942,84.1885,76.1539,0.014787118581346403,0.031498632441254934,0.03216746312320567,,,
2000-01-13,3.202,3.248,3.109,3.179,1808104.0,3.1775,3.0579,2.8375,2.6537,2.5206,2.4431,2.397,2.3766,2.2043,2.1906,2.1866,2.1054,86.3361,84.1311,82.0214,75.0267,-0.007208932645857313,0.03449961578808214,0.02737273310233842,,,
2000-01-14,3.179,3.179,3.063,3.109,2101193.0,3.1047,3.1229,2.8932,2.6932,2.55,2.4663,2.4138,2.3923,2.2157,2.1972,2.1936,2.1154,60.0327,75.4659,75.7238,71.7316,-0.022265550852048843,0.018634324661482696,0.03162014775214962,,,
2000-01-17,3.109,3.295,3.039,3.109,2963221.0,3.1643,3.1507,2.9535,2.7331,2.5793,2.4895,2.432,2.409,2.2271,2.204,2.2006,2.1252,60.0327,75.4659,75.7238,71.7316,0.0,0.011360936114926893,0.03162014775214962,0.030006169186942003,,
2000-01-18,3.109,3.179,3.016,3.109,1368469.0,3.0995,3.1414,3.0092,2.7725,2.6087,2.5124,2.4504,2.4247,2.2382,2.211,2.2078,2.1351,60.0327,75.4659,75.7238,71.7316,0.0,0.012855021778085719,0.013446547911434759,0.028662690995020338,,
2000-01-19,3.039,3.132,2.947,2.993,1678800.0,3.0312,3.0997,3.0324,2.8015,2.6343,2.5325,2.4639,2.4375,2.2482,2.216,2.2139,2.144,22.1218,60.6437,65.289,66.3547,-0.03802490220605481,0.02195368752457495,0.016449796642628245,0.03252737644603223,,
2000-01-20,3.086,3.132,2.9,2.993,2077487.0,2.9993,3.0625,3.0602,2.8189,2.6595,2.5517,2.4792,2.4483,2.2591,2.2212,2.2196,2.1529,22.1218,60.6437,65.289,66.3547,0.0,0.02195368752457495,0.017425987752025168,0.025511852677532573,,
2000-01-21,2.993,3.086,2.993,3.039,907284.0,3.0418,3.0486,3.0857,2.8421,2.6859,2.5717,2.4962,2.4599,2.2708,2.2265,2.2254,2.1619,50.344,64.2031,67.3747,67.4007,0.015252285064094151,0.027437760084947856,0.0198419188157141,0.025913378259921994,,
2000-01-24,3.063,3.109,2.9,2.923,1303817.0,2.989,3.0115,3.0811,2.8607,2.7082,2.5894,2.5116,2.47,2.2809,2.2295,2.2308,2.1701,21.3416,51.1838,57.9932,62.3847,-0.038918027805547206,0.02793345629749557,0.02465761110145238,0.029031482543143774,,
2000-01-25,2.9,2.993,2.877,2.923,1333988.0,2.9088,2.9744,3.0579,2.8793,2.7295,2.607,2.5255,2.4797,2.29,2.2348,2.2356,2.1784,21.3416,51.1838,57.9932,62.3847,0.0,0.02793345629749557,0.02465761110145238,0.019368245997642305,,
2000-01-26,2.97,3.039,2.9,2.9,1655094.0,2.9929,2.9558,3.0277,2.8978,2.7498,2.6238,2.5395,2.4886,2.3,2.24,2.2404,2.1861,16.9481,48.6849,56.1787,61.4066,-0.007899749136680567,0.020571633123775485,0.02006473940069068,0.01770713220947484,,
2000-01-27,2.9,2.993,2.9,2.923,635746.0,2.9438,2.9419,3.0022,2.9199,2.7699,2.641,2.5549,2.4978,2.3107,2.2473,2.2457,2.1942,36.5436,51.3567,57.6071,62.0225,0.007899749136680567,0.007899749136680595,0.020976437286237253,0.01858566000982286,,
2000-01-28,2.947,3.016,2.923,2.993,463340.0,2.9778,2.9326,2.9906,2.9419,2.7923,2.6601,2.5711,2.51,2.3216,2.2552,2.2514,2.2025,69.222,58.6269,61.6461,63.8149,0.023665742741453055,0.015782748902647848,0.023200031792476473,0.020367262428005965,,
2000-01-31,3.016,3.016,2.947,2.97,609885.0,2.9736,2.9419,2.9767,2.9651,2.8143,2.6787,2.5869,2.5228,2.3323,2.264,2.2566,2.2104,55.0479,55.5154,59.6075,62.793,-0.0077142760559536505,0.01569007072847636,0.013167190755181506,0.02035332498181523,0.02634168122347532,
2000-02-01,3.016,3.016,2.947,2.97,609885.0,2.9736,2.9419,2.9767,2.9651,2.8143,2.6787,2.5869,2.5228,2.3323,2.264,2.2566,2.2104,55.0479,55.5154,59.6075,62.793,0.0,0.016351773676973082,0.013167190755181506,0.02035332498181523,0.025919731929657627,
2000-02-02,2.97,3.039,2.97,2.993,890044.0,2.994,2.9558,2.9651,2.9871,2.8367,2.6978,2.603,2.5362,2.3427,2.2754,2.2624,2.2183,65.6104,58.0218,60.9966,63.3993,0.0077142760559536505,0.007714276055953678,0.011642781782722067,0.01683628571612272,0.025480037620753373,
2000-02-03,2.993,3.016,2.923,2.97,540923.0,2.9745,2.9697,2.9628,2.9976,2.8553,2.7164,2.6186,2.547,2.3525,2.2857,2.2678,2.2261,48.5119,54.5633,58.8182,62.3482,-0.0077142760559536505,0.007714276055953678,0.013112090668761582,0.017012099289084343,0.02111908260862623,
2000-02-04,2.993,3.016,2.923,2.97,540923.0,2.9745,2.9697,2.9628,2.9976,2.8553,2.7164,2.6186,2.547,2.3525,2.2857,2.2678,2.2261,48.5119,54.5633,58.8182,62.3482,0.0,0.007714276055953678,0.006454226409665365,0.01607370597126888,0.02111908260862623,
2000-02-07,2.993,3.016,2.923,2.97,540923.0,2.9745,2.9697,2.9628,2.9976,2.8553,2.7164,2.6186,2.547,2.3525,2.2857,2.2678,2.2261,48.5119,54.5633,58.8182,62.3482,0.0,0.004453839357507971,0.005454816911109843,0.009649206579991302,0.02111908260862623,
2000-02-08,3.063,3.55,3.016,3.503,4562283.0,3.3826,3.0857,3.0138,3.037,2.8839,2.7481,2.6441,2.5683,2.3681,2.2998,2.2757,2.2365,94.8465,82.128,78.1479,72.9987,0.16505779140074162,0.09529616029706327,0.07401736234122286,0.05252623573917829,0.04072993198511027,
2000-02-09,3.527,3.689,3.503,3.619,5187253.0,3.5952,3.211,3.0718,3.0788,2.9187,2.7824,2.6717,2.5921,2.385,2.3131,2.2841,2.2466,96.0157,84.4371,80.3114,74.6137,0.03257800036625569,0.0874226283087847,0.07271670069355786,0.05185530588731512,0.04114180424369276,
2000-02-10,3.619,3.643,3.318,3.387,3109766.0,3.5001,3.2946,3.1182,3.0997,2.9465,2.8107,2.6951,2.6127,2.3997,2.3244,2.2911,2.2555,57.1311,65.4197,66.1955,66.3975,-0.06625317074597081,0.11606266742956373,0.08550234590725907,0.058937582283222725,0.04415662794187575,
2000-02-11,3.457,3.48,3.341,3.364,2887794.0,3.4086,3.3688,3.1623,3.1101,2.9736,2.8377,2.7181,2.6316,2.4139,2.3352,2.2983,2.2641,53.8593,63.803,64.9658,65.6496,-0.006813831724933106,0.049753311183230925,0.08607821282601953,0.05921180811794622,0.04382210092558888,
2000-02-14,3.364,3.596,3.318,3.364,3767062.0,3.4443,3.4477,3.2087,3.1182,3.0014,2.8645,2.7408,2.651,2.4285,2.3466,2.3054,2.2726,53.8593,63.803,64.9658,65.6496,0.0,0.03644389743136777,0.08607821282601953,0.05898078154985969,0.04382210092558888,
2000-02-15,3.619,3.851,3.503,3.573,7715150.0,3.6441,3.4616,3.2737,3.1379,3.0378,2.8958,2.7675,2.6747,2.4452,2.3599,2.3134,2.2817,78.6354,71.7538,70.6557,69.0112,0.06027483693057123,0.036924187492190695,0.047570992105456025,0.06062330960585351,0.045574353957794286,
2000-02-16,3.573,3.596,3.48,3.573,1782243.0,3.5487,3.4523,3.3317,3.1612,3.0718,2.9272,2.7944,2.6979,2.4617,2.3732,2.3212,2.2903,78.6354,71.7538,70.6557,69.0112,0.0,0.0347996933272261,0.04482253619507482,0.06082433440244997,0.04437654779185837,
2000-02-17,3.596,3.805,3.55,3.805,5641973.0,3.7271,3.5358,3.4152,3.196,3.1151,2.9645,2.826,2.725,2.4807,2.3886,2.3306,2.3001,90.8793,78.4197,75.7342,72.2414,0.06291041227237648,0.03558492704472327,0.03510250304784036,0.06163862527006715,0.04591857084111952,
2000-02-18,3.828,3.898,3.805,3.875,4034291.0,3.8508,3.6379,3.5034,3.2342,3.1592,3.0034,2.8589,2.753,2.5003,2.4042,2.3404,2.3104,92.7492,80.0117,77.0192,73.1112,0.018229671491660993,0.03236873360638769,0.031318767947385466,0.06109162063888083,0.045934486632806686,
2000-02-21,3.759,3.828,3.712,3.782,4178681.0,3.7618,3.7215,3.5846,3.2737,3.1932,3.0376,2.89,2.7796,2.5194,2.4191,2.3496,2.3199,65.7778,72.04,71.5768,70.0822,-0.02429269256904454,0.043606004051446365,0.03797929867051255,0.06272788546184462,0.045189059259007035,
2000-02-22,3.805,3.805,3.619,3.643,922370.0,3.6756,3.7354,3.5985,3.3062,3.2242,3.0625,2.9181,2.8032,2.5373,2.4336,2.3584,2.3283,39.7618,61.6712,64.2436,65.8488,-0.03744545220983908,0.029100016983548964,0.03939241884916114,0.04117585936274105,0.04650737246976757,
2000-02-23,3.643,3.689,3.573,3.596,885734.0,3.6163,3.74,3.5962,3.334,3.2512,3.0881,2.9451,2.8258,2.5549,2.448,2.3668,2.3363,33.1969,58.513,61.9647,64.5052,-0.012985401417052733,0.012241623014331827,0.040133290288478514,0.04016059482303945,0.04662994529219893,
2000-02-24,3.573,3.619,3.55,3.573,476270.0,3.567,3.6936,3.6147,3.3665,3.2714,3.1136,2.9715,2.8484,2.5727,2.4619,2.3754,2.3444,29.5391,56.8747,60.8033,63.8316,-0.006416537568101122,0.016351542235601764,0.02087382533231575,0.03314246464511702,0.046785716384277656,
2000-02-25,3.573,3.619,3.527,3.55,678847.0,3.564,3.6287,3.6333,3.3978,3.2845,3.1385,2.9968,2.8706,2.5906,2.4747,2.384,2.3518,25.3494,55.1379,59.6003,63.1493,-0.006457975553948447,0.0037806299689129483,0.013314567743436362,0.03312814557169014,0.04680884842362015,
2000-02-28,3.48,3.573,3.457,3.55,1004263.0,3.5388,3.5823,3.6519,3.4303,3.2961,3.1641,3.022,2.8926,2.6077,2.4884,2.392,2.3594,25.3494,55.1379,59.6003,63.1493,0.0,0.003716609559910742,0.014595770379942216,0.03312814557169014,0.04669957249690407,
2000-02-29,3.55,3.55,3.48,3.527,1157273.0,3.5058,3.559,3.6472,3.4604,3.3077,3.1902,3.0461,2.9141,2.6252,2.5023,2.3998,2.3672,19.2167,53.0862,58.2634,62.4352,-0.0064999522334094895,0.0037406904294443417,0.0045911664125227744,0.026996490185022842,0.046787446633636896,
2000-03-01,3.527,3.596,3.503,3.55,282314.0,3.5308,3.5498,3.6449,3.4883,3.3224,3.2151,3.0707,2.9362,2.6427,2.516,2.4075,2.3751,40.7264,54.9712,59.2478,62.8695,0.0064999522334094895,0.006499952233409491,0.0057927873917807534,0.027109170166928993,0.0467894366014279,
2000-03-02,3.48,3.527,3.411,3.411,1642163.0,3.4621,3.5173,3.6055,3.5103,3.3325,3.2377,3.0927,2.9559,2.6591,2.5286,2.4141,2.382,11.9911,43.2431,51.4121,58.6593,-0.039942100050815776,0.023959128347940038,0.017965120091251955,0.018442425778249887,0.047919747903597563,
2000-03-03,3.434,3.503,3.387,3.457,579714.0,3.4613,3.4987,3.5637,3.5335,3.3441,3.2603,3.1154,2.9764,2.6743,2.5412,2.4207,2.3895,34.9424,47.4476,53.6143,59.5924,0.013395657502978775,0.02900957127226244,0.020726619551259314,0.017639009420075798,0.04791151919666746,
2000-03-06,3.48,3.48,3.411,3.457,987022.0,3.4419,3.4802,3.5312,3.5579,3.3595,3.2777,3.1363,2.9969,2.6883,2.5534,2.4273,2.3968,34.9424,47.4476,53.6143,59.5924,0.0,0.027748067131705634,0.020726619551259314,0.017338585533968946,0.04791151919666746,
2000-03-07,3.411,3.434,3.387,3.411,1577511.0,3.4193,3.457,3.508,3.5532,3.3734,3.2951,3.1516,3.0165,2.7006,2.5656,2.4337,2.4035,22.0212,43.3804,50.9368,58.187,-0.013395657502978775,0.013395657502978778,0.02105250914530117,0.014365332245018321,0.030493718305970946,
2000-03-08,3.271,3.411,3.271,3.387,271539.0,3.3551,3.4245,3.4871,3.5416,3.385,3.3102,3.1679,3.0355,2.7121,2.5778,2.44,2.4099,17.2399,41.3849,49.6029,57.4857,-0.0070609296008739,0.0067011086689606125,0.019762707328985676,0.014192954085278653,0.029443918721811287,
2000-03-09,3.387,3.457,3.387,3.434,614195.0,3.4141,3.4291,3.4732,3.544,3.4021,3.3218,3.1855,3.0551,2.7241,2.5904,2.4464,2.4163,49.8839,46.8825,52.2937,58.52,0.013781188639649056,0.014219139897837886,0.012141177771479458,0.015501942335473945,0.025631353378586366,
2000-03-10,3.434,3.55,3.434,3.55,635746.0,3.4824,3.4477,3.4732,3.5532,3.4229,3.3317,3.2055,3.0762,2.7381,2.6038,2.4535,2.4238,79.785,57.9696,58.2893,60.9754,0.03322184101204062,0.020145448061819515,0.018587425352421635,0.01938563615382447,0.02656105676340695,
2000-03-13,3.596,3.643,3.48,3.527,308175.0,3.5428,3.4616,3.4709,3.5614,3.4438,3.3398,3.2254,3.0968,2.7517,2.6173,2.4601,2.431,67.6723,55.3693,56.753,60.2376,-0.0064999522334094895,0.019862378585369662,0.019266481720645223,0.019494302423839812,0.026635376756550453,0.03461232681533123
2000-03-14,3.434,3.48,3.434,3.48,107753.0,3.4616,3.4755,3.4662,3.5567,3.4624,3.3473,3.2454,3.1161,2.7649,2.6305,2.4664,2.4378,46.4957,50.2933,53.7044,58.7666,-0.013415357467531974,0.0251683398015889,0.01927093235973615,0.01984439645559,0.023059996621017754,0.03457230088693417
2000-03-15,3.411,3.457,3.411,3.434,159475.0,3.4366,3.4848,3.4546,3.5498,3.4771,3.3555,3.263,3.1347,2.7775,2.6431,2.4722,2.4441,31.6428,45.5912,50.7676,57.3185,-0.013306531311099157,0.003961569373899157,0.020340308620065934,0.019962863138703855,0.023211410908861387,0.0345424920895511
2000-03-16,3.411,3.457,3.411,3.434,159475.0,3.4366,3.4848,3.4546,3.5498,3.4771,3.3555,3.263,3.1347,2.7775,2.6431,2.4722,2.4441,31.6428,45.5912,50.7676,57.3185,0.0,0.007714136748498949,0.01938411521569169,0.015264791259082738,0.01751899570304056,0.03342446890535685
2000-03-17,3.527,3.527,3.434,3.457,478426.0,3.4596,3.4894,3.4593,3.5324,3.4933,3.3642,3.282,3.1538,2.791,2.6559,2.4781,2.4507,44.8548,48.3096,52.1758,57.8557,0.006675398464203619,0.010172694150963536,0.008702057124874348,0.01478271574254475,0.01688727083326919,0.033425967430181225
2000-03-20,3.434,3.527,3.411,3.48,273694.0,3.4756,3.4755,3.4616,3.5126,3.5096,3.3734,3.3006,3.1731,2.8042,2.669,2.4838,2.4576,57.249,51.0604,53.605,58.3973,0.006631132846895538,0.003841328479704781,0.010118968522132909,0.014930702495468793,0.016507446061793805,0.03342682763446031
2000-03-21,3.48,3.527,3.48,3.527,609885.0,3.5207,3.4755,3.4686,3.4999,3.5281,3.3868,3.3159,3.1917,2.8172,2.6828,2.4899,2.4647,74.4659,56.2936,56.4106,59.4748,0.013415357467531974,0.0039041582642671837,0.01011896852213291,0.014527447341488644,0.014954590317149756,0.03242973134756533
2000-03-22,3.527,3.55,3.527,3.527,118529.0,3.5291,3.4848,3.4802,3.4941,3.5289,3.4001,3.3321,3.2064,2.829,2.6968,2.4964,2.472,74.4659,56.2936,56.4106,59.4748,0.0,0.006707824318387377,0.0056056403624213935,0.014131727921941532,0.014715055954337242,0.032380259993429646
2000-03-23,3.527,3.596,3.527,3.596,808151.0,3.5696,3.5173,3.501,3.4941,3.5281,3.414,3.3484,3.2234,2.8416,2.7114,2.503,2.4796,89.1768,63.669,60.5597,61.0924,0.01937446535545906,0.009923479653591832,0.007397631688411004,0.014660464202200052,0.015329765360523854,0.03244526110258427
2000-03-24,3.619,3.666,3.619,3.643,941766.0,3.6442,3.5544,3.5219,3.4976,3.5366,3.432,3.3618,3.2416,2.8548,2.7269,2.5096,2.4876,93.133,67.7506,63.0826,62.1348,0.012985401417052733,0.009872611067839189,0.007393393063437886,0.011278823292629086,0.015492900673996127,0.03227947849938931
2000-03-27,3.596,3.666,3.596,3.619,844787.0,3.6412,3.5823,3.5289,3.501,3.5451,3.4494,3.3711,3.2594,2.8676,2.7423,2.5164,2.4957,73.0942,63.7237,60.9821,61.2855,-0.006609773444821165,0.013539889720787054,0.01073388293613744,0.011288702351913711,0.015592114947145127,0.032306249743701464
2000-03-28,3.666,3.712,3.643,3.712,2047316.0,3.6892,3.6194,3.5474,3.5092,3.5567,3.4697,3.3813,3.2791,2.881,2.758,2.5238,2.5037,88.2558,71.3789,65.8766,63.3579,0.025373070342348703,0.016126208047691964,0.013311243261194596,0.011834594999891129,0.016397303605297456,0.03245648526712968
2000-03-29,3.712,3.735,3.573,3.712,1691730.0,3.6992,3.6565,3.5706,3.5184,3.5614,3.4894,3.392,3.2996,2.8945,2.774,2.5314,2.5117,88.2558,71.3789,65.8766,63.3579,0.0,0.016883838921209787,0.013311243261194596,0.009966565360458486,0.016379428222719025,0.031903333205566126
2000-03-30,3.712,3.735,3.596,3.619,823237.0,3.68,3.6611,3.5892,3.5219,3.5629,3.5051,3.4022,3.3174,2.908,2.7893,2.5385,2.5189,38.9154,56.3334,57.5099,59.9251,-0.025373070342348703,0.025373070342348706,0.019311689631809483,0.014408480731127316,0.014636336417226222,0.032173869180235896
2000-03-31,3.619,3.643,3.457,3.457,1803794.0,3.5174,3.624,3.5892,3.5242,3.5513,3.5173,3.4092,3.3332,2.9206,2.8033,2.5446,2.5251,15.771,39.8122,46.4031,54.5723,-0.04579658364211814,0.022942826284023058,0.026829630648092143,0.02159355838120776,0.018010660636335423,0.032880944911881725
