Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.804,3.116,2.804,3.116,690342.0,2.9913,2.7936,2.7365,2.5927,2.5437,2.514,2.4972,2.4542,2.2759,2.2986,2.3201,2.2391,96.3826,89.7196,86.1665,79.1308,,,,,,
2000-01-04,3.116,3.531,3.064,3.375,2898325.0,3.2954,2.9338,2.8066,2.642,2.5745,2.5374,2.518,2.4733,2.29,2.3045,2.3294,2.249,98.0865,92.9773,89.8876,82.8196,0.07984519631599118,,,,,
2000-01-05,3.168,3.453,3.142,3.323,2554080.0,3.3361,3.0533,2.8715,2.6882,2.6036,2.5592,2.5373,2.4902,2.3023,2.3107,2.3378,2.2588,85.9423,86.7893,84.965,79.8977,-0.015527334952035954,,,,,
2000-01-06,3.401,3.609,3.401,3.583,2611454.0,3.5391,3.2298,2.9624,2.7464,2.6413,2.5888,2.5614,2.5119,2.3173,2.3192,2.3476,2.2701,92.7109,90.3878,88.3889,83.0,0.07533244895035951,0.053807968647848106,,,,
2000-01-07,3.401,3.609,3.401,3.583,2611454.0,3.5391,3.2298,2.9624,2.7464,2.6413,2.5888,2.5614,2.5119,2.3173,2.3192,2.3476,2.2701,92.7109,90.3878,88.3889,83.0,0.0,0.04859968505789799,,,,
2000-01-10,3.401,3.609,3.401,3.583,2611454.0,3.5391,3.2298,2.9624,2.7464,2.6413,2.5888,2.5614,2.5119,2.3173,2.3192,2.3476,2.2701,92.7109,90.3878,88.3889,83.0,0.0,0.0434932096802038,0.04580089938018011,,,
2000-01-11,3.687,3.843,3.687,3.765,1741586.0,3.7955,3.4323,3.0688,2.8131,2.6848,2.6224,2.5894,2.5369,2.3352,2.3294,2.3585,2.2821,95.1585,92.0855,90.0902,84.7088,0.04954742292904024,0.028606217965733614,0.0386633794694357,,,
2000-01-12,3.765,3.894,3.713,3.817,2170968.0,3.8093,3.5725,3.1831,2.8819,2.7303,2.6573,2.6169,2.5638,2.3537,2.3405,2.3697,2.2945,95.7676,92.5107,90.5177,85.15,0.013716912511235746,0.025582957493060603,0.03345244738402461,,,
2000-01-13,3.817,3.869,3.557,3.635,917988.0,3.7345,3.6245,3.2791,2.9411,2.7701,2.6887,2.6399,2.5871,2.37,2.3495,2.3793,2.306,57.6745,76.3587,77.8581,77.096,-0.04885566277761,0.04980348035306539,0.035314496398822025,,,
2000-01-14,3.635,3.661,3.557,3.661,2182073.0,3.6173,3.692,3.3726,3.0,2.8104,2.7193,2.6618,2.6111,2.3869,2.3591,2.3889,2.3176,60.9988,77.004,78.3245,77.4118,0.007127223152616491,0.03438225002623233,0.03531294005511109,,,
2000-01-17,3.739,3.791,3.609,3.635,2951998.0,3.6696,3.7023,3.4661,3.0566,2.8495,2.7491,2.6847,2.6353,2.4033,2.3689,2.3982,2.3286,54.5698,74.71,76.5872,76.3233,-0.007127223152616491,0.029093342394444378,0.03567229051849642,0.04089211491452472,,
2000-01-18,3.635,3.661,3.583,3.635,877271.0,3.6296,3.6764,3.5544,3.1169,2.8894,2.779,2.7086,2.6587,2.4195,2.379,2.4076,2.3396,54.5698,74.71,76.5872,76.3233,0.0,0.007127223152616491,0.02464588069007834,0.03415142521092879,,
2000-01-19,3.609,3.661,3.479,3.479,1334414.0,3.5652,3.6089,3.5907,3.1636,2.9254,2.8055,2.7294,2.6795,2.4336,2.3863,2.4158,2.3495,22.5231,60.9267,66.3469,70.0034,-0.043864214815677594,0.023538879921365986,0.025947758122750204,0.03729782442486006,,
2000-01-20,3.531,3.635,3.531,3.557,964258.0,3.5809,3.5933,3.6089,3.2077,2.9643,2.8331,2.7517,2.6998,2.4487,2.3943,2.4236,2.3597,46.2132,64.6004,68.6071,71.2354,0.022172596796512956,0.03360692854655765,0.02461291709333314,0.028948153795889185,,
2000-01-21,3.557,3.635,3.557,3.635,412725.0,3.6035,3.5881,3.64,3.2558,3.0055,2.8627,2.7754,2.7211,2.465,2.4028,2.4322,2.3701,63.1258,67.9865,70.7245,72.4077,0.021691618019164638,0.03798828557849113,0.027050219639957403,0.029808704751241182,,
2000-01-24,3.531,3.635,3.505,3.505,536727.0,3.5861,3.5621,3.6322,3.2973,3.0417,2.8891,2.7975,2.7399,2.4798,2.4093,2.4405,2.3797,35.343,57.6474,63.0871,67.6538,-0.03641859049892937,0.033689649506661604,0.03141365415519565,0.03213800273978665,,
2000-01-25,3.453,3.557,3.375,3.531,410874.0,3.4656,3.5414,3.6089,3.3389,3.0784,2.9158,2.8197,2.7593,2.4944,2.4176,2.4487,2.3895,42.8843,59.0486,63.9261,68.0873,0.007390596459696086,0.030278045989452895,0.032010269620687454,0.02694034834156027,,
2000-01-26,3.557,3.687,3.479,3.505,971661.0,3.5845,3.5466,3.5777,3.3804,3.1138,2.9421,2.8414,2.777,2.5092,2.4266,2.4563,2.3987,36.4987,56.9297,62.3987,67.1563,-0.007390596459696086,0.022287339320930796,0.02442651450107909,0.025998025195006304,,
2000-01-27,3.609,3.609,3.479,3.479,829151.0,3.5154,3.531,3.5621,3.4206,3.1481,2.9681,2.8634,2.7936,2.5243,2.4374,2.464,2.4078,29.835,54.7206,60.8333,66.2195,-0.007445624316748223,0.008549855155817335,0.021582367629642767,0.021823535347152662,,
2000-01-28,3.505,3.583,3.427,3.583,529324.0,3.4948,3.5206,3.5544,3.4635,3.1848,2.9964,2.8863,2.8106,2.5398,2.4505,2.4724,2.4173,66.5155,61.4518,64.6531,68.0629,0.029455542153011605,0.021289031000184293,0.024068131841726306,0.024150590888513974,,
2000-01-31,3.531,3.635,3.505,3.557,246154.0,3.5761,3.531,3.5466,3.5063,3.22,3.0238,2.9086,2.8283,2.555,2.4633,2.4803,2.4265,55.6131,58.9856,62.9989,67.1157,-0.007282945356498649,0.021258092638488976,0.016139800699171734,0.024154204136491334,0.033907559663525454,
2000-02-01,3.531,3.635,3.505,3.557,246154.0,3.5761,3.531,3.5466,3.5063,3.22,3.0238,2.9086,2.8283,2.555,2.4633,2.4803,2.4265,55.6131,58.9856,62.9989,67.1157,0.0,0.01945244937910575,0.015968437709026572,0.024154204136491334,0.02920670536293428,
2000-02-02,3.609,3.713,3.583,3.713,640371.0,3.6195,3.5673,3.5544,3.5544,3.2627,3.0556,2.934,2.8495,2.5722,2.4792,2.4892,2.4365,82.0671,67.7279,68.2481,69.7303,0.04292268222862505,0.02712932909841735,0.02320435137080949,0.023075794435830004,0.030201993009006636,
2000-02-03,3.713,3.713,3.661,3.687,357201.0,3.6839,3.6037,3.5751,3.5829,3.3008,3.0878,2.9594,2.8703,2.5888,2.4938,2.4979,2.4464,71.425,65.1251,66.5534,68.7873,-0.007027055942935734,0.02703920766939542,0.023119378858078028,0.02271826480712143,0.02542300649824412,
2000-02-04,3.713,3.713,3.661,3.687,357201.0,3.6839,3.6037,3.5751,3.5829,3.3008,3.0878,2.9594,2.8703,2.5888,2.4938,2.4979,2.4464,71.425,65.1251,66.5534,68.7873,0.0,0.02703920766939542,0.021101186909740915,0.02181544795141919,0.02542300649824412,
2000-02-07,3.713,3.713,3.661,3.687,357201.0,3.6839,3.6037,3.5751,3.5829,3.3008,3.0878,2.9594,2.8703,2.5888,2.4938,2.4979,2.4464,71.425,65.1251,66.5534,68.7873,0.0,0.004057072640264501,0.020211611561403883,0.017387162647794507,0.02542300649824412,
2000-02-08,3.739,4.206,3.739,4.206,1404744.0,4.0724,3.7491,3.64,3.6245,3.3518,3.1332,2.9945,2.8997,2.6106,2.5124,2.509,2.4589,94.1568,81.2971,78.2081,75.611,0.13169895802850085,0.0760364288697482,0.05834972744672477,0.043725146739428136,0.03741476140828913,
2000-02-09,4.31,5.037,4.31,4.777,3497979.0,4.7475,3.9879,3.7543,3.6972,3.4219,3.1927,3.041,2.9385,2.6384,2.5348,2.5225,2.4737,97.4733,88.1164,84.5753,80.4696,0.12730065712731653,0.07479908410942922,0.07228661398697334,0.05460090054047022,0.04628945649821356,
2000-02-10,4.777,5.296,4.725,4.777,3242571.0,5.0712,4.232,3.8815,3.7569,3.492,3.2516,3.0875,2.9781,2.6661,2.5572,2.5358,2.4886,97.4733,88.1164,84.5753,80.4696,0.0,0.07479908410942922,0.0709470096633169,0.05406711659067274,0.04419411455778046,
2000-02-11,4.829,5.063,4.751,4.855,930944.0,4.8323,4.4605,4.0139,3.8114,3.5639,3.3123,3.1354,3.0187,2.6946,2.5812,2.5498,2.5038,97.8481,88.82,85.2565,81.0213,0.01619636733546348,0.06929639580582328,0.06831147306608977,0.05429057850202595,0.04417007542643161,
2000-02-14,4.829,4.881,4.621,4.647,749567.0,4.7545,4.6526,4.1281,3.8529,3.6297,3.3674,3.1793,3.0559,2.7213,2.6036,2.5625,2.518,61.4135,75.4243,75.6599,75.1638,-0.043787251640446945,0.031031382680914814,0.07908811293287031,0.058191535087384005,0.045827512239087854,
2000-02-15,4.829,5.141,4.647,4.699,2531871.0,4.7388,4.7513,4.2502,3.9062,3.6972,3.4236,3.2245,3.0946,2.7483,2.626,2.575,2.532,66.1413,76.4243,76.3758,75.6196,0.011127870017837438,0.03326508378978912,0.06334811738164867,0.057728130747277916,0.045738029803301425,
2000-02-16,4.699,4.881,4.647,4.881,886525.0,4.7281,4.772,4.38,3.9672,3.769,3.4836,3.2731,3.1352,2.7777,2.6503,2.5883,2.5468,79.3954,79.68,78.7336,77.1388,0.03800039678433165,0.04168737362082852,0.030227196359502193,0.05760612323995288,0.04402777418458989,
2000-02-17,4.881,4.907,4.751,4.829,1041991.0,4.8302,4.7824,4.5072,4.0269,3.84,3.5418,3.3205,3.175,2.8063,2.6739,2.6013,2.5611,67.9892,76.2935,76.3878,75.7438,-0.010710710013605684,0.02439886677042515,0.03097894974644814,0.05786159249805495,0.04443382347076221,
2000-02-18,4.829,4.881,4.673,4.725,573743.0,4.7726,4.7565,4.6085,4.0814,3.9057,3.5991,3.3662,3.2131,2.8337,2.6965,2.6148,2.575,47.5119,69.6344,71.7816,73.0119,-0.021771845945698587,0.031801052536475194,0.03133122639887313,0.05937939242167978,0.04516096089131115,
2000-02-21,4.673,4.699,4.595,4.595,2032159.0,4.6622,4.7461,4.6993,4.1372,3.9551,3.6504,3.4101,3.2494,2.8595,2.7176,2.627,2.5879,30.3645,62.0218,66.3922,69.7585,-0.02789880513805576,0.008711285506553885,0.026970396426764076,0.06129872547262754,0.04470705647275456,
2000-02-22,4.621,4.621,4.414,4.44,1430655.0,4.459,4.6941,4.7227,4.1814,3.9905,3.6946,3.4511,3.2825,2.8839,2.7375,2.6388,2.5994,18.4068,54.0455,60.5202,66.1019,-0.03431437936351678,0.0062718201255600155,0.028921057643867695,0.04967044321355308,0.045963868825706106,
2000-02-23,4.518,4.518,4.362,4.414,1332563.0,4.4158,4.6007,4.6864,4.2203,4.0269,3.738,3.4914,3.3152,2.9082,2.7576,2.6504,2.611,16.757,52.7729,59.5744,65.5099,-0.005873068609588916,0.014917555763067185,0.01179224753212809,0.025170428434916146,0.04593236554139107,
2000-02-24,4.414,4.44,4.388,4.388,773627.0,4.4096,4.5124,4.6474,4.2645,4.0537,3.7809,3.5308,3.3475,2.9324,2.7773,2.6619,2.6229,14.7712,51.4111,58.5885,64.9085,-0.0059077654215609066,0.016410591482929348,0.012893871629838941,0.0250332798614574,0.04590020432891984,
2000-02-25,4.414,4.466,4.284,4.284,544130.0,4.3483,4.4241,4.5903,4.3021,4.071,3.8205,3.5679,3.3779,2.9554,2.7957,2.6732,2.634,8.6328,46.0622,54.6895,62.533,-0.02398638982748147,0.010447729177686164,0.013043479202968949,0.023825585932537047,0.046359693616646935,
2000-02-28,4.362,4.362,4.232,4.258,414575.0,4.2597,4.3566,4.5513,4.3397,4.0857,3.8601,3.6042,3.408,2.9777,2.8143,2.6838,2.6447,7.4689,44.7526,53.7269,61.9467,-0.006087586114214449,0.010386178076799145,0.013218621137382631,0.021160620796137383,0.04633845120317281,
2000-02-29,4.284,4.336,4.18,4.258,373858.0,4.2544,4.3203,4.5072,4.3787,4.1065,3.8997,3.6403,3.4383,3.0,2.8334,2.6943,2.6555,7.4689,44.7526,53.7269,61.9467,0.0,0.012468445345617666,0.009102680995871654,0.020273599829091184,0.04633845120317281,
2000-03-01,4.31,4.699,4.31,4.621,901331.0,4.5833,4.3618,4.4812,4.4306,4.1385,3.9471,3.6831,3.4745,3.0265,2.855,2.7065,2.6682,82.365,63.2601,64.0119,66.6338,0.08181156541684165,0.0490857273562144,0.041594365529863925,0.03269361025036115,0.048597924023412516,
2000-03-02,4.647,4.647,4.284,4.31,732910.0,4.3522,4.3462,4.4293,4.4683,4.161,3.9873,3.7193,3.5053,3.0499,2.8739,2.7166,2.6791,40.3616,47.8146,53.1144,60.0729,-0.0696732277724732,0.07582340609578568,0.054989906077425856,0.03853760240882134,0.051734481259966394,
2000-03-03,4.258,4.595,4.154,4.466,425680.0,4.4128,4.3826,4.4034,4.5059,4.1887,4.0301,3.76,3.539,3.0741,2.8945,2.7274,2.6909,56.8611,54.1163,57.0514,62.0078,0.03555524930230991,0.07763195404768915,0.055907319513598314,0.04100335956802902,0.05206197515007361,
2000-03-06,4.518,4.518,4.336,4.362,155466.0,4.3927,4.4034,4.38,4.5397,4.2181,4.0613,3.7963,3.5718,3.097,2.914,2.7376,2.7021,44.539,49.6222,53.8075,60.0024,-0.023562485638528807,0.05274804816634849,0.05755518086266332,0.04076400643537211,0.052554539526609954,
2000-03-07,4.336,4.466,4.206,4.31,360903.0,4.257,4.4137,4.367,4.5449,4.2432,4.0847,3.829,3.6038,3.1178,2.933,2.7475,2.7126,38.3121,47.4076,52.2091,59.0152,-0.011992763663781103,0.03133043937379901,0.05805431921645872,0.03958700280950496,0.043925875459054665,
2000-03-08,4.154,4.31,4.128,4.258,305379.0,4.218,4.341,4.3514,4.5189,4.264,4.108,3.8607,3.6348,3.1373,2.9518,2.7573,2.7221,31.6705,45.1412,50.5906,58.0276,-0.012138337644368447,0.006638157572565451,0.03750421417828732,0.039687475956871415,0.03242033126608774,
2000-03-09,4.206,4.284,4.128,4.206,531175.0,4.1679,4.3203,4.3333,4.4903,4.2874,4.1236,3.8914,3.6645,3.1566,2.9701,2.7661,2.7312,25.1347,42.8373,48.9562,57.0401,-0.012287489190779599,0.0001473663823444569,0.023141900801234384,0.03977989669155737,0.03242204470479563,
2000-03-10,4.232,4.44,4.232,4.388,281319.0,4.3478,4.3047,4.3436,4.467,4.3159,4.1392,3.9251,3.6972,3.1778,2.99,2.7759,2.7416,64.0665,52.4025,54.4971,59.5335,0.04236146513247552,0.03150862040120634,0.026123468045609718,0.04161065988081823,0.033875635464585274,
2000-03-13,4.388,4.388,4.232,4.232,49971.0,4.3041,4.2787,4.341,4.4462,4.3402,4.1496,3.9563,3.727,3.1981,3.0087,2.7847,2.7509,38.3953,45.1218,49.5337,56.6196,-0.03619884785698546,0.04026988961761881,0.028999627337610565,0.04334628563739427,0.03345894154499515,0.040450540036784124
2000-03-14,4.232,4.232,4.154,4.206,227646.0,4.1885,4.258,4.3358,4.4215,4.3644,4.1638,3.9869,3.7563,3.2178,3.0272,2.794,2.7597,34.8993,43.9762,48.737,56.1458,-0.0061626172754900566,0.03964106561400238,0.028817640405198797,0.04338040433863074,0.033251804335288515,0.03905621355809774
