Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,5.945,6.946,5.945,6.813,1470890.0,6.5577,6.1049,5.9813,5.3401,4.9115,4.5498,4.2249,3.9834,3.4499,3.3483,3.1239,3.0011,94.8931,88.9848,88.1219,86.8295,,,,,,
2000-01-04,6.813,7.748,6.679,7.548,1796574.0,7.2713,6.4322,6.155,5.5188,5.0251,4.6613,4.3195,4.0622,3.5046,3.3848,3.155,3.03,97.5577,92.5302,91.0456,89.0534,0.1024500757147726,,,,,
2000-01-05,7.013,7.414,6.679,7.08,1164676.0,7.1889,6.6726,6.2752,5.6724,5.1175,4.7615,4.4053,4.1342,3.5539,3.4175,3.1828,3.0565,65.1235,75.2019,77.9042,80.1447,-0.06400871980067513,,,,,
2000-01-06,7.481,7.481,6.679,7.013,1384159.0,7.0377,6.8797,6.3821,5.821,5.2099,4.8597,4.4892,4.2047,3.6014,3.4498,3.21,3.0824,60.7925,73.0046,76.2118,78.9771,-0.009508338150855167,0.08486607944259086,,,,
2000-01-07,7.481,7.481,6.679,7.013,1384159.0,7.0377,6.8797,6.3821,5.821,5.2099,4.8597,4.4892,4.2047,3.6014,3.4498,3.21,3.0824,60.7925,73.0046,76.2118,78.9771,0.0,0.034539388879192154,,,,
2000-01-10,7.481,7.481,6.679,7.013,1384159.0,7.0377,6.8797,6.3821,5.821,5.2099,4.8597,4.4892,4.2047,3.6014,3.4498,3.21,3.0824,60.7925,73.0046,76.2118,78.9771,0.0,0.005489641590942149,0.0602414284680762,,,
2000-01-11,7.28,7.548,7.28,7.28,1800999.0,7.342,7.1469,6.5223,5.9797,5.319,4.9646,4.5784,4.28,3.6515,3.4843,3.2381,3.1096,71.9751,76.1415,78.2474,80.1724,0.03736529265382127,0.021572861772032836,0.03647704680065921,,,
2000-01-12,7.214,7.347,7.147,7.28,384095.0,7.2558,7.2404,6.6726,6.1299,5.4281,5.0671,4.6676,4.3555,3.702,3.5188,3.2663,3.1368,71.9751,76.1415,78.2474,80.1724,0.0,0.021572861772032836,0.018243982615239553,,,
2000-01-13,7.28,7.28,6.746,6.813,896517.0,6.914,7.0934,6.7628,6.2235,5.5193,5.1514,4.7446,4.422,3.7468,3.5492,3.2915,3.1617,33.902,60.5562,66.6688,72.4573,-0.06629831041706358,0.052500434380585506,0.037497357093151946,,,
2000-01-14,6.88,7.08,6.746,6.88,1411594.0,6.9504,7.0534,6.863,6.3236,5.6162,5.2274,4.8215,4.4908,3.7906,3.5803,3.3166,3.1867,40.6315,61.8124,67.4107,72.8435,0.009786100153721167,0.04139257431850894,0.038125050572728865,,,
2000-01-17,7.08,7.882,7.08,7.681,2324041.0,7.6256,7.1869,7.0333,6.4455,5.7409,5.3209,4.9142,4.5732,3.8412,3.6182,3.3452,3.2156,79.0411,73.2946,74.6908,76.8697,0.1101310950712926,0.08849226958505657,0.0639543446675141,0.05893667624841594,,
2000-01-18,7.681,7.882,7.548,7.882,868197.0,7.7487,7.3072,7.227,6.5541,5.8722,5.4194,5.011,4.6587,3.8921,3.6581,3.3752,3.2455,83.1332,75.3769,76.1267,77.7238,0.025831931756266968,0.053902590618692355,0.06329473530573915,0.050203573950022715,,
2000-01-19,8.015,8.015,7.548,7.614,637209.0,7.6884,7.374,7.3072,6.6442,5.9958,5.5104,5.1013,4.7386,3.9402,3.6958,3.403,3.2739,59.787,67.4841,70.3924,73.9569,-0.03459302081250604,0.07268951500147619,0.06723394462849946,0.046478056600471496,,
