Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,17.856,19.569,17.489,19.569,22076.0,18.2721,16.8901,15.93,15.08,14.7926,14.7085,14.8183,15.0015,15.927,17.0078,18.742,18.9953,99.3804,91.6525,69.7814,86.1387,,,,,,
2000-01-04,19.569,19.691,18.835,18.957,21749.0,19.2669,17.575,16.3887,15.3277,14.9557,14.8048,14.8831,15.0658,15.9331,16.9803,18.7216,18.9745,78.012,80.969,65.8492,78.0947,-0.03177342502264091,,,,,
2000-01-05,18.223,18.346,17.428,17.734,26655.0,17.8417,17.9542,16.6822,15.5111,15.0861,14.8583,14.932,15.1106,15.9276,16.9426,18.6978,18.947,47.4223,64.1455,58.9737,65.0175,-0.06668955550161249,,,,,
2000-01-06,17.734,18.712,17.734,17.734,20114.0,17.9871,18.3088,16.9635,15.716,15.2166,14.9317,14.9748,15.1503,15.9245,16.8937,18.674,18.9133,47.4223,64.1455,58.9737,65.0175,0.0,0.03335711697748224,,,,
2000-01-07,17.734,18.712,17.734,17.734,20114.0,17.9871,18.3088,16.9635,15.716,15.2166,14.9317,14.9748,15.1503,15.9245,16.8937,18.674,18.9133,47.4223,64.1455,58.9737,65.0175,0.0,0.03850323282099246,,,,
2000-01-10,17.734,18.712,17.734,17.734,20114.0,17.9871,18.3088,16.9635,15.716,15.2166,14.9317,14.9748,15.1503,15.9245,16.8937,18.674,18.9133,47.4223,64.1455,58.9737,65.0175,0.0,9.313225746154785e-10,0.029656599787939848,,,
2000-01-11,18.59,19.079,18.59,18.957,28290.0,18.8298,18.5901,17.3304,15.979,15.3756,15.0418,15.0421,15.2095,15.9392,16.8468,18.6584,18.8901,72.0667,71.6109,63.0971,70.7065,0.06668955550161249,0.038503232820992474,0.04715663692950682,,,
2000-01-12,18.957,19.324,18.346,19.079,17497.0,18.8896,18.4923,17.6912,16.2297,15.5203,15.1687,15.1167,15.2676,15.9527,16.805,18.6421,18.8681,73.9016,72.2607,63.4769,71.2107,0.006414997285745905,0.0367914649778466,0.029239501857636213,,,
2000-01-13,19.079,19.446,18.346,18.468,14227.0,18.8685,18.3944,17.9847,16.4437,15.6487,15.2818,15.1791,15.3022,15.9637,16.7653,18.6156,18.8442,49.5095,64.0186,60.269,65.1707,-0.03254874910043126,0.049999061659282244,0.03612172278782911,,,
2000-01-14,18.468,18.835,18.223,18.835,7359.0,18.5276,18.6146,18.2844,16.6761,15.7955,15.398,15.2525,15.3307,15.9796,16.7286,18.5898,18.8234,61.073,66.5908,61.4774,66.9804,0.019677336499261955,0.027146599513650532,0.03608899211514839,,,
2000-01-17,19.079,19.691,18.712,19.079,24039.0,19.2832,18.8837,18.5962,16.9207,15.9606,15.5234,15.3405,15.3654,16.0004,16.6919,18.5599,18.8088,68.3269,68.2909,62.2688,68.1678,0.012871412601169308,0.02839270946966451,0.035468598004391144,0.035736198999177966,,
2000-01-18,19.446,19.446,18.468,18.468,6705.0,18.9183,18.7858,18.688,17.0858,16.0972,15.6319,15.4164,15.4031,16.0138,16.6552,18.5259,18.8026,40.2208,59.7408,59.1273,62.1504,-0.03254874910043126,0.02839270946966451,0.025378487757617623,0.035807450323222856,,
2000-01-19,18.468,18.835,17.979,18.04,8830.0,18.5256,18.5779,18.5351,17.2326,16.2317,15.7282,15.4738,15.4378,16.023,16.6149,18.4903,18.7944,28.0888,54.3793,57.0433,58.2727,-0.023447990010264874,0.02403093114809968,0.025467598273961684,0.02921358603245548,,
2000-01-20,18.835,19.202,18.59,19.202,4415.0,18.9978,18.7247,18.5596,17.4741,16.405,15.8566,15.5558,15.4959,16.0328,16.5833,18.4644,18.7925,67.7251,64.1923,60.9117,64.709,0.06242292564095431,0.05240269868047444,0.0379305703281399,0.03491939608217772,,
2000-01-21,19.202,20.547,18.835,19.813,11447.0,19.8167,18.9204,18.7675,17.7248,16.5966,16.0065,15.6402,15.5713,16.045,16.5599,18.442,18.7999,77.511,68.2376,62.7386,67.5464,0.03132384763668972,0.04347589563332478,0.03917971882121235,0.0355263616366187,,
2000-01-24,20.058,20.302,19.446,19.813,8830.0,19.9106,19.0671,18.9754,17.9694,16.8025,16.1563,15.7405,15.6416,16.0707,16.5365,18.4121,18.8133,77.511,68.2376,62.7386,67.5464,0.0,0.031211530265427032,0.039376456683994004,0.0355263616366187,,
2000-01-25,19.324,19.569,19.202,19.324,5887.0,19.3036,19.2383,19.0121,18.1712,16.99,16.2847,15.8359,15.7038,16.0878,16.5059,18.3856,18.8213,50.1439,61.2334,60.3248,62.8575,-0.0249904412199613,0.028216439394335435,0.03755518037639856,0.031141672925536202,,
2000-01-26,19.569,19.569,18.712,18.712,6705.0,19.1569,19.3729,18.9754,18.3333,17.1449,16.3841,15.93,15.7598,16.0982,16.4712,18.3646,18.8237,30.1706,53.5096,57.4658,57.4857,-0.03218281741028228,0.016891744354837014,0.039593359829780336,0.032866490881715976,,
2000-01-27,18.712,18.835,18.59,18.712,2943.0,18.6853,19.275,18.9998,18.4923,17.2958,16.4865,16.0254,15.8159,16.1086,16.4417,18.336,18.817,30.1706,53.5096,57.4658,57.4857,0.0,0.016891744354837014,0.025038974169560795,0.031060752589890668,,
2000-01-28,18.712,18.712,18.101,18.223,2943.0,18.3319,18.957,18.9387,18.6115,17.4303,16.5813,16.1061,15.8668,16.1135,16.4152,18.3027,18.8011,17.5719,47.4496,55.225,53.2625,-0.02648049677795994,0.017172977351374494,0.015507114815951012,0.03145555400392852,,
2000-01-31,17.734,18.04,17.122,17.428,1962.0,17.5455,18.4801,18.7736,18.6849,17.5383,16.6639,16.1734,15.9127,16.1043,16.3973,18.2684,18.7751,8.7082,39.3109,51.8278,47.195,-0.0446064242487223,0.02243323071004222,0.01628704197798882,0.03336503728772535,0.0338144721472846,
2000-02-01,17.734,18.04,17.122,17.428,1962.0,17.5455,18.4801,18.7736,18.6849,17.5383,16.6639,16.1734,15.9127,16.1043,16.3973,18.2684,18.7751,8.7082,39.3109,51.8278,47.195,0.0,0.02243323071004222,0.01996093531726597,0.03239147118098628,0.033271671278184534,
2000-02-02,17.979,18.835,17.489,18.346,2126.0,18.0915,18.2844,18.7614,18.7247,17.6443,16.7632,16.2578,15.9739,16.1043,16.3912,18.2405,18.7555,51.2601,50.3627,55.123,53.7429,0.05133345883226781,0.04800923217732049,0.03622165766435687,0.03626422071756607,0.03204991990997328,
2000-02-03,18.957,19.691,18.835,19.691,9648.0,19.324,18.4801,18.9265,18.7308,17.7972,16.9054,16.3679,16.0493,16.1178,16.3943,18.2188,18.7409,75.9362,61.8314,59.3427,61.319,0.07075011147556953,0.03655522915024219,0.04952655958113074,0.037873844718138955,0.03556462560016142,
2000-02-04,18.957,19.691,18.835,19.691,9648.0,19.324,18.4801,18.9265,18.7308,17.7972,16.9054,16.3679,16.0493,16.1178,16.3943,18.2188,18.7409,75.9362,61.8314,59.3427,61.319,0.0,0.03655522915024219,0.04590722634143116,0.03649671659795193,0.03556462560016142,
2000-02-07,18.957,19.691,18.835,19.691,9648.0,19.324,18.4801,18.9265,18.7308,17.7972,16.9054,16.3679,16.0493,16.1178,16.3943,18.2188,18.7409,75.9362,61.8314,59.3427,61.319,0.0,0.04084759590561612,0.03413144679642191,0.03649671659795193,0.03556462560016142,
2000-02-08,19.691,22.015,19.691,21.648,30580.0,21.1186,19.0671,19.1711,18.8653,18.0398,17.0965,16.5195,16.1583,16.1557,16.4218,18.2032,18.736,88.5661,72.303,64.382,69.2165,0.09475139286539891,0.05470474217693006,0.04247072070425423,0.04601389430597257,0.038545407228849936,
2000-02-09,22.015,23.238,21.403,21.648,34014.0,22.5962,19.752,19.3545,19.061,18.2681,17.2861,16.6761,16.2592,16.196,16.4498,18.1896,18.7341,88.5661,72.303,64.382,69.2165,0.0,0.05470474217693006,0.04611197007262313,0.043697481918720305,0.03857403183347464,
2000-02-10,21.525,22.626,21.281,21.648,12755.0,21.8312,20.5959,19.538,19.2567,18.4923,17.4863,16.8326,16.3734,16.2444,16.4799,18.1753,18.7323,88.5661,72.303,64.382,69.2165,0.0,0.05470474217693006,0.04237411108196411,0.043697481918720305,0.03752023952405899,
2000-02-11,21.77,22.626,21.648,22.504,19133.0,22.2138,21.4276,19.856,19.434,18.7328,17.7065,16.999,16.5059,16.2951,16.5217,18.1651,18.736,93.5583,76.3456,66.3992,72.3062,0.03877999975912383,0.022389643300103776,0.04158000802068803,0.041712894149913554,0.03807371900780993,
