Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,4.38,4.46,4.36,4.4,61000.0,4.4177,4.34,4.234,4.187,4.158,4.1275,4.1696,4.2193,4.3784,4.4688,4.6643,4.6128,82.4674,71.8371,64.2547,53.7636,,,,,,
2000-01-04,4.4,4.42,4.34,4.38,47000.0,4.3774,4.36,4.262,4.201,4.164,4.134,4.1672,4.2177,4.3766,4.4619,4.6638,4.6155,69.9616,68.6226,62.492,53.0683,-0.0045558165358607905,,,,,
2000-01-05,4.3,4.36,4.28,4.3,19000.0,4.3074,4.344,4.282,4.209,4.162,4.137,4.1644,4.2147,4.3746,4.4544,4.663,4.6179,36.6317,57.1208,55.8874,50.3729,-0.018433701688838067,,,,,
2000-01-06,4.28,4.3,4.2,4.28,143000.0,4.2677,4.336,4.298,4.217,4.162,4.141,4.1612,4.2107,4.371,4.4468,4.6622,4.6203,31.0793,54.5493,54.3412,49.7198,-0.004662013105811269,0.007981921035049216,,,,
2000-01-07,4.28,4.3,4.2,4.28,143000.0,4.2677,4.336,4.298,4.217,4.162,4.141,4.1612,4.2107,4.371,4.4468,4.6622,4.6203,31.0793,54.5493,54.3412,49.7198,0.0,0.009584667709243568,,,,
2000-01-10,4.28,4.3,4.2,4.28,143000.0,4.2677,4.336,4.298,4.217,4.162,4.141,4.1612,4.2107,4.371,4.4468,4.6622,4.6203,31.0793,54.5493,54.3412,49.7198,0.0,0.002691614521605699,0.0075724789777822,,,
2000-01-11,4.28,4.4,4.28,4.36,126000.0,4.3394,4.344,4.322,4.229,4.17,4.1465,4.1604,4.208,4.366,4.4402,4.6616,4.6232,63.9052,62.2057,59.2033,52.28,0.018519047767237673,0.010691977213550209,0.013231606838750715,,,
2000-01-12,4.36,4.44,4.3,4.44,144000.0,4.3533,4.352,4.346,4.245,4.1833,4.157,4.1624,4.2073,4.3614,4.4343,4.6596,4.6265,78.9464,68.2271,63.4006,54.6678,0.018182319083190457,0.010596109692200267,0.011067770619826738,,,
2000-01-13,4.4,4.44,4.32,4.44,508000.0,4.4006,4.364,4.362,4.26,4.1987,4.1675,4.1644,4.2073,4.3572,4.4283,4.6571,4.629,78.9464,68.2271,63.4006,54.6678,0.0,0.010596109692200267,0.010051788295003054,,,
2000-01-14,4.36,4.46,4.36,4.44,44000.0,4.43,4.392,4.368,4.273,4.2173,4.179,4.1672,4.2063,4.3548,4.4224,4.6543,4.6311,78.9464,68.2271,63.4006,54.6678,0.0,0.010497566817171679,0.010051788295003054,,,
