Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,1.059,1.107,1.059,1.107,1747622.0,1.0905,1.0419,1.0235,1.018,0.9976,0.9748,0.9686,0.9677,0.9858,1.0032,1.0073,0.9779,98.0123,83.5031,78.292,68.472,,,,,,
2000-01-04,1.107,1.127,1.086,1.093,2778045.0,1.0995,1.0603,1.031,1.0247,1.0024,0.9794,0.9719,0.9694,0.9868,1.0031,1.0088,0.9801,78.4761,75.3687,73.0186,66.0116,-0.012727444532098328,,,,,
2000-01-05,1.073,1.086,1.045,1.059,2057919.0,1.0663,1.0672,1.0364,1.0289,1.0058,0.9837,0.9741,0.9707,0.9871,1.0026,1.0101,0.9822,44.9085,59.1601,61.8099,60.3989,-0.031601142575132135,,,,,
2000-01-06,1.066,1.086,1.025,1.045,910403.0,1.0496,1.0713,1.0405,1.0323,1.0092,0.9876,0.976,0.9717,0.9868,1.0014,1.0111,0.9842,35.7368,53.94,57.9762,58.3461,-0.013308181202495092,0.01073301890337129,,,,
2000-01-07,1.066,1.086,1.025,1.045,910403.0,1.0496,1.0713,1.0405,1.0323,1.0092,0.9876,0.976,0.9717,0.9868,1.0014,1.0111,0.9842,35.7368,53.94,57.9762,58.3461,0.0,0.015865961126223772,,,,
2000-01-10,1.066,1.086,1.025,1.045,910403.0,1.0496,1.0713,1.0405,1.0323,1.0092,0.9876,0.976,0.9717,0.9868,1.0014,1.0111,0.9842,35.7368,53.94,57.9762,58.3461,0.0,0.007683481999684861,0.012974285443253854,,,
2000-01-11,1.059,1.134,1.059,1.066,3934344.0,1.1054,1.074,1.0474,1.0356,1.0129,0.9917,0.9783,0.9731,0.9866,1.0007,1.0119,0.9864,55.9696,59.9094,61.8032,60.4328,0.019896440326878595,0.011487215178638684,0.019016304641998445,,,
2000-01-12,1.073,1.134,1.073,1.12,4112912.0,1.1126,1.0767,1.0593,1.0404,1.0184,0.997,0.9817,0.9754,0.9872,1.0005,1.0131,0.9888,80.5121,71.1331,69.7218,65.237,0.049415359563350414,0.024863335427041944,0.024431397443405032,,,
2000-01-13,1.12,1.12,1.073,1.079,4909148.0,1.0932,1.074,1.0672,1.0414,1.0223,1.0018,0.9842,0.9772,0.9874,0.9998,1.0143,0.991,49.4828,57.5411,59.7218,59.6205,-0.03729399903100569,0.04408443756905949,0.03171577110763952,,,
2000-01-14,1.093,1.1,1.066,1.086,5210664.0,1.0831,1.0795,1.0733,1.0434,1.0264,1.0065,0.9866,0.9792,0.9879,0.9991,1.0156,0.9929,53.9223,59.0097,60.7327,60.2111,0.006466535235746196,0.0433553125123854,0.03152061117428537,,,
2000-01-17,1.127,1.216,1.127,1.182,9873915.0,1.1801,1.1068,1.089,1.0506,1.0339,1.0139,0.9914,0.9836,0.9895,0.9996,1.0173,0.9952,83.807,73.4649,71.5122,67.1664,0.08470669747216264,0.06180706175045929,0.045854179162070054,0.0370489476694497,,
2000-01-18,1.189,1.216,1.155,1.182,8676634.0,1.1906,1.13,1.102,1.0586,1.0414,1.0197,0.9965,0.9878,0.9908,1.0004,1.0191,0.9975,83.807,73.4649,71.5122,67.1664,0.0,0.047149697173605835,0.04721177342719083,0.036527868245418656,,
2000-01-19,1.175,1.209,1.175,1.189,5775640.0,1.1911,1.1437,1.1102,1.0668,1.0487,1.0258,1.0019,0.9922,0.9922,1.0012,1.0208,0.9998,85.3356,74.2847,72.1456,67.5994,0.005904698724738422,0.04729313739902698,0.04451944740972591,0.03385742425065148,,
2000-01-20,1.189,1.257,1.189,1.243,5184318.0,1.2227,1.1765,1.1253,1.0781,1.0582,1.0331,1.0086,0.9975,0.9941,1.0025,1.0225,1.0025,93.1241,79.8794,76.6237,70.7872,0.04441519481992931,0.024119954765780972,0.03612670313345905,0.03406301342443492,,
2000-01-21,1.257,1.291,1.25,1.264,3366440.0,1.2653,1.212,1.1458,1.0911,1.0679,1.0408,1.0161,1.0027,0.9962,1.004,1.0245,1.0053,94.7058,81.5709,78.0489,71.8612,0.016753483196091545,0.019857512113236275,0.03484264846473497,0.03352251109481755,,
2000-01-24,1.271,1.298,1.23,1.23,1861788.0,1.2522,1.2216,1.1642,1.1024,1.0763,1.048,1.0229,1.0073,0.998,1.0052,1.0265,1.0079,60.1276,70.4639,70.3506,67.5777,-0.027267126340339565,0.03615093249337474,0.02605207698915666,0.03624081194620326,,
2000-01-25,1.23,1.23,1.196,1.23,1788604.0,1.2206,1.2312,1.1806,1.114,1.0839,1.0548,1.0295,1.012,0.9998,1.0065,1.0284,1.0104,60.1276,70.4639,70.3506,67.5777,0.0,0.022218571218767632,0.02605207698915666,0.036566113684685674,,
2000-01-26,1.237,1.284,1.237,1.25,3782122.0,1.2571,1.2435,1.1936,1.1264,1.0914,1.0622,1.0363,1.017,1.0022,1.0079,1.0305,1.0128,73.292,73.2317,72.2549,68.7729,0.01612938192988364,0.02193516989656737,0.026250823829478222,0.03447037358551742,,
2000-01-27,1.257,1.284,1.223,1.271,4306116.0,1.2537,1.2489,1.2127,1.1399,1.0985,1.0699,1.044,1.0223,1.0047,1.0098,1.0326,1.0154,82.138,75.7846,74.0498,69.9199,0.01666044089310717,0.009469330104915899,0.01912234945056838,0.030008294679693254,,
