Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2004-04-23,1.244,1.253,1.225,1.253,730390.0,1.2401,1.227,1.2307,1.2698,1.2245,1.1942,1.1693,1.1462,1.1089,1.1098,1.0035,0.9824,81.3168,53.8173,54.8412,56.8068,,,,,,
2004-04-26,1.31,1.319,1.291,1.319,1781460.0,1.3103,1.2477,1.2364,1.2764,1.2311,1.1996,1.1753,1.151,1.1117,1.1115,1.0063,0.9853,94.3301,66.8309,63.2674,61.0722,0.051333197821246374,,,,,
2004-04-27,1.319,1.319,1.291,1.31,997694.0,1.3066,1.2665,1.242,1.283,1.2376,1.2051,1.1812,1.1555,1.1146,1.112,1.0092,0.9879,82.0793,63.9355,61.5019,60.1938,-0.006846736522117314,,,,,
2004-04-28,1.31,1.319,1.3,1.3,565169.0,1.308,1.2816,1.2515,1.2849,1.2433,1.2105,1.1859,1.1597,1.1172,1.1124,1.0119,0.9905,68.6967,60.964,59.7076,59.3112,-0.007662872745569149,0.03382826032786299,,,,
2004-04-29,1.31,1.31,1.3,1.31,687520.0,1.3029,1.2986,1.26,1.2859,1.2486,1.2159,1.1909999999999998,1.1646,1.1192,1.1133,1.0148,0.9931,74.8481,62.9036,60.935,59.9192,0.007662872745569149,0.00862238669873669,,,,
2004-04-30,1.2819999999999998,1.31,1.2819999999999998,1.31,541611.0,1.293,1.3099,1.2684,1.2821,1.254,1.2211,1.1964,1.1692,1.1213,1.1144,1.0177,0.9958,74.8481,62.9036,60.935,59.9192,0.0,0.007662872745569141,0.024513288178069356,,,
2004-05-03,1.2819999999999998,1.31,1.2819999999999998,1.31,541611.0,1.293,1.3099,1.2684,1.2821,1.254,1.2211,1.1964,1.1692,1.1213,1.1144,1.0177,0.9958,74.8481,62.9036,60.935,59.9192,0.0,0.0044241616424201815,0.00622377454267522,,,
2004-05-04,1.2819999999999998,1.31,1.2819999999999998,1.31,541611.0,1.293,1.3099,1.2684,1.2821,1.254,1.2211,1.1964,1.1692,1.1213,1.1144,1.0177,0.9958,74.8481,62.9036,60.935,59.9192,0.0,0.0,0.005418469281761514,,,
2004-05-05,1.31,1.319,1.291,1.3,400160.0,1.3045,1.3061,1.2769,1.2774,1.26,1.226,1.2011,1.1734,1.1234,1.1158,1.0206,0.9985,51.9006,59.182,58.8557,58.9762,-0.007662872745569149,0.00442416164242018,0.005418469281761514,,,
2004-05-06,1.31,1.31,1.291,1.3,546068.0,1.2998,1.3042,1.2854,1.2755,1.2659,1.2307,1.2053,1.1781,1.1258,1.1175,1.0235,1.0013,51.9006,59.182,58.8557,58.9762,0.0,0.00442416164242018,0.0034269408724045985,,,
2004-05-07,1.3,1.3,1.272,1.272,503092.0,1.2883,1.2986,1.2901,1.2727,1.2706,1.2347,1.2093,1.1822,1.1278,1.1185,1.0263,1.0039,16.9087,48.326,52.6096,56.1398,-0.02177379954956063,0.011044879815302333,0.0094804328801097,0.019176323908000094,,
2004-05-10,1.253,1.253,1.206,1.225,908239.0,1.2245,1.2816,1.2901,1.2651,1.2738,1.2373,1.2108,1.1855,1.1294,1.1195,1.0288,1.0062,6.2962,35.9585,44.1919,51.8411,-0.03764962092124005,0.018901648986984335,0.01620337753023856,0.013199409375902539,,
2004-05-11,1.216,1.244,1.206,1.244,1092243.0,1.2124,1.2684,1.2892,1.26,1.2763,1.2406,1.2132,1.1893,1.1311,1.1207,1.0314,1.0083,31.93,42.5721,47.7904,53.3201,0.015391150320297309,0.02722314767788503,0.020326841056994234,0.015045855415877211,,
2004-05-12,1.272,1.2819999999999998,1.244,1.253,302216.0,1.2593,1.259,1.2826,1.2595,1.2785,1.2439,1.2162,1.1932,1.1328,1.122,1.034,1.0104,43.5184,45.7249,49.5423,54.0501,0.0072086815969434614,0.028555628496902404,0.021847480209930666,0.015500130719588601,,
2004-05-13,1.244,1.253,1.225,1.225,328320.0,1.2413,1.2439,1.2741,1.2581,1.2801,1.2468,1.2189,1.1967,1.1343,1.1231,1.0364,1.0125,24.6411,38.577,44.6968,51.5485,-0.02259983191724077,0.019995061905826065,0.022276493908845046,0.015985618010284773,,
2004-05-14,1.225,1.225,1.197,1.206,374056.0,1.208,1.2307,1.2647,1.2581,1.2782,1.2486,1.2213,1.199,1.1357,1.124,1.0388,1.0143,17.1861,34.5288,41.7642,49.95399999999999,-0.015631745691696702,0.015592662923629484,0.021758157231772605,0.016020961961609965,,
2004-05-17,1.206,1.206,1.14,1.159,680304.0,1.1651,1.2175,1.2496,1.2548,1.2738,1.2489,1.2226,1.2007,1.1368,1.1246,1.0409,1.0159,8.0515,26.6602,35.4942,46.2539,-0.039751533947378986,0.012413026045759428,0.02242029991469296,0.01848294474880955,,
2004-05-18,1.15,1.169,1.112,1.121,921822.0,1.135,1.193,1.2307,1.2496,1.265,1.2482,1.223,1.2022,1.1376,1.1249,1.0428,1.0174,4.916,22.1229,31.4291,43.5823,-0.03333642026759183,0.012492486881201083,0.018239767726415508,0.019026937085731194,,
2004-05-19,1.131,1.159,1.084,1.14,476775.0,1.137,1.1704,1.2147,1.2458,1.2565,1.2486,1.2238,1.2034,1.1389,1.1251,1.0448,1.0191,26.4097,28.9269,35.4122,45.2189,0.01680711831638114,0.030968826506504663,0.02203727074856264,0.021562866297647535,,
2004-05-20,1.15,1.159,1.084,1.084,1452397.0,1.106,1.1422,1.193,1.2392,1.248,1.2477,1.2232,1.2033,1.1397,1.1253,1.0465,1.0205,13.0921,22.3397,29.8166,41.4842,-0.05037035938894946,0.03492215880727377,0.02629107092228994,0.02390951065139328,,
2004-05-21,1.103,1.112,1.055,1.065,2453169.0,1.0913,1.1139,1.1723,1.2312,1.2392,1.2461,1.2223,1.2031,1.1402,1.1256,1.048,1.0218,10.4558,20.5821,28.2161,40.3355,-0.017683103856066154,0.03359277107411398,0.026134470875541035,0.02387598472288965,0.02327879685681244,
