Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,0.392,0.404,0.392,0.399,7831378.0,0.4005,0.3891,0.3855,0.3822,0.3722,0.362,0.356,0.3514,0.3484,0.3491,0.3731,0.37,73.2876,65.2331,65.0747,64.3693,,,,,,
2000-01-04,0.402,0.402,0.386,0.387,3088500.0,0.3903,0.3894,0.3848,0.3837,0.3733,0.3635,0.357,0.3524,0.3492,0.3491,0.3731,0.3703,46.0647,54.1228,57.0615,60.096,-0.03053672386008166,,,,,
2000-01-05,0.387,0.397,0.374,0.381,6372784.0,0.3839,0.3884,0.3845,0.3847,0.3743,0.365,0.3578,0.3533,0.3498,0.3489,0.373,0.3707,34.9402,48.7818,53.0421,57.8267,-0.01562531790308086,,,,,
2000-01-06,0.382,0.384,0.374,0.379,7532807.0,0.38,0.3858,0.385,0.3854,0.3753,0.3662,0.3588,0.3539,0.3502,0.3488,0.3728,0.3711,32.0387,47.4644,52.0549,57.2674,-0.005263170044274679,0.01270483279663512,,,,
2000-01-07,0.382,0.384,0.374,0.379,7532807.0,0.38,0.3858,0.385,0.3854,0.3753,0.3662,0.3588,0.3539,0.3502,0.3488,0.3728,0.3711,32.0387,47.4644,52.0549,57.2674,0.0,0.00795011139057237,,,,
2000-01-10,0.382,0.384,0.374,0.379,7532807.0,0.38,0.3858,0.385,0.3854,0.3753,0.3662,0.3588,0.3539,0.3502,0.3488,0.3728,0.3711,32.0387,47.4644,52.0549,57.2674,0.0,0.0030386926418527705,0.012994542515092775,,,
2000-01-11,0.389,0.401,0.381,0.382,11350604.0,0.3955,0.3858,0.386,0.3864,0.3765,0.3674,0.3599,0.3547,0.3506,0.3487,0.3726,0.3714,45.5928,50.4737,53.9027,58.1057,0.007884403524148875,0.004552062497066997,0.00866305510604838,,,
2000-01-12,0.381,0.396,0.381,0.396,14375473.0,0.3871,0.3851,0.3871,0.3876,0.378,0.369,0.3612,0.3558,0.3509,0.3488,0.3725,0.3719,75.2316,60.6236,60.4663,61.2512,0.03599360264790541,0.01892014061736818,0.016486229826637215,,,
2000-01-13,0.382,0.404,0.382,0.396,11629596.0,0.3977,0.3868,0.3881,0.3877,0.3796,0.3705,0.3625,0.357,0.3514,0.3489,0.3725,0.3723,75.2316,60.6236,60.4663,61.2512,0.0,0.01892014061736818,0.015593647467638446,,,
2000-01-14,0.397,0.406,0.396,0.402,16318634.0,0.4006,0.3911,0.3898,0.388,0.3814,0.3723,0.3639,0.3584,0.3516,0.3491,0.3725,0.3727,84.6431,65.1441,63.4816,62.7477,0.015037877364540542,0.018077700855649588,0.014913288868978183,,,
2000-01-17,0.407,0.417,0.407,0.409,16396948.0,0.4129,0.3971,0.3914,0.3889,0.3832,0.3743,0.3655,0.3599,0.3518,0.3494,0.3725,0.3731,90.2184,69.1308,66.2534,64.1789,0.017263067423780587,0.009390622301962534,0.013427657922467466,0.018333099287611735,,
2000-01-18,0.412,0.417,0.406,0.407,7953743.0,0.413,0.4021,0.3939,0.3896,0.3846,0.3761,0.3671,0.3612,0.3519,0.3499,0.3726,0.3735,79.4076,66.9763,64.9266,63.5475,-0.004901970600206806,0.012205449044462253,0.016124486350481193,0.014620515724696352,,
2000-01-19,0.407,0.419,0.407,0.409,11825381.0,0.4124,0.4047,0.3949,0.3902,0.3865,0.3778,0.3686,0.3625,0.3523,0.3504,0.3726,0.3739,82.545,68.0949,65.667,63.9148,0.004901970600206806,0.011107076485644489,0.009533358238258764,0.012713550492671479,,
2000-01-20,0.416,0.419,0.412,0.416,16700414.0,0.4155,0.4087,0.3978,0.3913,0.3884,0.3794,0.3704,0.3638,0.3526,0.3509,0.3726,0.3743,90.8811,72.3151,68.529,65.359,0.016970104218461457,0.010955552389562093,0.00967815926686511,0.01224845987443545,,
2000-01-21,0.416,0.429,0.416,0.426,17605917.0,0.4223,0.4134,0.4022,0.3934,0.3906,0.3813,0.3724,0.3652,0.3531,0.3515,0.3727,0.3747,95.6044,77.367,72.2639,67.3844,0.023754086008107245,0.009548686762264677,0.011465260111669725,0.012541131137514382,,
2000-01-24,0.426,0.436,0.426,0.431,11316341.0,0.431,0.4177,0.4074,0.3962,0.3927,0.3833,0.3744,0.3669,0.3536,0.3523,0.3729,0.3751,96.8342,79.4739,73.9299,68.3419,0.011668743834377326,0.006057809371661217,0.011039195459429716,0.01185674114254176,,
2000-01-25,0.429,0.432,0.416,0.431,4909295.0,0.4245,0.4224,0.4122,0.3991,0.395,0.3854,0.3764,0.3686,0.354,0.3532,0.3729,0.3754,96.8342,79.4739,73.9299,68.3419,0.0,0.01187765184572138,0.0094325065289865,0.012470423313407183,,
2000-01-26,0.429,0.429,0.409,0.411,8506834.0,0.414,0.4227,0.4137,0.4004,0.3963,0.387,0.3779,0.37,0.3544,0.3538,0.3727,0.3756,27.5248,54.0174,57.819,60.7127,-0.04751487560751322,0.03134890693711743,0.028466229707676215,0.02022112778965571,,
2000-01-27,0.414,0.421,0.411,0.414,5540700.0,0.4135,0.4224,0.4156,0.4018,0.397,0.3886,0.3795,0.3713,0.355,0.3546,0.3725,0.3759,38.5251,56.6226,59.4068,61.4546,0.007272759329079781,0.029755227479670285,0.027414993674350456,0.020203330359865185,,
2000-01-28,0.414,0.414,0.397,0.407,10234632.0,0.4023,0.4187,0.4161,0.4029,0.3974,0.3901,0.381,0.3726,0.3555,0.3554,0.3723,0.3761,26.4716,50.2207,54.9516,59.1439,-0.017052788382719397,0.02745103510955263,0.024089231495608897,0.020871424118904514,,
2000-01-31,0.399,0.402,0.396,0.401,6250419.0,0.4,0.4127,0.4152,0.4033,0.3976,0.3912,0.3825,0.3738,0.3558,0.3561,0.3719,0.3761,18.0163,44.5537,50.8452,56.9295,-0.014851758136025683,0.01345406430965276,0.021100358723603666,0.02060034254619035,0.019116451329849474,
2000-02-01,0.399,0.402,0.396,0.401,6250419.0,0.4,0.4127,0.4152,0.4033,0.3976,0.3912,0.3825,0.3738,0.3558,0.3561,0.3719,0.3761,18.0163,44.5537,50.8452,56.9295,0.0,0.00927556687848666,0.021100358723603666,0.020581278465158292,0.017694707868429416,
2000-02-02,0.411,0.411,0.404,0.409,1977423.0,0.4069,0.4084,0.4154,0.4047,0.3982,0.3923,0.3839,0.3751,0.3563,0.357,0.3716,0.3763,48.7247,52.1472,55.338,58.9185,0.01975372873623249,0.0173605118990469,0.015408731678379365,0.021603855531763982,0.017631760903865243,
2000-02-03,0.412,0.412,0.401,0.402,4454096.0,0.4052,0.4067,0.4147,0.4048,0.3984,0.3935,0.3852,0.3763,0.3566,0.3578,0.3712,0.3763,33.6153,46.425,51.2985,56.7497,-0.017263067423780587,0.018522358083384028,0.016019989689710065,0.021326502083765776,0.018144031539056887,
2000-02-04,0.412,0.412,0.401,0.402,4454096.0,0.4052,0.4067,0.4147,0.4048,0.3984,0.3935,0.3852,0.3763,0.3566,0.3578,0.3712,0.3763,33.6153,46.425,51.2985,56.7497,0.0,0.018522358083384028,0.014817545956207653,0.019177705276837473,0.018144031539056887,
2000-02-07,0.412,0.412,0.401,0.402,4454096.0,0.4052,0.4067,0.4147,0.4048,0.3984,0.3935,0.3852,0.3763,0.3566,0.3578,0.3712,0.3763,33.6153,46.425,51.2985,56.7497,0.0,0.009966836624158362,0.013105176621358277,0.018333200560705934,0.018144031539056887,
2000-02-08,0.411,0.417,0.409,0.412,7997795.0,0.4139,0.4064,0.4144,0.4061,0.399,0.3949,0.3864,0.3777,0.3571,0.3587,0.3709,0.3764,60.8977,54.7956,56.4355,59.0866,0.024571260730505196,0.014186223997085655,0.016922622616022766,0.020845024742061943,0.018756416601039105,
2000-02-09,0.426,0.426,0.414,0.424,14806199.0,0.4171,0.4097,0.4142,0.4082,0.4003,0.3965,0.3878,0.3794,0.3577,0.3595,0.3706,0.3765,77.2556,62.488,61.5334,61.5913,0.02871010588243139,0.015519595531985321,0.019147891236693474,0.016942826111619545,0.018159242425998774,
2000-02-10,0.416,0.427,0.416,0.424,10014375.0,0.4212,0.4144,0.4136,0.4105,0.402,0.3979,0.3894,0.3809,0.3584,0.3603,0.3703,0.3766,77.2556,62.488,61.5334,61.5913,0.0,0.015519595531985321,0.014664891987655903,0.0169005160145308,0.018159242425998774,
2000-02-11,0.427,0.436,0.424,0.427,7939060.0,0.4281,0.418,0.4132,0.4127,0.4038,0.3995,0.391,0.3825,0.3593,0.3609,0.3702,0.3766,82.0759,64.6625,62.9692,62.2971,0.007050557996666762,0.014961709809045418,0.013690682746958577,0.015479037385650228,0.01797711284002793,
2000-02-14,0.427,0.431,0.402,0.407,7214657.0,0.4135,0.419,0.4129,0.4133,0.4046,0.4005,0.3921,0.3837,0.3603,0.3613,0.37,0.3766,28.2299,46.4769,50.7327,55.9195,-0.04797082778602957,0.029939560172647733,0.030611959988180285,0.022223844912110127,0.02093138860201717,
2000-02-15,0.412,0.424,0.407,0.412,3763956.0,0.4122,0.419,0.4127,0.4141,0.4055,0.4009,0.3934,0.3851,0.3612,0.3618,0.3698,0.3766,42.4005,50.4002,53.1821,57.0565,0.012210163906931415,0.033355974446730864,0.028828236890919203,0.022467270902455795,0.021080226947357478,
2000-02-16,0.412,0.432,0.409,0.429,5481965.0,0.4216,0.42,0.4149,0.4155,0.4069,0.4018,0.395,0.3867,0.3622,0.3622,0.3698,0.3768,71.015,61.0944,60.2724,60.564,0.04043356957849065,0.04515464144144658,0.03204443952477356,0.025017716558560204,0.02288124747812115,
2000-02-17,0.432,0.447,0.432,0.447,15134138.0,0.4413,0.4247,0.4195,0.4174,0.4087,0.4031,0.3969,0.3886,0.3635,0.3627,0.3699,0.377,84.0715,69.2887,66.3155,63.9176,0.0411016756855519,0.016491040225558175,0.03628402200713491,0.026090394261371202,0.024283974064069735,
2000-02-18,0.449,0.449,0.439,0.446,19392450.0,0.4445,0.4284,0.4232,0.4193,0.4108,0.4045,0.3985,0.3905,0.3646,0.3632,0.3701,0.3772,79.2062,67.8277,65.3424,63.4104,-0.0022396425935048425,0.02483250313941032,0.036743936690159275,0.026200976622024294,0.023839725609693302,
2000-02-21,0.434,0.447,0.434,0.446,10308051.0,0.4436,0.436,0.4275,0.4211,0.4124,0.4057,0.4003,0.3923,0.3658,0.3637,0.3702,0.3775,79.2062,67.8277,65.3424,63.4104,0.0,0.02440230048333364,0.021234784736451007,0.026200976622024294,0.023740799880807722,
