Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,3.68,4.4,3.68,4.4,365000.0,3.9644,3.752,3.724,3.286,2.9327,2.7355,2.6352,2.5487,2.4886,2.416,2.2812,2.2509,96.0283,85.8781,81.6343,76.352,,,,,,
2000-01-04,4.4,4.52,4.2,4.24,165000.0,4.3612,3.88,3.768,3.384,3.0047,2.789,2.676,2.585,2.5104,2.4347,2.2928,2.263,75.2728,76.704,75.2222,72.5658,-0.03704127168034921,,,,,
2000-01-05,3.8,4.04,3.8,4.0,115000.0,3.9504,3.968,3.796,3.468,3.0693,2.8365,2.712,2.6173,2.5298,2.4508,2.3032,2.2735,50.6439,64.9886,66.7525,67.3811,-0.05826890812397578,,,,,
2000-01-06,4.2,4.2,3.98,4.0,80000.0,4.0475,4.048,3.826,3.55,3.1333,2.884,2.7468,2.6507,2.5492,2.4675,2.3137,2.2839,50.6439,64.9886,66.7525,67.3811,0.0,0.029489924863249355,,,,
2000-01-07,4.2,4.2,3.98,4.0,80000.0,4.0475,4.048,3.826,3.55,3.1333,2.884,2.7468,2.6507,2.5492,2.4675,2.3137,2.2839,50.6439,64.9886,66.7525,67.3811,0.0,0.03364156979076299,,,,
2000-01-10,4.2,4.2,3.98,4.0,80000.0,4.0475,4.048,3.826,3.55,3.1333,2.884,2.7468,2.6507,2.5492,2.4675,2.3137,2.2839,50.6439,64.9886,66.7525,67.3811,0.0,0.0,0.027159323384388735,,,
2000-01-11,4.04,4.16,4.0,4.0,75000.0,4.096,4.128,3.864,3.62,3.1973,2.929,2.7808,2.6837,2.5684,2.4842,2.3241,2.2943,50.6439,64.9886,66.7525,67.3811,0.0,0.0,0.026058647907979918,,,
2000-01-12,3.84,3.96,3.84,3.84,32500.0,3.8585,4.016,3.884,3.687,3.254,2.97,2.8136,2.7113,2.5854,2.4995,2.3337,2.3038,29.1696,56.7596,61.0306,64.0059,-0.040821994520255034,0.023568589525126672,0.018256150944882834,,,
2000-01-13,3.84,4.0,3.68,3.68,55000.0,3.8391,3.904,3.892,3.721,3.2967,3.005,2.8412,2.736,2.6002,2.5135,2.3425,2.3126,17.8294,49.6824,55.873,60.8527,-0.042559614418795855,0.024085871858138864,0.022843256522633467,,,
2000-01-14,3.84,3.9,3.76,3.8,70000.0,3.82,3.864,3.916,3.762,3.3427,3.044,2.8724,2.7627,2.616,2.5285,2.3517,2.3218,42.8324,54.4721,58.6925,62.2939,0.0320883145515003,0.042605253571605994,0.031548437112711096,,,
2000-01-17,3.9,4.0,3.84,3.94,62500.0,3.9088,3.852,3.95,3.805,3.3947,3.091,2.9064,2.793,2.6334,2.544,2.3618,2.332,62.6963,59.5286,61.7622,63.898,0.03617965657750255,0.0443262998985114,0.03798255878472281,0.032256546293245994,,
2000-01-18,3.84,3.92,3.84,3.92,22500.0,3.8622,3.836,3.982,3.829,3.4467,3.1365,2.94,2.823,2.65,2.5597,2.3718,2.3424,58.3516,58.4847,61.0641,63.4988,-0.005089069507471455,0.022737651292216585,0.037949480394238476,0.030951159260864836,,
2000-01-19,3.92,3.92,3.7,3.7,25000.0,3.818,3.808,3.912,3.818,3.4947,3.1775,2.9708,2.848,2.6644,2.5732,2.3809,2.3512,27.2237,48.056,53.8529,59.284,-0.057758834152192184,0.04708441338167694,0.042532518799880535,0.030859115082634135,,
2000-01-20,3.78,4.2,3.78,4.0,157500.0,4.0,3.872,3.888,3.828,3.552,3.2255,3.0088,2.878,2.6816,2.5892,2.3918,2.3614,65.1981,59.2132,60.6731,62.77,0.07796154146971168,0.06842456728686021,0.05096104502062084,0.04117222229221521,,
2000-01-21,4.08,4.08,4.04,4.08,67500.0,4.0756,3.928,3.896,3.846,3.6107,3.276,3.0484,2.9093,2.6994,2.6055,2.4031,2.372,71.2076,61.6824,62.2743,63.629,0.019802627296179764,0.06809094403663654,0.05032437054075166,0.04164572358913606,,
2000-01-24,4.0,4.08,4.0,4.04,52500.0,4.04,3.948,3.9,3.863,3.6667,3.325,3.0872,2.939,2.7166,2.622,2.4145,2.3823,63.043,59.6511,60.9383,62.8786,-0.009852296443011666,0.044671288185260484,0.049506451062988094,0.04181397677138309,,
2000-01-25,3.8,4.04,3.8,4.04,30000.0,3.9417,3.972,3.904,3.884,3.7147,3.374,3.124,2.968,2.7326,2.6385,2.4261,2.3926,63.043,59.6511,60.9383,62.8786,0.0,0.015103124925048022,0.04929872088046963,0.04181397677138309,,
2000-01-26,4.0,4.0,4.0,4.0,2500.0,4.0,4.032,3.92,3.902,3.7647,3.4205,3.16,2.998,2.7482,2.6545,2.437,2.4027,50.1144,57.2644,59.4589,62.0949,-0.009950330853168099,0.005716736248858272,0.036914165423949215,0.03945674018348483,,
2000-01-27,4.04,4.36,4.0,4.24,112500.0,4.2098,4.08,3.976,3.934,3.806,3.4665,3.1992,3.0303,2.7666,2.6725,2.4492,2.4139,82.4697,66.3518,64.956,64.8167,0.05826890812397578,0.03685136656142823,0.028742100655172003,0.03909477176310846,,
2000-01-28,4.32,4.96,4.28,4.64,380000.0,4.6689,4.192,4.06,3.988,3.8613,3.522,3.2472,3.0703,2.7882,2.6938,2.4636,2.4263,93.3128,75.9433,71.8154,68.6928,0.09015109699429757,0.051138104499620946,0.04585323542826022,0.045790728889247505,,
2000-01-31,4.6,4.96,4.56,4.72,167500.0,4.8454,4.328,4.138,4.044,3.916,3.5805,3.3004,3.1117,2.8092,2.7158,2.4785,2.439,94.3595,77.3933,72.9555,69.3905,0.017094433359299943,0.03662669209012052,0.042052575316510424,0.04543647553000689,0.041154511828762966,
2000-02-01,4.6,4.96,4.56,4.72,167500.0,4.8454,4.328,4.138,4.044,3.916,3.5805,3.3004,3.1117,2.8092,2.7158,2.4785,2.439,94.3595,77.3933,72.9555,69.3905,0.0,0.04788304509014295,0.042052575316510424,0.04517610666289754,0.04005225464017461,
2000-02-02,4.76,4.92,4.76,4.84,177500.0,4.8546,4.488,4.23,4.106,3.9627,3.6425,3.3552,3.155,2.8296,2.7388,2.4943,2.4524,95.8285,79.4803,74.6144,70.4136,0.02510592113107646,0.012823876585187301,0.03597842607551351,0.03635872497721337,0.03732700071806393,
2000-02-03,4.96,5.2,4.88,5.08,515000.0,4.9717,4.704,4.368,4.14,4.0013,3.713,3.4156,3.2037,2.852,2.7638,2.5114,2.4671,97.6582,83.0095,77.5768,72.3273,0.0483965408618503,0.02420394393026365,0.03484969525305612,0.03276609196581651,0.03823429982307399,
2000-02-04,4.96,5.2,4.88,5.08,515000.0,4.9717,4.704,4.368,4.14,4.0013,3.713,3.4156,3.2037,2.852,2.7638,2.5114,2.4671,97.6582,83.0095,77.5768,72.3273,0.0,0.02420394393026365,0.02014443226809617,0.03362840253135509,0.03823429982307399,
2000-02-07,4.96,5.2,4.88,5.08,515000.0,4.9717,4.704,4.368,4.14,4.0013,3.713,3.4156,3.2037,2.852,2.7638,2.5114,2.4671,97.6582,83.0095,77.5768,72.3273,0.0,0.027941755894435958,0.021748620987480132,0.032726302352161826,0.03823429982307399,
2000-02-08,5.4,6.28,5.24,6.0,455000.0,5.811,5.056,4.568,4.228,4.0747,3.806,3.494,3.2687,2.8844,2.7967,2.5336,2.4863,99.3351,90.2449,84.8671,77.9762,0.16644820763766432,0.09609891748573622,0.06921393193893441,0.05471954662490391,0.051358765993390273,
