Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2005-06-09,2.05,2.05,2.04,2.04,2299000.0,2.05,2.04,2.028,2.039,2.0487,2.0388,2.0306,2.042,2.0398,1.993,1.8937,1.8725,49.4247,50.9834,50.1519,50.6713,,,,,,
2005-06-10,2.04,2.07,2.04,2.07,2825000.0,2.0583,2.052,2.0340000000000003,2.0395,2.051,2.0405,2.0316,2.0398,2.0423,1.9957,1.8958,1.8745,72.9402,59.8834,56.1922,53.4436,0.014598799421152608,,,,,
2005-06-13,2.05,2.05,2.05,2.05,296000.0,2.05,2.0540000000000003,2.036,2.0385,2.0523,2.0418,2.0326,2.0387,2.0445,1.9982,1.8977,1.8763,49.7899,52.706,51.6949,51.4495,-0.009708814126960896,,,,,
2005-06-14,2.05,2.06,2.04,2.06,444800.0,2.0548,2.056,2.0380000000000003,2.0385,2.0533,2.0425,2.0338,2.0372,2.0466,2.0008,1.8998,1.8783,59.4439,55.6931,53.6906,52.3687,0.004866189651173025,0.012233931668871836,,,,
2005-06-15,2.05,2.09,2.04,2.09,820300.0,2.0608,2.062,2.046,2.04,2.055,2.0443,2.0358,2.0368,2.0492,2.0036,1.9021,1.8805,78.2567,63.4784,59.144,55.0122,0.014458083175229786,0.012168772067085566,,,,
2005-06-16,2.09,2.09,2.07,2.09,281300.0,2.0879,2.072,2.056,2.042,2.0543,2.0465,2.0382,2.0373,2.052,2.0064,1.9043,1.8826,78.2567,63.4784,59.144,55.0122,0.0,0.007356634105801921,0.010281487341914735,,,
2005-06-17,2.09,2.09,2.08,2.09,165200.0,2.085,2.076,2.064,2.044,2.0540000000000003,2.0488,2.0398,2.0385,2.0547,2.0093,1.9066,1.8846,78.2567,63.4784,59.144,55.0122,0.0,0.008347378213184917,0.008781879545045964,,,
2005-06-20,2.07,2.07,2.05,2.07,200200.0,2.0685,2.08,2.067,2.045,2.0533,2.0503,2.0414,2.0387,2.0559,2.0119,1.9088,1.8865,38.2915,54.4043,53.8626,52.8476,-0.009615458699441914,0.0055514876685045155,0.008751011405451146,,,
2005-06-21,2.07,2.07,2.05,2.07,614100.0,2.0678,2.082,2.069,2.046,2.051,2.0518,2.0428,2.0383,2.0572,2.0147,1.911,1.8884,38.2915,54.4043,53.8626,52.8476,0.0,0.0055514876685045155,0.008613985905778982,,,
2005-06-22,2.06,2.09,2.06,2.07,1530500.0,2.0751,2.0780000000000003,2.07,2.047,2.05,2.0533,2.0442,2.0383,2.0585,2.0173,1.9133,1.8903,38.2915,54.4043,53.8626,52.8476,0.0,0.0055514876685045155,0.004300163857358767,,,
2005-06-23,2.08,2.08,2.06,2.07,2254200.0,2.063,2.074,2.073,2.0505,2.0503,2.0548,2.0456,2.0377,2.0597,2.0201,1.9155,1.8922,38.2915,54.4043,53.8626,52.8476,0.0,0.0,0.004300163857358767,0.008241133542991224,,
2005-06-24,2.07,2.07,2.06,2.07,611000.0,2.0677,2.07,2.073,2.0535,2.0507,2.0565,2.047,2.0385,2.0607,2.0228,1.9177,1.8942,38.2915,54.4043,53.8626,52.8476,0.0,0.0,0.004300163857358767,0.006826696684305707,,
