Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,1.4,1.4,1.373,1.4,67500.0,1.3901,1.3627,1.3473,1.3267,1.2733,1.2388,1.2077,1.1909,1.1637,1.1958,1.1997,1.1772,87.5327,76.4027,74.3204,73.7037,,,,,,
2000-01-04,1.4,1.433,1.4,1.433,81000.0,1.4158,1.384,1.356,1.3357,1.2827,1.2467,1.2151,1.1958,1.1667,1.1952,1.2019,1.1796,93.0141,80.9291,77.7391,75.568,0.023297912224821915,,,,,
2000-01-05,1.333,1.373,1.333,1.353,31500.0,1.3559,1.3827,1.3587,1.341,1.2887,1.2522,1.2208,1.1994,1.1696,1.1938,1.2034,1.1813,36.0129,53.3163,57.8378,64.2576,-0.057445799657383834,,,,,
2000-01-06,1.36,1.36,1.347,1.353,51000.0,1.3533,1.38,1.3607,1.346,1.2947,1.258,1.2267,1.203,1.1721,1.1927,1.205,1.1833,36.0129,53.3163,57.8378,64.2576,0.0,0.041557910640511515,,,,
2000-01-07,1.36,1.36,1.347,1.353,51000.0,1.3533,1.38,1.3607,1.346,1.2947,1.258,1.2267,1.203,1.1721,1.1927,1.205,1.1833,36.0129,53.3163,57.8378,64.2576,0.0,0.03316634789600387,,,,
2000-01-10,1.36,1.36,1.347,1.353,51000.0,1.3533,1.38,1.3607,1.346,1.2947,1.258,1.2267,1.203,1.1721,1.1927,1.205,1.1833,36.0129,53.3163,57.8378,64.2576,0.0,4.656612873077393e-10,0.03003996075684189,,,
2000-01-11,1.433,1.753,1.433,1.547,381000.0,1.5624,1.4173,1.3833,1.3583,1.3073,1.2682,1.2363,1.2099,1.1766,1.1931,1.2079,1.1862,85.23,77.156,75.4515,74.232,0.13399322240227807,0.07736102302354064,0.07085601943773995,,,
2000-01-12,1.5,1.533,1.5,1.52,103500.0,1.5262,1.4413,1.402,1.3683,1.3191,1.2775,1.2453,1.2164,1.1805,1.1933,1.2105,1.1889,73.5287,71.491,71.043,71.3893,-0.017607236732744003,0.08291250171622566,0.06235996091855624,,,
2000-01-13,1.52,1.547,1.5,1.5,147000.0,1.5182,1.4547,1.4193,1.375,1.3298,1.2867,1.254,1.2229,1.1838,1.1931,1.2127,1.1916,63.6914,67.3204,67.8414,69.3295,-0.013245226750020656,0.08629492767037637,0.06385928130794706,,,
2000-01-14,1.507,1.507,1.467,1.5,148500.0,1.4848,1.484,1.4333,1.3833,1.3407,1.2955,1.2624,1.2296,1.1876,1.1934,1.2148,1.1944,63.6914,67.3204,67.8414,69.3295,0.0,0.009169496061323276,0.06385928130794706,,,
2000-01-17,1.52,1.573,1.5,1.507,303000.0,1.525,1.5147,1.4473,1.3923,1.352,1.3047,1.2699,1.2372,1.1917,1.1943,1.2171,1.1973,67.0024,68.1054,68.392,69.642,0.004655811536193932,0.009287624242727046,0.06351631862644987,0.04917283668521414,,
2000-01-18,1.507,1.553,1.507,1.547,169500.0,1.5315,1.5147,1.466,1.4033,1.3649,1.3148,1.2787,1.2452,1.1959,1.1951,1.2197,1.2002,81.8766,72.5551,71.5409,71.4475,0.026196651946570726,0.013975865863788498,0.017272752902278483,0.04928561287302451,,
2000-01-19,1.533,1.547,1.467,1.5,118500.0,1.5189,1.5107,1.476,1.4117,1.3764,1.324,1.2863,1.2524,1.1997,1.1956,1.2219,1.2029,45.7708,61.3257,63.5825,66.6625,-0.030852463482764658,0.02880812087958579,0.0212141726361955,0.04598991255209613,,
2000-01-20,1.513,1.533,1.513,1.527,136500.0,1.5274,1.516,1.4853,1.4207,1.3856,1.3333,1.2944,1.2601,1.2033,1.1969,1.2243,1.2056,60.6459,64.8254,65.9158,67.9321,0.017839918128330967,0.030809588870834553,0.021877075903134854,0.04589127293085066,,
2000-01-21,1.533,1.547,1.513,1.52,241500.0,1.5292,1.52,1.502,1.4303,1.3947,1.342,1.3021,1.2677,1.2069,1.199,1.2268,1.2082,54.9895,63.2165,64.7981,67.2696,-0.004594691378310312,0.024371193126877994,0.02215909699525926,0.046048590551062876,,
2000-01-24,1.567,1.567,1.467,1.467,154500.0,1.517,1.512,1.5133,1.437,1.4018,1.3493,1.3091,1.2744,1.2102,1.2007,1.2288,1.2107,25.9479,51.674,56.5382,62.2457,-0.035490835697340295,0.026777019815232634,0.027804563822968035,0.048355191472725,,
2000-01-25,1.467,1.493,1.453,1.473,117000.0,1.4695,1.4973,1.506,1.4447,1.4076,1.357,1.3157,1.2812,1.2135,1.2024,1.2307,1.2131,32.6202,52.8837,57.2714,62.6068,0.004081638319648528,0.020799964465655848,0.02284176765232,0.019778322731137415,,
2000-01-26,1.5,1.513,1.453,1.453,102000.0,1.48,1.488,1.4993,1.4507,1.412,1.3642,1.3219,1.2877,1.2161,1.2042,1.2325,1.2155,23.2096,48.7638,54.3112,60.8019,-0.013670752892347371,0.01982104986786254,0.019998953834387947,0.01953502279226645,,
2000-01-27,1.467,1.467,1.44,1.453,93000.0,1.4549,1.4733,1.4947,1.457,1.4149,1.371,1.3283,1.2941,1.2183,1.206,1.2343,1.2179,23.2096,48.7638,54.3112,60.8019,0.0,0.009297819186596078,0.01573805784392714,0.019324691279020853,,
2000-01-28,1.48,1.48,1.4,1.4,112500.0,1.4423,1.4493,1.4847,1.459,1.4171,1.3767,1.3333,1.2994,1.2207,1.2074,1.2356,1.22,8.4988,38.6115,46.8261,56.18,-0.03715814796693301,0.018793949258408455,0.019308389850770605,0.022027923007340206,,
2000-01-31,1.367,1.447,1.367,1.4,66000.0,1.4138,1.436,1.474,1.4607,1.4196,1.3825,1.3385,1.3039,1.2231,1.2092,1.237,1.2221,8.4988,38.6115,46.8261,56.18,0.0,0.02145326673129675,0.01693528790247367,0.02180462929337188,0.03778436967209823,
