Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,1.493,1.515,1.479,1.508,243953.0,1.5046,1.4645,1.422,1.3718,1.3402,1.3071,1.294,1.2862,1.2854,1.3012,1.3349,1.3097,88.0227,87.4582,83.7264,75.4565,,,,,,
2000-01-04,1.508,1.508,1.472,1.508,243953.0,1.4799,1.4876,1.4357,1.3841,1.3496,1.3138,1.2993,1.2906,1.2878,1.3007,1.3366,1.3123,88.0227,87.4582,83.7264,75.4565,0.0,,,,,
2000-01-05,1.465,1.472,1.428,1.457,243953.0,1.4574,1.4833,1.4443,1.3924,1.3561,1.3197,1.3037,1.2938,1.289,1.3001,1.3377,1.3149,36.7289,63.6925,67.2725,66.8919,-0.03440474237269653,,,,,
2000-01-06,1.457,1.479,1.457,1.465,141382.0,1.4681,1.4804,1.4537,1.4007,1.3621,1.3262,1.308,1.2969,1.29,1.3001,1.3389,1.3173,43.7526,65.2118,68.2329,67.4381,0.005475715255962854,0.021618358926181625,,,,
2000-01-07,1.457,1.479,1.457,1.465,141382.0,1.4681,1.4804,1.4537,1.4007,1.3621,1.3262,1.308,1.2969,1.29,1.3001,1.3389,1.3173,43.7526,65.2118,68.2329,67.4381,0.0,0.021618358926181625,,,,
2000-01-10,1.457,1.479,1.457,1.465,141382.0,1.4681,1.4804,1.4537,1.4007,1.3621,1.3262,1.308,1.2969,1.29,1.3001,1.3389,1.3173,43.7526,65.2118,68.2329,67.4381,0.0,0.003161405677035901,0.016173218861066756,,,
2000-01-11,1.493,1.508,1.479,1.479,304941.0,1.4944,1.4833,1.4624,1.4097,1.3681,1.3331,1.3129,1.3003,1.2915,1.3001,1.3399,1.3199,57.8048,68.2053,70.1215,68.5128,0.009510941259632144,0.00549114449649534,0.017526518103073298,,,
2000-01-12,1.479,1.551,1.479,1.551,1391640.0,1.5114,1.492,1.4783,1.4223,1.3768,1.3421,1.3194,1.3051,1.294,1.3006,1.3412,1.3228,85.3169,78.5754,77.3668,73.1044,0.047533700465738904,0.02515167622398269,0.019988341187805327,,,
2000-01-13,1.573,1.623,1.558,1.558,1194814.0,1.5926,1.5021,1.4948,1.4328,1.3857,1.3511,1.3256,1.31,1.2965,1.301,1.3425,1.3257,86.625,79.3337,77.9428,73.5041,0.004503063254154838,0.023531697766340204,0.02007837309539999,,,
2000-01-14,1.558,1.566,1.508,1.544,773441.0,1.5443,1.5194,1.5013,1.4418,1.3946,1.3596,1.3314,1.3156,1.2987,1.3016,1.3438,1.3282,68.3556,73.4818,73.8924,71.3115,-0.009026495845972093,0.029534557485252418,0.021794324993957327,,,
2000-01-17,1.587,1.652,1.566,1.587,690275.0,1.6137,1.5439,1.5122,1.4537,1.4047,1.3691,1.3383,1.3218,1.3012,1.3028,1.3453,1.3307,83.7643,78.7676,77.6455,73.7423,0.027468989941687505,0.01844994688763004,0.021946098220049354,0.021497174814570752,,
2000-01-18,1.587,1.623,1.566,1.566,194053.0,1.6058,1.5612,1.5223,1.4645,1.4145,1.3787,1.3448,1.3275,1.3032,1.3046,1.3467,1.3333,61.3568,70.8265,72.067,70.6461,-0.013320843975660579,0.022413435181236955,0.025689401141304927,0.022248327532274247,,
2000-01-19,1.558,1.58,1.544,1.551,349296.0,1.5644,1.5612,1.5266,1.4743,1.4234,1.3868,1.351,1.3328,1.305,1.3061,1.348,1.3357,48.4076,65.8475,68.532,68.6581,-0.00962471337420967,0.02255886654258004,0.016780797106398012,0.018605241924349602,,
2000-01-20,1.551,1.573,1.515,1.551,440778.0,1.5498,1.5598,1.5309,1.4833,1.433,1.3949,1.3572,1.3379,1.307,1.3079,1.3492,1.3382,48.4076,65.8475,68.532,68.6581,0.0,0.006876789139108512,0.016598550476617527,0.018710906429606915,,
2000-01-21,1.58,1.58,1.551,1.551,219003.0,1.5709,1.5612,1.5403,1.4923,1.4417,1.4021,1.3638,1.3431,1.309,1.3099,1.3502,1.3407,48.4076,65.8475,68.532,68.6581,0.0,0.0055568308574729395,0.015972891971192706,0.018710906429606915,,
2000-01-24,1.544,1.566,1.544,1.551,66533.0,1.5553,1.554,1.549,1.5013,1.4501,1.4088,1.3708,1.3482,1.3111,1.3117,1.3515,1.343,48.4076,65.8475,68.532,68.6581,0.0,0.0,0.006418338401415627,0.018710906429606915,,
2000-01-25,1.551,1.58,1.544,1.58,216231.0,1.5611,1.5569,1.5591,1.5107,1.4595,1.4158,1.3783,1.3539,1.3133,1.3142,1.3529,1.3453,83.5529,72.1251,72.2003,70.5559,0.018524962844473747,0.010695392284984732,0.010246541706817916,0.019127155897736656,,
2000-01-26,1.587,1.616,1.573,1.58,246725.0,1.5968,1.5627,1.5619,1.5201,1.4689,1.4231,1.3861,1.3598,1.3156,1.3165,1.3544,1.3473,83.5529,72.1251,72.2003,70.5559,0.0,0.010695392284984732,0.008284615240180232,0.012628175858657421,,
2000-01-27,1.602,1.63,1.573,1.587,335435.0,1.5964,1.5699,1.5648,1.5298,1.4768,1.4305,1.3938,1.3655,1.318,1.3191,1.3562,1.3493,88.1092,73.6572,73.1092,71.0253,0.004420594505396502,0.009675132302408402,0.008022097352797424,0.012626279353249663,,
2000-01-28,1.587,1.587,1.558,1.566,108115.0,1.5779,1.5728,1.567,1.5342,1.4835,1.4377,1.4011,1.3706,1.3203,1.3215,1.3576,1.351,39.2184,62.1319,66.1247,67.677,-0.013320843975660579,0.009235305259186682,0.011419651558684149,0.013101183937774815,,
2000-01-31,1.551,1.573,1.551,1.558,540577.0,1.5636,1.5742,1.5641,1.5381,1.4905,1.4445,1.4081,1.3759,1.3224,1.3237,1.3589,1.3527,30.7007,58.6882,63.9321,66.5944,-0.0051216501200548326,0.008879187760815461,0.011856818424563154,0.009442572161692656,0.016548420541711975,
2000-02-01,1.551,1.573,1.551,1.558,540577.0,1.5636,1.5742,1.5641,1.5381,1.4905,1.4445,1.4081,1.3759,1.3224,1.3237,1.3589,1.3527,30.7007,58.6882,63.9321,66.5944,0.0,0.006719411730922495,0.006780396491597944,0.008540127932211745,0.016548420541711975,
2000-02-02,1.573,1.616,1.573,1.587,213459.0,1.5919,1.5756,1.5663,1.5443,1.4985,1.4525,1.4162,1.3817,1.3248,1.3266,1.3603,1.3545,69.9107,66.935,68.4399,68.6683,0.01844249409571541,0.012393720056574171,0.011826190186103485,0.009740338897864693,0.014595549607352404,
2000-02-03,1.616,1.623,1.587,1.623,191281.0,1.6079,1.5843,1.5735,1.55,1.5074,1.4609,1.4241,1.3881,1.3278,1.3295,1.3615,1.3564,85.3998,74.1825,72.985,70.9966,0.02243084698818215,0.011966449235763198,0.015381125527187862,0.011565075617560929,0.015150904661721672,
2000-02-04,1.616,1.623,1.587,1.623,191281.0,1.6079,1.5843,1.5735,1.55,1.5074,1.4609,1.4241,1.3881,1.3278,1.3295,1.3615,1.3564,85.3998,74.1825,72.985,70.9966,0.0,0.011966449235763198,0.012388130444857013,0.011565075617560929,0.015150904661721672,
2000-02-07,1.616,1.623,1.587,1.623,191281.0,1.6079,1.5843,1.5735,1.55,1.5074,1.4609,1.4241,1.3881,1.3278,1.3295,1.3615,1.3564,85.3998,74.1825,72.985,70.9966,0.0,0.012950455546778268,0.011282092922033707,0.011565075617560929,0.015150904661721672,
2000-02-08,1.659,1.782,1.623,1.71,839974.0,1.7294,1.6088,1.5894,1.5601,1.5187,1.4721,1.4338,1.3959,1.3318,1.3332,1.363,1.3589,94.8828,83.7811,80.313,75.5143,0.05221708198211433,0.030147546338670467,0.021428525162051935,0.018761446388506575,0.018451961089617525,
2000-02-09,1.739,1.782,1.717,1.768,726314.0,1.7434,1.6492,1.611,1.5756,1.5319,1.484,1.4439,1.405,1.3365,1.3368,1.3649,1.3615,96.8978,87.3175,83.522,77.8894,0.03335559370088326,0.026441681180944445,0.02241322152545058,0.020115741195522112,0.017041555067842454,
2000-02-10,1.768,1.804,1.753,1.768,557210.0,1.7773,1.6911,1.6326,1.5908,1.5451,1.4957,1.4536,1.4144,1.3415,1.3402,1.3669,1.3641,96.8978,87.3175,83.522,77.8894,0.0,0.02644168118094445,0.024365358181010568,0.020329747935751517,0.0170996354607376,
2000-02-11,1.768,1.768,1.731,1.746,210686.0,1.755,1.7228,1.6492,1.6041,1.5569,1.5069,1.4625,1.4234,1.3463,1.3436,1.3694,1.3664,72.7332,79.1289,77.993,74.971,-0.012521506798041315,0.023713892249833307,0.027058791359126547,0.020225673916147335,0.017281639018904997,
2000-02-14,1.753,1.775,1.731,1.768,205142.0,1.751,1.7517,1.668,1.615,1.5694,1.5187,1.472,1.433,1.3515,1.3475,1.3717,1.3686,80.1562,81.1207,79.4575,75.9049,0.012521506798041315,0.012521506798041326,0.025924211570183504,0.019428514314756794,0.016621637873830836,
2000-02-15,1.768,1.789,1.746,1.753,446323.0,1.7658,1.7603,1.6846,1.6247,1.5814,1.5288,1.4813,1.4423,1.3567,1.3512,1.374,1.3707,63.0042,75.7023,75.8343,74.0006,-0.008520358276354334,0.013453139691011726,0.0185432643941424,0.020215545294661106,0.01636982223120996,
