Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-09-20,2.375,2.403,2.356,2.356,84565.0,2.3764,2.3783,2.3925,2.4956,2.5678,2.6134,2.6689,2.6843,2.8117,2.8943,3.0399,3.029,29.6236,30.354,31.3274,35.7295,,,,,,
2000-09-21,2.346,2.365,2.346,2.356,60253.0,2.3543,2.3669,2.3821,2.4814,2.5549,2.6027,2.6555,2.6766,2.803,2.8851,3.0366,3.0261,29.6236,30.354,31.3274,35.7295,0.0,,,,,
2000-09-22,2.346,2.356,2.327,2.327,88793.0,2.336,2.3518,2.3736,2.4653,2.5407,2.5923,2.6426,2.6692,2.7939,2.8755,3.0332,3.0229,15.7687,27.102,29.3035,34.7622,-0.012385381469185552,,,,,
2000-09-25,2.327,2.346,2.289,2.318,172302.0,2.3162,2.3442,2.3698,2.4488,2.5274,2.5819,2.6299,2.6624,2.7849,2.866,3.0298,3.0198,12.7801,26.0552,28.6393,34.4407,-0.0038751394025946517,0.006335595204329791,,,,
2000-09-26,2.318,2.318,2.299,2.3080000000000003,57081.0,2.306,2.3329,2.366,2.4327,2.5139,2.5727,2.619,2.6558,2.7762,2.8567,3.0258,3.0168,9.9511,24.9702,27.9568,34.1144,-0.0043233962717067476,0.004789237231839863,,,,
2000-09-27,2.3080000000000003,2.318,2.28,2.318,84565.0,2.3028,2.3253,2.3518,2.4161,2.5013,2.5625,2.6082,2.6488,2.7674,2.8479,3.0216,3.0141,32.3978,28.3279,29.7593,34.754,0.0043233962717067476,0.004867989706787429,0.006182980316297356,,,
2000-09-28,2.318,2.318,2.299,2.318,195557.0,2.3157,2.3177,2.3423,2.401,2.489,2.5528,2.5974,2.6414,2.7586,2.8393,3.018,3.011,32.3978,28.3279,29.7593,34.754,0.0,0.004323396271706748,0.006182980316297356,,,
2000-09-29,2.289,2.337,2.289,2.327,182872.0,2.3118,2.3177,2.3348,2.3882,2.4754,2.5417,2.5853,2.6339,2.7506,2.8311,3.0144,3.0085,56.6892,32.1697,31.74,35.4249,0.0038751394025946517,0.002377302215132931,0.004105390402370366,,,
2000-10-02,2.318,2.318,2.261,2.261,219869.0,2.2687,2.3064,2.3253,2.3745,2.46,2.5292,2.5737,2.6260000000000003,2.7416,2.8222,3.0103,3.0054,11.8772,22.621,26.1757,32.9699,-0.028772691024321784,0.01783613039944165,0.013750366808413976,,,
2000-10-03,2.252,2.28,2.242,2.261,153274.0,2.2533,2.2969,2.3149,2.3598,2.4458,2.5166,2.5631,2.617,2.733,2.8131,3.0061,3.0024,11.8772,22.621,26.1757,32.9699,0.0,0.01783613039944165,0.013936615764053717,,,
