Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2010-09-07,5.38,5.42,5.38,5.42,1063500.0,5.4149,5.39,5.409,5.3765,5.3523,5.341,5.3312,5.3263,5.3081,5.3116,5.3357,5.3368,75.6844,60.4766,59.4753,56.7818,,,,,,
2010-09-08,5.4,5.41,5.39,5.4,4795400.0,5.4,5.394,5.408,5.3815,5.355,5.3435,5.3328,5.3278,5.3092,5.3118,5.3359,5.3387,48.4852,53.8429,55.3139,54.9252,-0.003696861881326008,,,,,
2010-09-09,5.4,5.42,5.36,5.4,2899900.0,5.3871,5.4,5.403,5.3865,5.3577,5.3455,5.3352,5.3295,5.3102,5.3122,5.3361,5.3387,48.4852,53.8429,55.3139,54.9252,0.0,,,,,
2010-09-10,5.4,5.42,5.36,5.4,2899900.0,5.3871,5.4,5.403,5.3865,5.3577,5.3455,5.3352,5.3295,5.3102,5.3122,5.3361,5.3387,48.4852,53.8429,55.3139,54.9252,0.0,0.002134384202340437,,,,
2010-09-13,5.4,5.44,5.39,5.44,2669400.0,5.4152,5.412000000000001,5.402,5.3945,5.362,5.349,5.3388,5.3318,5.3116,5.313,5.3363,5.339,80.3168,63.8736,61.5535,57.8734,0.007380107297622507,0.0042609069349306755,,,,
2010-09-14,5.38,5.42,5.34,5.42,6147500.0,5.3653,5.416,5.399,5.4005,5.3663,5.3518,5.3422,5.3337,5.3126,5.3133,5.3365,5.3395,54.8824,56.9161,57.2491,55.9795,-0.003683245416296499,0.005633679286127748,0.004519376845614101,,,
2010-09-15,5.4,5.42,5.37,5.42,4749700.0,5.3939,5.416,5.403,5.4075,5.3703,5.3545,5.3456,5.3353,5.3136,5.3137,5.3366,5.3406,54.8824,56.9161,57.2491,55.9795,0.0,0.005633679286127748,0.004040387449464776,,,
2010-09-16,5.4,5.42,5.37,5.42,4749700.0,5.3939,5.416,5.403,5.4075,5.3703,5.3545,5.3456,5.3353,5.3136,5.3137,5.3366,5.3406,54.8824,56.9161,57.2491,55.9795,0.0,0.0021265227325902377,0.004040387449464776,,,
2010-09-17,5.39,5.41,5.32,5.32,6349200.0,5.3488,5.4,5.397,5.409,5.371,5.3545,5.3454,5.3362,5.3137,5.3131,5.3362,5.3407,12.0288,33.6922,40.732,47.638000000000005,-0.018622512098001698,0.010751712372768342,0.009621268503726518,,,
2010-09-20,5.33,5.35,5.32,5.33,3148900.0,5.331,5.386,5.393,5.404,5.372000000000001,5.3553,5.3454,5.3363,5.3139,5.3128,5.336,5.3405,21.252,36.6024,42.518,48.4329,0.001877934824199956,0.011332791065856709,0.008373047606296247,,,
2010-09-21,5.33,5.36,5.33,5.34,2182400.0,5.3393,5.3660000000000005,5.388999999999999,5.401,5.372999999999999,5.3568,5.3462,5.337000000000001,5.3142,5.3128,5.3358,5.34,31.9535,39.5855,44.3248,49.2302,0.0018744147943503542,0.011834922534819301,0.0087979213515521,0.006777617755357254,,
2010-09-22,5.34,5.4,5.34,5.37,6054800.0,5.3646,5.356,5.386,5.398,5.3757,5.3578,5.3474,5.3383,5.3148,5.3131,5.3358,5.3399,57.7751,47.8646,49.4574,51.5548,0.005602255548669888,0.0021512544378761954,0.00959224262519614,0.007072261309941259,,
2010-09-23,5.37,5.37,5.35,5.37,1263400.0,5.3619,5.346,5.381,5.395,5.377999999999999,5.3595,5.349,5.3395,5.3154,5.3135,5.3358,5.3399,57.7751,47.8646,49.4574,51.5548,0.0,0.0028517683035690854,0.00959224262519614,0.007072261309941259,,
2010-09-24,5.34,5.39,5.34,5.37,3565600.0,5.3713,5.356,5.377999999999999,5.393,5.3803,5.3608,5.3504,5.3403,5.3159,5.3137,5.3357,5.3396,57.7751,47.8646,49.4574,51.5548,0.0,0.003234463749093638,0.002287116617649199,0.007072261309941259,,
2010-09-27,5.41,5.41,5.35,5.37,4892600.0,5.3825,5.364,5.375,5.388999999999999,5.3827,5.362,5.3514,5.3418,5.3166,5.314,5.3357,5.3396,57.7751,47.8646,49.4574,51.5548,0.0,1.594082445095893e-10,0.002435086146845857,0.006515079569591621,,
2010-09-28,5.39,5.4,5.33,5.35,2433700.0,5.3629,5.3660000000000005,5.3660000000000005,5.384,5.385,5.363,5.3524,5.3433,5.317,5.3142,5.3357,5.3395,25.332,41.7543,45.6812,49.8135,-0.0037313476128582046,0.0021542945487237576,0.003339467133381036,0.00651705614553921,,
2010-09-29,5.32,5.36,5.32,5.36,5182700.0,5.3409,5.364,5.36,5.3795,5.3870000000000005,5.3648,5.3534,5.3452,5.3175,5.3152,5.3359,5.3396,47.4597,45.6566,47.8262,50.6752,0.001867414174795634,0.002850623448274174,0.002044219969566925,0.006584845377468482,,
2010-09-30,5.36,5.36,5.33,5.35,7594100.0,5.3507,5.36,5.353,5.377999999999999,5.3893,5.3660000000000005,5.3542,5.3468,5.3184,5.3157,5.3357,5.3396,32.855,42.4566,45.8753,49.7908,-0.001867414174795634,0.0028510034554325883,0.0021279588463385215,0.0065762422454489645,,
2010-10-01,5.33,5.35,5.32,5.33,6981600.0,5.3305,5.352,5.354,5.3755,5.3907,5.3668,5.3544,5.3468,5.3187,5.3161,5.3357,5.3395,17.0836,36.6732,42.1701,48.0555,-0.0037453227301620373,0.002857105146458064,0.0024364291944291515,0.002847953302108904,,
2010-10-04,5.33,5.34,5.32,5.33,6789600.0,5.3293,5.343999999999999,5.354,5.3735,5.3873,5.3675,5.355,5.3468,5.3187,5.3164,5.3356,5.3392,17.0836,36.6732,42.1701,48.0555,0.0,0.0018726638155140817,0.0024364291944291515,0.0027853499045180515,,
2010-10-05,5.33,5.34,5.32,5.33,5216900.0,5.3294,5.34,5.353,5.371,5.385,5.367999999999999,5.356,5.3473,5.3187,5.3167,5.3354,5.339,17.0836,36.6732,42.1701,48.0555,0.0,0.0021623630864610823,0.002132863408830376,0.0027071672959013623,0.0050670669796364885,
2010-10-06,5.35,5.35,5.32,5.34,5046400.0,5.3313,5.336,5.35,5.367999999999999,5.382000000000001,5.3693,5.3562,5.3478,5.3188,5.317,5.3353,5.3387,54.1911,42.2715,44.9468,49.0386,0.0018744147943503542,0.0010821938860912058,0.002135011617886687,0.001980453731949258,0.005054709851057188,
2010-10-07,5.33,5.36,5.3,5.36,8321000.0,5.3196,5.337999999999999,5.349,5.365,5.3797,5.3708,5.3574,5.349,5.3191,5.3176,5.3353,5.3386,80.4452,51.849,50.1067,50.9589,0.0037383221106073172,0.001869163516457358,0.002775719647089651,0.0024052241059662124,0.005144772416577122,
2010-10-08,5.34,5.35,5.32,5.32,5894500.0,5.3314,5.336,5.343999999999999,5.361000000000001,5.3767,5.3713,5.3574,5.3493,5.3191,5.3178,5.3348,5.3384,29.5823,37.7553,41.6906,47.2734,-0.0074906717291576275,0.006017603325935588,0.004268879189469639,0.0033295420264986145,0.0053834069511839115,
2010-10-11,5.32,5.34,5.31,5.32,6149200.0,5.3281,5.334,5.339,5.357,5.3723,5.3718,5.3574,5.3493,5.319,5.318,5.3344,5.3381,29.5823,37.7553,41.6906,47.2734,0.0,0.005718034595472704,0.004268879189469639,0.0033295420264986145,0.005038983631436544,
2010-10-12,5.32,5.35,5.31,5.35,5467300.0,5.331,5.337999999999999,5.339,5.3525,5.369,5.3735,5.3582,5.3502,5.3195,5.3184,5.3341,5.3379,65.9316,50.5217,49.1236,50.1662,0.005623257554361993,0.006579087192636024,0.005059994640066627,0.003744946005457806,0.00521596135068856,
2010-10-13,5.33,5.36,5.32,5.36,4147700.0,5.3365,5.3420000000000005,5.339,5.3495,5.3660000000000005,5.375,5.3596,5.351,5.3204,5.3187,5.3339,5.3378,72.9207,54.0554,51.3498,51.0914,0.001867414174795634,0.002863989662305294,0.005059606356700162,0.003744946005457806,0.005244842963684638,
2010-10-14,5.35,5.36,5.34,5.36,5730800.0,5.3503,5.3420000000000005,5.34,5.3465,5.3653,5.377000000000001,5.3608,5.3518,5.3218,5.3191,5.3337,5.3376,72.9207,54.0554,51.3498,51.0914,0.0,0.002863989662305294,0.0047754168450753675,0.003687601237539098,0.005244842963684638,
2010-10-15,5.35,5.36,5.34,5.35,7992500.0,5.3497,5.348,5.3420000000000005,5.348,5.3643,5.3785,5.3618,5.3523,5.3236,5.3194,5.3335,5.3374,49.8915,49.5743,48.8697,50.096,-0.001867414174795634,0.001867414174795643,0.002840391338293317,0.003508583105372914,0.003111636036457838,
2010-10-18,5.34,5.34,5.31,5.31,4561800.0,5.3254,5.346,5.34,5.347,5.3623,5.3755,5.362,5.3525,5.3255,5.3194,5.3331,5.3371,17.2345,36.1056,40.4534,46.3587,-0.007504725654067679,0.003906989965804489,0.004853051092455245,0.0043089279281442764,0.003536515988058522,
2010-10-19,5.32,5.33,5.3,5.31,7005500.0,5.3131,5.337999999999999,5.337999999999999,5.3455,5.36,5.3733,5.362,5.353,5.3266,5.3194,5.3326,5.3367,17.2345,36.1056,40.4534,46.3587,0.0,0.003906989965804489,0.003606632678646131,0.0043089279281442764,0.0035036686857746894,
2010-10-20,5.3,5.31,5.29,5.3,10497200.0,5.3018,5.3260000000000005,5.334,5.3420000000000005,5.3567,5.37,5.3622,5.3525,5.3272,5.3193,5.3322,5.3364,12.5965,33.2476,38.5295,45.4515,-0.0018850146957714031,0.0039041716748646166,0.0030828849170875115,0.00425443057345156,0.0032313029125663932,
2010-10-21,5.3,5.31,5.29,5.29,21562500.0,5.2974,5.312,5.327000000000001,5.337999999999999,5.3523,5.3665,5.362,5.3523,5.3279,5.3192,5.3316,5.336,8.9741,30.5289,36.6523,44.5497,-0.001888574687868072,0.0010893428774934346,0.0028445605237140594,0.003956226346210528,0.003238708440722614,
2010-10-22,5.29,5.3,5.28,5.29,4041600.0,5.2901,5.3,5.324,5.334,5.3487,5.3635,5.3618,5.3518,5.3288,5.3189,5.3311,5.3355,8.9741,30.5289,36.6523,44.5497,0.0,0.0010893428774934346,0.0030822404140412834,0.0033139173078079627,0.003238708440722614,
2010-10-25,5.32,5.34,5.29,5.3,4774900.0,5.3017,5.297999999999999,5.322,5.3305,5.3453,5.3598,5.3618,5.3515,5.3298,5.3189,5.3307,5.3351,44.7339,37.0443,40.0403,45.7026,0.001888574687868072,0.0018885746878680805,0.0015792445208019097,0.0034023598658004983,0.003288884632930113,
2010-10-26,5.3,5.3,5.29,5.29,3605600.0,5.2913,5.294,5.316,5.3275,5.3403,5.3558,5.362,5.3512,5.3302,5.3187,5.3303,5.3349,28.1473,33.5088,37.8597,44.7403,-0.001888574687868072,0.0018885746878680805,0.0016885961692319242,0.0026838770255099655,0.0032233552946154187,
2010-10-27,5.29,5.3,5.25,5.25,6091200.0,5.2821,5.284,5.305,5.322,5.3347,5.3508,5.361000000000001,5.3505,5.3299,5.3182,5.3298,5.3345,8.7286,23.4413,30.6655,41.1545,-0.0075901692666755505,0.004771820496475606,0.003547587037712911,0.0031389043952769124,0.0035272991513956072,
2010-10-28,5.26,5.3,5.26,5.3,4812000.0,5.2901,5.2860000000000005,5.299,5.3195,5.3307,5.3488,5.3614,5.3505,5.3301,5.3186,5.3293,5.3341,60.2052,46.1801,44.7885,46.6804,0.009478743954543623,0.008689763253513854,0.006202365320697505,0.004817173790543861,0.004229251589359682,
2010-10-29,5.3,5.3,5.28,5.29,5368900.0,5.2888,5.2860000000000005,5.292999999999999,5.3175,5.3297,5.3465,5.3614,5.3503,5.3301,5.3185,5.3289,5.3338,51.4927,43.2873,42.9061,45.7908,-0.001888574687868072,0.008689763253513854,0.0062880322738427365,0.004817540432815692,0.004173570638718611,
2010-11-01,5.29,5.29,5.24,5.28,7572600.0,5.2607,5.282,5.29,5.315,5.327999999999999,5.3443,5.3584,5.35,5.3297,5.3181,5.3282,5.3335,42.3088,40.4376,41.0482,44.9055,-0.0018921481520377537,0.006563956291588194,0.006231214503343594,0.004290138054103766,0.004186010569689554,
2010-11-02,5.27,5.28,5.26,5.26,5687400.0,5.2701,5.276,5.285,5.3115,5.3253,5.3413,5.3556,5.3492,5.3292,5.3175,5.3275,5.332999999999999,27.5616,35.2206,37.5465,43.1782,-0.003795070968551695,0.0010996860221229923,0.006374516978264384,0.004400877346781312,0.004249065117496335,
2010-11-03,5.26,5.28,5.25,5.28,4873100.0,5.2753,5.282,5.283,5.3085,5.3223,5.3383,5.3526,5.349,5.3295,5.3171,5.3269,5.3326,52.4321,43.431,42.8013,45.3526,0.003795070968551695,0.003949173567481836,0.005461345171403046,0.004626975005118673,0.004330311572479317,
2010-11-04,5.27,5.28,5.25,5.27,9422400.0,5.2685,5.276,5.281000000000001,5.303999999999999,5.319,5.3345,5.3494,5.3485,5.3296,5.3166,5.3263,5.3321,41.6955,40.5408,40.9462,44.4724,-0.0018957351648993814,0.003949746944825193,0.002876692676189813,0.004627235282813919,0.004217418538039419,
2010-11-05,5.27,5.28,5.25,5.27,9422400.0,5.2685,5.276,5.281000000000001,5.303999999999999,5.319,5.3345,5.3494,5.3485,5.3296,5.3166,5.3263,5.3321,41.6955,40.5408,40.9462,44.4724,0.0,0.0028977476862874175,0.0028770450010747895,0.004627235282813919,0.003918340851471849,
2010-11-08,5.27,5.29,5.27,5.28,3367200.0,5.2803,5.274,5.28,5.3020000000000005,5.316,5.3315,5.3468,5.3482,5.3293,5.3162,5.3258,5.3315,55.3959,44.6823,43.5797,45.5653,0.0018957351648993814,0.0018957351648993866,0.002999697940775041,0.004627625671617223,0.003953138381857141,
2010-11-09,5.28,5.34,5.27,5.3,4695100.0,5.2936,5.278,5.28,5.301,5.3137,5.329,5.3438,5.3482,5.3293,5.316,5.3252,5.331,73.8384,52.177,48.5241,47.6954,0.0037807228399058257,0.0018903639659488844,0.0024700972710476974,0.00476718109268499,0.0038253396985647534,
2010-11-10,5.3,5.33,5.28,5.33,3079400.0,5.2993,5.292000000000001,5.284,5.3,5.313,5.3263,5.3414,5.349,5.3296,5.3162,5.3243,5.3307,86.4469,61.0763,54.9075,50.6895,0.005644417619677045,0.0018743513061781616,0.0029822091036597925,0.00416691453579772,0.004034304788199137,
2010-11-11,5.32,5.33,5.29,5.3,1998000.0,5.3087,5.296,5.289,5.297000000000001,5.311,5.3233,5.3384,5.349,5.3295,5.3165,5.3233,5.3302,50.1746,50.5035,48.4387,47.8556,-0.005644417619677045,0.006051782546989706,0.004334805141012676,0.003668975873566277,0.004207356352125232,
2010-11-12,5.3,5.31,5.28,5.3,3495600.0,5.2976,5.3020000000000005,5.289,5.294,5.3093,5.3203,5.3368,5.3493,5.3293,5.3172,5.3221,5.3297,50.1746,50.5035,48.4387,47.8556,0.0,0.005644417619677046,0.004334805141012676,0.0036090791355580082,0.004197591298709799,
2010-11-15,5.3,5.31,5.27,5.29,2683000.0,5.2934,5.303999999999999,5.289,5.291,5.308,5.3195,5.335,5.3493,5.3295,5.3182,5.3212,5.3292,38.1645,47.0662,46.3286,46.9199,-0.001888574687868072,0.0028732246908713377,0.004496204931623754,0.003608850364114388,0.00387785786680691,
2010-11-16,5.28,5.35,5.27,5.35,3211500.0,5.3017,5.314,5.296,5.292999999999999,5.3087,5.32,5.3346,5.348,5.3298,5.3201,5.3206,5.329,80.3964,63.7291,58.1174,52.6647,0.011278315037707154,0.007119621823838748,0.0066492962072047445,0.004732712664985619,0.004649924700252878,0.004696096748342578
2010-11-17,5.28,5.35,5.27,5.35,3211500.0,5.3017,5.314,5.296,5.292999999999999,5.3087,5.32,5.3346,5.348,5.3298,5.3201,5.3206,5.329,80.3964,63.7291,58.1174,52.6647,0.0,0.007119621823838748,0.006321017842011967,0.004697769964235796,0.004620711943347052,0.00466991028895876
2010-11-18,5.3,5.35,5.29,5.35,1678300.0,5.3164,5.318,5.305,5.295,5.3093,5.3203,5.334,5.3472,5.3303,5.3213,5.3201,5.3288,80.3964,63.7291,58.1174,52.6647,0.0,0.006511538223025632,0.005318215388500833,0.004590747321074107,0.004589176200240007,0.00466991028895876
2010-11-19,5.32,5.33,5.3,5.32,1106500.0,5.3147,5.322,5.309,5.296,5.3087,5.319,5.3324,5.3453,5.3306,5.322,5.3194,5.3285,45.4643,53.143,51.5513,49.7818,-0.005623257554361993,0.0032465892627334975,0.006315672003722006,0.00511074896018856,0.004793264391503856,0.0047326293728534715
2010-11-22,5.31,5.34,5.3,5.34,869100.0,5.3295,5.33,5.316,5.2985,5.308,5.3183,5.3308,5.3438,5.331,5.323,5.319,5.3283,61.9827,58.3339,55.1863,51.6087,0.0037523496185503102,0.004718812757521547,0.0062289983463663075,0.005182374278403344,0.004843976411520546,0.0046393972250785955
2010-11-23,5.33,5.34,5.3,5.3,2770500.0,5.3125,5.332000000000001,5.318,5.299,5.3073,5.3165,5.3288,5.3420000000000005,5.3308,5.3238,5.3182,5.3279,32.4742,46.6948,47.50899999999999,47.9962,-0.007518832414027399,0.006035102295748085,0.004598927844761044,0.005741854123933814,0.005137234945789026,0.004726180027811556
2010-11-24,5.26,5.31,5.26,5.3,2014300.0,5.2952,5.322,5.318,5.299,5.3067,5.3148,5.3268,5.3395,5.331,5.3247,5.3175,5.3275,32.4742,46.6948,47.50899999999999,47.9962,0.0,0.005739519621907488,0.004598927844761044,0.005392119803039421,0.004809572755669515,0.004726180027811556
2010-11-25,5.3,5.31,5.27,5.28,6377900.0,5.2952,5.308,5.313,5.2985,5.3043,5.313,5.3236,5.3367,5.3312,5.3249,5.3167,5.3271,21.1477,41.4599,43.9625,46.2634,-0.0037807228399058257,0.0037594363329838468,0.0045231526372225585,0.005226700437466871,0.004399358362749944,0.004749058402103809
2010-11-26,5.29,5.3,5.26,5.28,5604400.0,5.29,5.3,5.311,5.3,5.3017,5.311,5.3208,5.3338,5.3315,5.3249,5.3163,5.3268,21.1477,41.4599,43.9625,46.2634,0.0,0.0021828013493510015,0.004287037763470784,0.005226700437466871,0.004381190019489116,0.003966400077203797
2010-11-29,5.28,5.3,5.26,5.3,7443700.0,5.2835,5.292000000000001,5.311,5.3,5.2997,5.3098,5.3184,5.3325,5.332000000000001,5.3251,5.316,5.3264,55.8192,48.7339,48.4274,48.2623,0.0037807228399058257,0.0037807228399058296,0.004295753806974817,0.005350653574738219,0.004441903647651233,0.00399528648889925
2010-11-30,5.29,5.33,5.27,5.29,14536400.0,5.2875,5.29,5.311,5.3,5.2977,5.3088,5.3178,5.331,5.3316,5.3251,5.3157,5.3260000000000005,41.9764,45.5502,46.4352,47.3512,-0.001888574687868072,0.0028867950510980444,0.0028036182811545553,0.0036767799888822264,0.004371807245076539,0.003992528426690696
2010-12-01,5.3,5.31,5.29,5.3,6633500.0,5.3023,5.29,5.306,5.301,5.2973,5.308,5.3172,5.3298,5.3313,5.3249,5.3157,5.3255,57.7084,49.278,48.7076,48.3597,0.001888574687868072,0.0028864053912062565,0.0029883590433414826,0.00378796971061304,0.004311599737769543,0.003916428123183068
2010-12-02,5.32,5.32,5.28,5.29,5407100.0,5.2915,5.292000000000001,5.3,5.3025,5.2967,5.307,5.3162,5.3283,5.3312,5.3247,5.3158,5.325,41.024,45.754,46.5795,47.4201,-0.001888574687868072,0.0021807382088506965,0.002463633663986071,0.0037830297746517497,0.004311417806065083,0.003922947212677829
