Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2011-09-14,24.4,24.4,24.4,24.4,75.0,24.4,25.0,25.9,25.63,26.5733,26.97,27.368,27.5933,28.166,28.5133,29.5867,30.087,17.8838,40.1854,42.2018,43.6261,,,,,,
2011-09-15,24.4,24.4,24.4,24.4,100.0,24.4,24.88,25.86,25.55,26.46,26.875,27.28,27.5067,28.126,28.4633,29.5389,30.057,17.8838,40.1854,42.2018,43.6261,0.0,,,,,
2011-09-16,24.4,24.4,24.4,24.4,100.0,24.4,24.88,25.86,25.55,26.46,26.875,27.28,27.5067,28.126,28.4633,29.5389,30.057,17.8838,40.1854,42.2018,43.6261,0.0,,,,,
2011-09-19,24.2,24.2,24.2,24.2,350.0,24.2,24.68,25.48,25.5,26.3467,26.775,27.188,27.4367,28.076,28.4067,29.4922,30.021,14.0847,39.008,41.4614,43.2219,-0.008230499136515412,0.004751880892032156,,,,
2011-09-20,24.2,24.2,23.6,23.6,1750.0,23.9671,24.36,25.08,25.44,26.2133,26.655,27.076,27.36,28.012,28.3483,29.4422,29.984,7.2010000000000005,35.4978,39.2373,42.014,-0.025105921131076236,0.012798621406037634,,,,
2011-09-21,24.2,24.2,23.6,23.6,1750.0,23.9671,24.36,25.08,25.44,26.2133,26.655,27.076,27.36,28.012,28.3483,29.4422,29.984,7.2010000000000005,35.4978,39.2373,42.014,0.0,0.012798621406037634,0.010906248308017086,,,
2011-09-22,23.6,23.6,23.4,23.4,1500.0,23.5,24.0,24.62,25.35,25.98,26.53,26.968000000000004,27.28,27.946,28.2867,29.3878,29.946,5.7869,34.339,38.496,41.6129,-0.0085106896679088,0.012768064469470777,0.010249928152293053,,,
2011-09-23,23.2,23.2,22.4,22.8,2800.0,22.8,23.68,24.34,25.22,25.82,26.395,26.844,27.18,27.87,28.2167,29.3378,29.904,3.0721,30.9313,36.2814,40.4157,-0.02597548640326064,0.01324246236868723,0.01145889621167025,,,
2011-09-26,23.2,23.2,22.4,22.8,2800.0,22.8,23.68,24.34,25.22,25.82,26.395,26.844,27.18,27.87,28.2167,29.3378,29.904,3.0721,30.9313,36.2814,40.4157,0.0,0.01324246236868723,0.012915314538919183,,,
2011-09-27,22.8,22.8,22.8,22.8,750.0,22.8,23.36,24.12,25.1,25.58,26.26,26.72,27.0867,27.798,28.145,29.29,29.857,3.0721,30.9313,36.2814,40.4157,0.0,0.014996954067253996,0.011283820989663563,,,
2011-09-28,22.8,22.8,22.8,22.8,750.0,22.8,23.36,24.12,25.1,25.58,26.26,26.72,27.0867,27.798,28.145,29.29,29.857,3.0721,30.9313,36.2814,40.4157,0.0,1.6463612699567982e-10,0.011283820989663563,0.01046271510848762,,
2011-09-29,22.8,22.8,22.8,22.8,750.0,22.8,23.36,24.12,25.1,25.58,26.26,26.72,27.0867,27.798,28.145,29.29,29.857,3.0721,30.9313,36.2814,40.4157,0.0,1.6463612699567982e-10,0.01161659066926246,0.01046271510848762,,
2011-09-30,22.8,22.8,22.8,22.8,750.0,22.8,23.36,24.12,25.1,25.58,26.26,26.72,27.0867,27.798,28.145,29.29,29.857,3.0721,30.9313,36.2814,40.4157,0.0,1.6463612699567982e-10,0.0,0.01046271510848762,,
2011-10-03,22.8,22.8,22.8,22.8,750.0,22.8,23.36,24.12,25.1,25.58,26.26,26.72,27.0867,27.798,28.145,29.29,29.857,3.0721,30.9313,36.2814,40.4157,0.0,1.6463612699567982e-10,0.0,0.010658034024742183,,
2011-10-04,22.8,22.8,22.8,22.8,750.0,22.8,23.36,24.12,25.1,25.58,26.26,26.72,27.0867,27.798,28.145,29.29,29.857,3.0721,30.9313,36.2814,40.4157,0.0,1.6463612699567982e-10,0.0,0.008354826273267033,,
2011-10-05,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,-0.017699577099401065,0.010218855602881742,0.007915491513451865,0.009357691302459286,,
2011-10-06,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,0.010218855602881742,0.007915491513451865,0.009411870791644322,,
2011-10-07,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,0.010218855602881742,0.007915491513451865,0.0055970977255863814,,
2011-10-10,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,2.3283064365386963e-10,0.007915491513451865,0.0055970977255863814,,
2011-10-11,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,2.3283064365386963e-10,0.007915491513451865,0.0055970977255863814,,
2011-10-12,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,2.3283064365386963e-10,0.0,0.0055970977255863814,0.008561784880329435,
2011-10-13,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,2.3283064365386963e-10,0.0,0.0055970977255863814,0.008561784880329435,
2011-10-14,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,2.3283064365386963e-10,0.0,0.0055970977255863814,0.008561784880329435,
2011-10-17,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,2.3283064365386963e-10,0.0,0.0055970977255863814,0.008559512689121165,
2011-10-18,22.8,22.8,22.4,22.4,400.0,22.55,23.0,23.84,25.01,25.34,26.115,26.588,26.9867,27.722,28.075,29.2356,29.804,1.8032,28.5414,34.7364,39.6028,0.0,2.3283064365386963e-10,0.0,0.0055970977255863814,0.006974634947278168,
2011-10-19,22.8,24.0,22.0,24.0,2498.0,22.8529,23.08,23.72,24.99,25.1533,26.015,26.488000000000003,26.9,27.662,28.0183,29.1889,29.751,71.7683,46.9767,44.8526,44.2433,0.06899287148695166,0.03983305292515679,0.03085455012154618,0.021817461621405517,0.01748130598023448,
2011-10-20,24.0,24.0,24.0,24.0,275.0,24.0,23.2,23.6,24.97,25.0467,25.915,26.392,26.8133,27.602,27.9633,29.1456,29.697,71.7683,46.9767,44.8526,44.2433,0.0,0.03983305292515679,0.03085455012154618,0.021817461621405517,0.01734475147269595,
2011-10-21,24.0,24.0,24.0,24.0,275.0,24.0,23.2,23.6,24.97,25.0467,25.915,26.392,26.8133,27.602,27.9633,29.1456,29.697,71.7683,46.9767,44.8526,44.2433,0.0,0.03983305292515679,0.03085455012154618,0.021817461621405517,0.01612735701754577,
2011-10-24,24.0,24.0,24.0,24.0,275.0,24.0,23.2,23.6,24.97,25.0467,25.915,26.392,26.8133,27.602,27.9633,29.1456,29.697,71.7683,46.9767,44.8526,44.2433,0.0,0.0,0.03085455012154618,0.021817461621405517,0.01612735701754577,
2011-10-25,24.0,24.0,24.0,24.0,275.0,24.0,23.2,23.6,24.97,25.0467,25.915,26.392,26.8133,27.602,27.9633,29.1456,29.697,71.7683,46.9767,44.8526,44.2433,0.0,0.0,0.03085455012154618,0.021817461621405517,0.01612735701754577,
2011-10-26,24.0,24.0,24.0,24.0,275.0,24.0,23.2,23.6,24.97,25.0467,25.915,26.392,26.8133,27.602,27.9633,29.1456,29.697,71.7683,46.9767,44.8526,44.2433,0.0,0.0,0.0,0.021817461621405517,0.01612735701754577,
2011-10-27,29.8,29.8,24.0,27.0,530.0,24.8689,24.04,23.86,24.88,25.04,25.895,26.348000000000003,26.7833,27.576,27.9233,29.1222,29.647,92.9524,67.1115,58.7549,51.691,0.11778303565638337,0.06800206734218422,0.05267417486479096,0.04102077502860435,0.030363408175743452,
2011-10-28,28.0,28.0,23.2,23.2,73.0,26.5103,24.12,23.74,24.8,24.9467,25.78,26.248,26.69,27.516,27.86,29.0744,29.574,38.3199,43.5472,43.7203,43.9912,-0.1516845873320647,0.13508877165378821,0.09572250843104753,0.06791983327254841,0.04698220560814628,
2011-10-31,28.0,28.0,23.2,23.2,73.0,26.5103,24.12,23.74,24.8,24.9467,25.78,26.248,26.69,27.516,27.86,29.0744,29.574,38.3199,43.5472,43.7203,43.9912,0.0,0.13508877165378821,0.09572250843104753,0.06791983327254841,0.04698220560814628,
2011-11-01,24.0,24.0,24.0,24.0,25.0,24.0,24.44,23.72,24.6,24.9067,25.69,26.164,26.61,27.464,27.8033,29.0244,29.507,47.9758,47.8814,46.8063,45.7511,0.03390155167568132,0.09882623153117467,0.09750688787023014,0.06856820401206708,0.04755723088061306,
2011-11-02,24.0,24.0,24.0,24.0,50.0,24.0,24.44,23.76,24.42,24.88,25.6,26.076,26.5233,27.412,27.7483,28.9733,29.441,47.9758,47.8814,46.8063,45.7511,0.0,0.01957306998590059,0.09750688787023014,0.06500459191348676,0.047324405759198974,
2011-11-03,24.0,24.0,24.0,24.0,350.0,24.0,24.44,23.82,24.22,24.84,25.44,25.988000000000003,26.4433,27.36,27.6933,28.9233,29.374,47.9758,47.8814,46.8063,45.7511,0.0,0.01957306998590059,0.07311456855926711,0.06500459191348676,0.047324405759198974,
2011-11-04,24.0,24.0,24.0,24.0,250.0,24.0,23.84,23.94,24.14,24.7933,25.35,25.904,26.36,27.312,27.645,28.8811,29.311,47.9758,47.8814,46.8063,45.7511,0.0,0.0,0.015161234817909118,0.06500459191348676,0.047324405759198974,
2011-11-07,24.0,24.0,24.0,24.0,250.0,24.0,23.84,23.94,24.14,24.7933,25.35,25.904,26.36,27.312,27.645,28.8811,29.311,47.9758,47.8814,46.8063,45.7511,0.0,0.0,0.015161234817909118,0.06500459191348676,0.047324405759198974,
2011-11-08,24.0,24.0,24.0,24.0,250.0,24.0,23.84,23.94,24.14,24.7933,25.35,25.904,26.36,27.312,27.645,28.8811,29.311,47.9758,47.8814,46.8063,45.7511,0.0,0.0,1.2645940868184221e-09,0.06500459191348676,0.047324405759198974,
2011-11-09,24.0,24.0,24.0,24.0,125.0,24.0,24.0,24.06,24.09,24.7533,25.2,25.82,26.2767,27.268,27.6017,28.8344,29.252,47.9758,47.8814,46.8063,45.7511,0.0,0.0,1.2645940868184221e-09,0.06500459191348676,0.047324405759198974,
2011-11-10,24.0,24.0,24.0,24.0,125.0,24.0,24.0,24.06,24.09,24.7533,25.2,25.82,26.2767,27.268,27.6017,28.8344,29.252,47.9758,47.8814,46.8063,45.7511,0.0,0.0,1.2645940868184221e-09,0.05029937584246546,0.047324405759198974,
