Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,3.18,3.18,3.1,3.1,20000.0,3.131,3.108,3.078,2.923,2.8663,2.8403,2.8212,2.8052,2.7957,2.8218,2.7711,2.7125,58.5881,75.1982,75.2242,66.4427,,,,,,
2000-01-04,3.12,3.14,3.1,3.1,14000.0,3.1214,3.108,3.096,2.943,2.8777,2.849,2.829,2.8117,2.7975,2.8222,2.7753,2.7166,58.5881,75.1982,75.2242,66.4427,0.0,,,,,
2000-01-05,3.1,3.1,3.06,3.1,19000.0,3.0863,3.104,3.094,2.961,2.889,2.857,2.8364,2.8182,2.8001,2.8225,2.7797,2.7208,58.5881,75.1982,75.2242,66.4427,0.0,,,,,
2000-01-06,3.1,3.12,3.08,3.1,34000.0,3.0959,3.1,3.096,2.9785,2.8997,2.8648,2.8436,2.8247,2.8018,2.823,2.7838,2.7251,58.5881,75.1982,75.2242,66.4427,0.0,0.0,,,,
2000-01-07,3.1,3.12,3.08,3.1,34000.0,3.0959,3.1,3.096,2.9785,2.8997,2.8648,2.8436,2.8247,2.8018,2.823,2.7838,2.7251,58.5881,75.1982,75.2242,66.4427,0.0,0.0,,,,
2000-01-10,3.1,3.12,3.08,3.1,34000.0,3.0959,3.1,3.096,2.9785,2.8997,2.8648,2.8436,2.8247,2.8018,2.823,2.7838,2.7251,58.5881,75.1982,75.2242,66.4427,0.0,0.0,0.0,,,
2000-01-11,3.1,3.14,3.1,3.14,21000.0,3.1105,3.108,3.104,2.9985,2.9127,2.874,2.8504,2.8318,2.8044,2.8248,2.7884,2.7297,92.7842,80.3549,78.4398,68.3518,0.012820688429061367,0.007402027915714901,0.005733586169145242,,,
2000-01-12,3.14,3.14,3.12,3.14,24000.0,3.1317,3.116,3.112,3.0185,2.9253,2.8838,2.8588,2.8388,2.8073,2.826,2.7928,2.7343,92.7842,80.3549,78.4398,68.3518,0.0,0.007402027915714901,0.005733586169145242,,,
2000-01-13,3.2,3.2,3.1,3.12,85000.0,3.1656,3.12,3.114,3.0365,2.9377,2.8933,2.8662,2.845,2.8108,2.8279,2.7967,2.739,48.1003,71.0117,72.9494,66.3325,-0.006389798098770827,0.009782998553393072,0.007016557230046627,,,
2000-01-14,3.12,3.18,3.08,3.18,15000.0,3.112,3.136,3.12,3.0555,2.952,2.9038,2.8742,2.8527,2.8146,2.8303,2.8002,2.7439,83.6131,79.1814,77.9384,69.1601,0.019048194970694432,0.013233510133916389,0.010466572333203673,,,
2000-01-17,3.2,3.28,3.2,3.2,68000.0,3.235,3.156,3.128,3.074,2.967,2.9148,2.883,2.8605,2.8187,2.8328,2.8041,2.7489,87.7904,81.1713,79.3083,70.028,0.006269613013595299,0.012719043058529474,0.010071561219417637,0.007502172767145768,,
2000-01-18,3.2,3.24,3.18,3.18,75000.0,3.2,3.164,3.136,3.0925,2.9817,2.9253,2.8918,2.8673,2.8227,2.8351,2.8084,2.7537,63.507,73.2903,74.3373,68.0468,-0.006269613013595299,0.01265909256440233,0.010609339562287864,0.008039700236829674,,
2000-01-19,3.18,3.2,3.16,3.16,17000.0,3.18,3.168,3.142,3.11,2.996,2.9353,2.9006,2.8747,2.8267,2.8371,2.8124,2.7588,44.8842,66.0733,69.6367,66.1119,-0.006309169193264852,0.0072509713815914045,0.011336031311169751,0.008496446612893458,,
2000-01-20,3.16,3.2,3.16,3.2,81000.0,3.1941,3.184,3.152,3.124,3.0127,2.9463,2.9096,2.8828,2.8313,2.8394,2.8162,2.764,70.6787,72.2268,73.2763,67.9948,0.01257878220686015,0.010893562894138611,0.01130578307563287,0.009091404922049785,,
2000-01-21,3.2,3.22,3.18,3.18,121000.0,3.2,3.184,3.16,3.127,3.0273,2.9568,2.9176,2.8903,2.8376,2.8412,2.8197,2.7692,52.3157,65.5401,68.8335,66.0953,-0.006269613013595299,0.010893562894138611,0.008887568842737512,0.009539802258257065,,
2000-01-24,3.2,3.2,3.18,3.18,13000.0,3.1908,3.18,3.168,3.132,3.0417,2.9668,2.9254,2.8977,2.8432,2.8432,2.8234,2.7743,52.3157,65.5401,68.8335,66.0953,0.0,0.009598574647088255,0.008197345041678163,0.009539802258257065,,
2000-01-25,3.18,3.18,3.16,3.16,130000.0,3.1777,3.176,3.17,3.137,3.0557,2.977,2.9332,2.9037,2.8485,2.8448,2.8273,2.7795,33.0156,58.6662,64.3113,64.1767,-0.006309169193264852,0.003631235509227207,0.008203412670719747,0.009161471969430433,,
2000-01-26,3.16,3.18,3.14,3.16,27000.0,3.1644,3.176,3.172,3.142,3.0697,2.987,2.9414,2.911,2.8522,2.8465,2.8309,2.7845,33.0156,58.6662,64.3113,64.1767,0.0,0.0036426005320943475,0.007702912193727567,0.009161471969430433,,
2000-01-27,3.1,3.16,3.08,3.16,26000.0,3.1008,3.168,3.176,3.145,3.083,2.9973,2.9498,2.9178,2.8558,2.8486,2.8343,2.7896,33.0156,58.6662,64.3113,64.1767,0.0,0.0036426005320943475,0.003444869768509454,0.008834066570276076,,
2000-01-28,3.18,3.18,2.55,3.08,36000.0,3.1403,3.148,3.166,3.143,3.0923,3.0055,2.9562,2.9228,2.8596,2.8498,2.8369,2.7942,5.5207,36.7276,48.4191,56.8668,-0.025642430613337597,0.014804664217286758,0.011103590833924176,0.010062056948902104,,
2000-01-31,3.1,3.1,3.08,3.08,12000.0,3.0833,3.128,3.154,3.141,3.1007,3.0138,2.9626,2.9282,2.8625,2.8508,2.8394,2.7989,5.5207,36.7276,48.4191,56.8668,0.0,0.014804664217286758,0.011103590833924176,0.009591090918843737,0.009116884320011936,
2000-02-01,3.1,3.1,3.08,3.08,12000.0,3.0833,3.128,3.154,3.141,3.1007,3.0138,2.9626,2.9282,2.8625,2.8508,2.8394,2.7989,5.5207,36.7276,48.4191,56.8668,0.0,0.014804664217286758,0.011467643591948897,0.00961820505145237,0.009116884320011936,
2000-02-02,3.08,3.12,3.08,3.1,7000.0,3.0943,3.116,3.146,3.141,3.1103,3.0228,2.9694,2.9342,2.8656,2.8518,2.8419,2.8036,35.6602,43.4221,51.8677,58.1423,0.006472514505617477,0.003736907992152006,0.012509302089543768,0.010000103046606106,0.009242983485672311,
2000-02-03,3.1,3.16,3.1,3.12,73000.0,3.1082,3.108,3.142,3.142,3.1207,3.0325,2.9766,2.9408,2.8689,2.8534,2.844,2.8082,56.4833,49.4401,55.1005,59.3848,0.00643089033029054,0.0037249502689661214,0.013307211265643557,0.00916393029074095,0.009354173466342298,
2000-02-04,3.1,3.16,3.1,3.12,73000.0,3.1082,3.108,3.142,3.142,3.1207,3.0325,2.9766,2.9408,2.8689,2.8534,2.844,2.8082,56.4833,49.4401,55.1005,59.3848,0.0,0.003724950268966121,0.003533773591848599,0.009093992430723884,0.009354173466342298,
2000-02-07,3.1,3.16,3.1,3.12,73000.0,3.1082,3.108,3.142,3.142,3.1207,3.0325,2.9766,2.9408,2.8689,2.8534,2.844,2.8082,56.4833,49.4401,55.1005,59.3848,0.0,0.0037128762633222017,0.003533773591848599,0.009093992430723884,0.009354173466342298,
2000-02-08,3.18,3.32,3.1,3.18,89000.0,3.2189,3.112,3.14,3.146,3.1293,3.0445,2.985,2.948,2.8727,2.8556,2.8456,2.8124,82.2843,62.796,63.1062,62.8108,0.019048194970694432,0.010997480493906905,0.007776608837838415,0.011053592740603746,0.009880950333397245,
2000-02-09,3.2,3.32,3.2,3.28,143000.0,3.2874,3.152,3.15,3.155,3.1347,3.058,2.9954,2.9563,2.8771,2.8593,2.8481,2.8173,92.863,75.1194,72.0509,67.5326,0.030962225603966775,0.015617496982140879,0.013469643472442616,0.014618715178400977,0.01197928835420422,
