Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,3.233,3.282,3.233,3.282,74599.0,3.2601,3.2236,3.226,3.1814,3.1633,3.1537,3.1368,3.1271,3.1288,3.1629,3.1809,3.1651,69.9942,60.9626,59.5739,57.315,,,,,,
2000-01-04,3.282,3.282,3.257,3.257,91177.0,3.2777,3.2381,3.2285,3.1886,3.1673,3.1573,3.1421,3.1303,3.13,3.1621,3.1818,3.1662,55.1269,57.0597,56.8105,55.8002,-0.007646466373802507,,,,,
2000-01-05,3.257,3.257,3.209,3.233,20722.0,3.2502,3.2574,3.2333,3.1947,3.1706,3.1603,3.1469,3.1332,3.1312,3.1613,3.1823,3.1667,41.8068,53.2261,54.1075,54.3153,-0.007396027550800488,,,,,
2000-01-06,3.233,3.233,3.233,3.233,352273.0,3.2333,3.2526,3.2357,3.2019,3.1738,3.1639,3.1517,3.136,3.1334,3.1601,3.1832,3.1672,41.8068,53.2261,54.1075,54.3153,0.0,0.004344199027476354,,,,
2000-01-07,3.233,3.233,3.233,3.233,352273.0,3.2333,3.2526,3.2357,3.2019,3.1738,3.1639,3.1517,3.136,3.1334,3.1601,3.1832,3.1672,41.8068,53.2261,54.1075,54.3153,0.0,0.004270098497388551,,,,
2000-01-10,3.233,3.233,3.233,3.233,352273.0,3.2333,3.2526,3.2357,3.2019,3.1738,3.1639,3.1517,3.136,3.1334,3.1601,3.1832,3.1672,41.8068,53.2261,54.1075,54.3153,0.0,1.0081862609186659e-10,0.004120508064655036,,,
2000-01-11,3.257,3.354,3.257,3.257,366779.0,3.2865,3.2526,3.2405,3.2055,3.1778,3.1669,3.157,3.1392,3.137,3.1593,3.1841,3.1675,62.3018,56.8916,56.5074,55.5803,0.007396027550800488,0.004270098497388552,0.005229781235013558,,,
2000-01-12,3.257,3.257,3.113,3.137,250736.0,3.1966,3.2236,3.2236,3.208,3.1786,3.1669,3.159,3.1412,3.1385,3.1575,3.1844,3.1671,17.1092,39.4856,44.0919,48.6169,-0.03753959708555543,0.02409402738694633,0.01790387957970786,,,
2000-01-13,3.161,3.233,3.137,3.209,1031953.0,3.179,3.214,3.226,3.2116,3.181,3.1687,3.1604,3.144,3.1416,3.1565,3.1848,3.1674,49.8496,49.8437,51.0424,52.3243,0.022692432919178662,0.031307847304747775,0.022179749757924843,,,
2000-01-14,3.257,3.378,3.185,3.306,603009.0,3.2805,3.2285,3.2429,3.22,3.1874,3.173,3.1638,3.1476,3.1457,3.1563,3.1858,3.169,71.9824,60.0905,58.4581,56.6396,0.02977963727111277,0.03699100164991769,0.026296309115366623,,,
