Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,7.987,8.263,7.895,8.263,89306.0,8.0895,7.767,7.643,7.542,7.6048,7.5776,7.6834,7.8534,8.0438,8.3308,8.0503,7.7059,96.8374,76.3595,65.0427,54.3475,,,,,,
2000-01-04,8.355,8.446,8.033,8.079,103965.0,8.2442,7.8771,7.6935,7.5811,7.614,7.5925,7.6807,7.8511,8.0511,8.2895,8.0681,7.7252,68.1791,66.3503,59.5364,52.5559,-0.02251961522147594,,,,,
2000-01-05,7.895,8.079,7.574,7.758,42937.0,7.7996,7.923,7.7119,7.6017,7.6094,7.6029,7.6669,7.8412,8.0442,8.244,8.0817,7.7447,38.3707,52.74,51.3446,49.5962,-0.04054353347979589,,,,,
2000-01-06,7.895,7.987,7.62,7.712,25679.0,7.7851,7.9139,7.7348,7.6201,7.591,7.6155,7.6568,7.8075,8.0286,8.2057,8.0942,7.7631,35.0838,51.0568,50.2803,49.1868,-0.005947011709531047,0.01730333366313717,,,,
2000-01-07,7.895,7.987,7.62,7.712,25679.0,7.7851,7.9139,7.7348,7.6201,7.591,7.6155,7.6568,7.8075,8.0286,8.2057,8.0942,7.7631,35.0838,51.0568,50.2803,49.1868,0.0,0.021893927521503303,,,,
2000-01-10,7.895,7.987,7.62,7.712,25679.0,7.7851,7.9139,7.7348,7.6201,7.591,7.6155,7.6568,7.8075,8.0286,8.2057,8.0942,7.7631,35.0838,51.0568,50.2803,49.1868,0.0,0.003433508811371594,0.01756272812690992,,,
2000-01-11,7.987,8.263,7.804,7.895,76102.0,8.0042,7.9414,7.7716,7.6453,7.5864,7.6132,7.6513,7.7861,8.0194,8.1721,8.1056,7.7823,57.1219,57.2032,54.3561,50.865,0.023452090399360692,0.013540070705130329,0.023037966053769544,,,
2000-01-12,7.895,8.263,7.712,8.125,67889.0,8.0523,7.9139,7.8404,7.6866,7.5987,7.6235,7.655,7.7746,8.0213,8.1441,8.1199,7.8032,73.7995,63.6266,58.8924,52.8774,0.02871608050819585,0.015287922333871298,0.015674036338834577,,,
2000-01-13,8.263,8.814,8.217,8.492,348490.0,8.5284,7.9965,7.9368,7.7165,7.6155,7.6453,7.6559,7.7631,8.0208,8.1155,8.137,7.8257,86.4491,71.3633,64.9027,55.8691,0.044178815625208756,0.01077344658371237,0.019169201933767283,,,
2000-01-14,8.492,8.584,8.309,8.538,100118.0,8.4637,8.1526,8.0378,7.7716,7.6522,7.6717,7.666,7.7647,8.0259,8.0948,8.1538,7.8452,87.5739,72.195,65.5802,56.2284,0.005402244494760566,0.01952030394057669,0.017923341042769936,,,
2000-01-17,8.584,9.364,8.584,9.043,678786.0,9.0936,8.4188,8.1663,7.8519,7.7073,7.7153,7.6871,7.7807,8.0314,8.0822,8.1719,7.8657,94.7562,79.5461,71.9858,59.9403,0.0574641894225727,0.027051092815993383,0.019924333333826223,0.029870673463236904,,
2000-01-18,9.181,9.732,8.905,9.364,662775.0,9.4454,8.7126,8.327,7.9506,7.7761,7.7647,7.7165,7.7922,8.0369,8.0868,8.1934,7.8891,96.6207,82.8014,75.1545,62.0584,0.03488157187032126,0.026106996085638545,0.019368933904000806,0.028625669745937058,,
2000-01-19,9.364,9.548,8.814,9.089,260120.0,9.2376,8.9054,8.4096,8.0263,7.8312,7.806,7.744,7.8045,8.0332,8.0761,8.2133,7.9104,66.3082,71.7848,68.0494,59.2792,-0.02980765849203104,0.04529725263709795,0.034907607636906986,0.026438861619884305,,
2000-01-20,9.089,10.007,9.089,10.007,638759.0,9.4872,9.2084,8.6024,8.148,7.9215,7.8611,7.7945,7.8343,8.0406,8.0806,8.2372,7.937,86.8834,81.1764,76.1452,64.7264,0.0962199569716855,0.06302123170168811,0.04823146507390777,0.03533143817249125,,
2000-01-21,10.099,11.109,10.099,10.466,2119321.0,10.7229,9.5939,8.8733,8.2926,8.0256,7.9253,7.8569,7.868,8.0539,8.0883,8.2643,7.9666,91.0038,84.145,79.0091,67.009,0.044847059841697234,0.06337120979920227,0.04578723505619984,0.034493687662281974,,
2000-01-24,10.558,10.833,10.007,10.099,386437.0,10.3267,9.8051,9.112,8.4234,8.1174,7.9712,7.9148,7.8993,8.0621,8.0979,8.2903,7.993,66.0902,73.6864,71.6029,63.6027,-0.03569549890559598,0.06649306458621647,0.055247826746229606,0.03948985432660099,,
2000-01-25,10.099,10.466,9.364,10.191,415963.0,9.851,9.9704,9.3415,8.5565,8.2107,8.0252,7.9588,7.933,8.0713,8.1197,8.3168,8.0208,69.2473,74.5752,72.302,64.075,0.009068568802136578,0.040354731131908135,0.054958878722828945,0.03989195959485376,,
2000-01-26,10.374,10.558,9.273,9.456,425320.0,9.9899,10.0438,9.4746,8.6575,8.2826,8.0676,7.9937,7.9582,8.0759,8.1281,8.3364,8.0449,32.7064,57.19,59.6513,57.8615,-0.07485551718281425,0.041993215717192486,0.06692515838997612,0.050898808444579335,,
2000-01-27,9.456,10.007,9.364,9.64,237040.0,9.6191,9.9704,9.5894,8.7631,8.3408,8.109,8.0341,7.9781,8.0883,8.1441,8.3568,8.0699,43.8229,59.8242,61.4665,58.8924,0.019271647958711835,0.05165152183989822,0.04760042389716942,0.04992159667866572,,
2000-01-28,9.64,9.915,8.905,8.905,345371.0,9.2145,9.6582,9.6261,8.8319,8.3897,8.1457,8.0626,7.9927,8.0892,8.1552,8.3721,8.0906,22.0087,46.8514,51.4884,53.4784,-0.07930819188082916,0.055674252505588315,0.045834661679783256,0.05785106361450895,,
2000-01-31,8.722,8.859,8.263,8.446,553404.0,8.4921,9.3277,9.5664,8.8664,8.4234,8.1721,8.0855,8.0003,8.0883,8.164,8.3854,8.1064,15.0059,40.653,46.4168,50.4781,-0.05291996022987311,0.05103259070650874,0.046790626554226486,0.0570864465589076,0.04508250240176421,
2000-02-01,8.722,8.859,8.263,8.446,553404.0,8.4921,9.3277,9.5664,8.8664,8.4234,8.1721,8.0855,8.0003,8.0883,8.164,8.3854,8.1064,15.0059,40.653,46.4168,50.4781,0.0,0.04038698276219353,0.04475037789314148,0.05529204935552625,0.0447415907742463,
2000-02-02,8.446,9.181,8.446,9.135,236520.0,9.0146,9.1165,9.5435,8.9352,8.4815,8.218,8.1204,8.021,8.0947,8.1847,8.4027,8.1246,50.4671,51.4844,53.7724,54.4441,0.07842023331821801,0.06608139126065819,0.06199372971971702,0.06131719651661913,0.046625173996577965,
2000-02-03,9.181,9.273,8.951,9.135,186513.0,9.0864,9.0523,9.548,8.9788,8.5336,8.2604,8.1544,8.0447,8.1025,8.1996,8.4163,8.1431,50.4671,51.4844,53.7724,54.4441,0.0,0.04527594281618645,0.060541279427481956,0.05137144535735512,0.046549310274842645,
2000-02-04,9.181,9.273,8.951,9.135,186513.0,9.0864,9.0523,9.548,8.9788,8.5336,8.2604,8.1544,8.0447,8.1025,8.1996,8.4163,8.1431,50.4671,51.4844,53.7724,54.4441,0.0,0.04527594281618645,0.046957966307377134,0.047982737365650674,0.046549310274842645,
2000-02-07,9.181,9.273,8.951,9.135,186513.0,9.0864,9.0523,9.548,8.9788,8.5336,8.2604,8.1544,8.0447,8.1025,8.1996,8.4163,8.1431,50.4671,51.4844,53.7724,54.4441,0.0,1.6130980174698654e-09,0.03507059450218586,0.0474816379249643,0.046549310274842645,
2000-02-08,9.181,9.548,9.181,9.548,361381.0,9.3619,9.0339,9.5021,9.0523,8.5994,8.3167,8.1893,8.0791,8.1154,8.218,8.4308,8.1666,68.3141,57.3898,57.8031,56.6721,0.044218518646613525,0.025529573643788852,0.035696490332686626,0.05027182913237951,0.04712915761252318,
2000-02-09,9.548,9.823,9.273,9.548,477198.0,9.5634,9.1624,9.4103,9.1418,8.6652,8.3718,8.2223,8.1158,8.1296,8.2272,8.4435,8.1877,68.3141,57.3898,57.8031,56.6721,0.0,0.025529573643788852,0.019775122711633942,0.04416804236586553,0.046950167934510345,
2000-02-10,9.273,10.007,9.181,9.548,407334.0,9.7152,9.3828,9.3552,9.2336,8.734,8.4268,8.248,8.1549,8.1452,8.2294,8.4563,8.2081,68.3141,57.3898,57.8031,56.6721,0.0,0.025529573643788852,0.019775122711633942,0.04369862216949011,0.04619505277772019,
2000-02-11,9.548,9.823,9.548,9.823,304097.0,9.6692,9.5205,9.3185,9.33,8.8105,8.4877,8.2838,8.1855,8.1645,8.2379,8.4757,8.2281,82.5006,61.8032,60.6594,58.1815,0.02839486621614906,0.016393783653497144,0.02065795903815507,0.03455940459796779,0.04646834591577321,
2000-02-14,9.823,9.823,9.364,9.64,178300.0,9.5374,9.6215,9.3369,9.4057,8.884,8.5462,8.3215,8.2176,8.181,8.252,8.492,8.2485,56.9864,57.3483,57.8481,56.8164,-0.01880546607027833,0.02376196312562919,0.02518001661982464,0.028899242484260842,0.04522272058324224,
2000-02-15,9.823,9.915,9.364,9.548,274987.0,9.6644,9.6215,9.3277,9.4585,8.9513,8.5875,8.3527,8.2497,8.1925,8.2604,8.5104,8.2692,46.2573,55.1137,56.4397,56.1352,-0.00958940014587073,0.025018698774227084,0.017690891559719472,0.029538777928054993,0.04467275595019322,
2000-02-16,9.64,9.64,9.135,9.456,168423.0,9.2955,9.6031,9.3828,9.5044,9.0156,8.638,8.3931,8.2826,8.2044,8.2723,8.5287,8.2889,36.0705,52.7991,54.9977,55.4474,-0.009682247812841105,0.005294298870564168,0.018213094979151866,0.018801945792954623,0.04416671931942574,
2000-02-17,9.548,9.548,9.181,9.548,194518.0,9.3693,9.6031,9.493,9.5297,9.0752,8.6908,8.4362,8.3201,8.2191,8.2811,8.5478,8.3077,51.9446,54.9285,56.2028,56.005,0.009682247812841105,0.011153390564987145,0.018969465082927003,0.018853564573960188,0.03829722104637447,
2000-02-18,9.64,9.915,9.364,9.548,338613.0,9.6092,9.548,9.5343,9.5389,9.1349,8.7447,8.4812,8.3561,8.2278,8.2872,8.5698,8.3279,51.9446,54.9285,56.2028,56.005,0.0,0.00968224781284124,0.010860942744646334,0.018853564573960188,0.03666668710084449,
2000-02-21,9.456,9.64,9.273,9.548,216766.0,9.4347,9.5297,9.5756,9.5618,9.1778,8.7941,8.5235,8.3913,8.2425,8.288,8.5884,8.3481,51.9446,54.9285,56.2028,56.005,0.0,0.005590048381104707,0.008078631096055649,0.018853564573960188,0.035934356257979076,
2000-02-22,9.548,9.732,9.181,9.456,198053.0,9.4154,9.5113,9.5664,9.5343,9.2237,8.8411,8.5666,8.4188,8.2577,8.2895,8.6083,8.3669,28.2609,51.6132,54.3839,55.2397,-0.009682247812841105,0.005590048381104719,0.008100749712001072,0.013011677458549397,0.035852774733020114,
2000-02-23,9.548,9.548,9.181,9.548,252530.0,9.4317,9.5297,9.5664,9.4884,9.2833,8.8905,8.6107,8.4463,8.2733,8.293,8.6289,8.3867,57.3974,54.6898,55.9202,55.8636,0.009682247812841105,0.00968224781284124,0.008100749712001068,0.013444760514160218,0.03177957409338299,
2000-02-24,9.64,10.742,9.548,10.374,952525.0,10.325,9.6949,9.649,9.5021,9.3721,8.9628,8.6713,8.4815,8.299,8.3021,8.6552,8.4115,93.4285,72.4356,66.768,60.9339,0.08297096745262511,0.048872007012032224,0.037732071893278624,0.029481854237574323,0.036589554780504525,
