Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,266.0,286.0,262.0,284.0,1020.0,273.2746,259.2,258.2,252.8,252.0,250.65,252.76,256.4667,263.2,276.9333,296.7,290.25,89.1087,67.3597,62.883,55.1752,,,,,,
2000-01-04,282.0,314.0,270.0,296.0,1790.0,297.3184,269.2,260.6,255.8,253.7333,251.75,253.48,257.0667,263.5,276.1167,296.7667,290.83,92.6774,71.5787,66.2934,57.4743,0.041385216162853844,,,,,
2000-01-05,280.0,296.0,276.0,280.0,790.0,283.7594,274.8,262.6,258.0,254.7333,252.6,253.6,257.5667,263.76,274.9333,296.8778,291.37,55.9869,59.9544,58.5665,53.6769,-0.055569851154810834,,,,,
2000-01-06,288.0,302.0,280.0,296.0,1000.0,291.27,283.2,267.8,260.8,256.2,253.7,254.12,258.0,263.82,273.95,296.9556,292.02,72.3855,66.1405,63.1873,56.6405,0.055569851154810834,0.060489010541721906,,,,
2000-01-07,288.0,302.0,280.0,296.0,1000.0,291.27,283.2,267.8,260.8,256.2,253.7,254.12,258.0,263.82,273.95,296.9556,292.02,72.3855,66.1405,63.1873,56.6405,0.0,0.055569851154810834,,,,
2000-01-10,288.0,302.0,280.0,296.0,1000.0,291.27,283.2,267.8,260.8,256.2,253.7,254.12,258.0,263.82,273.95,296.9556,292.02,72.3855,66.1405,63.1873,56.6405,0.0,0.03208326852305747,0.043434449484863316,,,
2000-01-11,312.0,312.0,292.0,300.0,995.0,301.186,291.2,272.6,263.5,257.7333,255.05,254.8,257.6667,263.82,272.95,297.1,292.66,75.7708,67.5503,64.2604,57.3462,0.013423020332140823,0.0077497844020993235,0.039749712875080355,,,
2000-01-12,300.0,300.0,282.0,288.0,375.0,288.4266,292.0,275.6,265.5,258.8,255.9,255.4,257.4667,263.82,271.8667,296.9222,293.24,48.8321,59.2273,58.7294,54.5888,-0.04082199452025481,0.028252239875171555,0.03455394842489805,,,
2000-01-13,288.0,294.0,276.0,276.0,800.0,287.725,288.0,278.6,265.9,259.6,256.7,255.76,257.3667,263.88,270.7333,296.8111,293.75,31.8479,52.017,53.7474,52.002,-0.04255961441879652,0.03183184033036023,0.025879976173439685,,,
2000-01-14,280.0,286.0,270.0,280.0,695.0,276.1726,288.0,281.4,267.2,260.4,257.7,256.08,257.3333,263.96,269.6667,296.7111,294.13,41.944,54.1119,55.1142,52.7737,0.014388737452099676,0.03238919323026942,0.028492839385174055,,,
