Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2011-08-18,6.64,6.64,6.56,6.58,1976700.0,6.5937,6.572,6.711,7.232,7.57,7.7793,7.9172,7.914,7.5136,7.3589,6.8542,6.6169,36.2417,19.7086,20.6,31.5126,,,,,,
2011-08-19,6.48,6.5,6.4,6.48,5908600.0,6.4561,6.568,6.608,7.1465,7.5053,7.735,7.8756,7.9003,7.5103,7.3601,6.8649,6.6303,20.3071,17.3826,19.021,30.313,-0.015314234973042629,,,,,
2011-08-22,6.35,6.41,6.35,6.4,2400100.0,6.401,6.544,6.553999999999999,7.067,7.437,7.6888,7.8334,7.8825,7.506,7.3601,6.8741,6.6398,13.2934,15.7135,17.8427,29.3873,-0.012422519998557036,,,,,
2011-08-23,6.42,6.58,6.4,6.55,856000.0,6.5144,6.526,6.519,7.0095,7.382000000000001,7.6458,7.7956,7.8625,7.5028,7.3613,6.8831,6.65,56.0175,29.9097,26.9768,33.3362,0.023167059281534286,0.021431247344064788,,,,
2011-08-24,6.61,6.67,6.5,6.57,2997300.0,6.565,6.516,6.531000000000001,6.9535,7.327000000000001,7.6013,7.7554,7.8398,7.4996,7.3629,6.892,6.6605,59.9631,31.6369,28.1242,33.8465,0.003048782849358611,0.01784528141062908,,,,
2011-08-25,6.57,6.6,6.57,6.57,1254900.0,6.5719,6.513999999999999,6.542999999999999,6.898,7.2707,7.5573,7.7168,7.8185,7.4961,7.364,6.9012,6.6709,59.9631,31.6369,28.1242,33.8465,0.0,0.012588041674661592,0.015283895718753883,,,
2011-08-26,6.55,6.55,6.48,6.5,1732800.0,6.5046,6.518,6.542999999999999,6.8405,7.2133,7.5098,7.6736,7.7943,7.49,7.3627,6.9101,6.6808,35.1391,28.5234,26.4379,32.9032,-0.010711655594927816,0.007227082267714581,0.014258041131112724,,,
2011-08-29,6.5,6.55,6.49,6.54,464600.0,6.5236,6.546,6.545,6.7845,7.158,7.461,7.6352,7.7712,7.4858,7.3613,6.9193,6.6906,52.1268,32.7763,29.0556,33.9907,0.006134988567515931,0.008526303124683242,0.012295675897370831,,,
2011-08-30,6.5,6.55,6.49,6.54,464600.0,6.5236,6.546,6.545,6.7845,7.158,7.461,7.6352,7.7712,7.4858,7.3613,6.9193,6.6906,52.1268,32.7763,29.0556,33.9907,0.0,0.008526303124683242,0.006348343113721358,,,
2011-08-31,6.5,6.55,6.49,6.54,464600.0,6.5236,6.546,6.545,6.7845,7.158,7.461,7.6352,7.7712,7.4858,7.3613,6.9193,6.6906,52.1268,32.7763,29.0556,33.9907,0.0,0.0035420373009305926,0.006086634416735155,,,
2011-09-01,6.5,6.55,6.49,6.54,464600.0,6.5236,6.546,6.545,6.7845,7.158,7.461,7.6352,7.7712,7.4858,7.3613,6.9193,6.6906,52.1268,32.7763,29.0556,33.9907,0.0,0.0,0.006086634416735155,0.010972248381074204,,
2011-09-02,6.61,6.85,6.55,6.7,1620500.0,6.7231,6.5760000000000005,6.551,6.736000000000001,7.1093,7.4155,7.603,7.7482,7.4828,7.3624,6.9292,6.7013,81.3828,46.9742,38.485,38.1398,0.024170360927813217,0.013954764388083372,0.010466154863385854,0.012135537480487495,,
2011-09-05,6.67,6.72,6.67,6.7,1149100.0,6.6993,6.602,6.559,6.6885,7.0607,7.3663,7.5702,7.7223,7.4811,7.3632,6.9387,6.7122,81.3828,46.9742,38.485,38.1398,0.0,0.013954764388083372,0.010809314015059046,0.010917571724137001,,
2011-09-06,6.72,6.72,6.6,6.6,1300800.0,6.6676,6.608,6.561,6.636,7.0083,7.3178,7.5356,7.6912,7.4788,7.3643,6.9467,6.7225,43.7688,40.2499,35.1031,36.601,-0.015037877364540764,0.01978058835071116,0.014086018349812686,0.010361434033103517,,
2011-09-07,6.65,6.7,6.65,6.65,737800.0,6.6692,6.638,6.577999999999999,6.593,6.957000000000001,7.2735,7.5036,7.6593,7.4767,7.3656,6.9551,6.7331,58.2433,44.7025,38.0351,37.897,0.007547205635383136,0.011497710226005714,0.014244841255360978,0.010567422431724484,,
2011-09-08,6.68,6.68,6.63,6.67,1130300.0,6.6528,6.664,6.605,6.5795,6.912999999999999,7.229,7.472,7.6287,7.4751,7.3673,6.9622,6.7438,63.8297,46.4967,39.2181,38.4179,0.0030030052597693757,0.01194577454605683,0.01413188561618677,0.010571875163942911,,
2011-09-09,6.69,6.69,6.6,6.6,1174500.0,6.6494,6.644,6.61,6.5645,6.8763,7.189,7.4386,7.598,7.4727,7.3681,6.9686,6.7545,37.4947,41.2293,36.5855,37.2856,-0.010550210895152512,0.009415022661288614,0.009463026840418585,0.010551239635617308,,
2011-09-12,6.52,6.52,6.38,6.45,1458600.0,6.4612,6.593999999999999,6.598,6.5645,6.835,7.1448,7.4006,7.5625,7.4684,7.3676,6.9741,6.7643,16.1187,32.3851,31.6783,34.9989,-0.022989518224698635,0.013000239177745647,0.012676005326992545,0.01289679380345638,,
