Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2012-04-20,5.12,5.13,5.1,5.12,229900.0,5.1172,5.127999999999999,5.124,5.0965,5.0957,5.0733,5.053,5.0263,4.942,4.9327,4.9908,5.0134,25.1094,56.5569,58.6333,58.0655,,,,,,
2012-04-23,5.1,5.12,5.08,5.12,385400.0,5.115,5.126,5.126,5.1005,5.0987,5.0763,5.0562,5.0303,4.9472,4.9337,4.9893,5.0215,25.1094,56.5569,58.6333,58.0655,0.0,,,,,
2012-04-24,5.14,5.14,5.08,5.12,286100.0,5.1234,5.124,5.127999999999999,5.104,5.1017,5.0803,5.0602,5.0343,4.9522,4.9351,4.9879,5.0227,25.1094,56.5569,58.6333,58.0655,0.0,,,,,
2012-04-25,5.12,5.12,5.11,5.12,306500.0,5.1199,5.122000000000001,5.13,5.1075,5.103,5.083,5.0642,5.039,4.9567,4.9363,4.9865,5.0248,25.1094,56.5569,58.6333,58.0655,0.0,0.0,,,,
2012-04-26,5.08,5.13,5.08,5.13,142000.0,5.1173,5.122000000000001,5.127999999999999,5.1115,5.1037,5.0858,5.0674,5.0433,4.9611,4.9371,4.9854,5.0268,79.81,63.2713,61.6446,58.9223,0.0019512201312619215,0.0011265374680322873,,,,
2012-04-27,5.12,5.13,5.12,5.13,348700.0,5.13,5.124,5.126,5.115,5.1043,5.0883,5.0704,5.0477,4.965,4.9383,4.9842,5.0275,79.81,63.2713,61.6446,58.9223,0.0,0.0011265374680322873,0.0008726121705135438,,,
2012-04-30,5.13,5.13,5.12,5.13,489800.0,5.1249,5.126,5.126,5.1185,5.104,5.0913,5.073,5.052,4.9663,4.9392,4.9829,5.0277,79.81,63.2713,61.6446,58.9223,0.0,0.0011265374680322873,0.0008726121705135438,,,
2012-05-01,5.13,5.13,5.12,5.13,489800.0,5.1249,5.126,5.126,5.1185,5.104,5.0913,5.073,5.052,4.9663,4.9392,4.9829,5.0277,79.81,63.2713,61.6446,58.9223,0.0,1.4551915228366852e-11,0.0008726121705135438,,,
2012-05-02,5.12,5.13,5.12,5.13,163400.0,5.1284,5.127999999999999,5.126,5.121,5.1037,5.0943,5.0756,5.0557,4.9695,4.9404,4.9816,5.0276,79.81,63.2713,61.6446,58.9223,0.0,1.4551915228366852e-11,0.0008726121705135438,,,
2012-05-03,5.04,5.14,5.04,5.13,293400.0,5.1215,5.13,5.126,5.1225,5.1033,5.097,5.0782,5.0588,4.9726,4.9417,4.9801,5.0252,79.81,63.2713,61.6446,58.9223,0.0,1.4551915228366852e-11,0.0,,,
2012-05-04,5.14,5.17,5.14,5.17,1216500.0,5.1674,5.138,5.13,5.126,5.107,5.1013,5.081,5.0628,4.9765,4.9435,4.9787,5.0233,99.1292,82.6264,73.023,62.5487,0.007767029337659492,0.0044842964789014285,0.0034735211164483586,0.002465079837757929,,
2012-05-07,5.17,5.18,5.17,5.18,244900.0,5.1751,5.148,5.136,5.13,5.1097,5.1058,5.0858,5.0668,4.981,4.9453,4.9778,5.0213,99.3592,84.869,75.0182,63.3847,0.0019323677510538761,0.004043597113288848,0.003363224980597789,0.002456156928061478,,
2012-05-08,5.2,5.4,5.2,5.31,693000.0,5.285,5.184,5.155,5.1405,5.1187,5.1128,5.092,5.0727,4.9866,4.9488,4.9781,5.0198,99.8958,94.7604,87.7268,71.8385,0.024786778982455848,0.011874617653744965,0.01049506948738495,0.007813692241343175,,
2012-05-09,5.31,5.31,5.2,5.2,175300.0,5.2010000000000005,5.198,5.162999999999999,5.1455,5.1237,5.117,5.0968,5.0773,4.9910000000000005,4.9513,4.9773,5.0186,48.4265,58.4116,59.9407,59.7609,-0.020933209666465835,0.022859994551720508,0.016430976001513928,0.011037379666434274,,
2012-05-10,5.15,5.23,5.06,5.2,110700.0,5.1665,5.212000000000001,5.171,5.1505,5.1287,5.12,5.1006,5.082,4.9964,4.9539,4.9759,5.0174,48.4265,58.4116,59.9407,59.7609,0.0,0.0228870452487969,0.016430976001513928,0.011046750046386231,,
2012-05-11,5.1,5.2,5.1,5.2,206200.0,5.174,5.218,5.178,5.153,5.1337,5.1223,5.1042,5.0858,5.0019,4.9567,4.9746,5.016,48.4265,58.4116,59.9407,59.7609,0.0,0.012085794235936923,0.01619893754881696,0.011046750046386231,,
2012-05-14,5.18,5.21,5.18,5.21,124900.0,5.1968,5.224,5.186,5.156000000000001,5.1387,5.1248,5.1078,5.0897,5.0074,4.9597,4.9733,5.015,55.4665,60.3788,61.3313,60.4305,0.0019212301778939178,0.0011092227603822617,0.01619880507030435,0.01103726273700682,,
2012-05-15,5.2,5.2,5.18,5.2,391100.0,5.1904,5.202000000000001,5.193,5.1595,5.1433,5.1263,5.1116,5.093,5.0124,4.9631,4.9719,5.0145,46.0397,57.3281,59.1211,59.4079,-0.0019212301778939178,0.0019212301778939037,0.009459673149018888,0.011083814175428704,,
2012-05-16,5.2,5.2,5.16,5.18,580400.0,5.1805,5.198,5.198,5.162000000000001,5.1467,5.1273,5.115,5.096,5.0162,4.9667,4.9703,5.0131,30.4925,51.4761,54.8627,57.3985,-0.003853569315990013,0.0029395789189661423,0.002194438878814614,0.011202523951722743,,
2012-05-17,5.15,5.2,5.14,5.2,310700.0,5.1725,5.198,5.205,5.1655,5.15,5.1288,5.1186,5.0993,5.0194,4.9708,4.9689,5.0112,53.8627,56.4745,58.1119,58.8387,0.003853569315990013,0.004010033865853227,0.003044759585713634,0.011231693367061245,,
2012-05-18,5.14,5.17,5.14,5.15,747000.0,5.1521,5.188,5.202999999999999,5.1665,5.1517,5.131,5.1216,5.1013,5.0227,4.9751,4.9673,5.0098,23.8242,43.7884,48.6778,54.1078,-0.009661910911736848,0.006779933920173525,0.005285930895127459,0.01147582082889301,0.008108409819133527,
2012-05-21,5.15,5.15,5.1,5.13,171400.0,5.1325,5.172000000000001,5.198,5.167000000000001,5.1527,5.1318,5.1242,5.1045,5.026,4.9795,4.9658,5.0085,17.851,39.7683,45.4961,52.3656,-0.003891055492966533,0.006781717966733938,0.00484752002788646,0.011492755824294732,0.008162289556175512,
2012-05-22,5.15,5.15,5.05,5.15,1605000.0,5.1482,5.162000000000001,5.182,5.1685,5.1543,5.1345,5.1266,5.107,5.0294,4.9841,4.9646,5.0073,40.3021,45.4068,49.0803,53.9011,0.003891055492966533,0.006801310192758807,0.005802211574435247,0.007493022817742978,0.008206096936854774,
2012-05-23,5.15,5.16,5.15,5.15,87000.0,5.15,5.156000000000001,5.1770000000000005,5.17,5.156000000000001,5.1370000000000005,5.129,5.1102,5.0328,4.9885,4.9635,5.0061,40.3021,45.4068,49.0803,53.9011,0.0,0.003891055492966527,0.005738810378022456,0.004101221222697992,0.008206096936854774,
2012-05-24,5.13,5.15,5.13,5.15,1252000.0,5.1499,5.146,5.172000000000001,5.1715,5.1577,5.1395,5.1304,5.1125,5.0361,4.9925,4.9623,5.005,40.3021,45.4068,49.0803,53.9011,0.0,0.0022465019362959892,0.005122563900815731,0.004101221222697992,0.008196927683058268,
2012-05-25,5.2,5.2,5.15,5.16,592700.0,5.1599,5.148,5.167999999999999,5.172999999999999,5.158,5.1423,5.1314,5.1148,5.0392,4.9964,4.9612,5.0042,59.1443,48.8178,51.089,54.7093,0.0019398648178265976,0.0011199814747636493,0.002884921407414914,0.004196764200984739,0.008205976496479868,
2012-05-28,5.1,5.16,5.1,5.14,557600.0,5.1569,5.15,5.1610000000000005,5.1735,5.1577,5.1443,5.132000000000001,5.1167,5.0417,4.9997,4.9602,5.0032,30.379,42.8008,47.0882,52.7944,-0.0038835000263977015,0.0029652494576179024,0.002882120385367457,0.0041842501886647935,0.008259013853153951,
2012-05-29,5.12,5.14,5.1,5.1,59100.0,5.134,5.14,5.151,5.172000000000001,5.1567,5.1453,5.1312,5.1182,5.0439,5.0006,4.9588,5.0019,12.3539,33.5083,40.2923,49.2294,-0.007812539736793633,0.004906769571245301,0.0039001229209006854,0.004660798219444392,0.008446488852656085,
2012-05-30,5.16,5.2,5.13,5.13,618800.0,5.1758,5.136,5.146,5.172000000000001,5.1567,5.1465,5.131,5.1202,5.0464,5.0032,4.9572,5.0006,47.4389,43.8029,46.5257,51.7569,0.005865119452398204,0.007042150425401685,0.005273802914559922,0.00519995048636755,0.008558282883368086,
2012-05-31,5.21,5.21,5.17,5.2,127200.0,5.1846,5.146,5.146,5.1755,5.159,5.149,5.1322,5.1232,5.0494,5.0064,4.9561,4.9996,78.1092,60.0424,57.6387,56.9322,0.013552966404703382,0.010821785160345916,0.008356022456439764,0.0068442684685671275,0.009079006048577237,
2012-06-01,5.2,5.22,5.2,5.22,390200.0,5.2155,5.158,5.153,5.178,5.162000000000001,5.152,5.1354,5.1268,5.0527,5.0101,4.9551,4.9987,82.4885,63.4384,60.1846,58.2557,0.00383877630716567,0.005124687739355419,0.008399487406540677,0.00600696746712842,0.008959266047588293,
2012-06-04,5.2,5.2,5.05,5.14,36300.0,5.1518,5.158,5.154,5.176,5.1627,5.153,5.1362,5.1292,5.0549,5.0135,4.9538,4.9976,37.4896,45.8882,47.8074,51.6833,-0.015444322427473622,0.014759438481175608,0.011536697972959151,0.007930162648721015,0.00962868702421216,
2012-06-05,5.14,5.2,5.14,5.2,84000.0,5.1614,5.178,5.159,5.1705,5.1653,5.1555,5.1394,5.132000000000001,5.0577,5.0172,4.9529,4.9973,61.2629,56.1287,55.242,55.5722,0.011605546120307952,0.013927526692324377,0.011517618161082405,0.008670381876426285,0.008152880164933657,
2012-06-06,5.16,5.17,5.16,5.17,43100.0,5.1647,5.186,5.1610000000000005,5.169,5.167000000000001,5.1573,5.1418,5.1343,5.0603,5.0207,4.9519,4.9965,47.6668,50.7286,51.3067,53.3511,-0.005785937067043889,0.013707926439830154,0.012176274232038454,0.008931154582654937,0.006799510645917641,
2012-06-07,5.18,5.23,5.18,5.22,235800.0,5.2034,5.19,5.167999999999999,5.17,5.1703,5.1603,5.1452,5.1367,5.0633,5.0253,4.9514,4.9953,66.3414,58.2585,56.8269,56.3584,0.00962471337420956,0.009520815203598747,0.011303947696524052,0.009391487096392748,0.007152495722698015,
