Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2006-06-05,16.397000000000002,16.397000000000002,16.342,16.342,109.0,16.3698,16.2539,16.2759,16.2704,16.1066,16.0344,16.0761,16.2566,16.7436,15.8237,13.5467,12.6361,81.6484,55.4649,53.2716,51.96,,,,,,
2006-06-06,16.397000000000002,16.397000000000002,16.342,16.342,109.0,16.3698,16.2539,16.2759,16.2704,16.1066,16.0344,16.0761,16.2566,16.7436,15.8237,13.5467,12.6361,81.6484,55.4649,53.2716,51.96,0.0,,,,,
2006-06-07,16.397000000000002,16.397000000000002,16.342,16.342,109.0,16.3698,16.2539,16.2759,16.2704,16.1066,16.0344,16.0761,16.2566,16.7436,15.8237,13.5467,12.6361,81.6484,55.4649,53.2716,51.96,0.0,,,,,
2006-06-08,16.177,16.177,16.066,16.066,18837.0,16.0704,16.2207,16.2483,16.2732,16.1269,16.0261,16.0673,16.2244,16.7601,15.8775,13.6099,12.6999,22.6837,43.4362,46.8903,49.5733,-0.01703324321089461,0.009834147552982368,,,,
2006-06-09,16.011,16.011,16.011,16.011,1992.0,16.0109,16.1766,16.2097,16.2759,16.149,16.0165,16.0595,16.1895,16.775,15.9295,13.6725,12.7592,18.6443,41.4153,45.711000000000006,49.1066,-0.0034292517317036086,0.009008881968061492,,,,
2006-06-12,16.011,16.011,16.011,16.011,1992.0,16.0109,16.1766,16.2097,16.2759,16.149,16.0165,16.0595,16.1895,16.775,15.9295,13.6725,12.7592,18.6443,41.4153,45.711000000000006,49.1066,0.0,0.009008881968061492,0.007384923863278957,,,
2006-06-13,15.183,16.232,15.183,16.232,906.0,15.4478,16.1766,16.2097,16.2594,16.1674,16.0289,16.0684,16.1582,16.78,15.982,13.7344,12.8197,60.6681,51.5575,51.0179,51.0148,0.013708616503596449,0.009068190388500673,0.010962371246333908,,,
2006-06-14,16.121,16.121,16.121,16.121,8151.0,16.1214,16.1545,16.1987,16.2373,16.1674,16.0344,16.0662,16.1324,16.7784,16.0326,13.7956,12.8782,43.7277,46.9823,48.4668,50.0443,-0.00686183262965212,0.010473413093985506,0.011178377986316957,,,
2006-06-15,16.121,16.121,16.121,16.121,8151.0,16.1214,16.1545,16.1987,16.2373,16.1674,16.0344,16.0662,16.1324,16.7784,16.0326,13.7956,12.8782,43.7277,46.9823,48.4668,50.0443,0.0,0.010473413093985506,0.007817204994925903,,,
2006-06-16,15.956,15.956,15.348,15.79,5162.0,15.5774,16.0441,16.149,16.2373,16.16,16.0303,16.0573,16.1195,16.7706,16.0823,13.8542,12.9352,19.3782,36.1544,41.7259,47.2543,-0.020745941626310938,0.010569195204545785,0.012517664420702667,,,
2006-06-19,15.79,16.011,15.79,15.956,9419.0,15.797,16.022000000000002,16.1214,16.2069,16.16,16.033,16.0529,16.102,16.7635,16.1347,13.9126,12.9926,43.1293,43.4814,45.786,48.7326,0.01045810577560946,0.0158821631851449,0.013896121906082496,0.01064336084162052,,
2006-06-20,15.956,16.011,15.845,15.845,12099.0,15.9517,15.9889,16.0827,16.1766,16.1582,16.0427,16.0463,16.0882,16.7508,16.1858,13.9679,13.0499,33.3148,40.0355,43.6048,47.8085,-0.0069809409002759,0.015638031462925826,0.011392180338400275,0.010697956724129362,,
2006-06-21,15.956,15.956,15.956,15.956,18.0,15.9557,15.9336,16.0551,16.1572,16.1637,16.0551,16.0452,16.079,16.7347,16.2373,14.0212,13.1074,50.2846,44.9441,46.3569,48.8127,0.0069809409002759,0.009229889561875789,0.012410330664251363,0.011140502889859741,,
2006-06-22,15.901,15.901,15.79,15.79,1087.0,15.8361,15.8674,16.0109,16.1462,16.1582,16.0634,16.0319,16.0671,16.7215,16.2884,14.0737,13.1644,31.976,39.4892,42.9696,47.3976,-0.01045810577560946,0.009229889561875785,0.01285035310510768,0.010345951553309949,,
2006-06-23,15.459,15.956,15.459,15.956,634.0,15.8138,15.9005,15.9723,16.1241,16.171,16.0731,16.022000000000002,16.0588,16.7154,16.3413,14.1274,13.2201,56.0043,46.7588,47.13,48.9292,0.01045810577560946,0.01120787617547965,0.010046250614844205,0.01100405947578468,,
2006-06-26,15.901,15.956,15.901,15.956,1992.0,15.9156,15.9005,15.9613,16.1048,16.1692,16.0855,16.0131,16.0496,16.7071,16.3942,14.1804,13.2753,56.0043,46.7588,47.13,48.9292,0.0,0.010458105775609464,0.008891161686387802,0.01100405947578468,,
2006-06-27,15.901,15.956,15.901,15.956,1992.0,15.9156,15.9005,15.9613,16.1048,16.1692,16.0855,16.0131,16.0496,16.7071,16.3942,14.1804,13.2753,56.0043,46.7588,47.13,48.9292,0.0,0.0060379901847617086,0.008026997905664789,0.009852527758278605,,
2006-06-28,15.459,15.956,15.459,15.956,199.0,15.9106,15.9226,15.9557,16.0827,16.1692,16.1007,16.0043,16.0422,16.6989,16.4443,14.2335,13.3316,56.0043,46.7588,47.13,48.9292,0.0,2.3283064365386963e-10,0.007394997512299645,0.00969188170160413,,
2006-06-29,15.956,16.066,15.845,16.011,4727.0,16.0014,15.9336,15.9336,16.0717,16.1508,16.1089,16.0098,16.0459,16.6735,16.4894,14.2872,13.3887,68.5157,49.6308,48.6884,49.4721,0.003441051976757148,0.0019866922850762486,0.004543553066586366,0.009793025231568256,,
2006-06-30,15.956,16.011,15.956,15.956,5108.0,15.9718,15.9668,15.9171,16.0579,16.1306,16.1048,16.0109,16.0413,16.6575,16.5304,14.3341,13.4463,48.0284,46.7912,47.1904,48.934,-0.003441051976757148,0.0034410519767571557,0.002433191187180345,0.006978757297207184,,
2006-07-03,15.956,16.011,15.956,15.956,5108.0,15.9718,15.9668,15.9171,16.0579,16.1306,16.1048,16.0109,16.0413,16.6575,16.5304,14.3341,13.4463,48.0284,46.7912,47.1904,48.934,0.0,0.0034410519767571557,0.002433191187180345,0.00614539305268092,0.008547058126563386,
2006-07-04,16.011,16.066,15.901,15.901,17642.0,16.0314,15.9557,15.9281,16.0385,16.1342,16.102,16.0098,16.0358,16.6376,16.5584,14.3764,13.503,33.1567,43.9616,45.677,48.3895,-0.003452933712900119,0.001990131114109507,0.0028818344155257325,0.00579115449868322,0.00855651406861289,
2006-07-05,15.901,15.901,15.901,15.901,2373.0,15.9005,15.9447,15.9226,16.022000000000002,16.1122,16.1007,16.0109,16.0312,16.61,16.5782,14.4181,13.56,33.1567,43.9616,45.677,48.3895,0.0,0.001993552208636829,0.0028818344155257325,0.005303626708251151,0.00855651406861289,
2006-07-06,15.901,15.901,15.901,15.901,2373.0,15.9005,15.9447,15.9226,16.022000000000002,16.1122,16.1007,16.0109,16.0312,16.61,16.5782,14.4181,13.56,33.1567,43.9616,45.677,48.3895,0.0,0.001993552208636829,0.0018880004101288284,0.003945027270574528,0.007722229508052873,
2006-07-07,16.066,16.563,15.735,16.563,8404.0,15.9388,16.0662,15.9944,16.0385,16.1158,16.1172,16.033,16.0376,16.5879,16.5948,14.4605,13.621,92.8589,70.7895,62.4408,54.8421,0.04078929163975742,0.023549708508268097,0.018687484709360876,0.01316548677746358,0.011993230900518632,
2006-07-10,16.287,16.287,16.177,16.177,960.0,16.2245,16.0993,16.0165,16.0358,16.1103,16.1269,16.0474,16.0404,16.5586,16.6021,14.4997,13.679,52.1234,53.8662,52.3016,50.9947,-0.023580811622460285,0.03256616644933745,0.023419547015507913,0.015763896558885125,0.013260733461128368,
2006-07-11,16.232,16.232,15.79,16.177,12081.0,15.9935,16.1434,16.0551,16.033,16.1158,16.1324,16.0617,16.0358,16.5305,16.6118,14.5374,13.7368,52.1234,53.8662,52.3016,50.9947,0.0,0.03256616644933745,0.023241098469876587,0.015763896558885125,0.012892084998508326,
2006-07-12,16.177,16.287,16.066,16.287,725.0,16.1628,16.2207,16.0882,16.0303,16.1122,16.1503,16.0761,16.033,16.5045,16.6247,14.5749,13.7951,62.655,57.537,54.737,52.0238,0.006776763243866668,0.01593508471163564,0.023187750701885272,0.01584365405528228,0.0128801756501443,
2006-07-13,16.563,16.563,16.563,16.563,91.0,16.563,16.3532,16.149,16.0551,16.1195,16.1641,16.0982,16.0358,16.4869,16.6426,14.6132,13.8544,79.5359,65.30199999999999,60.2073,54.4952,0.016804048378593617,0.008454259371727484,0.023533849497723712,0.016522698073350883,0.013383261240985312,
