Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,16.4,17.1,16.4,17.0,123000.0,16.9846,16.34,16.12,15.815,15.46,15.1225,14.89,14.77,14.458,14.465,14.85,14.7655,97.8463,84.4077,82.06,73.1695,,,,,,
2000-01-04,17.0,17.0,16.9,17.0,118000.0,16.9958,16.54,16.24,15.92,15.54,15.2075,14.948,14.8067,14.489,14.4817,14.8617,14.778,97.8463,84.4077,82.06,73.1695,0.0,,,,,
2000-01-05,16.8,16.9,16.6,16.9,41000.0,16.7829,16.7,16.33,16.015,15.6133,15.285,15.002,14.8483,14.517,14.4975,14.8728,14.791,77.6144,78.6236,78.397,71.548,-0.005899722127188589,,,,,
2000-01-06,16.9,16.9,16.7,16.8,171000.0,16.7778,16.82,16.43,16.095,15.68,15.3625,15.058,14.89,14.54,14.5125,14.8822,14.8035,59.2404,72.9961,74.8011,69.9445,-0.0059347355198142715,0.003416358509823166,,,,
2000-01-07,16.9,16.9,16.7,16.8,171000.0,16.7778,16.82,16.43,16.095,15.68,15.3625,15.058,14.89,14.54,14.5125,14.8822,14.8035,59.2404,72.9961,74.8011,69.9445,0.0,0.0034163585098231654,,,,
2000-01-10,16.9,16.9,16.7,16.8,171000.0,16.7778,16.82,16.43,16.095,15.68,15.3625,15.058,14.89,14.54,14.5125,14.8822,14.8035,59.2404,72.9961,74.8011,69.9445,0.0,0.003426421149934002,0.0032410233456596285,,,
2000-01-11,16.9,17.1,16.9,16.9,94000.0,16.9564,16.92,16.53,16.175,15.75,15.4425,15.114,14.935,14.565,14.5283,14.8911,14.8195,69.9214,75.0085,75.9873,70.6255,0.0059347355198142715,0.003426421149934001,0.004957003841100016,,,
2000-01-12,16.9,17.0,16.9,16.9,272000.0,16.9184,16.9,16.62,16.255,15.8233,15.52,15.168,14.9833,14.594,14.545,14.9,14.8375,69.9214,75.0085,75.9873,70.6255,0.0,0.0034264211499340004,0.004196491730609341,,,
2000-01-13,16.9,17.0,16.9,16.9,359000.0,16.9939,16.88,16.71,16.315,15.9,15.585,15.226,15.0317,14.624,14.5625,14.9106,14.8555,69.9214,75.0085,75.9873,70.6255,0.0,0.0034264211499340004,0.002654094410157452,,,
2000-01-14,16.9,17.3,16.9,17.3,276000.0,17.1649,16.96,16.83,16.375,15.9867,15.6575,15.292,15.0867,14.659,14.5842,14.9228,14.873,93.3713,82.4549,80.559,73.3042,0.023392879574705816,0.0135058853195769,0.01012948788266674,,,
