Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.182,2.182,2.182,2.182,6600.0,2.1818,2.1218,2.0664,2.0241,2.0015,1.9816,1.9684,1.9729,2.0093,2.0246,2.0362,2.0496,98.6049,87.4726,67.2421,83.9838,,,,,,
2000-01-04,2.136,2.136,2.136,2.136,4400.0,2.1364,2.1382,2.0773,2.0295,2.0076,1.9889,1.972,1.9752,2.0097,2.0243,2.0356,2.0494,54.4895,69.3055,62.5589,70.9942,-0.02130696631293061,,,,,
2000-01-05,2.136,2.136,2.1,2.127,22000.0,2.1255,2.1436,2.09,2.0382,2.0133,1.9957,1.9756,1.9773,2.0102,2.0245,2.0351,2.0497,48.0414,66.2115,61.6703,68.7054,-0.004222384879848384,,,,,
2000-01-06,2.136,2.136,2.1,2.1,22000.0,2.1064,2.14,2.1,2.0455,2.0182,1.9998,1.9791,1.9788,2.0093,2.0245,2.0346,2.0497,31.3482,57.5416,59.0664,62.2243,-0.012775191488722748,0.008542292874119629,,,,
2000-01-07,2.136,2.136,2.1,2.1,22000.0,2.1064,2.14,2.1,2.0455,2.0182,1.9998,1.9791,1.9788,2.0093,2.0245,2.0346,2.0497,31.3482,57.5416,59.0664,62.2243,0.0,0.00650877039764951,,,,
2000-01-10,2.136,2.136,2.1,2.1,22000.0,2.1064,2.14,2.1,2.0455,2.0182,1.9998,1.9791,1.9788,2.0093,2.0245,2.0346,2.0497,31.3482,57.5416,59.0664,62.2243,0.0,0.007375760244963094,0.009240850435696767,,,
2000-01-11,2.127,2.136,2.127,2.136,4400.0,2.1318,2.1364,2.1127,2.0541,2.0242,2.0043,1.9835,1.9811,2.0088,2.0245,2.0345,2.0499,59.4963,64.5119,61.3191,66.7306,0.016997576368571132,0.009813555291965766,0.010839184171935107,,,
2000-01-12,2.182,2.182,2.182,2.182,2200.0,2.1818,2.1364,2.1291,2.065,2.0318,2.0089,1.9882,1.9833,2.0088,2.0254,2.0351,2.0503,77.1007,71.1681,63.8889,71.334,0.02130696631293061,0.011265546721148769,0.013926237637768972,,,
2000-01-13,2.182,2.209,2.173,2.209,33000.0,2.1879,2.1509,2.1445,2.0768,2.0403,2.0152,1.9936,1.9865,2.0086,2.0264,2.0357,2.0508,83.5396,74.4082,65.319,73.6866,0.012298037027101083,0.004505872438489744,0.009772690468246402,,,
2000-01-14,1.773,2.173,1.773,2.173,70400.0,2.1207,2.16,2.1518,2.0868,2.0476,2.0218,1.9989,1.9902,2.0082,2.0271,2.0362,2.051,53.47,63.6748,61.9358,65.9186,-0.016431223163687503,0.019709143998663144,0.015252826816828678,,,
