Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,4.323,4.479,4.323,4.427,503040.0,4.4212,4.4063,4.4557,4.388,4.3576,4.3346,4.3156,4.2856,4.2453,4.3082,4.4185,4.2965,58.5487,53.6654,53.3394,56.3623,,,,,,
2000-01-04,4.427,4.479,4.349,4.349,228480.0,4.3883,4.3854,4.4349,4.3919,4.3602,4.3385,4.3188,4.2895,4.2526,4.3001,4.4229,4.3039,36.6387,45.3083,47.6374,53.7304,-0.01777622013450242,,,,,
2000-01-05,4.271,4.375,4.271,4.271,981120.0,4.3076,4.349,4.4063,4.3945,4.3585,4.3398,4.3167,4.2921,4.2573,4.2919,4.4272,4.3107,23.4663,38.554,42.7194,51.2545,-0.018097941756171965,,,,,
2000-01-06,4.297,4.297,4.271,4.271,422400.0,4.2733,4.3281,4.3776,4.3958,4.3533,4.3385,4.3182,4.2938,4.2576,4.2836,4.4308,4.3177,23.4663,38.554,42.7194,51.2545,0.0,0.01035722777325036,,,,
2000-01-07,4.297,4.297,4.271,4.271,422400.0,4.2733,4.3281,4.3776,4.3958,4.3533,4.3385,4.3182,4.2938,4.2576,4.2836,4.4308,4.3177,23.4663,38.554,42.7194,51.2545,0.0,0.010448851544704053,,,,
2000-01-10,4.297,4.297,4.271,4.271,422400.0,4.2733,4.3281,4.3776,4.3958,4.3533,4.3385,4.3182,4.2938,4.2576,4.2836,4.4308,4.3177,23.4663,38.554,42.7194,51.2545,0.0,2.6031257322754127e-10,0.009825202285556505,,,
2000-01-11,4.427,4.427,4.297,4.427,167040.0,4.3277,4.349,4.3776,4.3971,4.3542,4.3411,4.3224,4.2977,4.2534,4.2771,4.4352,4.325,70.7646,55.3881,53.786,55.6305,0.03587416189067438,0.020711957024533073,0.019693223369436307,,,
2000-01-12,4.375,4.401,4.349,4.375,2490240.0,4.3775,4.3385,4.3724,4.4023,4.3568,4.3418,4.324,4.3016,4.2513,4.2719,4.4379,4.3319,54.0599,50.2278,50.2976,53.9601,-0.011815633940426062,0.02483573139378192,0.018102500817192956,,,
2000-01-13,4.427,4.427,4.349,4.349,1342080.0,4.3939,4.3385,4.362,4.4036,4.3576,4.3438,4.3245,4.3051,4.2508,4.2667,4.4405,4.3383,45.9285,47.7267,48.6004,53.1349,-0.005960586194076356,0.026008794531333167,0.018685463503667215,,,
2000-01-14,4.427,4.427,4.349,4.349,1290240.0,4.3773,4.3542,4.3516,4.4036,4.362,4.3464,4.3255,4.3099,4.2492,4.2615,4.4431,4.3444,45.9285,47.7267,48.6004,53.1349,0.0,0.005907895526372556,0.018685463503667215,,,
2000-01-17,4.479,4.661,4.427,4.427,1127040.0,4.5544,4.3854,4.3568,4.4076,4.3681,4.3509,4.3323,4.3164,4.2497,4.2567,4.4457,4.3508,73.1695,56.0385,54.0009,55.3282,0.01777622013450242,0.01234880942120711,0.019498052393432164,0.016403308558200644,,
2000-01-18,4.427,4.583,4.375,4.583,443520.0,4.5151,4.4167,4.3828,4.418,4.3793,4.3594,4.3401,4.3229,4.2508,4.2539,4.4479,4.3579,89.3165,67.6221,62.4896,59.2719,0.03463165177698313,0.01731786593341709,0.01904345582676124,0.0183494340924022,,
2000-01-19,4.531,4.635,4.531,4.531,812160.0,4.5639,4.4479,4.3932,4.4245,4.3898,4.3665,4.3464,4.3286,4.2503,4.2513,4.4485,4.3651,68.6571,61.5412,58.6072,57.5209,-0.011411139841985829,0.023295014553616572,0.01894453551675317,0.017506934044223377,,
2000-01-20,4.583,4.609,4.531,4.583,316800.0,4.5718,4.4948,4.4167,4.4258,4.4002,4.3743,4.3542,4.3351,4.251,4.2491,4.4495,4.372,76.7306,65.0745,61.203,58.7806,0.011411139841985829,0.023021682839461648,0.01751040065504703,0.01745075560450942,,
2000-01-21,4.583,4.609,4.531,4.583,334080.0,4.5886,4.5417,4.4479,4.4271,4.4123,4.3809,4.3615,4.3385,4.251,4.2476,4.4505,4.3789,76.7306,65.0745,61.203,58.7806,0.0,0.011411139841985843,0.01751040065504703,0.01745075560450942,,
2000-01-24,4.635,4.661,4.557,4.557,130560.0,4.6063,4.5677,4.4766,4.4271,4.4227,4.3841,4.3661,4.3446,4.2534,4.2463,4.4512,4.3857,59.491,61.4991,59.0554,57.8625,-0.005689293245241478,0.008708300464637622,0.018197634213980303,0.017795494880172152,,
2000-01-25,4.531,4.557,4.479,4.531,190080.0,4.5081,4.5573,4.487,4.4323,4.4271,4.3874,4.3703,4.3498,4.2552,4.2452,4.4536,4.3919,44.4954,57.919,56.905,56.9423,-0.005721846596744351,0.003294152542200629,0.008652932863992805,0.014765198173426714,,
2000-01-26,4.531,4.531,4.505,4.505,764160.0,4.5079,4.5521,4.5,4.4362,4.4349,4.3926,4.3734,4.3533,4.2568,4.2478,4.4552,4.3974,32.2875,54.3591,54.7577,56.0208,-0.0057547746246999765,3.274086838819112e-05,0.007446738268954643,0.014235274132676666,,
2000-01-27,4.583,4.583,4.453,4.453,228480.0,4.4938,4.526,4.5104,4.4362,4.4392,4.3958,4.3771,4.3555,4.2576,4.2513,4.4566,4.4025,17.7104,47.7548,50.6419,54.2058,-0.011609864720735663,0.0033899833263152505,0.004105023823111476,0.014730693305435583,,
2000-01-28,4.479,4.583,4.453,4.583,458880.0,4.5143,4.526,4.5339,4.4427,4.447,4.4049,4.3839,4.3602,4.2607,4.258,4.4583,4.4081,69.4437,61.0604,58.9492,57.7462,0.02877577918742147,0.021823693013484913,0.016286953703540892,0.016872642129907252,,
2000-01-31,4.531,4.557,4.427,4.453,264960.0,4.4748,4.5052,4.5365,4.4466,4.4505,4.4102,4.388,4.3663,4.2625,4.2652,4.4593,4.413,35.7403,47.4621,49.9039,53.4699,-0.02877577918742147,0.029546152385510924,0.02091733543825749,0.01927997036944124,0.017424705183804998,
2000-02-01,4.531,4.557,4.427,4.453,264960.0,4.4748,4.5052,4.5365,4.4466,4.4505,4.4102,4.388,4.3663,4.2625,4.2652,4.4593,4.413,35.7403,47.4621,49.9039,53.4699,0.0,0.028775779187421472,0.020998161738482853,0.015153762238433522,0.016899989775301993,
