Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,0.607,0.625,0.607,0.618,10260300.0,0.6185,0.6012,0.5957,0.5897,0.5889,0.5844,0.5812,0.5841,0.5806,0.5656,0.5486,0.5344,94.8672,77.7783,73.2968,60.4767,,,,,,
2000-01-04,0.622,0.625,0.603,0.614,9035190.0,0.6139,0.6063,0.5983,0.5915,0.5898,0.5856,0.5818,0.5845,0.5821,0.5664,0.5495,0.5357,76.2947,71.7624,69.4635,59.0499,-0.006493529310548307,,,,,
2000-01-05,0.603,0.618,0.581,0.611,5337981.0,0.6076,0.6092,0.6004,0.5933,0.5903,0.5869,0.5826,0.5846,0.5833,0.5671,0.5503,0.537,58.9758,66.0178,65.7599,57.6431,-0.004897968975547173,,,,,
2000-01-06,0.596,0.633,0.596,0.622,12092496.0,0.6212,0.6143,0.6034,0.5951,0.5913,0.5885,0.5836,0.5848,0.5842,0.5679,0.5513,0.5383,79.7061,73.2459,70.7913,60.5593,0.017843133567584157,0.013613576052992798,,,,
2000-01-07,0.596,0.633,0.596,0.622,12092496.0,0.6212,0.6143,0.6034,0.5951,0.5913,0.5885,0.5836,0.5848,0.5842,0.5679,0.5513,0.5383,79.7061,73.2459,70.7913,60.5593,0.0,0.011968885080861998,,,,
2000-01-10,0.596,0.633,0.596,0.622,12092496.0,0.6212,0.6143,0.6034,0.5951,0.5913,0.5885,0.5836,0.5848,0.5842,0.5679,0.5513,0.5383,79.7061,73.2459,70.7913,60.5593,0.0,0.010301737968431162,0.009698050305885601,,,
2000-01-11,0.629,0.695,0.629,0.68,47199567.0,0.6806,0.629,0.6125,0.5997,0.5942,0.5914,0.5858,0.5861,0.5854,0.5694,0.5524,0.5399,95.9755,88.2462,84.1601,71.4166,0.08915270543097298,0.05147233847955566,0.039388378326007605,,,
2000-01-12,0.68,0.702,0.673,0.68,32596689.0,0.6924,0.6414,0.6213,0.6045,0.5974,0.5941,0.5879,0.5874,0.5866,0.5708,0.5534,0.5415,95.9755,88.2462,84.1601,71.4166,0.0,0.05147233847955566,0.0386554019141292,,,
2000-01-13,0.68,0.739,0.68,0.731,67315443.0,0.7278,0.6648,0.6356,0.6114,0.6023,0.5981,0.5911,0.5895,0.5883,0.5727,0.5548,0.5432,98.4391,92.7486,89.1838,77.2746,0.07232066157962602,0.04736700799288872,0.04461993199857187,,,
2000-01-14,0.731,0.757,0.731,0.75,43710190.0,0.7425,0.6926,0.6509,0.6198,0.6076,0.6024,0.5948,0.5923,0.5899,0.5749,0.5561,0.545,98.8246,93.7158,90.3598,78.8742,0.025659746780577697,0.036665018900950204,0.04133142002878592,,,
2000-01-17,0.753,0.783,0.753,0.764,45247048.0,0.7718,0.7211,0.6677,0.6288,0.6137,0.6069,0.5991,0.5953,0.5917,0.5773,0.5576,0.5469,99.0933,94.3893,91.1854,80.0371,0.01849458263616438,0.029228488732536848,0.037823290645787835,0.033442694457837624,,
2000-01-18,0.764,0.764,0.735,0.739,16932776.0,0.7479,0.7328,0.6809,0.6367,0.6189,0.6109,0.6026,0.5976,0.5931,0.5797,0.5589,0.5486,61.9304,77.9431,78.5127,72.784,-0.03326986821831879,0.03215482719955838,0.03857789497564091,0.03680955024245043,,
