Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,1.45,1.506,1.45,1.488,953600.0,1.4941,1.4575,1.4069,1.3513,1.315,1.2888,1.2769,1.2675,1.2337,1.2478,1.3044,1.2992,73.8782,77.0714,76.5263,71.8567,,,,,,
2000-01-04,1.494,1.494,1.456,1.456,1142400.0,1.4718,1.4663,1.4188,1.3631,1.3229,1.295,1.2814,1.2717,1.2376,1.2482,1.3054,1.3005,52.1904,66.644,68.6885,67.4192,-0.021739986636405917,,,,,
2000-01-05,1.4,1.444,1.35,1.4,1574400.0,1.4021,1.4525,1.4238,1.3719,1.3288,1.3,1.2849,1.2749,1.2404,1.2481,1.3057,1.3016,29.1141,52.312,57.3103,60.466,-0.039220713153281295,,,,,
2000-01-06,1.406,1.431,1.375,1.381,2588799.0,1.39,1.4325,1.4263,1.3775,1.3333,1.3044,1.2878,1.2775,1.2424,1.2479,1.3058,1.3026,23.8429,48.4081,54.0937,58.3895,-0.01366436219405781,0.013063425941935774,,,,
2000-01-07,1.406,1.431,1.375,1.381,2588799.0,1.39,1.4325,1.4263,1.3775,1.3333,1.3044,1.2878,1.2775,1.2424,1.2479,1.3058,1.3026,23.8429,48.4081,54.0937,58.3895,0.0,0.019908566869455017,,,,
2000-01-10,1.406,1.431,1.375,1.381,2588799.0,1.39,1.4325,1.4263,1.3775,1.3333,1.3044,1.2878,1.2775,1.2424,1.2479,1.3058,1.3026,23.8429,48.4081,54.0937,58.3895,0.0,0.007889123191043821,0.01646075771462176,,,
2000-01-11,1.456,1.463,1.438,1.45,812800.0,1.4498,1.435,1.4356,1.3853,1.3398,1.3105,1.2921,1.281,1.2455,1.2483,1.3059,1.3039,61.841,60.5517,62.422,63.1851,0.04875568200532793,0.028149106130299875,0.032010487673387676,,,
2000-01-12,1.456,1.469,1.45,1.463,870400.0,1.462,1.43,1.4438,1.3934,1.3469,1.3166,1.2968,1.2851,1.2491,1.2487,1.3062,1.3053,66.4116,62.3637,63.7111,63.9662,0.008925565605504282,0.02595900749773997,0.023748683137147446,,,
2000-01-13,1.469,1.488,1.463,1.463,1884800.0,1.4719,1.4313,1.4488,1.3994,1.3533,1.3228,1.301,1.2891,1.2526,1.2492,1.3065,1.3067,66.4116,62.3637,63.7111,63.9662,0.0,0.02595900749773997,0.02116221269146017,,,
2000-01-14,1.463,1.469,1.419,1.463,2255999.0,1.4468,1.4438,1.4481,1.4053,1.36,1.3289,1.3058,1.2933,1.2563,1.2496,1.3068,1.3081,66.4116,62.3637,63.7111,63.9662,0.0,0.00515317770500759,0.02116221269146017,,,
2000-01-17,1.463,1.556,1.463,1.494,2502399.0,1.5171,1.4663,1.4494,1.4138,1.3683,1.3361,1.311,1.2983,1.2606,1.2503,1.3072,1.3095,83.2945,67.6527,67.222,65.9648,0.020967964672638284,0.012105860048106286,0.02036724130272522,0.02378707531063835,,
2000-01-18,1.5,1.506,1.469,1.469,1209600.0,1.4897,1.47,1.4525,1.4216,1.376,1.3425,1.316,1.3021,1.2643,1.2511,1.3075,1.3107,51.9562,60.0569,62.0499,63.0698,-0.01687518951888528,0.01895842769049661,0.013876219279442043,0.02332925585515566,,
2000-01-19,1.45,1.469,1.444,1.456,1289600.0,1.4562,1.4688,1.4494,1.4281,1.384,1.3486,1.3209,1.3056,1.267,1.2517,1.3076,1.3118,40.5219,56.4894,59.5815,61.6699,-0.008888947417246107,0.019947094949776974,0.014131881477015449,0.019128546321389477,,
2000-01-20,1.469,1.5,1.469,1.494,1113600.0,1.491,1.475,1.4531,1.4359,1.3931,1.3555,1.3266,1.31,1.2698,1.2528,1.3079,1.3132,70.1166,63.7558,64.1846,64.1401,0.025764136936131388,0.022666893915450705,0.018569468177353637,0.019164330558976185,,
2000-01-21,1.506,1.594,1.506,1.519,2451199.0,1.5418,1.4863,1.465,1.4444,1.4029,1.3628,1.333,1.3149,1.2726,1.2542,1.3083,1.3146,80.0455,67.7902,66.8917,65.6661,0.016595136903010177,0.01795524700680188,0.019107805675264967,0.019126084326206452,,
