Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-09-28,2.431,2.431,1.947,1.947,35107.0,2.1594,2.5475,2.6784,2.7831,2.7271,3.0238,3.2359,3.2646,3.1201,2.9179,2.815,2.9272,0.0,8.8484,24.5727,37.8623,,,,,,
2000-09-29,1.985,2.014,1.918,2.014,91898.0,1.9499,2.3912,2.5901,2.7329,2.6919,2.9548,3.2046,3.2453,3.1144,2.9228,2.8034,2.9256,11.0931,14.4902,27.5069,38.7146,0.0338330679063078,,,,,
2000-10-02,1.947,1.956,1.918,1.918,43367.0,1.9316,2.2224,2.4954,2.6856,2.6706,2.892,3.1721,3.2255,3.1063,2.9275,2.7947,2.9231,8.9626,13.1792,25.9536,37.9454,-0.04883981783512403,,,,,
2000-10-03,1.918,1.918,1.743,1.811,79507.0,1.8622,2.0391,2.397,2.6415,2.6355,2.8273,3.1305,3.1961,3.0998,2.9312,2.7876,2.9202,6.8059,11.8522,24.3263,37.1065,-0.05740379755997016,0.05038570135407981,,,,
2000-10-04,1.55,1.5590000000000002,1.453,1.453,41302.0,1.4963,1.8285,2.2729,2.5727,2.5947,2.7536,3.0866,3.1617,3.0878,2.931,2.7731,2.9129,3.0739,8.5823,19.8239,34.4558,-0.22024879431313038,0.0965857752928298,,,,
2000-10-05,1.453,1.453,1.356,1.375,23749.0,1.3849,1.7142,2.1308,2.505,2.5565,2.6883,3.0378,3.1273,3.0748,2.9271,2.7603,2.9059,2.6097,8.0425,19.0048,33.9139,-0.055176653469611314,0.09466807348220992,0.09244081732061499,,,
2000-10-06,1.375,1.375,1.307,1.307,41302.0,1.3430000000000002,1.5728,1.982,2.4272,2.5137,2.6247,2.9828,3.0934,3.0616,2.9204,2.7484,2.8986,2.1781,7.5737,18.2927,33.4379,-0.05071929647644974,0.09661688116023358,0.07485824367951828,,,
2000-10-09,1.307,1.317,1.259,1.259,18586.0,1.3015,1.4411,1.8317,2.3427,2.4818,2.5765,2.9186,3.0578,3.0496,2.9154,2.7365,2.8909,1.8502,7.2348,17.7801,33.0947,-0.03741667957987482,0.00923980808084994,0.07645145825806773,,,
2000-10-10,1.298,1.298,1.211,1.211,4130.0,1.2663,1.321,1.68,2.2464,2.4414,2.5147,2.8583,3.0172,3.0357,2.9087,2.725,2.8809,1.5094,6.888,17.2594,32.747,-0.03887129049125476,0.0072966973696523925,0.07849682914319496,,,
2000-10-11,1.249,1.259,1.211,1.211,22716.0,1.2295,1.2726,1.5505,2.1586,2.4017,2.4635,2.7911,2.9811,3.0201,2.9026,2.7145,2.8696,1.5094,6.888,17.2594,32.747,0.0,0.022034446623949336,0.0217353348021377,,,
