Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,3.673,3.882,3.673,3.852,22436.0,3.8112,3.7328,3.7507,3.7567,3.6959,3.6618,3.6868,3.7168,3.8869,4.1693,3.7437,3.5692,79.5193,61.9946,50.8119,57.4438,,,,,,
2000-01-04,3.882,4.031,3.882,3.882,14065.0,3.939,3.7805,3.7567,3.7701,3.7158,3.6648,3.688,3.7168,3.8788,4.1573,3.7541,3.5777,82.8228,63.8688,51.4099,58.5644,0.00775799081093953,,,,,
2000-01-05,3.792,3.792,3.733,3.733,4353.0,3.7626,3.7805,3.7477,3.7701,3.7328,3.6656,3.6862,3.7134,3.8719,4.1386,3.764,3.5847,37.4805,49.9991,48.3684,51.2914,-0.03913828481437176,,,,,
2000-01-06,3.763,3.763,3.703,3.703,3014.0,3.7361,3.7746,3.7358,3.7671,3.7338,3.6633,3.6832,3.7094,3.863,4.1207,3.7736,3.5917,32.1932,47.6699,47.7835,49.9552,-0.008068898000971325,0.023857416296092834,,,,
2000-01-07,3.763,3.763,3.703,3.703,3014.0,3.7361,3.7746,3.7358,3.7671,3.7338,3.6633,3.6832,3.7094,3.863,4.1207,3.7736,3.5917,32.1932,47.6699,47.7835,49.9552,0.0,0.020664862488943492,,,,
2000-01-10,3.763,3.763,3.703,3.703,3014.0,3.7361,3.7746,3.7358,3.7671,3.7338,3.6633,3.6832,3.7094,3.863,4.1207,3.7736,3.5917,32.1932,47.6699,47.7835,49.9552,0.0,0.004658580432924425,0.01834292182712125,,,
2000-01-11,3.733,3.882,3.733,3.882,11721.0,3.7823,3.8104,3.7567,3.7701,3.7407,3.6678,3.6856,3.7109,3.86,4.1083,3.7841,3.6001,70.1242,60.1885,51.4291,57.1656,0.047207182815343085,0.027255079706122204,0.03092503258899732,,,
2000-01-12,3.882,3.882,3.733,3.822,15069.0,3.7852,3.8044,3.7686,3.7641,3.7487,3.6775,3.6862,3.7109,3.8564,4.0953,3.7944,3.6086,54.7974,55.2336,50.22,54.3544,-0.015576638928737285,0.03269290968612291,0.02462329523672425,,,
2000-01-13,3.792,3.942,3.792,3.942,13730.0,3.901,3.8164,3.7985,3.7671,3.7606,3.6939,3.6898,3.7129,3.854,4.0819,3.8044,3.6177,72.6988,62.2297,52.5289,58.7261,0.03091436291244709,0.032579844242971424,0.02571222739602463,,,
2000-01-14,4.031,4.121,4.031,4.091,17748.0,4.0725,3.8881,3.8343,3.7776,3.7756,3.7022,3.6963,3.7173,3.8567,4.0695,3.8141,3.6277,84.3326,69.0349,55.215,63.4398,0.03710123021673306,0.02879423691454347,0.026539962241501163,,,
2000-01-17,4.181,4.3,4.151,4.24,19088.0,4.2153,3.9956,3.8851,3.8059,3.7935,3.7178,3.7053,3.7233,3.8603,4.06,3.8257,3.6386,90.442,74.2535,57.6915,67.4439,0.03577383029660486,0.0032571393595834954,0.024573371422474122,0.02752610023011945,,
2000-01-18,4.181,4.33,4.181,4.27,21432.0,4.2899,4.0732,3.9418,3.8403,3.8124,3.7432,3.7166,3.7298,3.8627,4.0468,3.8378,3.6498,91.443,75.1942,58.17,68.1941,0.007050557996666651,0.016979552718108828,0.022854360720295053,0.027532260311139492,,
2000-01-19,4.3,4.33,4.151,4.181,16744.0,4.2595,4.1449,3.9747,3.8627,3.8293,3.7656,3.7244,3.7348,3.86,4.0309,3.8489,3.661,62.1516,66.9402,56.1973,63.4686,-0.0210633748661051,0.028419146959215182,0.02496684984047653,0.024397274753886294,,
