Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,3.497,3.692,3.461,3.692,1498561.0,3.5785,3.4471,3.4311,3.298,3.2004,3.0668,2.9824,2.9307,2.8555,2.8645,2.9048,2.8694,90.8886,77.3906,69.9663,73.8628,,,,,,
2000-01-04,3.71,3.728,3.603,3.657,1258566.0,3.6721,3.511,3.456,3.3291,3.2246,3.0917,3.0028,2.9476,2.8659,2.8685,2.9102,2.8757,79.4834,73.4628,68.6301,71.3358,-0.009525177473361568,,,,,
2000-01-05,3.568,3.568,3.426,3.55,1252933.0,3.5172,3.5394,3.4631,3.3513,3.2406,3.1134,3.0215,2.9627,2.874,2.8719,2.9148,2.8817,50.7985,62.7196,64.7903,64.2357,-0.029695535679919782,,,,,
2000-01-06,3.639,3.657,3.515,3.568,646748.0,3.561,3.5714,3.4755,3.3761,3.2572,3.1363,3.0405,2.9769,2.8808,2.8753,2.9193,2.8879,54.8702,63.7146,65.1267,64.8634,0.0050576112304385745,0.01745127644201374,,,,
2000-01-07,3.639,3.657,3.515,3.568,646748.0,3.561,3.5714,3.4755,3.3761,3.2572,3.1363,3.0405,2.9769,2.8808,2.8753,2.9193,2.8879,54.8702,63.7146,65.1267,64.8634,0.0,0.018775806644227913,,,,
2000-01-10,3.639,3.657,3.515,3.568,646748.0,3.561,3.5714,3.4755,3.3761,3.2572,3.1363,3.0405,2.9769,2.8808,2.8753,2.9193,2.8879,54.8702,63.7146,65.1267,64.8634,0.0,0.0029200132053501912,0.013826693114918813,,,
2000-01-11,3.71,3.728,3.586,3.603,882236.0,3.637,3.614,3.4915,3.4045,3.2743,3.1598,3.0589,2.9911,2.8875,2.8789,2.9236,2.894,63.8461,65.77,65.8027,66.1432,0.009761617048193338,0.005635872230500468,0.015479280778606153,,,
2000-01-12,3.639,3.71,3.621,3.621,1389268.0,3.6384,3.5998,3.5234,3.4329,3.2951,3.1844,3.0777,3.0071,2.8955,2.8827,2.9285,2.9005,68.5391,66.827,66.1422,66.7945,0.0049833990175478515,0.004881167905192049,0.004101038129414714,,,
2000-01-13,3.639,3.639,3.55,3.603,1747571.0,3.6267,3.5891,3.5501,3.4578,3.3146,3.2113,3.0967,3.0221,2.904,2.8866,2.9333,2.9065,57.3689,64.5834,65.4699,65.4389,-0.0049833990175478515,0.00752311913813833,0.0056102554632711885,,,
2000-01-14,3.603,3.87,3.603,3.799,4700751.0,3.74,3.6388,3.5891,3.48,3.3424,3.2403,3.1194,3.0412,2.9143,2.8921,2.9391,2.9133,88.444,74.979,69.0498,72.1376,0.05297104243953221,0.03098620195310064,0.023258394843485606,,,
2000-01-17,3.816,3.958,3.781,3.799,3046699.0,3.8944,3.685,3.6282,3.5092,3.3696,3.2701,3.1422,3.0616,2.9245,2.898,2.9447,2.9194,88.444,74.979,69.0498,72.1376,0.0,0.0321182266205679,0.023258394843485606,0.020729475393190096,,
2000-01-18,3.799,3.994,3.763,3.87,1754331.0,3.913,3.7382,3.6761,3.5385,3.3992,3.2998,3.1681,3.0815,2.9353,2.9064,2.9512,2.926,92.7612,77.9567,70.2501,74.2431,0.018516632836201863,0.026882160657939105,0.023325779820789837,0.020765019466687677,,
2000-01-19,3.87,4.571,3.87,4.402,9314743.0,4.3658,3.8944,3.7471,3.5891,3.4477,3.3371,3.2029,3.1099,2.9516,2.9188,2.9605,2.9352,98.6087,89.0012,77.131,84.0052,0.1288044760625795,0.06963819247710791,0.05507976625228701,0.04120765388546232,,
2000-01-20,4.438,4.926,4.42,4.926,9310236.0,4.6529,4.1589,3.874,3.665,3.5107,3.387,3.2481,3.148,2.9732,2.9361,2.9724,2.947,99.3651,92.9235,81.4868,88.5862,0.1124683165940763,0.05952198102472461,0.05662307449204108,0.04958877615940924,,
2000-01-21,4.97,5.325,4.837,5.103,6708598.0,5.1686,4.4198,4.0293,3.7462,3.5773,3.4378,3.2966,3.1894,2.9969,2.9552,2.9846,2.9598,99.5026,93.7707,82.6459,89.6666,0.035301302383488276,0.04994073433651092,0.05790737301307979,0.04827685702097716,,
2000-01-24,5.148,5.325,4.881,5.014,2050663.0,5.1057,4.663,4.174,3.8248,3.6421,3.4864,3.3438,3.2294,3.0193,2.9735,2.9971,2.9721,85.5985,87.8546,80.0534,85.318,-0.017594602345732735,0.06540780751363359,0.06272462241342365,0.05001517479179432,,
2000-01-25,4.926,4.97,4.793,4.881,2547555.0,4.8783,4.8654,4.3018,3.8966,3.7036,3.5312,3.3882,3.2661,3.0399,2.9912,3.009,2.9836,65.1233,79.401,76.3377,79.1195,-0.026883882831091332,0.033544161760357225,0.07201481792910139,0.0532294768877456,,
2000-01-26,4.881,5.059,4.704,4.837,3232611.0,4.916,4.9523,4.4234,3.9734,3.7631,3.5771,3.4322,3.302,3.0608,3.0085,3.0205,2.9948,58.1665,76.6357,75.1351,77.1085,-0.00905542306416418,0.008916859428440286,0.057518571406376263,0.054150246538533724,,
2000-01-27,4.837,4.926,4.704,4.881,1971791.0,4.838,4.9435,4.5512,4.0506,3.8222,3.6237,3.4792,3.3391,3.0821,3.0267,3.0328,3.006,63.944,77.5166,75.5338,77.7184,0.00905542306416418,0.01796983784650308,0.02462545621246597,0.05334867251279099,,
2000-01-28,4.837,4.926,4.748,4.748,1764472.0,4.8629,4.8725,4.6462,4.1176,3.8687,3.6683,3.5215,3.3739,3.1017,3.0442,3.0442,3.0161,39.4356,68.7664,71.9531,71.5588,-0.027626640157588644,0.018341513087437155,0.01516340980799599,0.05559381545004451,,
